zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94501,27 Courageous Ct #F62,2,2,Alameda,"1,608 sqft",4-Mar-14,"$700,000 ",37.783524,-122.268906,CA,Condo,700000,"$607,000 ",,,,,Sold,ALAMEDA
94502,1125 Bismarck Ln,2.5,3,Alameda,"1,639 sqft",4-Mar-14,"$580,000 ",37.731724,-122.24091,CA,Townhouse,580000,"$556,000 ",,,,,Sold,ALAMEDA
94501,1700 Cornell Dr,1,3,Alameda,"1,585 sqft",4-Mar-14,"$900,000 ",37.76185,-122.228806,CA,Single-Family Home,900000,"$922,000 ",,,,,Sold,ALAMEDA
94501,1064 Central Ave,1,2,Alameda,"1,124 sqft",3-Mar-14,"$615,000 ",37.77092,-122.266205,CA,Single-Family Home,615000,"$634,000 ",,,,,Sold,ALAMEDA
94501,1035 San Antonio Ave,2,3,Alameda,"1,392 sqft",3-Mar-14,"$850,000 ",37.76951,-122.2671,CA,Single-Family Home,850000,"$781,000 ",,,,,Sold,ALAMEDA
94501,535 Pacific Ave,1,1,Alameda,645 sqft,3-Mar-14,"$315,000 ",37.776623,-122.28063,CA,Multi-Family,315000,,,,,,Sold,ALAMEDA
94501,2065 Encinal Ave #B,1,2,Alameda,618 sqft,28-Feb-14,"$260,000 ",37.765865,-122.25105,CA,Condo,260000,"$330,000 ",,,,,Sold,ALAMEDA
94501,639 Santa Clara Ave,2,4,Alameda,"2,412 sqft",28-Feb-14,"$116,500 ",37.773643,-122.27762,CA,Multi-Family,116500,"$802,000 ",,,,,Sold,ALAMEDA
94502,126 Jervis Bay,2.5,4,Alameda,"1,972 sqft",28-Feb-14,"$880,000 ",37.739784,-122.25036,CA,Single-Family Home,880000,"$1,011,000 ",,,,,Sold,ALAMEDA
94501,3282 Madison St,2,3,Alameda,"1,673 sqft",28-Feb-14,"$730,000 ",37.753536,-122.23219,CA,Single-Family Home,730000,"$780,000 ",,,,,Sold,ALAMEDA
94501,1312 Versailles Ave,1,2,Alameda,751 sqft,27-Feb-14,"$450,000 ",37.75949,-122.23798,CA,Single-Family Home,450000,"$543,000 ",,,,,Sold,ALAMEDA
