zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94005,737 San Bruno Ave #6,2,2,Brisbane,936 sqft,31-Dec-69,$0 ,37.68021,-122.39768,CA,Condo,398000,,,,51,,For Sale,SAN MATEO
94005,358 Mendocino St,2,3,Brisbane,650 sqft,31-Dec-69,$0 ,37.68246,-122.402916,CA,Single-Family Home,415000,,,,69,,For Sale,SAN MATEO
94005,200 Valley Dr #6,,,Brisbane,"1,617 sqft",31-Dec-69,$0 ,37.6885,-122.40328,CA,Income/Investment,399888,,,,51,,For Sale,SAN MATEO
94005,56 Sierra Point Rd,2.5,4,Brisbane,"1,730 sqft",31-Dec-69,$0 ,37.68416,-122.40596,CA,Single-Family Home,858000,,,,63,,For Sale,SAN MATEO
94005,213 Visitacion Ave,,1,Brisbane,710 sqft,31-Dec-69,$0 ,37.68282,-122.40309,CA,Single-Family Home,425000,,,,60,,For Sale,SAN MATEO
94005,35 San Benito Rd,3,5,Brisbane,"2,525 sqft",31-Dec-69,$0 ,37.6809,-122.40503,CA,Single-Family Home,1098000,,,,66,,For Sale,SAN MATEO
94005,373 Klamath St,,,Brisbane,"5,365 sqft",31-Dec-69,$0 ,37.681446,-122.40339,CA,Multi-Family Home,2100000,,,,71,,For Sale,SAN MATEO
94005,200 Valley Dr #15,0.5,,Brisbane,"1,680 sqft",31-Dec-69,$0 ,37.6885,-122.40328,CA,Income/Investment,435000,,,,54,,For Sale,SAN MATEO
94005,311 Mendocino St,1,2,Brisbane,720 sqft,31-Dec-69,$0 ,37.681995,-122.40225,CA,Single-Family Home,538000,,,,62,,For Sale,SAN MATEO
94005,548 Alvarado St,2,3,Brisbane,"1,090 sqft",31-Dec-69,$0 ,37.681267,-122.40395,CA,Single-Family Home,548000,,,,60,,For Sale,SAN MATEO
94005,161 Humboldt Rd,3,3,Brisbane,"1,500 sqft",31-Dec-69,$0 ,37.684185,-122.406975,CA,Single-Family Home,828000,,,,60,,For Sale,SAN MATEO
94005,Stafford Plan,2.5,4,Brisbane,"3,445 sqft",31-Dec-69,$0 ,37.69692,-122.42056,CA,Single-Family Home,1354995,,,,46,,For Sale,SAN MATEO
94005,Everton Plan,2.5,3,Brisbane,"2,125 sqft",31-Dec-69,$0 ,37.69692,-122.42056,CA,Single-Family Home,1184995,,,,46,,For Sale,SAN MATEO
94005,Highgate Plan,3.5,4,Brisbane,"2,865 sqft",31-Dec-69,$0 ,37.69692,-122.42056,CA,Single-Family Home,1284995,,,,46,,For Sale,SAN MATEO
94005,Ashgrove Plan,2.5,4,Brisbane,"2,900 sqft",31-Dec-69,$0 ,37.69692,-122.42056,CA,Single-Family Home,1316995,,,,46,,For Sale,SAN MATEO
94005,Carindale Plan,2.5,4,Brisbane,"3,290 sqft",31-Dec-69,$0 ,37.69692,-122.42056,CA,Single-Family Home,1349995,,,,46,,For Sale,SAN MATEO
94005,Birkdale Plan,2.5,4,Brisbane,"2,985 sqft",31-Dec-69,$0 ,37.69692,-122.42056,CA,Single-Family Home,1334995,,,,46,,For Sale,SAN MATEO
94005,107 Visitacion Ave,,,Brisbane,,31-Dec-69,$0 ,37.68339,-122.40276,CA,Multi-Family Home,1050000,,,,60,,For Sale,SAN MATEO
94005,Elfin Ct,2,3,Brisbane,"1,663 sqft",31-Dec-69,$0 ,37.693977,-122.41973,CA,Condo,548000,,,,28,,For Sale,SAN MATEO
94005,Monterey St,1,2,Brisbane,780 sqft,31-Dec-69,$0 ,37.6836,-122.4003,CA,Single-Family Home,510255,,,,62,,For Sale,SAN MATEO
94005,Humboldt Rd,2,3,Brisbane,"2,190 sqft",31-Dec-69,$0 ,37.677765,-122.39849,CA,Single-Family Home,417000,,,,54,,For Sale,SAN MATEO
94005,Swallowtail Ct,2,2,Brisbane,"1,070 sqft",31-Dec-69,$0 ,37.693756,-122.41963,CA,Condo,339100,,,,29,,For Sale,SAN MATEO
94005,San Bruno Ave,1,2,Brisbane,800 sqft,31-Dec-69,$0 ,37.67845,-122.39592,CA,Single-Family Home,460000,,,,35,,For Sale,SAN MATEO
94005,Address Not Disclosed,,,Brisbane,,31-Dec-69,$0 ,37.679657,-122.39979,CA,Unspecified,70000,,,,55,,For Sale,SAN MATEO
94005,San Bruno Ave,,,Brisbane,,31-Dec-69,$0 ,37.679855,-122.397766,CA,Unspecified,259396,,,,42,,For Sale,SAN MATEO
94005,Trinity Rd,2,4,Brisbane,"1,310 sqft",31-Dec-69,$0 ,37.683018,-122.407585,CA,Single-Family Home,590000,,,,54,,For Sale,SAN MATEO
94005,Ross St #16,,,Brisbane,,31-Dec-69,$0 ,37.678993,-122.399666,CA,Unspecified,544000,,,,52,,For Sale,SAN MATEO
94005,San Benito Rd,1,3,Brisbane,770 sqft,31-Dec-69,$0 ,37.68071,-122.4052,CA,Single-Family Home,665695,,,,65,,For Sale,SAN MATEO
94005,Monterey St,2,3,Brisbane,"1,140 sqft",31-Dec-69,$0 ,37.6835,-122.40444,CA,Single-Family Home,696790,,,,68,,For Sale,SAN MATEO
94005,Klamath St,,,Brisbane,,31-Dec-69,$0 ,37.681555,-122.401921,CA,Unspecified,640000,,,,,,For Sale,SAN MATEO
