zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
95008,1773 W Campbell Ave,2,3,Campbell,"1,693 sqft",31-Dec-69,$0 ,37.286148,-121.982216,CA,Single-Family Home,798000,,,,68,,For Sale,SANTA CLARA
95008,93 Timber Cove Dr,2,2,Campbell,"1,200 sqft",31-Dec-69,$0 ,37.2775,-121.94815,CA,Mobile/Manufactured,159900,,,,80,,For Sale,SANTA CLARA
95008,1442 Hoffman Ln,3,4,Campbell,"2,340 sqft",31-Dec-69,$0 ,37.265343,-121.94535,CA,Single-Family Home,1250000,,,,65,,For Sale,SANTA CLARA
95008,870 Camden Ave #41,2,3,Campbell,"1,736 sqft",31-Dec-69,$0 ,37.27742,-121.947426,CA,Mobile/Manufactured,309000,,,,78,,For Sale,SANTA CLARA
95008,1251 Bracebridge Ct,2.5,3,Campbell,"1,886 sqft",31-Dec-69,$0 ,37.265358,-121.97268,CA,Single-Family Home,895000,,,,37,,For Sale,SANTA CLARA
95008,430 Esther Ave,2,3,Campbell,"1,771 sqft",31-Dec-69,$0 ,37.293327,-121.94787,CA,Single-Family Home,799988,,,,86,,For Sale,SANTA CLARA
95008,1117 Hazelwood Ave,4,4,Campbell,"3,361 sqft",31-Dec-69,$0 ,37.277092,-121.96846,CA,Single-Family Home,1399000,,,,42,,For Sale,SANTA CLARA
95008,300 Union Ave #17,1,1,Campbell,621 sqft,31-Dec-69,$0 ,37.28249,-121.93546,CA,Apt/Condo/Twnhm,335000,,,Willow Glen,77,,For Sale,SANTA CLARA
95008,336 April Way,2,3,Campbell,"1,630 sqft",31-Dec-69,$0 ,37.29179,-121.9274,CA,Single-Family Home,879000,,,,66,,For Sale,SANTA CLARA
95008,3595 S Bascom Ave #28,1,1,Campbell,742 sqft,31-Dec-69,$0 ,37.26171,-121.9468,CA,Apt/Condo/Twnhm,349888,,,Cambrian Park,49,,For Sale,SANTA CLARA
95008,1218 Lovell Ave,3,5,Campbell,"3,200 sqft",31-Dec-69,$0 ,37.2721,-121.9711,CA,Single-Family Home,1600000,,,,42,,For Sale,SANTA CLARA
95008,2785 S Bascom Ave #14,3,3,Campbell,"1,262 sqft",31-Dec-69,$0 ,37.27127,-121.93733,CA,Condo,478000,,,Willow Glen,68,,For Sale,SANTA CLARA
95008,444 W Hacienda Ave,3,3,Campbell,"1,425 sqft",31-Dec-69,$0 ,37.268803,-121.957726,CA,Townhome,630000,,,,68,,For Sale,SANTA CLARA
95008,550 Millbrook Ct,2,3,Campbell,"1,040 sqft",31-Dec-69,$0 ,37.280777,-121.95948,CA,Single-Family Home,699999,,,,60,,For Sale,SANTA CLARA
95008,1310 E Campbell Ave,3,4,Campbell,"2,751 sqft",31-Dec-69,$0 ,37.286392,-121.92609,CA,Single-Family Home,1398000,,,,58,,For Sale,SANTA CLARA
95008,444 W Hacienda Ave,7,3,Campbell,,31-Dec-69,$0 ,37.268803,-121.957726,CA,Apt/Condo/Twnhm,630000,,,,68,,For Sale,SANTA CLARA
95008,1143 Capri Dr,3,3,Campbell,"1,454 sqft",31-Dec-69,$0 ,37.27043,-121.96158,CA,Apt/Condo/Twnhm,629950,,,,51,,For Sale,SANTA CLARA
95008,2216 Fazeli Ct,3,3,Campbell,"1,359 sqft",31-Dec-69,$0 ,37.270164,-121.93816,CA,Townhome,573900,,,Willow Glen,63,,For Sale,SANTA CLARA
95008,25 Heritage Ct,3,3,Campbell,"1,733 sqft",31-Dec-69,$0 ,37.288456,-121.94149,CA,Single-Family Home,869950,,,,88,,For Sale,SANTA CLARA
95008,185 Union Ave #76,1,1,Campbell,704 sqft,31-Dec-69,$0 ,37.284332,-121.93576,CA,Condo,319000,,,,72,,For Sale,SANTA CLARA
95008,1601 Ensenada Dr,2,3,Campbell,"1,618 sqft",31-Dec-69,$0 ,37.289818,-121.97855,CA,Single-Family Home,888000,,,,69,,For Sale,SANTA CLARA
95008,37 Albatross Ct,2.5,2,Campbell,"1,190 sqft",31-Dec-69,$0 ,37.289684,-121.94902,CA,Townhome,675000,,,,85,,For Sale,SANTA CLARA
95008,522 Century Dr,2,5,Campbell,"2,198 sqft",31-Dec-69,$0 ,37.27922,-121.96417,CA,Single-Family Home,899000,,,,45,,For Sale,SANTA CLARA
95008,455 W Sunnyoaks Ave,3,4,Campbell,"2,011 sqft",31-Dec-69,$0 ,37.272514,-121.957664,CA,Single-Family Home,1099000,,,,66,,For Sale,SANTA CLARA
95008,4985 Ponderosa Ter,1,2,Campbell,920 sqft,31-Dec-69,$0 ,37.27039,-121.98891,CA,Single-Family Home,510000,,,West San Jose,29,,For Sale,SANTA CLARA
95008,145 Redding Rd,7,2,Campbell,,31-Dec-69,$0 ,37.26564,-121.94599,CA,Apt/Condo/Twnhm,585000,,,,65,,For Sale,SANTA CLARA
95008,145 Redding Rd,3,2,Campbell,"1,267 sqft",31-Dec-69,$0 ,37.26564,-121.94599,CA,Townhome,585000,,,,65,,For Sale,SANTA CLARA
95008,2870 Joseph Ave,4,8,Campbell,"2,992 sqft",31-Dec-69,$0 ,37.270195,-121.939224,CA,Condo,1120000,,,Willow Glen,58,,For Sale,SANTA CLARA
95008,1815 White Oaks Rd,2,3,Campbell,"1,759 sqft",31-Dec-69,$0 ,37.261604,-121.94924,CA,Single-Family Home,849990,,,,60,,For Sale,SANTA CLARA
95008,2871 S Bascom Ave #405,2,2,Campbell,841 sqft,31-Dec-69,$0 ,37.270393,-121.93801,CA,Apt/Condo/Twnhm,400000,,,Willow Glen,71,,For Sale,SANTA CLARA
95008,168 Echo Ave,,,Campbell,"3,624 sqft",31-Dec-69,$0 ,37.278442,-121.95237,CA,Multi-Family Home,888000,,,,85,,For Sale,SANTA CLARA
95008,835 Dry Creek Rd,,,Campbell,,31-Dec-69,$0 ,37.278427,-121.93496,CA,Lot/Land,3500000,,,Willow Glen,72,,For Sale,SANTA CLARA
95008,835 Dry Creek Rd,2,4,Campbell,"2,600 sqft",31-Dec-69,$0 ,37.278427,-121.93496,CA,Single-Family Home,3500000,,,Willow Glen,86,,For Sale,SANTA CLARA
95008,980 Dry Creek Rd,3,4,Campbell,"3,000 sqft",31-Dec-69,$0 ,37.279774,-121.93267,CA,Unspecified,1399000,,,Willow Glen,78,,For Sale,SANTA CLARA
95008,Theresa Ave,2,3,Campbell,"1,281 sqft",31-Dec-69,$0 ,37.26834,-121.96275,CA,Single-Family Home,386257,,,,57,,For Sale,SANTA CLARA
95008,Salice Way,1,2,Campbell,"1,141 sqft",31-Dec-69,$0 ,37.28554,-121.95202,CA,Condo,505923,,,,82,,For Sale,SANTA CLARA
95008,W Rincon Ave,1,2,Campbell,"1,141 sqft",31-Dec-69,$0 ,37.28491,-121.95142,CA,Condo,3619,,,,82,,For Sale,SANTA CLARA
95008,S San Tomas Aquino Rd,2,3,Campbell,"1,598 sqft",31-Dec-69,$0 ,37.27304,-121.9715,CA,Condo,27284,,,,37,,For Sale,SANTA CLARA
95008,W Sunnyoaks Ave,3,3,Campbell,"1,514 sqft",31-Dec-69,$0 ,37.27222,-121.95783,CA,Single-Family Home,394838,,,,66,,For Sale,SANTA CLARA
95008,Mcbain Ave,1,2,Campbell,917 sqft,31-Dec-69,$0 ,37.289223,-121.93029,CA,Single-Family Home,165000,,,,72,,For Sale,SANTA CLARA
95008,W Rincon Ave,2,3,Campbell,"1,302 sqft",31-Dec-69,$0 ,37.284718,-121.958725,CA,Condo,260000,,,,65,,For Sale,SANTA CLARA
95008,Del Prado Dr,2,4,Campbell,"1,830 sqft",31-Dec-69,$0 ,37.28749,-121.9614,CA,Single-Family Home,429394,,,,63,,For Sale,SANTA CLARA
95008,W Rincon Ave,,2,Campbell,"1,319 sqft",31-Dec-69,$0 ,37.28491,-121.952,CA,Single-Family Home,395475,,,,82,,For Sale,SANTA CLARA
95008,W Hacienda Ave,2,3,Campbell,"1,425 sqft",31-Dec-69,$0 ,37.269173,-121.9578,CA,Condo,469000,,,,68,,For Sale,SANTA CLARA
95008,N 2nd St,,,Campbell,,31-Dec-69,$0 ,37.29132,-121.94592,CA,Unspecified,386907,,,,,,For Sale,SANTA CLARA
95008,Cambrian Dr,2,3,Campbell,"1,525 sqft",31-Dec-69,$0 ,37.275658,-121.93664,CA,Single-Family Home,731250,,,Willow Glen,72,,For Sale,SANTA CLARA
95008,Vizcaya Cir,2,3,Campbell,"2,396 sqft",31-Dec-69,$0 ,37.27339,-121.937065,CA,Condo,705200,,,Willow Glen,71,,For Sale,SANTA CLARA
95008,Union Ave,2,3,Campbell,"2,072 sqft",31-Dec-69,$0 ,37.276867,-121.934784,CA,Single-Family Home,740000,,,Willow Glen,71,,For Sale,SANTA CLARA
95008,Gazelle Dr,2,3,Campbell,"1,204 sqft",31-Dec-69,$0 ,37.269016,-121.98496,CA,Single-Family Home,676049,,,West San Jose,40,,For Sale,SANTA CLARA
95008,Cherry Ln,1,2,Campbell,"1,340 sqft",31-Dec-69,$0 ,37.283543,-121.95293,CA,Single-Family Home,526950,,,,82,,For Sale,SANTA CLARA
95008,W Sunnyoaks Ave,2,2,Campbell,"1,635 sqft",31-Dec-69,$0 ,37.27221,-121.959465,CA,Single-Family Home,650836,,,,60,,For Sale,SANTA CLARA
95008,Connie Dr,2,3,Campbell,"1,919 sqft",31-Dec-69,$0 ,37.27288,-121.966965,CA,Single-Family Home,881479,,,,35,,For Sale,SANTA CLARA
95008,Corliss Way,2,3,Campbell,"1,040 sqft",31-Dec-69,$0 ,37.28171,-121.96004,CA,Single-Family Home,462000,,,,51,,For Sale,SANTA CLARA
95008,N 1st St #3,,,Campbell,,31-Dec-69,$0 ,37.291916,-121.944695,CA,Unspecified,18401,,,,85,,For Sale,SANTA CLARA
95008,Union A,,,Campbell,,31-Dec-69,$0 ,37.28122,-121.93573,CA,Unspecified,432000,,,Willow Glen,78,,For Sale,SANTA CLARA
95008,Apricot Ave,,,Campbell,,31-Dec-69,$0 ,37.283524,-121.93394,CA,Single-Family Home,400000,,,,72,,For Sale,SANTA CLARA
95008,Redding Rd #C5,1,2,Campbell,"1,279 sqft",31-Dec-69,$0 ,37.265137,-121.94692,CA,Condo,384000,,,,60,,For Sale,SANTA CLARA
95008,Hoffman Ln,2,3,Campbell,"1,521 sqft",31-Dec-69,$0 ,37.26667,-121.94559,CA,Single-Family Home,528083,,,,65,,For Sale,SANTA CLARA
95008,E Rincon Ave,1,5,Campbell,"2,422 sqft",31-Dec-69,$0 ,37.2849,-121.945816,CA,Single-Family Home,749999,,,,88,,For Sale,SANTA CLARA
95008,White Oaks Rd,2,3,Campbell,"1,155 sqft",31-Dec-69,$0 ,37.262306,-121.9489,CA,Single-Family Home,417000,,,,58,,For Sale,SANTA CLARA
95008,Union Ave,1,1,Campbell,704 sqft,31-Dec-69,$0 ,37.284122,-121.93555,CA,Condo,321789,,,,80,,For Sale,SANTA CLARA
95008,Sobrato Dr,2,3,Campbell,"1,040 sqft",31-Dec-69,$0 ,37.282227,-121.96091,CA,Single-Family Home,580457,,,,52,,For Sale,SANTA CLARA
95008,Union A,,,Campbell,,31-Dec-69,$0 ,37.2812,-121.93573,CA,Unspecified,408000,,,Willow Glen,78,,For Sale,SANTA CLARA
95008,Union B,,,Campbell,,31-Dec-69,$0 ,37.280502,-121.93579,CA,Unspecified,520000,,,,71,,For Sale,SANTA CLARA
95008,W Rincon Ave,,,Campbell,,31-Dec-69,$0 ,37.284863,-121.95748,CA,Unspecified,488454,,,,63,,For Sale,SANTA CLARA
95008,Dot Ave A,,,Campbell,,31-Dec-69,$0 ,37.28657,-121.95873,CA,Unspecified,337500,,,,55,,For Sale,SANTA CLARA
95008,E Mc Glincy Ln #110,,,Campbell,,31-Dec-69,$0 ,37.279114,-121.9373,CA,Unspecified,281671,,,Willow Glen,72,,For Sale,SANTA CLARA
95008,Union Ave,2,3,Campbell,"1,318 sqft",31-Dec-69,$0 ,37.278557,-121.93538,CA,Single-Family Home,686285,,,Willow Glen,86,,For Sale,SANTA CLARA
95008,Arroyo Seco Dr,2,4,Campbell,"2,000 sqft",31-Dec-69,$0 ,37.286,-121.928474,CA,Single-Family Home,959615,,,,77,,For Sale,SANTA CLARA
