zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94015,727 87th St,1,2,Daly City,910 sqft,20-Feb-14,"$575,000 ",37.693127,-122.48284,CA,Single-Family Home,575000,"$586,000 ",,Broadmoor,,,Sold,SAN MATEO
94014,68 Willits St,2,4,Daly City,"1,000 sqft",19-Feb-14,"$478,000 ",37.703747,-122.46889,CA,Single-Family Home,478000,"$686,000 ",,Original Daly City,,,Sold,SAN MATEO
94015,87 Nelson Ct,2,3,Daly City,"1,170 sqft",19-Feb-14,"$800,000 ",37.652794,-122.46681,CA,Single-Family Home,800000,"$799,000 ",,Serramonte,,,Sold,SAN MATEO
94014,208 Westlake Ave,1,2,Daly City,"1,080 sqft",18-Feb-14,"$550,000 ",37.69965,-122.466194,CA,Single-Family Home,550000,"$569,000 ",,Original Daly City,,,Sold,SAN MATEO
94014,1005 Brunswick St,4,4,Daly City,"4,634 sqft",14-Feb-14,"$1,050,000 ",37.70674,-122.45389,CA,Multi-Family,1050000,,,Crocker,,,Sold,SAN MATEO
94014,26 Macdonald Ave,1,3,Daly City,"1,060 sqft",14-Feb-14,"$520,000 ",37.70588,-122.407776,CA,Single-Family Home,520000,"$595,000 ",,Bayshore,,,Sold,SAN MATEO
94015,382 Imperial Way #2,1,1,Daly City,788 sqft,14-Feb-14,"$333,500 ",37.66529,-122.46371,CA,Condo,333500,"$367,000 ",,Serramonte,,,Sold,SAN MATEO
94014,630 Price St,2,4,Daly City,"1,770 sqft",7-Feb-14,"$668,000 ",37.69393,-122.45699,CA,Single-Family Home,668000,"$706,000 ",,Hillside,,,Sold,SAN MATEO
94014,116 Alta Vista Way,2,2,Daly City,"1,180 sqft",7-Feb-14,"$615,000 ",37.705162,-122.43501,CA,Single-Family Home,615000,"$698,000 ",,Southern Hills,,,Sold,SAN MATEO
94015,855 Southgate Ave,2,3,Daly City,"1,400 sqft",7-Feb-14,"$706,500 ",37.687466,-122.4876,CA,Single-Family Home,706500,"$779,000 ",,Westlake,,,Sold,SAN MATEO
94014,152 School St,4,4,Daly City,"5,250 sqft",7-Feb-14,"$960,000 ",37.6936,-122.46753,CA,Multi-Family,960000,,,Original Daly City,,,Sold,SAN MATEO
94014,14 Bismark St,2,4,Daly City,"1,940 sqft",7-Feb-14,"$645,000 ",37.695553,-122.46392,CA,Single-Family Home,645000,"$757,000 ",,Hillside,,,Sold,SAN MATEO
94015,377 Mandarin Dr #99,1,1,Daly City,717 sqft,5-Feb-14,"$307,000 ",37.665306,-122.46369,CA,Condo,307000,"$348,000 ",,Serramonte,,,Sold,SAN MATEO
94014,1604 Graystone Ln,2.5,2,Daly City,"1,177 sqft",3-Feb-14,"$479,000 ",37.703545,-122.4446,CA,Condo,479000,"$572,000 ",,Crocker,,,Sold,SAN MATEO
94014,535 Mountain Vw #3,2,2,Daly City,"1,158 sqft",31-Jan-14,"$475,000 ",37.69871,-122.457054,CA,Condo,475000,"$541,000 ",,Crocker,,,Sold,SAN MATEO
94015,23 Westline Dr,3.5,6,Daly City,"1,410 sqft",31-Jan-14,"$572,500 ",37.665703,-122.49092,CA,Single-Family Home,572500,"$780,000 ",,Westlake,,,Sold,SAN MATEO
94015,397 Imperial Way #164,2,2,Daly City,"1,065 sqft",31-Jan-14,"$328,500 ",37.665306,-122.46369,CA,Condo,328500,"$456,000 ",,Serramonte,,,Sold,SAN MATEO
94015,719 Stewart Ave,1,3,Daly City,"1,550 sqft",29-Jan-14,"$645,000 ",37.694542,-122.482506,CA,Single-Family Home,645000,"$728,000 ",,Broadmoor,,,Sold,SAN MATEO
