zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94002,400 Live Oak Way #402,2.5,2,Belmont,"1,379 sqft",31-Dec-69,$0 ,37.508755,-122.30161,CA,Townhome,790000,,,,57,,For Sale,SAN MATEO
94002,8 Arroyo View Cir,3,3,Belmont,"1,520 sqft",31-Dec-69,$0 ,37.510376,-122.30578,CA,Single-Family Home,1088800,,,,34,,For Sale,SAN MATEO
94002,15 Waterloo Ct,3,5,Belmont,"10,600 sqft",31-Dec-69,$0 ,37.503384,-122.31257,CA,Single-Family Home,1695000,,,,15,,For Sale,SAN MATEO
94002,Ralston Ave,,,Belmont,,31-Dec-69,$0 ,37.524393,-122.271297,CA,Lot/Land,199000,,,,,,For Sale,SAN MATEO
94002,1220 Chula Vista Dr,3,5,Belmont,"2,310 sqft",31-Dec-69,$0 ,37.512844,-122.28257,CA,Single-Family Home,1350000,,,,72,,For Sale,SAN MATEO
94002,800 Live Oak Way #802,3,3,Belmont,"2,096 sqft",31-Dec-69,$0 ,37.508755,-122.30161,CA,Condo,949949,,,,57,,For Sale,SAN MATEO
94002,Hillman Ave,,,Belmont,,31-Dec-69,$0 ,37.525547,-122.292205,CA,Lot/Land,295000,,,,,,For Sale,SAN MATEO
94002,Ralston Ranch Rd,,,Belmont,,31-Dec-69,$0 ,37.5115,-122.324,CA,Single-Family Home,799000,,,,26,,For Sale,SAN MATEO
94002,2115 Shirley Rd,2,3,Belmont,"1,900 sqft",31-Dec-69,$0 ,37.521637,-122.301674,CA,Single-Family Home,975000,,,,,,For Sale,SAN MATEO
94002,1120 Tahoe Dr,2,3,Belmont,"1,610 sqft",31-Dec-69,$0 ,37.51076,-122.31706,CA,Single-Family Home,1100000,,,,,,For Sale,SAN MATEO
94002,2730 Monserat Ave,3,3,Belmont,"2,010 sqft",31-Dec-69,$0 ,37.513702,-122.30491,CA,Single-Family Home,1138000,,,,35,,For Sale,SAN MATEO
94002,32 Elder Dr,3,4,Belmont,"2,500 sqft",31-Dec-69,$0 ,37.506863,-122.307785,CA,Single-Family Home,1798000,,,,28,,For Sale,SAN MATEO
94002,1144 Lassen Dr,2,4,Belmont,"2,480 sqft",31-Dec-69,$0 ,37.51037,-122.3166,CA,Single-Family Home,1400000,,,,31,,For Sale,SAN MATEO
94002,Belmont Ave,,,Belmont,,31-Dec-69,$0 ,37.527397,-122.286131,CA,Lot/Land,930000,,,,,,For Sale,SAN MATEO
94002,400 Davey Glen Rd #4425,2,2,Belmont,"1,056 sqft",31-Dec-69,$0 ,37.525707,-122.28667,CA,Apt/Condo/Twnhm,475000,,,,68,,For Sale,SAN MATEO
94002,3812 Naughton Ave,3,3,Belmont,"1,980 sqft",31-Dec-69,$0 ,37.514515,-122.31855,CA,Single-Family Home,1200000,,,,25,,For Sale,SAN MATEO
94002,2401 Buena Vista Ave,1,3,Belmont,"1,030 sqft",31-Dec-69,$0 ,37.518055,-122.302475,CA,Single-Family Home,838000,,,,40,,For Sale,SAN MATEO
94002,1130 Chula Vista Dr,2.5,4,Belmont,"2,700 sqft",31-Dec-69,$0 ,37.514053,-122.28252,CA,Single-Family Home,1549000,,,,72,,For Sale,SAN MATEO
94002,1250 Chula Vista Dr,3,3,Belmont,"2,550 sqft",31-Dec-69,$0 ,37.5121,-122.28371,CA,Single-Family Home,1450000,,,,55,,For Sale,SAN MATEO
94002,1320 Old County Rd,,,Belmont,"1,092 sqft",31-Dec-69,$0 ,37.518578,-122.2726,CA,Income/Investment,449000,,,,78,,For Sale,SAN MATEO
94002,1309 Sixth Ave,3,4,Belmont,"4,428 sqft",31-Dec-69,$0 ,37.517483,-122.274895,CA,Single-Family Home,1950000,,,,82,,For Sale,SAN MATEO
94002,3900 Marsten Ave,1,2,Belmont,"2,400 sqft",31-Dec-69,$0 ,37.51414,-122.32259,CA,Single-Family Home,2688000,,,,23,,For Sale,SAN MATEO
94002,3900 Marsten Ave,,,Belmont,,31-Dec-69,$0 ,37.51414,-122.32259,CA,Lot/Land,2688000,,,,23,,For Sale,SAN MATEO
94002,575 Ralston Ave,,,Belmont,"1,600 sqft",31-Dec-69,$0 ,37.521816,-122.27382,CA,Income/Investment,2250000,,,,83,,For Sale,SAN MATEO
94002,1332 El Camino Real,,,Belmont,"1,000 sqft",31-Dec-69,$0 ,37.51796,-122.27354,CA,Income/Investment,668800,,,,88,,For Sale,SAN MATEO
94002,San Juan Blvd,,,Belmont,,31-Dec-69,$0 ,37.513358,-122.306688,CA,Lot/Land,650000,,,,,,For Sale,SAN MATEO
94002,300 Davey Glen Rd,2,3,Belmont,,31-Dec-69,$0 ,37.525707,-122.28667,CA,Condo,695000,,,,68,,For Sale,SAN MATEO
94002,Naughton Ave,2,3,Belmont,"1,980 sqft",31-Dec-69,$0 ,37.51431,-122.318535,CA,Single-Family Home,525000,,,,25,,For Sale,SAN MATEO
94002,Valdez Ave,2,3,Belmont,"2,070 sqft",31-Dec-69,$0 ,37.508648,-122.289345,CA,Single-Family Home,544185,,,,69,,For Sale,SAN MATEO
94002,Newlands Ave,2,3,Belmont,"1,400 sqft",31-Dec-69,$0 ,37.51809,-122.30205,CA,Single-Family Home,782000,,,,45,,For Sale,SAN MATEO
94002,Read Ave,2,2,Belmont,"1,262 sqft",31-Dec-69,$0 ,37.5143,-122.30211,CA,Single-Family Home,675000,,,,54,,For Sale,SAN MATEO
94002,Sterling View Ave,1,3,Belmont,"1,010 sqft",31-Dec-69,$0 ,37.529503,-122.286354,CA,Single-Family Home,808345,,,,74,,For Sale,SAN MATEO
94002,Sterling View Ave,,,Belmont,,31-Dec-69,$0 ,37.529774,-122.28606,CA,Unspecified,932172,,,,71,,For Sale,SAN MATEO
