id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,3814 Naughton Ave,2.5,4.0,Belmont,"2,250 sqft","Feb 19, 2014","$1,425,000",37.51446,-122.31882,CA,Single-Family Home,1425000,"$1,418,000",94002,,,,Sold,SAN MATEO
2,1224 Lane St,1.5,3.0,Belmont,"1,450 sqft","Feb 18, 2014","$1,125,000",37.51269,-122.27275,CA,Single-Family Home,1125000,"$1,254,000",94002,,,,Sold,SAN MATEO
3,2413 Hastings Dr,2.0,3.0,Belmont,"1,690 sqft","Feb 14, 2014","$1,175,000",37.505436,-122.29637,CA,Single-Family Home,1175000,"$1,250,000",94002,,,,Sold,SAN MATEO
4,1521 Ralston Ave,3.0,3.0,Belmont,"3,920 sqft","Feb 11, 2014","$2,335,500",37.514034,-122.28606,CA,Single-Family Home,2335500,"$2,756,000",94002,,,,Sold,SAN MATEO
5,2606 Prindle Rd,3.0,4.0,Belmont,"2,770 sqft","Feb 10, 2014","$2,025,000",37.512802,-122.300514,CA,Single-Family Home,2025000,"$1,776,000",94002,,,,Sold,SAN MATEO
6,508 Dale View Ave,1.0,3.0,Belmont,"1,010 sqft","Feb 10, 2014","$710,000",37.529408,-122.28578,CA,Single-Family Home,710000,"$873,000",94002,,,,Sold,SAN MATEO
7,400 Davey Glen Rd #4612,3.0,3.0,Belmont,"1,918 sqft","Feb 7, 2014","$572,500",37.525707,-122.28667,CA,Condo,572500,"$911,000",94002,,,,Sold,SAN MATEO
8,2720 Yosemite Dr,2.0,3.0,Belmont,"1,390 sqft","Feb 6, 2014","$1,020,000",37.511757,-122.3153,CA,Single-Family Home,1020000,"$1,124,000",94002,,,,Sold,SAN MATEO
9,2111 Pullman Ave,2.0,3.0,Belmont,"1,440 sqft","Feb 4, 2014","$1,200,000",37.514915,-122.298035,CA,Single-Family Home,1200000,"$1,180,000",94002,,,,Sold,SAN MATEO
10,2804 Highgate Ave,2.0,3.0,Belmont,"1,940 sqft","Feb 3, 2014","$637,500",37.522686,-122.309456,CA,Single-Family Home,637500,"$1,335,000",94002,,,,Sold,SAN MATEO
11,400 Davey Glen Rd #4621,1.0,1.0,Belmont,725 sqft,"Jan 28, 2014","$340,000",37.525707,-122.28667,CA,Condo,340000,"$445,000",94002,,,,Sold,SAN MATEO
12,2115 Sharon Ave,1.5,3.0,Belmont,"1,400 sqft","Jan 24, 2014","$980,000",37.520092,-122.29833,CA,Single-Family Home,980000,"$1,128,000",94002,,,,Sold,SAN MATEO
13,2108 Coronet Blvd,2.0,3.0,Belmont,"1,550 sqft","Jan 22, 2014","$1,300,000",37.520905,-122.29945,CA,Single-Family Home,1300000,"$1,236,000",94002,,,,Sold,SAN MATEO
14,2433 Hastings Dr,2.5,3.0,Belmont,"2,250 sqft","Jan 17, 2014","$1,360,000",37.504528,-122.29595,CA,Single-Family Home,1360000,"$1,355,000",94002,,,,Sold,SAN MATEO
15,2602 Coronet Blvd,2.0,3.0,Belmont,"1,270 sqft","Jan 17, 2014","$1,058,000",37.511612,-122.298744,CA,Single-Family Home,1058000,"$1,103,000",94002,,,,Sold,SAN MATEO
16,2029 Arbor Ave,1.0,2.0,Belmont,830 sqft,"Jan 17, 2014","$812,500",37.51855,-122.29565,CA,Single-Family Home,812500,"$894,000",94002,,,,Sold,SAN MATEO
17,1261 Alden Ct,1.0,3.0,Belmont,"1,170 sqft","Jan 16, 2014","$1,250,000",37.516666,-122.29284,CA,Single-Family Home,1250000,"$1,237,000",94002,,,,Sold,SAN MATEO
18,200 Live Oak Way #206,2.5,2.0,Belmont,"1,379 sqft","Jan 16, 2014","$783,000",37.508755,-122.30161,CA,Condo,783000,"$859,000",94002,,,,Sold,SAN MATEO
19,116 Clipper Dr,2.5,3.0,Belmont,"1,480 sqft","Jan 15, 2014","$1,050,000",37.53241,-122.26894,CA,Single-Family Home,1050000,"$1,105,000",94002,,,,Sold,SAN MATEO
20,400 Davey Glen Rd #4503,1.0,1.0,Belmont,725 sqft,"Jan 10, 2014","$352,000",37.525707,-122.28667,CA,Condo,352000,"$460,000",94002,,,,Sold,SAN MATEO
21,2827 Alhambra Dr,2.5,3.0,Belmont,"2,320 sqft","Jan 10, 2014","$1,010,000",37.518005,-122.313545,CA,Single-Family Home,1010000,"$1,298,000",94002,,,,Sold,SAN MATEO
22,1136 Lassen Dr,2.0,4.0,Belmont,"1,760 sqft","Jan 6, 2014","$1,323,000",37.50981,-122.31651,CA,Single-Family Home,1323000,"$1,436,000",94002,,,,Sold,SAN MATEO
23,49 Edgewood Pl,2.5,3.0,Belmont,"1,890 sqft","Jan 3, 2014","$1,080,000",37.525127,-122.284225,CA,Single-Family Home,1080000,"$1,230,000",94002,,,,Sold,SAN MATEO
24,3031 San Juan Blvd,2.5,3.0,Belmont,"2,130 sqft","Dec 31, 2013","$1,175,000",37.51824,-122.314575,CA,Single-Family Home,1175000,"$1,549,000",94002,,,,Sold,SAN MATEO
25,1311 Talbryn Dr,2.0,3.0,Belmont,"1,580 sqft","Dec 27, 2013","$1,265,000",37.513165,-122.27784,CA,Single-Family Home,1265000,"$1,442,000",94002,,,,Sold,SAN MATEO
26,4120 Marsten Ave,2.0,3.0,Belmont,"2,760 sqft","Dec 27, 2013","$1,349,000",37.517185,-122.32321,CA,Single-Family Home,1349000,"$1,466,000",94002,,,,Sold,SAN MATEO
27,2506 Cipriani Blvd,2.0,3.0,Belmont,"1,200 sqft","Dec 27, 2013","$950,000",37.515137,-122.30367,CA,Single-Family Home,950000,"$1,079,000",94002,,,,Sold,SAN MATEO
28,300 Davey Glen Rd #3829,2.0,3.0,Belmont,"1,404 sqft","Dec 27, 2013","$595,000",37.525707,-122.28667,CA,Condo,595000,"$729,000",94002,,,,Sold,SAN MATEO
29,512 Hiller St,1.0,3.0,Belmont,"1,010 sqft","Dec 27, 2013","$830,000",37.527695,-122.277435,CA,Single-Family Home,830000,"$849,000",94002,,,,Sold,SAN MATEO
30,3715 Naughton Ave,2.0,3.0,Belmont,"1,350 sqft","Dec 23, 2013","$1,175,000",37.514214,-122.3179,CA,Single-Family Home,1175000,"$1,075,000",94002,,,,Sold,SAN MATEO
31,26 Arroyo View Cir,2.5,3.0,Belmont,"1,270 sqft","Dec 20, 2013","$963,000",37.512146,-122.306175,CA,Single-Family Home,963000,"$1,083,000",94002,,,,Sold,SAN MATEO
32,2207 Ewell Rd,3.0,4.0,Belmont,"2,300 sqft","Dec 20, 2013","$1,368,000",37.512882,-122.29843,CA,Single-Family Home,1368000,"$1,606,000",94002,,,,Sold,SAN MATEO
33,520 Roxbury Way,2.5,5.0,Belmont,"2,340 sqft","Dec 20, 2013","$1,075,000",37.526024,-122.2784,CA,Single-Family Home,1075000,"$1,148,000",94002,,,,Sold,SAN MATEO
34,1537 Escondido Way,2.5,4.0,Belmont,"1,910 sqft","Dec 13, 2013","$1,438,500",37.51291,-122.284805,CA,Single-Family Home,1438500,"$1,610,000",94002,,,,Sold,SAN MATEO
35,1449 Sixth Ave,3.0,4.0,Belmont,"1,480 sqft","Dec 12, 2013","$1,190,000",37.515797,-122.27283,CA,Single-Family Home,1190000,"$1,269,000",94002,,,,Sold,SAN MATEO
36,1307 Notre Dame Ave,1.0,3.0,Belmont,"1,250 sqft","Dec 12, 2013","$1,086,000",37.51782,-122.28971,CA,Single-Family Home,1086000,"$1,179,000",94002,,,,Sold,SAN MATEO
37,2624 Ponce Ave,1.5,3.0,Belmont,"1,670 sqft","Dec 9, 2013","$975,000",37.51349,-122.3012,CA,Single-Family Home,975000,"$1,152,000",94002,,,,Sold,SAN MATEO
38,301 Alameda De Las Pulgas,1.0,2.0,Belmont,"1,040 sqft","Dec 6, 2013","$850,000",37.52245,-122.30032,CA,Single-Family Home,850000,"$907,000",94002,,,,Sold,SAN MATEO
39,2642 Ponce Ave,2.0,2.0,Belmont,"1,490 sqft","Dec 6, 2013","$945,000",37.51449,-122.30076,CA,Single-Family Home,945000,"$1,105,000",94002,,,,Sold,SAN MATEO
40,300 Davey Glen Rd #3827,2.0,2.0,Belmont,"1,056 sqft","Dec 6, 2013","$511,000",37.525707,-122.28667,CA,Condo,511000,"$672,000",94002,,,,Sold,SAN MATEO
41,3403 Plateau Dr,2.0,3.0,Belmont,"1,220 sqft","Dec 5, 2013","$1,000,000",37.51563,-122.31671,CA,Single-Family Home,1000000,"$1,046,000",94002,,,,Sold,SAN MATEO
42,2022 Monroe Ave,2.0,3.0,Belmont,"1,100 sqft","Dec 5, 2013","$835,000",37.52401,-122.29859,CA,Single-Family Home,835000,"$1,042,000",94002,,,,Sold,SAN MATEO
43,2872 Wakefield Dr,2.5,4.0,Belmont,"2,220 sqft","Dec 4, 2013","$1,550,000",37.50659,-122.30893,CA,Single-Family Home,1550000,"$1,606,000",94002,,,,Sold,SAN MATEO
44,2309 Cipriani Blvd,,,Belmont,,"Dec 3, 2013","$267,000",37.51796,-122.3037,CA,Unknown,267000,,94002,,,,Sold,SAN MATEO
45,1637 Notre Dame Ave,2.0,3.0,Belmont,"1,470 sqft","Dec 3, 2013","$1,087,000",37.522186,-122.290504,CA,Single-Family Home,1087000,"$1,248,000",94002,,,,Sold,SAN MATEO
46,2411 Lincoln Ave,3.0,3.0,Belmont,"1,660 sqft","Nov 27, 2013","$1,635,000",37.517452,-122.305336,CA,Single-Family Home,1635000,"$1,493,000",94002,,,,Sold,SAN MATEO
47,2399 Lyall Way,2.5,3.0,Belmont,"1,660 sqft","Nov 27, 2013","$895,000",37.510323,-122.30093,CA,Condo,895000,"$895,000",94002,,,,Sold,SAN MATEO
48,2723 Barclay Way,2.0,5.0,Belmont,"1,820 sqft","Nov 27, 2013","$1,200,000",37.51647,-122.310455,CA,Single-Family Home,1200000,"$1,300,000",94002,,,,Sold,SAN MATEO
49,505 Seagate Way,2.0,3.0,Belmont,"1,650 sqft","Nov 26, 2013","$1,010,000",37.530148,-122.275246,CA,Single-Family Home,1010000,"$1,103,000",94002,,,,Sold,SAN MATEO
