id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,864 Marilyn Dr,2.0,3.0,Campbell,"1,250 sqft","Mar 12, 2014","$740,000",37.274197,-121.96233,CA,Single-Family Home,740000,"$826,000",95008,,,,Sold,SANTA CLARA
2,966 Norin Ct,1.0,3.0,Campbell,"1,632 sqft","Mar 12, 2014","$1,000,000",37.273045,-121.942116,CA,Single-Family Home,1000000,"$940,000",95008,Willow Glen,,,Sold,SANTA CLARA
3,569 W Rincon Ave,2.5,3.0,Campbell,"1,340 sqft","Mar 11, 2014","$640,000",37.285038,-121.95977,CA,Condo,640000,"$661,000",95008,,,,Sold,SANTA CLARA
4,136 S 1st St,2.5,2.0,Campbell,"1,476 sqft","Mar 11, 2014","$740,000",37.285213,-121.94442,CA,Condo,740000,"$734,000",95008,,,,Sold,SANTA CLARA
5,5013 Pine Tree Ter,1.0,2.0,Campbell,920 sqft,"Mar 11, 2014","$500,000",37.270382,-121.98969,CA,Condo,500000,"$528,000",95008,West San Jose,,,Sold,SANTA CLARA
6,1194 Emerson Ave,2.0,4.0,Campbell,"1,285 sqft","Mar 7, 2014","$782,500",37.258156,-121.95165,CA,Single-Family Home,782500,"$803,000",95008,,,,Sold,SANTA CLARA
7,332 Apple Blossom Ln,2.5,4.0,Campbell,"2,069 sqft","Mar 7, 2014","$951,000",37.29343,-121.95935,CA,Single-Family Home,951000,"$1,041,000",95008,,,,Sold,SANTA CLARA
8,365 N 3rd St #3,1.0,2.0,Campbell,903 sqft,"Mar 7, 2014","$402,500",37.29265,-121.94736,CA,Condo,402500,"$423,000",95008,,,,Sold,SANTA CLARA
9,664 W Sunnyoaks Ave,1.5,2.0,Campbell,"1,152 sqft","Mar 6, 2014","$610,000",37.2709,-121.96059,CA,Condo,610000,"$595,000",95008,,,,Sold,SANTA CLARA
10,721 Pecan Way,2.5,4.0,Campbell,"2,346 sqft","Mar 5, 2014","$1,260,000",37.276634,-121.969,CA,Single-Family Home,1260000,"$1,250,000",95008,,,,Sold,SANTA CLARA
11,300 Union Ave #7,2.0,2.0,Campbell,"1,127 sqft","Mar 5, 2014","$489,000",37.28247,-121.93522,CA,Condo,489000,"$573,000",95008,Willow Glen,,,Sold,SANTA CLARA
12,364 W Sunnyoaks Ave,1.5,2.0,Campbell,"1,178 sqft","Mar 5, 2014","$496,000",37.271812,-121.956154,CA,Condo,496000,"$563,000",95008,,,,Sold,SANTA CLARA
13,404 W Sunnyoaks Ave,2.5,3.0,Campbell,"1,759 sqft","Mar 4, 2014","$780,000",37.271984,-121.95704,CA,Single-Family Home,780000,"$1,042,000",95008,,,,Sold,SANTA CLARA
14,1225 E Campbell Ave,2.0,3.0,Campbell,"1,296 sqft","Mar 3, 2014","$858,000",37.287174,-121.927734,CA,Single-Family Home,858000,"$877,000",95008,,,,Sold,SANTA CLARA
15,3929 Via Cristobal,2.0,4.0,Campbell,999 sqft,"Feb 28, 2014","$817,500",37.285774,-121.96988,CA,Single-Family Home,817500,"$728,000",95008,West San Jose,,,Sold,SANTA CLARA
16,75 Union Ave #7,2.5,3.0,Campbell,"1,481 sqft","Feb 28, 2014","$490,000",37.285973,-121.93565,CA,Condo,490000,"$654,000",95008,,,,Sold,SANTA CLARA
17,675 W Sunnyoaks Ave,,,Campbell,"3,400 sqft","Feb 27, 2014","$1,120,000",37.27244,-121.96102,CA,Multi-Family,1120000,,95008,,,,Sold,SANTA CLARA
18,4191 W Rincon Ave,2.0,4.0,Campbell,"1,763 sqft","Feb 26, 2014","$885,500",37.282063,-121.97633,CA,Single-Family Home,885500,"$990,000",95008,West San Jose,,,Sold,SANTA CLARA
19,76 Redding Rd,2.5,3.0,Campbell,"1,266 sqft","Feb 25, 2014","$585,000",37.264683,-121.94757,CA,Condo,585000,"$632,000",95008,,,,Sold,SANTA CLARA
20,133 Redding Rd #9,2.5,2.0,Campbell,"1,344 sqft","Feb 25, 2014","$605,000",37.265797,-121.946365,CA,Condo,605000,"$639,000",95008,,,,Sold,SANTA CLARA
21,1735 White Oaks Rd,,,Campbell,"2,855 sqft","Feb 21, 2014","$1,298,000",37.26281,-121.94924,CA,Single-Family Home,1298000,"$1,243,000",95008,,,,Sold,SANTA CLARA
22,430 Nottingham Way,1.5,3.0,Campbell,"1,790 sqft","Feb 21, 2014","$920,000",37.293217,-121.9241,CA,Single-Family Home,920000,"$1,003,000",95008,,,,Sold,SANTA CLARA
23,876 Torero Plz,2.0,4.0,Campbell,"1,592 sqft","Feb 21, 2014","$916,000",37.26981,-121.965,CA,Single-Family Home,916000,"$1,005,000",95008,,,,Sold,SANTA CLARA
24,2540 Oak Park Ln,2.0,3.0,Campbell,"1,891 sqft","Feb 19, 2014","$770,000",37.275944,-121.94026,CA,Single-Family Home,770000,"$980,000",95008,Willow Glen,,,Sold,SANTA CLARA
25,300 Union Ave #3,2.0,2.0,Campbell,"1,127 sqft","Feb 19, 2014","$514,000",37.28247,-121.93522,CA,Condo,514000,"$560,000",95008,Willow Glen,,,Sold,SANTA CLARA
26,1096 Springfield Dr,1.5,3.0,Campbell,"1,040 sqft","Feb 14, 2014","$800,000",37.291443,-121.96906,CA,Single-Family Home,800000,"$798,000",95008,,,,Sold,SANTA CLARA
27,1685 Ebbetts Dr,2.0,3.0,Campbell,"1,398 sqft","Feb 14, 2014","$978,500",37.273697,-121.97996,CA,Single-Family Home,978500,"$875,000",95008,,,,Sold,SANTA CLARA
28,1217 Capri Dr,2.5,3.0,Campbell,"1,383 sqft","Feb 13, 2014","$594,000",37.26936,-121.96181,CA,Condo,594000,"$663,000",95008,,,,Sold,SANTA CLARA
29,1583 Mccoy Ave,2.0,4.0,Campbell,"2,137 sqft","Feb 13, 2014","$168,500",37.276768,-121.97831,CA,Single-Family Home,168500,"$938,000",95008,,,,Sold,SANTA CLARA
30,2220 Wren Way,2.0,3.0,Campbell,"1,244 sqft","Feb 13, 2014","$144,000",37.281445,-121.96493,CA,Single-Family Home,144000,"$777,000",95008,,,,Sold,SANTA CLARA
31,33 Tapestry Ct,2.5,2.0,Campbell,"1,447 sqft","Feb 11, 2014","$790,500",37.28895,-121.941444,CA,Single-Family Home,790500,"$881,000",95008,,,,Sold,SANTA CLARA
32,1390 W Latimer Ave,2.5,3.0,Campbell,"1,563 sqft","Feb 10, 2014","$647,000",37.290215,-121.97441,CA,Single-Family Home,647000,"$811,000",95008,,,,Sold,SANTA CLARA
33,90 N 3rd St,1.0,2.0,Campbell,"1,104 sqft","Feb 7, 2014","$801,000",37.28827,-121.94693,CA,Single-Family Home,801000,"$839,000",95008,,,,Sold,SANTA CLARA
34,229 Shelley Ave,2.5,3.0,Campbell,"2,002 sqft","Feb 7, 2014","$780,000",37.263863,-121.94464,CA,Condo,780000,"$867,000",95008,Cambrian Park,,,Sold,SANTA CLARA
35,701 Cypress Ln,2.0,2.0,Campbell,"1,049 sqft","Feb 7, 2014","$565,000",37.291138,-121.93758,CA,Condo,565000,"$562,000",95008,,,,Sold,SANTA CLARA
36,1709 Silacci Dr,2.0,3.0,Campbell,"1,204 sqft","Feb 4, 2014","$690,000",37.274406,-121.980194,CA,Single-Family Home,690000,"$845,000",95008,,,,Sold,SANTA CLARA
37,333 W Latimer Ave,2.5,3.0,Campbell,"1,953 sqft","Feb 4, 2014","$800,000",37.29081,-121.95581,CA,Single-Family Home,800000,"$1,029,000",95008,,,,Sold,SANTA CLARA
38,359 W Rincon Ave #D,2.5,3.0,Campbell,"1,665 sqft","Feb 4, 2014","$619,000",37.285233,-121.95623,CA,Condo,619000,"$713,000",95008,,,,Sold,SANTA CLARA
39,125 Calado Ave,2.0,3.0,Campbell,"1,372 sqft","Feb 3, 2014","$891,500",37.288216,-121.97809,CA,Single-Family Home,891500,"$904,000",95008,,,,Sold,SANTA CLARA
40,270 Cherry Ln,1.0,3.0,Campbell,"1,355 sqft","Feb 3, 2014","$308,000",37.283375,-121.95463,CA,Single-Family Home,308000,"$921,000",95008,,,,Sold,SANTA CLARA
41,236 N Central Ave,3.0,3.0,Campbell,"3,776 sqft","Jan 31, 2014","$1,765,000",37.290573,-121.94325,CA,Single-Family Home,1765000,"$1,771,000",95008,,,,Sold,SANTA CLARA
42,300 Union Ave #13,1.0,1.0,Campbell,621 sqft,"Jan 31, 2014","$325,000",37.28247,-121.93522,CA,Condo,325000,"$362,000",95008,Willow Glen,,,Sold,SANTA CLARA
43,1206 W Hacienda Ave,2.5,4.0,Campbell,"1,850 sqft","Jan 30, 2014","$1,080,000",37.268856,-121.9709,CA,Single-Family Home,1080000,"$1,104,000",95008,,,,Sold,SANTA CLARA
44,208 Michael Dr,2.5,2.0,Campbell,"1,332 sqft","Jan 30, 2014","$495,000",37.284046,-121.93538,CA,Condo,495000,"$636,000",95008,,,,Sold,SANTA CLARA
45,1139 E Campbell Ave,1.5,3.0,Campbell,"1,692 sqft","Jan 29, 2014","$1,030,000",37.28717,-121.92925,CA,Single-Family Home,1030000,"$1,067,000",95008,,,,Sold,SANTA CLARA
46,325 Redding Rd,1.0,1.0,Campbell,956 sqft,"Jan 28, 2014","$670,000",37.265476,-121.94337,CA,Single-Family Home,670000,"$698,000",95008,Cambrian Park,,,Sold,SANTA CLARA
47,2243 Middletown Dr,1.5,4.0,Campbell,"1,166 sqft","Jan 24, 2014","$880,000",37.280685,-121.96975,CA,Single-Family Home,880000,"$861,000",95008,West San Jose,,,Sold,SANTA CLARA
