zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94015,236 Westridge Ave,6,3,Daly City,"1,230 sqft",31-Dec-69,$0 ,37.689884,-122.49398,CA,Single-Family Home,548000,,,Westlake,40,,For Sale,SAN MATEO
94015,236 Westridge Ave,1,3,Daly City,"1,230 sqft",31-Dec-69,$0 ,37.689884,-122.49398,CA,Single-Family Home,548000,,,Westlake,40,,For Sale,SAN MATEO
94015,52 Monterey Dr,2,3,Daly City,"1,420 sqft",31-Dec-69,$0 ,37.679905,-122.486275,CA,Single-Family Home,599950,,,St. Francis,45,,For Sale,SAN MATEO
94014,323 Green Ridge Dr #2,2,3,Daly City,,31-Dec-69,$0 ,37.70097,-122.45847,CA,Townhome,225000,,,Crocker,69,,For Sale,SAN MATEO
94015,678 Higate Dr,2,3,Daly City,"1,330 sqft",31-Dec-69,$0 ,37.67479,-122.48865,CA,Single-Family Home,588000,,,St. Francis,42,,For Sale,SAN MATEO
94014,398 Templeton Ave,,,Daly City,,31-Dec-69,$0 ,37.705887,-122.45285,CA,Single-Family Home,199900,,,Crocker,68,,For Sale,SAN MATEO
94014,115 Haven Dr,2,3,Daly City,"1,860 sqft",31-Dec-69,$0 ,37.688328,-122.45095,CA,Mobile/Manufactured,279000,,,Hillside,26,,For Sale,SAN MATEO
94015,1072 Gilman Dr,1,2,Daly City,820 sqft,31-Dec-69,$0 ,37.68667,-122.48036,CA,Single-Family Home,569999,,,Broadmoor,54,,For Sale,SAN MATEO
94015,23 Carleton Ave,2,4,Daly City,"1,280 sqft",31-Dec-69,$0 ,37.682148,-122.48592,CA,Single-Family Home,598000,,,St. Francis,40,,For Sale,SAN MATEO
94015,1228 Southgate Ave,2,4,Daly City,"1,950 sqft",31-Dec-69,$0 ,37.677727,-122.487206,CA,Single-Family Home,628000,,,St. Francis,45,,For Sale,SAN MATEO
94015,848 87th St,1.5,3,Daly City,"1,140 sqft",31-Dec-69,$0 ,37.694103,-122.48716,CA,Single-Family Home,659000,,,Broadmoor,48,,For Sale,SAN MATEO
94015,1551 Southgate Ave #125,1,1,Daly City,813 sqft,31-Dec-69,$0 ,37.67671,-122.47474,CA,Apt/Condo/Twnhm,299988,,,St. Francis,72,,For Sale,SAN MATEO
94015,613 Hickey Blvd,3,4,Daly City,"1,730 sqft",31-Dec-69,$0 ,37.66412,-122.475365,CA,Single-Family Home,739000,,,Serramonte,83,,For Sale,SAN MATEO
94014,213 Knowles Ave,2,3,Daly City,"1,480 sqft",31-Dec-69,$0 ,37.70476,-122.465614,CA,Single-Family Home,399000,,,Original Daly City,74,,For Sale,SAN MATEO
94014,4 Cannery Sq,2,3,Daly City,"1,680 sqft",31-Dec-69,$0 ,37.688656,-122.45402,CA,Mobile/Manufactured,269000,,,Hillside,52,,For Sale,SAN MATEO
94015,19 Camelot Ct,2,3,Daly City,"1,240 sqft",31-Dec-69,$0 ,37.65056,-122.45899,CA,Single-Family Home,499000,,,,63,,For Sale,SAN MATEO
94014,538 Evergreen Ave,1,2,Daly City,910 sqft,31-Dec-69,$0 ,37.703773,-122.45505,CA,Single-Family Home,619000,,,Crocker,71,,For Sale,SAN MATEO
94014,730 Carter St/steve Courtner Way,,,Daly City,,31-Dec-69,$0 ,37.70585,-122.42533,CA,Lot/Land,439000,,,Southern Hills,45,,For Sale,SAN MATEO
94015,811 Thornhill Dr,1,3,Daly City,"1,120 sqft",31-Dec-69,$0 ,37.69108,-122.4859,CA,Single-Family Home,649000,,,Broadmoor,46,,For Sale,SAN MATEO
94015,353 Philip Dr #303,2,2,Daly City,"1,237 sqft",31-Dec-69,$0 ,37.669155,-122.46448,CA,Apt/Condo/Twnhm,437750,,,Serramonte,63,,For Sale,SAN MATEO
94014,6150 Mission St,,,Daly City,"10,281 sqft",31-Dec-69,$0 ,37.707047,-122.45854,CA,Income/Investment,2750000,,,Original Daly City,77,,For Sale,SAN MATEO
94014,308 E Market St,,,Daly City,,31-Dec-69,$0 ,37.68976,-122.461334,CA,Lot/Land,1600000,,,Hillside,74,,For Sale,SAN MATEO
94015,73 Rockford Ave,2,3,Daly City,"1,220 sqft",31-Dec-69,$0 ,37.664978,-122.49185,CA,Single-Family Home,598888,,,Westlake,31,,For Sale,SAN MATEO
94014,28 W Cavour St,1,3,Daly City,"1,460 sqft",31-Dec-69,$0 ,37.69506,-122.466835,CA,Single-Family Home,630000,,,Original Daly City,78,,For Sale,SAN MATEO
94015,565 Skyline Dr,2,3,Daly City,"1,150 sqft",31-Dec-69,$0 ,37.68101,-122.49024,CA,Single-Family Home,450000,,,Westlake,38,,For Sale,SAN MATEO
94015,128 Penhurst Ct,3,3,Daly City,,31-Dec-69,$0 ,37.660236,-122.47451,CA,Single-Family Home,499000,,,Serramonte,60,,For Sale,SAN MATEO
94015,38 Wakefield Ave,2,3,Daly City,,31-Dec-69,$0 ,37.65581,-122.47102,CA,Single-Family Home,499000,,,Serramonte,62,,For Sale,SAN MATEO
