id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,727 87th St,1.0,2.0,Daly City,910 sqft,"Feb 20, 2014","$575,000",37.693127,-122.48284,CA,Single-Family Home,575000,"$586,000",94015,Broadmoor,,,Sold,SAN MATEO
2,68 Willits St,2.0,4.0,Daly City,"1,000 sqft","Feb 19, 2014","$478,000",37.703747,-122.46889,CA,Single-Family Home,478000,"$686,000",94014,Original Daly City,,,Sold,SAN MATEO
3,87 Nelson Ct,2.0,3.0,Daly City,"1,170 sqft","Feb 19, 2014","$800,000",37.652794,-122.46681,CA,Single-Family Home,800000,"$799,000",94015,Serramonte,,,Sold,SAN MATEO
4,208 Westlake Ave,1.0,2.0,Daly City,"1,080 sqft","Feb 18, 2014","$550,000",37.69965,-122.466194,CA,Single-Family Home,550000,"$569,000",94014,Original Daly City,,,Sold,SAN MATEO
5,1005 Brunswick St,4.0,4.0,Daly City,"4,634 sqft","Feb 14, 2014","$1,050,000",37.70674,-122.45389,CA,Multi-Family,1050000,,94014,Crocker,,,Sold,SAN MATEO
6,26 Macdonald Ave,1.0,3.0,Daly City,"1,060 sqft","Feb 14, 2014","$520,000",37.70588,-122.407776,CA,Single-Family Home,520000,"$595,000",94014,Bayshore,,,Sold,SAN MATEO
7,382 Imperial Way #2,1.0,1.0,Daly City,788 sqft,"Feb 14, 2014","$333,500",37.66529,-122.46371,CA,Condo,333500,"$367,000",94015,Serramonte,,,Sold,SAN MATEO
8,630 Price St,2.0,4.0,Daly City,"1,770 sqft","Feb 7, 2014","$668,000",37.69393,-122.45699,CA,Single-Family Home,668000,"$706,000",94014,Hillside,,,Sold,SAN MATEO
9,116 Alta Vista Way,2.0,2.0,Daly City,"1,180 sqft","Feb 7, 2014","$615,000",37.705162,-122.43501,CA,Single-Family Home,615000,"$698,000",94014,Southern Hills,,,Sold,SAN MATEO
10,855 Southgate Ave,2.0,3.0,Daly City,"1,400 sqft","Feb 7, 2014","$706,500",37.687466,-122.4876,CA,Single-Family Home,706500,"$779,000",94015,Westlake,,,Sold,SAN MATEO
11,152 School St,4.0,4.0,Daly City,"5,250 sqft","Feb 7, 2014","$960,000",37.6936,-122.46753,CA,Multi-Family,960000,,94014,Original Daly City,,,Sold,SAN MATEO
12,14 Bismark St,2.0,4.0,Daly City,"1,940 sqft","Feb 7, 2014","$645,000",37.695553,-122.46392,CA,Single-Family Home,645000,"$757,000",94014,Hillside,,,Sold,SAN MATEO
