id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,2653 Fordham St,1.0,3.0,East Palo Alto,"1,010 sqft","Feb 7, 2014","$370,000",37.47738,-122.137535,CA,Single-Family Home,370000,"$442,000",94303,,,,Sold,SAN MATEO
2,1220 Westminster Ave,2.0,4.0,East Palo Alto,"1,690 sqft","Feb 5, 2014","$521,500",37.47277,-122.15228,CA,Single-Family Home,521500,"$619,000",94303,,,,Sold,SAN MATEO
3,172 Jasmine Way,2.0,4.0,East Palo Alto,"2,300 sqft","Jan 31, 2014","$630,000",37.45652,-122.12352,CA,Single-Family Home,630000,"$641,000",94303,,,,Sold,SAN MATEO
4,2146 Oakwood Dr,1.0,2.0,East Palo Alto,920 sqft,"Jan 30, 2014","$415,000",37.465755,-122.14732,CA,Single-Family Home,415000,"$416,000",94303,,,,Sold,SAN MATEO
5,2768 Gonzaga St,1.0,3.0,East Palo Alto,"1,010 sqft","Jan 30, 2014","$410,000",37.47923,-122.135056,CA,Single-Family Home,410000,"$446,000",94303,,,,Sold,SAN MATEO
6,2578 Gonzaga St,1.0,3.0,East Palo Alto,"1,010 sqft","Jan 30, 2014","$327,000",37.475494,-122.136024,CA,Single-Family Home,327000,"$441,000",94303,,,,Sold,SAN MATEO
7,2164 Poplar Ave,1.0,1.0,East Palo Alto,480 sqft,"Jan 24, 2014","$288,000",37.466595,-122.14972,CA,Single-Family Home,288000,"$422,000",94303,,,,Sold,SAN MATEO
8,2544 Hazelwood Way,2.0,3.0,East Palo Alto,"1,100 sqft","Jan 24, 2014","$475,000",37.473907,-122.14256,CA,Single-Family Home,475000,"$478,000",94303,,,,Sold,SAN MATEO
9,2201 Addison Ave,3.0,5.0,East Palo Alto,"2,490 sqft","Jan 23, 2014","$490,000",37.467472,-122.14829,CA,Single-Family Home,490000,"$743,000",94303,,,,Sold,SAN MATEO
10,223 Wisteria Dr,1.0,3.0,East Palo Alto,"1,110 sqft","Jan 21, 2014","$283,000",37.45794,-122.12536,CA,Single-Family Home,283000,"$412,000",94303,,,,Sold,SAN MATEO
11,2341 Oakwood Dr,1.0,2.0,East Palo Alto,920 sqft,"Jan 17, 2014","$425,000",37.46925,-122.147095,CA,Single-Family Home,425000,"$402,000",94303,,,,Sold,SAN MATEO
12,1982 W Bayshore Rd #138,2.0,2.0,East Palo Alto,"1,157 sqft","Jan 17, 2014","$520,000",37.452503,-122.12884,CA,Condo,520000,"$555,000",94303,Duveneck-St. Francis,,,Sold,SAN MATEO
13,251 Azalia Dr,1.0,3.0,East Palo Alto,"1,110 sqft","Dec 24, 2013","$438,500",37.459644,-122.12939,CA,Single-Family Home,438500,"$471,000",94303,,,,Sold,SAN MATEO
14,2543 Emmett Way,2.0,3.0,East Palo Alto,"1,100 sqft","Dec 19, 2013","$460,000",37.47435,-122.14037,CA,Single-Family Home,460000,"$536,000",94303,,,,Sold,SAN MATEO
15,2180 Pulgas Ave,1.0,2.0,East Palo Alto,"1,430 sqft","Dec 19, 2013","$474,000",37.464867,-122.1299,CA,Single-Family Home,474000,"$492,000",94303,,,,Sold,SAN MATEO
16,1352 Camellia Dr,1.0,2.0,East Palo Alto,840 sqft,"Dec 13, 2013","$350,000",37.458572,-122.12425,CA,Single-Family Home,350000,"$466,000",94303,,,,Sold,SAN MATEO
17,451 Larkspur Dr,1.0,3.0,East Palo Alto,"1,020 sqft","Dec 11, 2013","$395,000",37.46282,-122.12777,CA,Single-Family Home,395000,"$466,000",94303,,,,Sold,SAN MATEO
18,2140 Oakwood Dr,1.0,4.0,East Palo Alto,"1,350 sqft","Dec 11, 2013","$495,000",37.46562,-122.14735,CA,Single-Family Home,495000,"$512,000",94303,,,,Sold,SAN MATEO
19,453 E Okeefe St #203,1.0,1.0,East Palo Alto,800 sqft,"Dec 10, 2013","$139,000",37.46218,-122.1453,CA,Condo,139000,"$251,000",94303,,,,Sold,SAN MATEO
20,1515 Ursula Way,2.0,3.0,East Palo Alto,"1,150 sqft","Dec 3, 2013","$430,000",37.47327,-122.142334,CA,Single-Family Home,430000,"$497,000",94303,,,,Sold,SAN MATEO
21,2133 Capitol Ave,2.0,2.0,East Palo Alto,"1,320 sqft","Nov 21, 2013","$418,000",37.463642,-122.140785,CA,Single-Family Home,418000,"$542,000",94303,,,,Sold,SAN MATEO
22,1045 Garden St,1.0,3.0,East Palo Alto,"1,220 sqft","Nov 20, 2013","$470,000",37.46717,-122.13172,CA,Single-Family Home,470000,"$488,000",94303,,,,Sold,SAN MATEO
23,2272 Poplar Ave,2.0,3.0,East Palo Alto,"1,380 sqft","Nov 12, 2013","$423,000",37.469265,-122.14911,CA,Single-Family Home,423000,"$526,000",94303,,,,Sold,SAN MATEO
24,2315 Clarke Ave,1.0,3.0,East Palo Alto,"1,230 sqft","Nov 8, 2013","$530,000",37.46902,-122.13518,CA,Single-Family Home,530000,"$541,000",94303,,,,Sold,SAN MATEO
25,1546 Bay Rd,1.0,3.0,East Palo Alto,"1,140 sqft","Nov 8, 2013","$450,000",37.471184,-122.1417,CA,Single-Family Home,450000,"$494,000",94303,,,,Sold,SAN MATEO
26,1030 Bradley Way,1.0,2.0,East Palo Alto,810 sqft,"Nov 7, 2013","$460,000",37.46919,-122.15104,CA,Single-Family Home,460000,"$388,000",94303,,,,Sold,SAN MATEO
27,423 Larkspur Dr,2.0,3.0,East Palo Alto,"1,030 sqft","Nov 7, 2013","$435,000",37.461826,-122.12773,CA,Single-Family Home,435000,"$480,000",94303,,,,Sold,SAN MATEO
28,453 E Okeefe St #208,2.0,2.0,East Palo Alto,"1,093 sqft","Nov 4, 2013","$325,000",37.46218,-122.1453,CA,Condo,325000,"$395,000",94303,,,,Sold,SAN MATEO
29,812 Bell St,2.0,3.0,East Palo Alto,"1,580 sqft","Oct 31, 2013","$200,000",37.465294,-122.13671,CA,Single-Family Home,200000,"$688,000",94303,,,,Sold,SAN MATEO
30,1169 Jervis Ave,1.0,2.0,East Palo Alto,990 sqft,"Oct 31, 2013","$310,000",37.47138,-122.152565,CA,Single-Family Home,310000,"$416,000",94303,,,,Sold,SAN MATEO
31,1982 W Bayshore Rd #324,1.0,1.0,East Palo Alto,776 sqft,"Oct 29, 2013","$381,000",37.452503,-122.12884,CA,Condo,381000,"$409,000",94303,Duveneck-St. Francis,,,Sold,SAN MATEO
32,164 Gardenia Way,3.0,4.0,East Palo Alto,"1,920 sqft","Oct 25, 2013","$465,000",37.45827,-122.127045,CA,Single-Family Home,465000,"$703,000",94303,,,,Sold,SAN MATEO
33,512 Weeks St,1.0,2.0,East Palo Alto,840 sqft,"Oct 25, 2013","$417,000",37.47042,-122.14244,CA,Single-Family Home,417000,"$431,000",94303,,,,Sold,SAN MATEO
34,1058 Weeks St,2.5,4.0,East Palo Alto,"2,160 sqft","Oct 24, 2013","$589,000",37.47005,-122.1316,CA,Single-Family Home,589000,"$752,000",94303,,,,Sold,SAN MATEO
35,196 Jasmine Way,1.0,2.0,East Palo Alto,920 sqft,"Oct 23, 2013","$368,000",37.45731,-122.12406,CA,Single-Family Home,368000,"$386,000",94303,,,,Sold,SAN MATEO
36,2191 Dumbarton Ave,1.0,2.0,East Palo Alto,860 sqft,"Oct 16, 2013","$425,000",37.465977,-122.14692,CA,Single-Family Home,425000,"$385,000",94303,,,,Sold,SAN MATEO
37,2124 Addison Ave,1.0,2.0,East Palo Alto,930 sqft,"Oct 15, 2013","$340,000",37.465775,-122.14816,CA,Single-Family Home,340000,"$395,000",94303,,,,Sold,SAN MATEO
38,2315 Glen Way,1.0,2.0,East Palo Alto,"1,370 sqft","Oct 11, 2013","$400,000",37.469193,-122.14393,CA,Single-Family Home,400000,"$459,000",94303,,,,Sold,SAN MATEO
39,1982 W Bayshore Rd #233,1.0,1.0,East Palo Alto,776 sqft,"Oct 9, 2013","$380,000",37.452503,-122.12884,CA,Condo,380000,"$409,000",94303,Duveneck-St. Francis,,,Sold,SAN MATEO
