id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,512 Palma St,3.0,4.0,El Granada,"2,600 sqft","Dec 31, 1969",$0,37.505085,-122.469894,CA,Single-Family Home,425000,,94018,,46,,For Sale,SAN MATEO
2,1032 Columbus St,2.5,3.0,El Granada,"2,540 sqft","Dec 31, 1969",$0,37.5054,-122.4667,CA,Single-Family Home,1149000,,94018,,34,,For Sale,SAN MATEO
3,339 El Granada Blvd,3.0,3.0,El Granada,"2,510 sqft","Dec 31, 1969",$0,37.5081,-122.4647,CA,Single-Family Home,959800,,94018,,,,For Sale,SAN MATEO
4,795 Francisco St,2.0,3.0,El Granada,"1,841 sqft","Dec 31, 1969",$0,37.5033,-122.4641,CA,Single-Family Home,895000,,94018,,35,,For Sale,SAN MATEO
5,1039 San Carlos,3.0,2.0,El Granada,"2,150 sqft","Dec 31, 1969",$0,37.5119,-122.481,CA,Single-Family Home,869000,,94018,,26,,For Sale,SAN MATEO
6,625 Isabella,,,El Granada,,"Dec 31, 1969",$0,37.5025,-122.468,CA,Lot/Land,165000,,94018,,45,,For Sale,SAN MATEO
7,1002 San Carlos,3.0,4.0,El Granada,"2,600 sqft","Dec 31, 1969",$0,37.5119,-122.48,CA,Single-Family Home,819000,,94018,,26,,For Sale,SAN MATEO
8,Sonora Ave,,,El Granada,,"Dec 31, 1969",$0,37.50733,-122.47926,CA,Single-Family Home,576000,,94018,,40,,For Sale,SAN MATEO
9,Columbus St,,,El Granada,,"Dec 31, 1969",$0,37.503746,-122.46366,CA,Single-Family Home,700000,,94018,,35,,For Sale,SAN MATEO
10,Isabella Ave,,,El Granada,,"Dec 31, 1969",$0,37.50233,-122.46836,CA,Unspecified,379493,,94018,,45,,For Sale,SAN MATEO
11,Francisco St,,,El Granada,,"Dec 31, 1969",$0,37.503212,-122.46445,CA,Unspecified,397666,,94018,,43,,For Sale,SAN MATEO
12,Valencia Ave,,,El Granada,,"Dec 31, 1969",$0,37.504833,-122.47545,CA,Unspecified,658654,,94018,,65,,For Sale,SAN MATEO
13,Francisco St,,,El Granada,,"Dec 31, 1969",$0,37.50613,-122.47044,CA,Unspecified,662691,,94018,,37,,For Sale,SAN MATEO
