zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
95018,103 Beth Dr,2,4,Felton,"2,098 sqft",31-Dec-69,$0 ,37.03932,-122.0667,CA,Single-Family Home,659000,,,,29,,For Sale,SANTA CRUZ
95018,10303 Lompico Rd,1,1,Felton,575 sqft,31-Dec-69,$0 ,37.099884,-122.05354,CA,Single-Family Home,177500,,,,3,,For Sale,SANTA CRUZ
95018,315 West Dr,1,1,Felton,577 sqft,31-Dec-69,$0 ,37.105087,-122.05377,CA,Single-Family Home,315000,,,,2,,For Sale,SANTA CRUZ
95018,362 Redwood Dr,1,1,Felton,630 sqft,31-Dec-69,$0 ,37.042664,-122.07667,CA,Single-Family Home,219975,,,,51,,For Sale,SANTA CRUZ
95018,6990 Highway 9,2,5,Felton,"2,700 sqft",31-Dec-69,$0 ,37.060886,-122.07945,CA,Single-Family Home,575000,,,,38,,For Sale,SANTA CRUZ
95018,310 El Alamein Rd,6,8,Felton,"5,167 sqft",31-Dec-69,$0 ,37.066822,-122.060646,CA,Single-Family Home,1888000,,,,14,,For Sale,SANTA CRUZ
95018,288 Carrol Ave,1,2,Felton,900 sqft,31-Dec-69,$0 ,37.10444,-122.0508,CA,Single-Family Home,389000,,,,2,,For Sale,SANTA CRUZ
95018,183 River Ln,1,3,Felton,"2,240 sqft",31-Dec-69,$0 ,37.038197,-122.065,CA,Single-Family Home,479000,,,,32,,For Sale,SANTA CRUZ
95018,5780 Valley Dr,1,1,Felton,950 sqft,31-Dec-69,$0 ,37.045048,-122.07482,CA,Single-Family Home,475000,,,,52,,For Sale,SANTA CRUZ
95018,6625 Cooper St,2,2,Felton,"1,167 sqft",31-Dec-69,$0 ,37.055634,-122.078545,CA,Single-Family Home,275000,,,,62,,For Sale,SANTA CRUZ
95018,27 Kelldon Dr,2,2,Felton,990 sqft,31-Dec-69,$0 ,37.035088,-122.06266,CA,Mobile/Manufactured,149950,,,,20,,For Sale,SANTA CRUZ
95018,1150 Fern Rdg,2,2,Felton,"1,747 sqft",31-Dec-69,$0 ,37.113262,-122.01083,CA,Single-Family Home,874500,,,,6,,For Sale,SANTA CRUZ
95018,233 Pine Ave,,,Felton,,31-Dec-69,$0 ,37.04166,-122.075195,CA,Lot/Land,169900,,,,43,,For Sale,SANTA CRUZ
95018,Sunset Ct,3,4,Felton,"3,470 sqft",31-Dec-69,$0 ,37.105083,-122.044087,CA,Multi-Family Home,640000,,,,,,For Sale,SANTA CRUZ
95018,Zayante Dr,3,3,Felton,"2,379 sqft",31-Dec-69,$0 ,37.091618,-122.04399,CA,Single-Family Home,250000,,,,3,,For Sale,SANTA CRUZ
95018,Lake Blvd,,,Felton,"1,545 sqft",31-Dec-69,$0 ,37.10739,-122.04871,CA,Single-Family Home,354715,,,,0,,For Sale,SANTA CRUZ
95018,Grandview Ave,2,2,Felton,970 sqft,31-Dec-69,$0 ,37.04624,-122.06141,CA,Single-Family Home,479026,,,,37,,For Sale,SANTA CRUZ
95018,Fern Ave,2,2,Felton,"1,436 sqft",31-Dec-69,$0 ,37.032455,-122.08125,CA,Single-Family Home,488000,,,,14,,For Sale,SANTA CRUZ
95018,Altamont Dr,2,3,Felton,"1,361 sqft",31-Dec-69,$0 ,37.030083,-122.08743,CA,Single-Family Home,540404,,,,6,,For Sale,SANTA CRUZ
95018,E Zayante Rd,1,1,Felton,851 sqft,31-Dec-69,$0 ,37.091976,-122.04342,CA,Single-Family Home,312116,,,,2,,For Sale,SANTA CRUZ
95018,Highway 9,1,2,Felton,"1,176 sqft",31-Dec-69,$0 ,37.03179,-122.06531,CA,Multi-Family Home,553286,,,,11,,For Sale,SANTA CRUZ
95018,West Dr,1,1,Felton,"1,055 sqft",31-Dec-69,$0 ,37.10568,-122.05603,CA,Single-Family Home,290468,,,,2,,For Sale,SANTA CRUZ
95018,Waner Way,2,2,Felton,"1,164 sqft",31-Dec-69,$0 ,37.090717,-122.04328,CA,Single-Family Home,387962,,,,5,,For Sale,SANTA CRUZ
95018,Lazywoods Rd,2,2,Felton,"1,210 sqft",31-Dec-69,$0 ,37.0661,-122.0784,CA,Single-Family Home,380000,,,,17,,For Sale,SANTA CRUZ
95018,Lakeview Ave,1,1,Felton,640 sqft,31-Dec-69,$0 ,37.100304,-122.0492,CA,Single-Family Home,198074,,,,2,,For Sale,SANTA CRUZ
95018,Gail Dr,2,2,Felton,938 sqft,31-Dec-69,$0 ,37.03894,-122.06735,CA,Single-Family Home,310000,,,,43,,For Sale,SANTA CRUZ
