id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,728 Chebec Ln,2.5,4.0,Foster City,"1,790 sqft","Feb 20, 2014","$955,000",37.559937,-122.26444,CA,Single-Family Home,955000,"$1,019,000",94404,,,,Sold,SAN MATEO
2,1151 Compass Ln #341,2.0,2.0,Foster City,"1,286 sqft","Feb 13, 2014","$602,000",37.549683,-122.254036,CA,Condo,602000,"$652,000",94404,,,,Sold,SAN MATEO
3,904 Beach Park Blvd #123,2.0,2.0,Foster City,"1,060 sqft","Feb 13, 2014","$700,000",37.547977,-122.258965,CA,Condo,700000,"$669,000",94404,,,,Sold,SAN MATEO
4,875 Ursa Ln,2.5,2.0,Foster City,"1,546 sqft","Feb 12, 2014","$825,000",37.54635,-122.272125,CA,Condo,825000,"$867,000",94404,,,,Sold,SAN MATEO
5,1371 Ribbon St,2.0,3.0,Foster City,"1,860 sqft","Feb 11, 2014","$1,018,000",37.563126,-122.25138,CA,Single-Family Home,1018000,"$1,122,000",94404,,,,Sold,SAN MATEO
6,20 Port Royal Ave,2.5,3.0,Foster City,"1,890 sqft","Feb 5, 2014","$1,048,500",37.53606,-122.272,CA,Single-Family Home,1048500,"$1,363,000",94404,,,,Sold,SAN MATEO
7,922 Beach Park Blvd #28,2.0,2.0,Foster City,"1,060 sqft","Feb 4, 2014","$620,000",37.547977,-122.258965,CA,Condo,620000,"$667,000",94404,,,,Sold,SAN MATEO
8,921 Laguna Cir,3.0,4.0,Foster City,"2,360 sqft","Feb 4, 2014","$1,460,000",37.54454,-122.2739,CA,Single-Family Home,1460000,"$1,820,000",94404,,,,Sold,SAN MATEO
9,100 Flying Cloud Isle,3.0,3.0,Foster City,"2,510 sqft","Feb 4, 2014","$1,360,000",37.565178,-122.26535,CA,Single-Family Home,1360000,"$1,766,000",94404,,,,Sold,SAN MATEO
10,503 Emerald Bay Ln,2.5,2.0,Foster City,"1,530 sqft","Jan 31, 2014","$785,000",37.55473,-122.280754,CA,Condo,785000,"$815,000",94404,Town Center,,,Sold,SAN MATEO
11,1004 Windjammer Cir,2.0,4.0,Foster City,"2,250 sqft","Jan 30, 2014","$1,358,000",37.55202,-122.26251,CA,Single-Family Home,1358000,"$1,387,000",94404,,,,Sold,SAN MATEO
12,913 Laguna Cir,3.0,4.0,Foster City,"2,720 sqft","Jan 28, 2014","$1,698,000",37.54433,-122.27429,CA,Single-Family Home,1698000,"$1,687,000",94404,,,,Sold,SAN MATEO
13,157 Albacore Ln,2.5,3.0,Foster City,"1,630 sqft","Jan 28, 2014","$813,000",37.559483,-122.25045,CA,Single-Family Home,813000,"$948,000",94404,,,,Sold,SAN MATEO
14,600 Saint Croix Ln,3.0,3.0,Foster City,"1,470 sqft","Jan 21, 2014","$1,030,000",37.539146,-122.26197,CA,Single-Family Home,1030000,"$1,277,000",94404,,,,Sold,SAN MATEO
15,7210 Admiralty Ln,1.5,2.0,Foster City,998 sqft,"Jan 17, 2014","$380,000",37.561436,-122.26721,CA,Condo,380000,"$488,000",94404,,,,Sold,SAN MATEO
16,66 E Court Ln,2.5,2.0,Foster City,"1,530 sqft","Jan 16, 2014","$740,000",37.559395,-122.27337,CA,Single-Family Home,740000,"$846,000",94404,Town Center,,,Sold,SAN MATEO
17,1041 Rudder Ln,2.5,2.0,Foster City,"1,440 sqft","Jan 10, 2014","$700,000",37.546055,-122.255135,CA,Single-Family Home,700000,"$887,000",94404,,,,Sold,SAN MATEO
18,761 Coronado Ln,2.0,3.0,Foster City,"2,250 sqft","Jan 10, 2014","$1,090,000",37.549114,-122.269775,CA,Single-Family Home,1090000,"$1,368,000",94404,,,,Sold,SAN MATEO
19,6108 Admiralty Ln,1.0,1.0,Foster City,748 sqft,"Jan 10, 2014","$340,000",37.561436,-122.26721,CA,Condo,340000,"$404,000",94404,,,,Sold,SAN MATEO
20,303 Catamaran St,2.5,3.0,Foster City,"1,600 sqft","Jan 9, 2014","$880,000",37.54852,-122.26643,CA,Single-Family Home,880000,"$1,043,000",94404,,,,Sold,SAN MATEO
21,928 Lurline Dr,3.0,4.0,Foster City,"2,160 sqft","Jan 8, 2014","$1,280,000",37.557095,-122.25872,CA,Single-Family Home,1280000,"$1,435,000",94404,,,,Sold,SAN MATEO
22,926 Beach Park Blvd #1,2.0,2.0,Foster City,"1,060 sqft","Jan 3, 2014","$555,500",37.547977,-122.258965,CA,Condo,555500,"$628,000",94404,,,,Sold,SAN MATEO
23,1171 Compass Ln #294,2.0,2.0,Foster City,"1,286 sqft","Dec 31, 2013","$580,000",37.549683,-122.254036,CA,Condo,580000,"$683,000",94404,,,,Sold,SAN MATEO
24,248 Shearwater Isle,3.0,4.0,Foster City,"2,180 sqft","Dec 27, 2013","$1,300,000",37.56463,-122.25773,CA,Single-Family Home,1300000,"$1,394,000",94404,,,,Sold,SAN MATEO
25,840 Sea Spray Ln #104,2.0,2.0,Foster City,"1,233 sqft","Dec 20, 2013","$645,000",37.553253,-122.28123,CA,Condo,645000,"$710,000",94404,,,,Sold,SAN MATEO
26,140 E Court Ln,2.5,2.0,Foster City,"1,410 sqft","Dec 20, 2013","$780,000",37.559048,-122.27369,CA,Single-Family Home,780000,"$857,000",94404,Town Center,,,Sold,SAN MATEO
27,508 Gibraltar Ln,2.5,3.0,Foster City,"2,010 sqft","Dec 20, 2013","$1,240,000",37.53951,-122.26693,CA,Single-Family Home,1240000,"$1,370,000",94404,,,,Sold,SAN MATEO
28,245 Bonita Ln,2.5,3.0,Foster City,"1,630 sqft","Dec 20, 2013","$800,000",37.559334,-122.25017,CA,Single-Family Home,800000,"$985,000",94404,,,,Sold,SAN MATEO
29,229 Bonita Ln,2.0,2.0,Foster City,"1,050 sqft","Dec 16, 2013","$600,000",37.559605,-122.250145,CA,Condo,600000,"$680,000",94404,,,,Sold,SAN MATEO
30,152 Beach Park Blvd,1.5,2.0,Foster City,"1,270 sqft","Dec 12, 2013","$672,000",37.547245,-122.27941,CA,Single-Family Home,672000,"$833,000",94404,,,,Sold,SAN MATEO
31,1131 Compass Ln #111,2.0,2.0,Foster City,"1,349 sqft","Dec 11, 2013","$615,000",37.55157,-122.25375,CA,Condo,615000,"$659,000",94404,,,,Sold,SAN MATEO
32,872 Gull Ave,2.0,4.0,Foster City,"1,810 sqft","Dec 10, 2013","$1,100,000",37.566486,-122.25856,CA,Single-Family Home,1100000,"$1,212,000",94404,,,,Sold,SAN MATEO
33,109 Goldhunter Ct,2.0,3.0,Foster City,"1,300 sqft","Dec 10, 2013","$888,000",37.56489,-122.26762,CA,Single-Family Home,888000,"$994,000",94404,,,,Sold,SAN MATEO
34,810 Prowshead Ln,3.0,3.0,Foster City,"2,710 sqft","Dec 6, 2013","$1,535,000",37.541992,-122.25713,CA,Single-Family Home,1535000,"$1,685,000",94404,,,,Sold,SAN MATEO
35,780 Sea Spray Ln #113,2.0,2.0,Foster City,"1,235 sqft","Dec 4, 2013","$607,000",37.55204,-122.28113,CA,Condo,607000,"$717,000",94404,,,,Sold,SAN MATEO
36,856 Canis Ln,2.5,2.0,Foster City,"1,546 sqft","Dec 3, 2013","$762,000",37.549374,-122.27189,CA,Condo,762000,"$898,000",94404,,,,Sold,SAN MATEO
37,951 Flying Fish St,2.5,4.0,Foster City,"2,160 sqft","Dec 3, 2013","$1,270,000",37.565212,-122.25705,CA,Single-Family Home,1270000,"$1,303,000",94404,,,,Sold,SAN MATEO
38,700 Promontory Point Ln #1308,2.5,2.0,Foster City,"2,224 sqft","Dec 2, 2013","$829,000",37.55003,-122.283516,CA,Condo,829000,"$1,002,000",94404,,,,Sold,SAN MATEO
39,1131 Compass Ln #301,1.0,1.0,Foster City,990 sqft,"Nov 27, 2013","$460,000",37.55157,-122.25375,CA,Condo,460000,"$533,000",94404,,,,Sold,SAN MATEO
40,815 Sea Spray Ln #110,2.0,2.0,Foster City,"1,213 sqft","Nov 27, 2013","$605,000",37.553253,-122.28123,CA,Condo,605000,"$689,000",94404,,,,Sold,SAN MATEO
41,970 Diaz Ln,2.0,2.0,Foster City,"1,260 sqft","Nov 27, 2013","$725,000",37.551453,-122.26727,CA,Single-Family Home,725000,"$821,000",94404,,,,Sold,SAN MATEO
42,760 Pinta Ln,2.5,3.0,Foster City,"1,670 sqft","Nov 27, 2013","$850,000",37.561127,-122.262726,CA,Single-Family Home,850000,"$919,000",94404,,,,Sold,SAN MATEO
