id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,508 Sago Palm Ter,3.0,3.0,Fremont,"1,409 sqft","Dec 31, 1969",$0,37.461765,-121.91693,CA,Single-Family Home,699000,,94539,East Industrial,28,,For Sale,ALAMEDA
2,38542 Vancouver Cmn,2.5,3.0,Fremont,"1,430 sqft","Dec 31, 1969",$0,37.560658,-121.9805,CA,Townhome,499999,,94536,Parkmont,60,,For Sale,ALAMEDA
3,36360 Magellan Dr,1.0,3.0,Fremont,"1,111 sqft","Dec 31, 1969",$0,37.55486,-122.02406,CA,Single-Family Home,519000,,94536,Cabrillo,51,,For Sale,ALAMEDA
4,3173 Alpine Dr,3.0,4.0,Fremont,"2,678 sqft","Dec 31, 1969",$0,37.58506,-122.04166,CA,Single-Family Home,950000,,94555,Northgate,45,,For Sale,ALAMEDA
5,4018 Rector Cmn,2.0,2.0,Fremont,"1,067 sqft","Dec 31, 1969",$0,37.542255,-121.97826,CA,Apt/Condo/Twnhm,384000,,94538,Sundale,51,,For Sale,ALAMEDA
6,4323 Lombard Ave,4.0,4.0,Fremont,"2,211 sqft","Dec 31, 1969",$0,37.552216,-122.00368,CA,Single-Family Home,1195950,,94536,Glenmoor,65,,For Sale,ALAMEDA
7,3453 Baywood Ter #202,3.0,2.0,Fremont,"1,083 sqft","Dec 31, 1969",$0,37.563652,-122.00712,CA,Condo,388000,,94536,Centerville,71,,For Sale,ALAMEDA
8,1063 Kraftile Rd,4.0,5.0,Fremont,"3,600 sqft","Dec 31, 1969",$0,37.58364,-122.0064,CA,Single-Family Home,1099000,,94536,Niles,25,,For Sale,ALAMEDA
9,34116 Pavia Ter,3.5,3.0,Fremont,"1,387 sqft","Dec 31, 1969",$0,37.560772,-122.06183,CA,Townhome,629888,,94555,Ardenwood,23,,For Sale,ALAMEDA
10,34222 Della Ter,2.5,3.0,Fremont,"1,481 sqft","Dec 31, 1969",$0,37.56106,-122.05781,CA,Single-Family Home,765000,,94555,Ardenwood,37,,For Sale,ALAMEDA
11,39916 Fremont Blvd,2.0,2.0,Fremont,"1,165 sqft","Dec 31, 1969",$0,37.542076,-121.97389,CA,Apt/Condo/Twnhm,355000,,94538,Central Downtown,51,,For Sale,ALAMEDA
12,38684 Kimbro St,3.0,4.0,Fremont,"2,273 sqft","Dec 31, 1969",$0,37.5475,-121.995186,CA,Single-Family Home,1050000,,94536,Glenmoor,71,,For Sale,ALAMEDA
13,40425 Chapel Way #103,2.0,2.0,Fremont,"1,052 sqft","Dec 31, 1969",$0,37.53879,-121.95884,CA,Single-Family Home,315000,,94538,Irvington,63,,For Sale,ALAMEDA
14,42374 Barbary St,2.0,4.0,Fremont,"1,402 sqft","Dec 31, 1969",$0,37.533375,-121.9401,CA,Single-Family Home,939888,,94539,Mission Valley,40,,For Sale,ALAMEDA
15,3881 Burton Cmn,3.0,3.0,Fremont,"1,506 sqft","Dec 31, 1969",$0,37.55414,-121.99679,CA,Condo,599950,,94536,Centerville,66,,For Sale,ALAMEDA
16,867 Boar Ter,6.0,5.0,Fremont,"6,850 sqft","Dec 31, 1969",$0,37.50906,-121.91088,CA,Single-Family Home,8200000,,94539,Vineyards - Avalon,8,,For Sale,ALAMEDA
17,42447 Grand Teton Park St,3.0,4.0,Fremont,"2,103 sqft","Dec 31, 1969",$0,37.520565,-121.969444,CA,Single-Family Home,745000,,94538,Blacow,49,,For Sale,ALAMEDA
18,38053 Canyon Heights Dr,2.0,3.0,Fremont,922 sqft,"Dec 31, 1969",$0,37.584282,-121.96168,CA,Single-Family Home,559950,,94536,Canyon Heights - Vallejo Mills,12,,For Sale,ALAMEDA
19,3549 Lake Ontario Dr,2.0,3.0,Fremont,"1,335 sqft","Dec 31, 1969",$0,37.58749,-122.05562,CA,Single-Family Home,550000,,94555,Lakes and Birds,45,,For Sale,ALAMEDA
20,5118 Vernon Ave,2.0,4.0,Fremont,"1,635 sqft","Dec 31, 1969",$0,37.53834,-122.00453,CA,Single-Family Home,749900,,94536,Glenmoor,46,,For Sale,ALAMEDA
21,430 Panorama Ct,3.0,5.0,Fremont,"2,822 sqft","Dec 31, 1969",$0,37.52365,-121.914795,CA,Single-Family Home,1175000,,94539,Mission Hills,63,,For Sale,ALAMEDA
22,145 E Las Palmas Ave,3.5,5.0,Fremont,"3,478 sqft","Dec 31, 1969",$0,37.55858,-121.94956,CA,Single-Family Home,1855880,,94539,Kimber - Gomes,37,,For Sale,ALAMEDA
23,40336 Dolerita Ave,3.0,4.0,Fremont,"2,515 sqft","Dec 31, 1969",$0,37.556416,-121.94686,CA,Single-Family Home,1399888,,94539,Kimber - Gomes,34,,For Sale,ALAMEDA
24,4388 Fern Ter,3.0,3.0,Fremont,"1,633 sqft","Dec 31, 1969",$0,37.519733,-121.96159,CA,Single-Family Home,769000,,94538,Grimmer,60,,For Sale,ALAMEDA
25,43375 Castle Park Ct,2.0,3.0,Fremont,"1,445 sqft","Dec 31, 1969",$0,37.511772,-121.96497,CA,Single-Family Home,625000,,94538,Blacow,58,,For Sale,ALAMEDA
26,4600 Nelson St,6.0,4.0,Fremont,"3,884 sqft","Dec 31, 1969",$0,37.535946,-121.98375,CA,Single-Family Home,1199999,,94538,Sundale,48,,For Sale,ALAMEDA
27,1566 Blackfoot Dr,3.0,4.0,Fremont,"3,272 sqft","Dec 31, 1969",$0,37.511253,-121.928345,CA,Single-Family Home,1599000,,94539,Weibel,22,,For Sale,ALAMEDA
28,48404 Costa Mesa Ter,5.0,5.0,Fremont,"4,254 sqft","Dec 31, 1969",$0,37.477062,-121.8971,CA,Single-Family Home,1999950,,94539,Vineyards - Avalon,9,,For Sale,ALAMEDA
29,43285 Montrose Ave,2.0,3.0,Fremont,"1,130 sqft","Dec 31, 1969",$0,37.517094,-121.95251,CA,Single-Family Home,650000,,94538,Grimmer,60,,For Sale,ALAMEDA
30,32956 Great Salt Lake Dr,2.0,3.0,Fremont,"1,629 sqft","Dec 31, 1969",$0,37.584934,-122.05755,CA,Single-Family Home,595888,,94555,Lakes and Birds,51,,For Sale,ALAMEDA
31,35522 Ronda Ct,2.0,3.0,Fremont,"1,543 sqft","Dec 31, 1969",$0,37.569603,-122.02424,CA,Single-Family Home,740000,,94536,Brookvale,72,,For Sale,ALAMEDA
32,37844 Mosswood Dr,3.0,3.0,Fremont,"1,661 sqft","Dec 31, 1969",$0,37.546856,-122.00799,CA,Single-Family Home,699950,,94536,Glenmoor,46,,For Sale,ALAMEDA
33,3648 Norfolk Rd,2.0,3.0,Fremont,"1,314 sqft","Dec 31, 1969",$0,37.5144,-121.94941,CA,Single-Family Home,469000,,94538,Grimmer,55,,For Sale,ALAMEDA
34,1530 Washington Blvd,,,Fremont,"3,120 sqft","Dec 31, 1969",$0,37.530594,-121.93714,CA,Single-Family Home,145000,,94539,Cameron Hills,35,,For Sale,ALAMEDA
35,2076 Estates Ter,5.0,5.0,Fremont,"7,800 sqft","Dec 31, 1969",$0,37.496838,-121.90455,CA,Single-Family Home,4680000,,94539,Vineyards - Avalon,8,,For Sale,ALAMEDA
36,2395 Tecado Ter,,,Fremont,,"Dec 31, 1969",$0,37.56663,-121.923805,CA,Lot/Land,1950000,,94539,Kimber - Gomes,0,,For Sale,ALAMEDA
37,38627 Cherry Ln #52,2.0,3.0,Fremont,"1,199 sqft","Dec 31, 1969",$0,37.565502,-121.97237,CA,Apt/Condo/Twnhm,368888,,94536,Cherry - Guardino,48,,For Sale,ALAMEDA
38,49002 Cinnamon Fern Cmn #200,2.0,2.0,Fremont,"1,274 sqft","Dec 31, 1969",$0,37.46167,-121.9141,CA,Condo,598000,,94539,East Industrial,37,,For Sale,ALAMEDA
39,4794 Mallard Cmn,2.5,4.0,Fremont,"1,637 sqft","Dec 31, 1969",$0,37.566418,-122.04604,CA,Single-Family Home,779000,,94555,Ardenwood,46,,For Sale,ALAMEDA
40,118 Mission Tierra Pl,5.0,4.0,Fremont,"3,747 sqft","Dec 31, 1969",$0,37.532692,-121.91878,CA,Single-Family Home,1978888,,94539,Mission San Jose,62,,For Sale,ALAMEDA
41,554 Niles Cmn,3.0,3.0,Fremont,"1,312 sqft","Dec 31, 1969",$0,37.57953,-121.99486,CA,Townhome,545000,,94536,Niles,15,,For Sale,ALAMEDA
42,4555 Meyer Park Cir,3.0,4.0,Fremont,"2,330 sqft","Dec 31, 1969",$0,37.54676,-122.00234,CA,Single-Family Home,945550,,94536,Glenmoor,43,,For Sale,ALAMEDA
43,2290 Camellia Ct,2.0,3.0,Fremont,"1,540 sqft","Dec 31, 1969",$0,37.510864,-121.93613,CA,Single-Family Home,899000,,94539,Weibel,37,,For Sale,ALAMEDA
44,169 Rabbit Ct,3.0,4.0,Fremont,"1,728 sqft","Dec 31, 1969",$0,37.5096,-121.918594,CA,Single-Family Home,929000,,94539,Vineyards - Avalon,14,,For Sale,ALAMEDA
45,3541 Sutton Loop,2.0,3.0,Fremont,"1,996 sqft","Dec 31, 1969",$0,37.557777,-121.99945,CA,Single-Family Home,669000,,94536,Centerville,65,,For Sale,ALAMEDA
46,3854 Main St,2.0,3.0,Fremont,"1,204 sqft","Dec 31, 1969",$0,37.533314,-121.95812,CA,Single-Family Home,549000,,94538,Irvington,75,,For Sale,ALAMEDA
47,37047 Contra Costa Ave,2.0,3.0,Fremont,"1,347 sqft","Dec 31, 1969",$0,37.553852,-122.01446,CA,Single-Family Home,654500,,94536,Centerville,60,,For Sale,ALAMEDA
48,2250 Annapolis Dr,3.0,5.0,Fremont,"2,810 sqft","Dec 31, 1969",$0,37.5195,-121.93669,CA,Single-Family Home,1550000,,94539,Cameron Hills,20,,For Sale,ALAMEDA
49,34213 Gannon Ter,2.5,3.0,Fremont,"1,500 sqft","Dec 31, 1969",$0,37.560886,-122.05888,CA,Single-Family Home,765000,,94555,Ardenwood,37,,For Sale,ALAMEDA
50,428 Sandstone Dr,3.0,3.0,Fremont,"1,416 sqft","Dec 31, 1969",$0,37.585484,-122.00251,CA,Single-Family Home,649950,,94536,Niles,23,,For Sale,ALAMEDA
51,245 Kansas Way,3.5,6.0,Fremont,"2,605 sqft","Dec 31, 1969",$0,37.469563,-121.91529,CA,Single-Family Home,1095000,,94539,Warm Springs,20,,For Sale,ALAMEDA
52,4557 Deerfield Ter,2.0,2.0,Fremont,"1,027 sqft","Dec 31, 1969",$0,37.520935,-121.9671,CA,Townhome,399000,,94538,Grimmer,52,,For Sale,ALAMEDA
53,35959 Gaskell Ct,3.0,5.0,Fremont,"2,118 sqft","Dec 31, 1969",$0,37.56866,-122.018326,CA,Single-Family Home,799950,,94536,Brookvale,63,,For Sale,ALAMEDA
54,4144 Margery Dr,2.0,3.0,Fremont,"1,150 sqft","Dec 31, 1969",$0,37.537144,-121.97211,CA,Single-Family Home,549888,,94538,South Sundale,48,,For Sale,ALAMEDA
55,467 Altura Pl,2.0,4.0,Fremont,"1,822 sqft","Dec 31, 1969",$0,37.570606,-121.95999,CA,Single-Family Home,775000,,94536,Canyon Heights - Vallejo Mills,28,,For Sale,ALAMEDA
56,45212 S Grimmer Blvd,6.0,5.0,Fremont,"5,500 sqft","Dec 31, 1969",$0,37.507202,-121.92435,CA,Single-Family Home,3490000,,94539,Weibel,23,,For Sale,ALAMEDA
57,35966 Carnation Way,2.0,3.0,Fremont,"1,546 sqft","Dec 31, 1969",$0,37.57926,-122.00058,CA,Single-Family Home,699000,,94536,Niles,12,,For Sale,ALAMEDA
58,2397 Marion Ave,6.0,5.0,Fremont,"4,773 sqft","Dec 31, 1969",$0,37.53367,-121.94422,CA,Single-Family Home,1888888,,94539,Mission Valley,40,,For Sale,ALAMEDA
59,5748 Butano Park Dr,2.0,3.0,Fremont,"1,204 sqft","Dec 31, 1969",$0,37.51368,-121.97321,CA,Single-Family Home,599888,,94538,Blacow,57,,For Sale,ALAMEDA
60,43107 Newport Dr,3.0,4.0,Fremont,"1,447 sqft","Dec 31, 1969",$0,37.519333,-121.95077,CA,Single-Family Home,698000,,94538,Grimmer,52,,For Sale,ALAMEDA
61,3478 Fitzsimmons Cmn,3.0,3.0,Fremont,,"Dec 31, 1969",$0,37.54632,-121.9738,CA,Townhome,698888,,94538,Central Downtown,62,,For Sale,ALAMEDA
