id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,3995 Lake Tahoe Ter,1.0,2.0,Fremont,991 sqft,"Mar 4, 2014","$330,000",37.58376,-122.058044,CA,Townhouse,330000,"$412,000",94555,Lakes and Birds,,,Sold,ALAMEDA
2,41769 Sherwood St,2.0,3.0,Fremont,"1,118 sqft","Mar 4, 2014","$739,000",37.52485,-121.96429,CA,Single-Family Home,739000,"$707,000",94538,Irvington,,,Sold,ALAMEDA
3,37743 Elmore Ct,3.0,4.0,Fremont,"2,313 sqft","Mar 4, 2014","$900,000",37.540154,-122.01461,CA,Single-Family Home,900000,"$967,000",94536,Glenmoor,,,Sold,ALAMEDA
4,42742 Hamilton Way,2.0,3.0,Fremont,"1,156 sqft","Mar 4, 2014","$586,000",37.521523,-121.955505,CA,Single-Family Home,586000,"$661,000",94538,Grimmer,,,Sold,ALAMEDA
5,6189 Linford Ter,2.5,2.0,Fremont,"1,249 sqft","Mar 4, 2014","$685,000",37.554054,-122.060524,CA,Single-Family Home,685000,"$652,000",94555,Ardenwood,,,Sold,ALAMEDA
6,4535 Amiens Ave,2.0,3.0,Fremont,"1,504 sqft","Mar 4, 2014","$740,000",37.572014,-122.050255,CA,Single-Family Home,740000,"$843,000",94555,Ardenwood,,,Sold,ALAMEDA
7,38890 Helen Way,2.0,3.0,Fremont,"1,338 sqft","Mar 4, 2014","$679,000",37.54184,-121.99579,CA,Single-Family Home,679000,"$732,000",94536,Glenmoor,,,Sold,ALAMEDA
8,3780 Goldfinch Ter,2.5,4.0,Fremont,"1,853 sqft","Mar 4, 2014","$725,000",37.580673,-122.04737,CA,Single-Family Home,725000,"$802,000",94555,Northgate,,,Sold,ALAMEDA
9,41454 Erma Ave,2.0,4.0,Fremont,"1,134 sqft","Mar 4, 2014","$930,000",37.537457,-121.94753,CA,Single-Family Home,930000,"$974,000",94539,Mission Valley,,,Sold,ALAMEDA
10,2886 Cooper Pl,2.0,3.0,Fremont,"1,585 sqft","Mar 4, 2014","$790,000",37.58573,-122.03781,CA,Single-Family Home,790000,"$756,000",94555,Northgate,,,Sold,ALAMEDA
11,39951 Fremont Blvd #24,2.0,2.0,Fremont,"1,146 sqft","Mar 4, 2014","$410,000",37.54082,-121.97438,CA,Condo,410000,"$461,000",94538,Sundale,,,Sold,ALAMEDA
12,38801 Tyson Ln,2.5,4.0,Fremont,"1,579 sqft","Feb 28, 2014","$805,000",37.561764,-121.97445,CA,Single-Family Home,805000,"$876,000",94536,Cherry - Guardino,,,Sold,ALAMEDA
13,5457 Alamo Ter,2.5,3.0,Fremont,"1,481 sqft","Feb 28, 2014","$789,000",37.56274,-122.06038,CA,Single-Family Home,789000,"$761,000",94555,Ardenwood,,,Sold,ALAMEDA
14,751 Wichitaw Dr,2.0,3.0,Fremont,"1,542 sqft","Feb 28, 2014","$955,000",37.486145,-121.91863,CA,Single-Family Home,955000,"$1,016,000",94539,Warm Springs,,,Sold,ALAMEDA
15,3695 Stevenson Blvd #A241,2.0,2.0,Fremont,"1,040 sqft","Feb 28, 2014","$390,000",37.543167,-121.97366,CA,Condo,390000,"$421,000",94538,Central Downtown,,,Sold,ALAMEDA
16,40342 Linaria Cir,2.5,4.0,Fremont,"1,614 sqft","Feb 28, 2014","$755,000",37.523903,-121.98211,CA,Single-Family Home,755000,"$874,000",94538,Blacow,,,Sold,ALAMEDA
17,37248 Meadowbrook Cmn #204,2.0,2.0,Fremont,"1,123 sqft","Feb 28, 2014","$326,000",37.56101,-122.00573,CA,Condo,326000,"$417,000",94536,Centerville,,,Sold,ALAMEDA
18,3707 Langdon Cmn,2.5,3.0,Fremont,"1,637 sqft","Feb 28, 2014","$769,000",37.546284,-121.97697,CA,Townhouse,769000,"$726,000",94538,Central Downtown,,,Sold,ALAMEDA
19,254 Rosado Rd,2.5,4.0,Fremont,"2,095 sqft","Feb 28, 2014","$1,182,000",37.551853,-121.94591,CA,Single-Family Home,1182000,"$1,225,000",94539,Kimber - Gomes,,,Sold,ALAMEDA
20,39874 Sundale Dr,2.0,4.0,Fremont,"1,494 sqft","Feb 28, 2014","$552,000",37.531094,-121.983284,CA,Single-Family Home,552000,"$667,000",94538,Sundale,,,Sold,ALAMEDA
21,49094 Rose Ter,2.5,3.0,Fremont,"1,584 sqft","Feb 28, 2014","$756,000",37.459785,-121.91605,CA,Condo,756000,"$810,000",94539,East Industrial,,,Sold,ALAMEDA
22,3642 Franklin Ave,2.0,3.0,Fremont,"1,151 sqft","Feb 28, 2014","$595,000",37.52352,-121.95279,CA,Single-Family Home,595000,"$630,000",94538,Grimmer,,,Sold,ALAMEDA
23,4463 Hyde Cmn #302,2.0,2.0,Fremont,"1,244 sqft","Feb 28, 2014","$503,500",37.531418,-121.96591,CA,Condo,503500,"$558,000",94538,Irvington,,,Sold,ALAMEDA
24,4255 Mockingbird Way,2.5,4.0,Fremont,"2,293 sqft","Feb 28, 2014","$888,000",37.57933,-122.05884,CA,Single-Family Home,888000,"$858,000",94555,Lakes and Birds,,,Sold,ALAMEDA
25,42271 Forsythia Dr,2.0,4.0,Fremont,"1,931 sqft","Feb 28, 2014","$1,580,000",37.537876,-121.9354,CA,Single-Family Home,1580000,"$1,303,000",94539,Mission Valley,,,Sold,ALAMEDA
26,38812 Stillwater Cmn,3.0,4.0,Fremont,"1,563 sqft","Feb 28, 2014","$734,000",37.563915,-121.96886,CA,Single-Family Home,734000,"$767,000",94536,Cherry - Guardino,,,Sold,ALAMEDA
27,4441 Bush Cir,2.5,4.0,Fremont,"1,917 sqft","Feb 28, 2014","$812,500",37.51432,-121.959625,CA,Single-Family Home,812500,"$847,000",94538,Grimmer,,,Sold,ALAMEDA
28,4941 Mattos Dr,4.0,5.0,Fremont,"2,873 sqft","Feb 28, 2014","$1,210,000",37.542355,-122.00735,CA,Single-Family Home,1210000,"$1,126,000",94536,Glenmoor,,,Sold,ALAMEDA
29,758 Covina Way,2.0,2.0,Fremont,"1,010 sqft","Feb 28, 2014","$990,000",37.484776,-121.91799,CA,Single-Family Home,990000,"$795,000",94539,Warm Springs,,,Sold,ALAMEDA
30,4161 Trinidad Ter,1.5,3.0,Fremont,"1,166 sqft","Feb 28, 2014","$380,000",37.571705,-122.037964,CA,Townhouse,380000,"$408,000",94555,Northgate,,,Sold,ALAMEDA
31,4467 Maybeck Ter,3.5,3.0,Fremont,"2,036 sqft","Feb 28, 2014","$690,000",37.552128,-122.009674,CA,Single-Family Home,690000,"$810,000",94536,Centerville,,,Sold,ALAMEDA
32,300 Mackintosh Ter,4.5,5.0,Fremont,"3,940 sqft","Feb 28, 2014","$2,050,000",37.555984,-121.94393,CA,Single-Family Home,2050000,"$2,166,000",94539,Kimber - Gomes,,,Sold,ALAMEDA
33,4413 Elaiso Cmn,2.5,4.0,Fremont,"1,474 sqft","Feb 27, 2014","$468,000",37.556484,-122.01851,CA,Townhouse,468000,"$499,000",94536,Cabrillo,,,Sold,ALAMEDA
34,5255 Fairbanks Cmn,2.0,2.0,Fremont,"1,050 sqft","Feb 27, 2014","$480,000",37.560772,-122.05116,CA,Single-Family Home,480000,"$527,000",94555,Ardenwood,,,Sold,ALAMEDA
35,999 Seminole Cmn,4.0,3.0,Fremont,"4,061 sqft","Feb 27, 2014","$2,500,000",37.51456,-121.92527,CA,Single-Family Home,2500000,"$1,898,000",94539,Weibel,,,Sold,ALAMEDA
36,32419 Lake Temescal Ln,2.0,3.0,Fremont,"1,346 sqft","Feb 27, 2014","$725,000",37.590473,-122.06125,CA,Single-Family Home,725000,"$728,000",94555,,,,Sold,ALAMEDA
37,3183 Puttenham Way,2.0,3.0,Fremont,"1,579 sqft","Feb 27, 2014","$758,000",37.56896,-122.01206,CA,Single-Family Home,758000,"$775,000",94536,Brookvale,,,Sold,ALAMEDA
38,4343 Delaware Dr,2.0,3.0,Fremont,"1,104 sqft","Feb 26, 2014","$601,500",37.518257,-121.9601,CA,Single-Family Home,601500,"$622,000",94538,Grimmer,,,Sold,ALAMEDA
39,42939 Fremont Blvd,2.0,3.0,Fremont,"1,104 sqft","Feb 26, 2014","$580,000",37.519516,-121.95594,CA,Single-Family Home,580000,"$612,000",94538,Grimmer,,,Sold,ALAMEDA
40,5131 Amberwood Dr,3.0,3.0,Fremont,"2,190 sqft","Feb 26, 2014","$950,000",37.564556,-122.0532,CA,Single-Family Home,950000,"$1,002,000",94555,Ardenwood,,,Sold,ALAMEDA
41,40732 Laguna Pl,2.0,4.0,Fremont,"1,514 sqft","Feb 26, 2014","$1,030,000",37.54816,-121.94922,CA,Single-Family Home,1030000,"$1,107,000",94539,Kimber - Gomes,,,Sold,ALAMEDA
42,1494 Shinn Ct,2.0,3.0,Fremont,"1,487 sqft","Feb 26, 2014","$740,000",37.563995,-121.98294,CA,Single-Family Home,740000,"$819,000",94536,Parkmont,,,Sold,ALAMEDA
43,798 Mollie Ter,3.0,5.0,Fremont,"2,157 sqft","Feb 26, 2014","$852,000",37.564316,-121.97429,CA,Single-Family Home,852000,"$955,000",94536,Cherry - Guardino,,,Sold,ALAMEDA
44,4063 Murray Cmn,2.0,2.0,Fremont,"1,187 sqft","Feb 25, 2014","$375,000",37.542255,-121.97826,CA,Condo,375000,"$435,000",94538,Sundale,,,Sold,ALAMEDA
45,3731 Boswell Ter,1.5,3.0,Fremont,"1,168 sqft","Feb 25, 2014","$435,000",37.554707,-121.995476,CA,Townhouse,435000,"$461,000",94536,Centerville,,,Sold,ALAMEDA
46,32744 Shaver Lake St,2.5,4.0,Fremont,"1,889 sqft","Feb 25, 2014","$805,000",37.588985,-122.055756,CA,Single-Family Home,805000,"$784,000",94555,Lakes and Birds,,,Sold,ALAMEDA
47,38114 Martha Ave,2.0,2.0,Fremont,"1,230 sqft","Feb 25, 2014","$545,000",37.56009,-121.99169,CA,Single-Family Home,545000,"$625,000",94536,Parkmont,,,Sold,ALAMEDA
48,4857 Porter St,2.0,4.0,Fremont,"1,494 sqft","Feb 25, 2014","$636,000",37.528587,-121.980774,CA,Single-Family Home,636000,"$694,000",94538,South Sundale,,,Sold,ALAMEDA
49,47442 Mantis St,2.0,4.0,Fremont,"1,544 sqft","Feb 25, 2014","$930,000",37.48497,-121.91646,CA,Single-Family Home,930000,"$984,000",94539,Warm Springs,,,Sold,ALAMEDA
50,5207 Reeder Ct,3.0,4.0,Fremont,"2,062 sqft","Feb 25, 2014","$871,000",37.538593,-122.00919,CA,Single-Family Home,871000,"$1,001,000",94536,Glenmoor,,,Sold,ALAMEDA
51,4428 Amador Rd,2.0,4.0,Fremont,"1,696 sqft","Feb 21, 2014","$580,000",37.540833,-121.98892,CA,Single-Family Home,580000,"$674,000",94538,Sundale,,,Sold,ALAMEDA
