id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,501 W Santa Inez Ave,3.5,4.0,Hillsborough,"2,510 sqft","Dec 31, 1969",$0,37.562088,-122.34436,CA,Single-Family Home,2595000,,94010,Hillsborough Heights,26,,For Sale,SAN MATEO
2,1205 Tournament Dr,6.0,5.0,Hillsborough,"6,050 sqft","Dec 31, 1969",$0,37.535133,-122.3429,CA,Single-Family Home,3998000,,94010,Tobin Clark Estate,18,,For Sale,SAN MATEO
3,18 Farm Ln,5.5,4.0,Hillsborough,"5,103 sqft","Dec 31, 1969",$0,37.562042,-122.35998,CA,Single-Family Home,7780000,,94010,Homeplace,12,,For Sale,SAN MATEO
4,551 Craig Rd,4.5,5.0,Hillsborough,,"Dec 31, 1969",$0,37.55559,-122.37332,CA,Single-Family Home,5250000,,94010,Carolands,12,,For Sale,SAN MATEO
5,101 Robin Rd,11.0,10.0,Hillsborough,"9,110 sqft","Dec 31, 1969",$0,37.5608,-122.362816,CA,Single-Family Home,7900000,,94010,Homeplace,14,,For Sale,SAN MATEO
6,585 Chelmsford Rd,5.0,4.0,Hillsborough,"4,350 sqft","Dec 31, 1969",$0,37.561928,-122.34742,CA,Single-Family Home,3998000,,94010,Hillsborough Heights,15,,For Sale,SAN MATEO
7,1157 Barroilhet Dr,6.0,4.0,Hillsborough,"4,610 sqft","Dec 31, 1969",$0,37.56512,-122.36194,CA,Single-Family Home,4395000,,94010,Homeplace,17,,For Sale,SAN MATEO
8,1015 Macadamia Dr,7.0,6.0,Hillsborough,"4,956 sqft","Dec 31, 1969",$0,37.56928,-122.378426,CA,Single-Family Home,4150000,,94010,Skyfarm,17,,For Sale,SAN MATEO
9,903 Tournament Dr,4.0,4.0,Hillsborough,"3,190 sqft","Dec 31, 1969",$0,37.54575,-122.33688,CA,Single-Family Home,2800000,,94010,Tobin Clark Estate,17,,For Sale,SAN MATEO
10,383 Sierra Dr,10.0,8.0,Hillsborough,"8,410 sqft","Dec 31, 1969",$0,37.55679,-122.34093,CA,Single-Family Home,12998000,,94010,Brewer Subdivision,20,,For Sale,SAN MATEO
11,40 Verbalee Ln,14.0,12.0,Hillsborough,"30,000 sqft","Dec 31, 1969",$0,37.543335,-122.338524,CA,Single-Family Home,23888000,,94010,Tobin Clark Estate,17,,For Sale,SAN MATEO
12,366 Hillsborough Blvd,4.0,4.0,Hillsborough,"3,800 sqft","Dec 31, 1969",$0,37.561226,-122.35152,CA,Single-Family Home,3695000,,94010,Hillsborough Heights,14,,For Sale,SAN MATEO
13,1385 Avondale Rd,4.0,4.0,Hillsborough,"2,889 sqft","Dec 31, 1969",$0,37.54757,-122.35722,CA,Single-Family Home,2899982,,94010,Lakeview,11,,For Sale,SAN MATEO
14,2255 Skyfarm Dr,8.0,5.0,Hillsborough,"9,800 sqft","Dec 31, 1969",$0,37.57028,-122.369354,CA,Single-Family Home,10700000,,94010,Country Club Manor,29,,For Sale,SAN MATEO
15,55 Aster Ave,6.0,6.0,Hillsborough,"7,020 sqft","Dec 31, 1969",$0,37.571068,-122.354935,CA,Single-Family Home,5399000,,94010,Homeplace,51,,For Sale,SAN MATEO
16,20 Silk Tree Pl,9.0,6.0,Hillsborough,"6,200 sqft","Dec 31, 1969",$0,37.559025,-122.380264,CA,Single-Family Home,3498000,,94010,Skyfarm,12,,For Sale,SAN MATEO
17,10 Kingswood Cir,4.5,4.0,Hillsborough,"4,620 sqft","Dec 31, 1969",$0,37.54008,-122.357994,CA,Single-Family Home,3600000,,94010,Lakeview,15,,For Sale,SAN MATEO
18,10 Live Oak Ln,4.0,5.0,Hillsborough,"4,310 sqft","Dec 31, 1969",$0,37.569637,-122.39122,CA,Single-Family Home,2695000,,94010,Hillsborough Hills,6,,For Sale,SAN MATEO
