id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,1570 Kingswood Dr,2.5,3.0,Hillsborough,"2,445 sqft","Feb 19, 2014","$2,449,000",37.540817,-122.35976,CA,Single-Family Home,2449000,"$2,508,000",94010,Lakeview,,,Sold,SAN MATEO
2,135 Bella Vista Dr,3.5,4.0,Hillsborough,"3,880 sqft","Feb 12, 2014","$3,495,000",37.57258,-122.38223,CA,Single-Family Home,3495000,"$3,319,000",94010,Skyfarm,,,Sold,SAN MATEO
3,1340 Avondale Rd,4.0,4.0,Hillsborough,"4,400 sqft","Feb 12, 2014","$2,905,000",37.548607,-122.35692,CA,Single-Family Home,2905000,"$4,469,000",94010,Lakeview,,,Sold,SAN MATEO
4,25 Bengloe Ln,2.5,3.0,Hillsborough,"2,440 sqft","Jan 31, 2014","$2,328,500",37.543755,-122.35756,CA,Single-Family Home,2328500,"$2,646,000",94010,Lakeview,,,Sold,SAN MATEO
5,139 Gramercy Dr,2.5,3.0,Hillsborough,"2,410 sqft","Jan 31, 2014","$2,800,000",37.566013,-122.33389,CA,Single-Family Home,2800000,"$3,157,000",94010,Baywood-Aragon,,,Sold,SAN MATEO
6,865 Black Mountain Rd,5.5,7.0,Hillsborough,"4,727 sqft","Jan 31, 2014","$6,500,000",37.557262,-122.34995,CA,Single-Family Home,6500000,"$3,282,000",94010,Hillsborough Heights,,,Sold,SAN MATEO
7,955 Jackling Dr,3.0,4.0,Hillsborough,"2,720 sqft","Jan 29, 2014","$2,450,000",37.576736,-122.375854,CA,Single-Family Home,2450000,"$2,804,000",94010,Hillsborough Oaksbridge,,,Sold,SAN MATEO
8,2495 Skyfarm Dr,3.5,4.0,Hillsborough,"4,410 sqft","Jan 24, 2014","$3,150,000",37.56337,-122.37559,CA,Single-Family Home,3150000,"$3,019,000",94010,Skyfarm,,,Sold,SAN MATEO
9,20 Orange Ct,3.5,5.0,Hillsborough,"4,240 sqft","Jan 24, 2014","$4,250,000",37.56333,-122.36864,CA,Single-Family Home,4250000,"$4,487,000",94010,Country Club Manor,,,Sold,SAN MATEO
10,40 Southdown Ct,,,Hillsborough,,"Jan 23, 2014","$2,930,000",37.54479,-122.35332,CA,Single-Family Home,2930000,,94010,Lakeview,,,Sold,SAN MATEO
11,1295 Buckingham Way,3.5,4.0,Hillsborough,"3,400 sqft","Jan 21, 2014","$2,850,000",37.534554,-122.357,CA,Single-Family Home,2850000,"$3,136,000",94010,Lakeview,,,Sold,SAN MATEO
12,210 Denise Dr,2.0,3.0,Hillsborough,"1,830 sqft","Jan 14, 2014","$2,230,000",37.5468,-122.3647,CA,Single-Family Home,2230000,"$2,388,000",94010,Carolands,,,Sold,SAN MATEO
13,70 Stonepine Rd,,,Hillsborough,,"Jan 10, 2014","$4,250,000",37.56431,-122.36159,CA,Single-Family Home,4250000,,94010,Homeplace,,,Sold,SAN MATEO
14,145 Stonehedge Rd,3.0,3.0,Hillsborough,"2,160 sqft","Jan 10, 2014","$3,798,000",37.560932,-122.335236,CA,Single-Family Home,3798000,"$3,298,000",94010,Brewer Subdivision,,,Sold,SAN MATEO
15,525 Chateau Dr,8.5,6.0,Hillsborough,"6,240 sqft","Jan 8, 2014","$5,600,000",37.562428,-122.36849,CA,Single-Family Home,5600000,"$5,788,000",94010,Carolands,,,Sold,SAN MATEO
16,720 Bromfield Rd,4.5,5.0,Hillsborough,"3,580 sqft","Jan 7, 2014","$3,795,000",37.567158,-122.35193,CA,Single-Family Home,3795000,"$3,826,000",94010,Homeplace,,,Sold,SAN MATEO
17,125 Eucalyptus Ave,3.5,4.0,Hillsborough,"3,380 sqft","Jan 6, 2014","$3,300,000",37.560055,-122.357796,CA,Single-Family Home,3300000,"$3,818,000",94010,Homeplace,,,Sold,SAN MATEO
18,150 New Place Rd,6.5,6.0,Hillsborough,"5,970 sqft","Dec 31, 2013","$13,270,000",37.564445,-122.36738,CA,Single-Family Home,13270000,"$4,446,000",94010,Country Club Manor,,,Sold,SAN MATEO
19,259 Bridge Rd,4.5,5.0,Hillsborough,"4,650 sqft","Dec 30, 2013","$4,100,000",37.559822,-122.33923,CA,Single-Family Home,4100000,"$4,226,000",94010,Brewer Subdivision,,,Sold,SAN MATEO
20,1525 Bairn Dr,2.0,4.0,Hillsborough,"2,800 sqft","Dec 30, 2013","$1,800,000",37.542915,-122.358955,CA,Single-Family Home,1800000,"$2,262,000",94010,Lakeview,,,Sold,SAN MATEO
21,2121 Ralston Ave,3.0,5.0,Hillsborough,"3,320 sqft","Dec 30, 2013","$3,000,000",37.57065,-122.357155,CA,Single-Family Home,3000000,"$3,303,000",94010,Homeplace,,,Sold,SAN MATEO
