id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,2539 Vintage Ln,4.0,4.0,Livermore,"3,940 sqft","Dec 31, 1969",$0,37.66309,-121.76132,CA,Single-Family Home,1250000,,94550,,31,,For Sale,ALAMEDA
2,433 Ontario Dr,2.0,4.0,Livermore,"1,679 sqft","Dec 31, 1969",$0,37.665215,-121.79558,CA,Single-Family Home,589000,,94550,,31,,For Sale,ALAMEDA
3,4109 Bristlecone Way,2.0,3.0,Livermore,"1,305 sqft","Dec 31, 1969",$0,37.71265,-121.75079,CA,Single-Family Home,499000,,94551,,18,,For Sale,ALAMEDA
4,1357 Pegan Cmn,4.0,4.0,Livermore,"3,090 sqft","Dec 31, 1969",$0,37.678837,-121.73813,CA,Single-Family Home,998000,,94550,,28,,For Sale,ALAMEDA
5,705 Via Del Sol,3.0,4.0,Livermore,"2,196 sqft","Dec 31, 1969",$0,37.661266,-121.79026,CA,Single-Family Home,829000,,94550,,38,,For Sale,ALAMEDA
6,366 Pestana Pl,2.0,4.0,Livermore,"1,654 sqft","Dec 31, 1969",$0,37.68443,-121.75854,CA,Single-Family Home,525000,,94550,,69,,For Sale,ALAMEDA
7,2164 Beech Cmn,2.0,3.0,Livermore,"1,526 sqft","Dec 31, 1969",$0,37.723797,-121.72152,CA,Single-Family Home,200000,,94551,,46,,For Sale,ALAMEDA
8,3910 Stanford Way,2.0,3.0,Livermore,"1,431 sqft","Dec 31, 1969",$0,37.68309,-121.75113,CA,Single-Family Home,550000,,94550,,45,,For Sale,ALAMEDA
9,397 Lincoln Ave,2.0,4.0,Livermore,"1,702 sqft","Dec 31, 1969",$0,37.68456,-121.746475,CA,Single-Family Home,585000,,94550,,37,,For Sale,ALAMEDA
10,207 Heligan Ln #4,2.0,2.0,Livermore,"1,138 sqft","Dec 31, 1969",$0,37.707874,-121.80119,CA,Apt/Condo/Twnhm,439900,,94551,,32,,For Sale,ALAMEDA
11,1038 Larkspur Dr,2.5,4.0,Livermore,"2,125 sqft","Dec 31, 1969",$0,37.706684,-121.7427,CA,Single-Family Home,550000,,94551,,55,,For Sale,ALAMEDA
12,613 Catalina Dr,2.0,3.0,Livermore,"1,254 sqft","Dec 31, 1969",$0,37.66708,-121.789955,CA,Single-Family Home,610000,,94550,,45,,For Sale,ALAMEDA
13,1462 Vancouver Way,2.0,3.0,Livermore,"1,838 sqft","Dec 31, 1969",$0,37.666817,-121.77602,CA,Single-Family Home,629500,,94550,,49,,For Sale,ALAMEDA
14,3131 Arcadia Cmn #5,3.0,3.0,Livermore,"1,322 sqft","Dec 31, 1969",$0,37.70925,-121.805534,CA,Apt/Condo/Twnhm,474900,,94551,,31,,For Sale,ALAMEDA
15,2389 Senger St,3.0,5.0,Livermore,"2,897 sqft","Dec 31, 1969",$0,37.67159,-121.723595,CA,Single-Family Home,918000,,94550,,17,,For Sale,ALAMEDA
16,890 Jefferson Ave,2.0,3.0,Livermore,"1,307 sqft","Dec 31, 1969",$0,37.680935,-121.743744,CA,Single-Family Home,564500,,94550,,42,,For Sale,ALAMEDA
17,882 Hazel St,3.0,4.0,Livermore,"2,068 sqft","Dec 31, 1969",$0,37.687183,-121.728546,CA,Single-Family Home,639000,,94550,,31,,For Sale,ALAMEDA
18,5128 Tulip Ct,2.0,2.0,Livermore,"1,515 sqft","Dec 31, 1969",$0,37.71181,-121.740074,CA,Single-Family Home,489950,,94551,,38,,For Sale,ALAMEDA
19,852 Dakota Ct,2.0,3.0,Livermore,"1,282 sqft","Dec 31, 1969",$0,37.688206,-121.787895,CA,Single-Family Home,499000,,94551,,55,,For Sale,ALAMEDA
20,2422 Lakeside Cir,4.0,5.0,Livermore,"3,405 sqft","Dec 31, 1969",$0,37.652348,-121.792,CA,Single-Family Home,1275000,,94550,,22,,For Sale,ALAMEDA
21,5800 Eagles Run Rd,2.5,3.0,Livermore,"3,332 sqft","Dec 31, 1969",$0,37.66395,-121.6333,CA,Single-Family Home,1499950,,94550,,0,,For Sale,ALAMEDA
22,20850 Mines Rd,,,Livermore,,"Dec 31, 1969",$0,37.5304,-121.55357,CA,Lot/Land,617000,,94550,,0,,For Sale,ALAMEDA
23,1654 Juniper St,2.0,3.0,Livermore,"1,584 sqft","Dec 31, 1969",$0,37.69091,-121.780365,CA,Single-Family Home,499950,,94551,,60,,For Sale,ALAMEDA
24,2302 Tapestry Dr,2.5,4.0,Livermore,"2,878 sqft","Dec 31, 1969",$0,37.660755,-121.764626,CA,Single-Family Home,1129950,,94550,,29,,For Sale,ALAMEDA
25,5571 Goldenrod Dr,3.0,5.0,Livermore,"2,610 sqft","Dec 31, 1969",$0,37.713768,-121.72888,CA,Single-Family Home,735000,,94551,,52,,For Sale,ALAMEDA
26,1661 Juniper St,2.5,3.0,Livermore,"1,914 sqft","Dec 31, 1969",$0,37.690533,-121.78003,CA,Single-Family Home,599888,,94551,,60,,For Sale,ALAMEDA
