id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,825 Dakota Ct,2.0,4.0,Livermore,"1,872 sqft","Mar 4, 2014","$620,000",37.68762,-121.7873,CA,Single-Family Home,620000,"$637,000",94551,,,,Sold,ALAMEDA
2,748 Lido Dr,2.0,3.0,Livermore,"1,651 sqft","Mar 4, 2014","$650,000",37.66287,-121.78883,CA,Single-Family Home,650000,"$622,000",94550,,,,Sold,ALAMEDA
3,4935 Candy Ct,2.0,3.0,Livermore,"1,842 sqft","Mar 4, 2014","$698,000",37.693733,-121.73457,CA,Single-Family Home,698000,"$749,000",94550,,,,Sold,ALAMEDA
4,564 Everglades Ln,2.0,3.0,Livermore,"1,450 sqft","Mar 3, 2014","$605,000",37.68492,-121.80296,CA,Single-Family Home,605000,"$634,000",94551,,,,Sold,ALAMEDA
5,760 N N St,1.0,2.0,Livermore,794 sqft,"Feb 28, 2014","$400,000",37.68851,-121.77711,CA,Single-Family Home,400000,"$426,000",94551,,,,Sold,ALAMEDA
6,1468 Wilton Rd,2.0,3.0,Livermore,"1,366 sqft","Feb 28, 2014","$600,000",37.694252,-121.79523,CA,Single-Family Home,600000,"$596,000",94551,,,,Sold,ALAMEDA
7,5289 Kisa Ct,2.0,4.0,Livermore,"1,758 sqft","Feb 28, 2014","$615,000",37.68525,-121.72917,CA,Single-Family Home,615000,"$667,000",94550,,,,Sold,ALAMEDA
8,1977 Altair Ave,2.5,4.0,Livermore,"3,092 sqft","Feb 28, 2014","$1,099,000",37.65762,-121.7956,CA,Single-Family Home,1099000,"$1,060,000",94550,,,,Sold,ALAMEDA
9,67 Medina St,2.0,4.0,Livermore,"1,798 sqft","Feb 28, 2014","$640,000",37.691597,-121.74104,CA,Single-Family Home,640000,"$765,000",94550,,,,Sold,ALAMEDA
10,2834 Carmen Ave,2.0,3.0,Livermore,"1,223 sqft","Feb 28, 2014","$630,000",37.67582,-121.75972,CA,Single-Family Home,630000,"$656,000",94550,,,,Sold,ALAMEDA
11,879 Tolentino Ct,5.5,6.0,Livermore,"5,589 sqft","Feb 28, 2014","$1,600,000",37.646053,-121.7845,CA,Single-Family Home,1600000,"$1,737,000",94550,,,,Sold,ALAMEDA
12,1008 Redondo Way,2.0,3.0,Livermore,"1,148 sqft","Feb 28, 2014","$475,000",37.66656,-121.783295,CA,Single-Family Home,475000,"$531,000",94550,,,,Sold,ALAMEDA
13,3088 Bridle Ct,2.5,4.0,Livermore,"1,856 sqft","Feb 28, 2014","$643,500",37.7304,-121.732765,CA,Single-Family Home,643500,"$696,000",94551,,,,Sold,ALAMEDA
14,2890 Kew Ave,,,Livermore,,"Feb 28, 2014","$482,500",37.70817,-121.803925,CA,Unknown,482500,,94551,,,,Sold,ALAMEDA
15,1120 Wynn Cir,2.0,3.0,Livermore,"1,536 sqft","Feb 28, 2014","$674,000",37.681557,-121.73583,CA,Single-Family Home,674000,"$715,000",94550,,,,Sold,ALAMEDA
16,2493 4th St,1.0,2.0,Livermore,893 sqft,"Feb 28, 2014","$350,000",37.680634,-121.76461,CA,Single-Family Home,350000,"$505,000",94550,,,,Sold,ALAMEDA
17,223 Sonia Way,,,Livermore,,"Feb 27, 2014","$769,000",37.687866,-121.74803,CA,Lot/Land,769000,,94550,,,,Sold,ALAMEDA
18,4023 Emerson Dr,2.5,4.0,Livermore,"2,483 sqft","Feb 27, 2014","$811,000",37.695763,-121.749176,CA,Single-Family Home,811000,"$853,000",94551,,,,Sold,ALAMEDA
19,1210 Spring Valley Cmn,2.5,3.0,Livermore,"1,274 sqft","Feb 27, 2014","$350,000",37.706795,-121.74454,CA,Townhouse,350000,"$421,000",94551,,,,Sold,ALAMEDA
20,829 Olivina Ave,2.0,4.0,Livermore,"1,300 sqft","Feb 27, 2014","$495,000",37.68269,-121.78594,CA,Single-Family Home,495000,"$516,000",94551,,,,Sold,ALAMEDA
21,2311 Vintage Ln,4.5,5.0,Livermore,"4,226 sqft","Feb 27, 2014","$1,510,000",37.663235,-121.7646,CA,Single-Family Home,1510000,"$1,561,000",94550,,,,Sold,ALAMEDA
22,2194 Elsa Cmn,2.5,3.0,Livermore,"1,911 sqft","Feb 26, 2014","$585,000",37.69421,-121.77418,CA,Single-Family Home,585000,"$691,000",94551,,,,Sold,ALAMEDA
23,1832 Railroad Ave #100,,,Livermore,,"Feb 26, 2014","$485,000",37.682156,-121.77436,CA,Unknown,485000,,94550,,,,Sold,ALAMEDA
