id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,300 Murchison Dr #208,1.0,1.0,Millbrae,734 sqft,"Feb 13, 2014","$480,000",37.594795,-122.38824,CA,Condo,480000,"$519,000",94030,,,,Sold,SAN MATEO
2,320 Vallejo Dr #10,2.0,2.0,Millbrae,995 sqft,"Feb 12, 2014","$567,000",37.584328,-122.4046,CA,Condo,567000,"$685,000",94030,,,,Sold,SAN MATEO
3,801 Crestview Dr,2.0,3.0,Millbrae,"1,840 sqft","Jan 31, 2014","$1,260,000",37.59359,-122.41566,CA,Single-Family Home,1260000,"$1,312,000",94030,,,,Sold,SAN MATEO
4,308 S Ashton Ave,2.0,3.0,Millbrae,"2,010 sqft","Jan 31, 2014","$1,410,000",37.589596,-122.392075,CA,Single-Family Home,1410000,"$1,535,000",94030,,,,Sold,SAN MATEO
5,207 Valencia Dr,2.0,4.0,Millbrae,"2,010 sqft","Jan 31, 2014","$1,300,000",37.5873,-122.405045,CA,Single-Family Home,1300000,"$1,618,000",94030,,,,Sold,SAN MATEO
6,151 El Camino Real #117,,,Millbrae,,"Jan 31, 2014","$979,000",37.59949,-122.38932,CA,Condo,979000,"$1,060,000",94030,,,,Sold,SAN MATEO
7,209 Sebastian Dr,4.0,5.0,Millbrae,"2,820 sqft","Jan 30, 2014","$2,030,000",37.589325,-122.401375,CA,Single-Family Home,2030000,"$2,057,000",94030,,,,Sold,SAN MATEO
8,1100 Tuolumne Rd,3.0,4.0,Millbrae,"2,840 sqft","Jan 24, 2014","$1,450,000",37.598644,-122.41248,CA,Single-Family Home,1450000,"$1,962,000",94030,,,,Sold,SAN MATEO
9,1280 Manzanita Dr,2.0,3.0,Millbrae,"2,480 sqft","Jan 17, 2014","$1,900,000",37.58864,-122.399666,CA,Single-Family Home,1900000,"$1,764,000",94030,,,,Sold,SAN MATEO
10,55 Poplar Ave,2.0,3.0,Millbrae,"1,440 sqft","Jan 17, 2014","$1,188,000",37.596348,-122.39243,CA,Single-Family Home,1188000,"$1,244,000",94030,,,,Sold,SAN MATEO
11,1176 Millbrae Ave,2.5,4.0,Millbrae,"3,060 sqft","Jan 16, 2014","$1,700,000",37.59183,-122.40257,CA,Single-Family Home,1700000,"$1,679,000",94030,,,,Sold,SAN MATEO
12,241 Marcella Way,2.0,3.0,Millbrae,"1,700 sqft","Jan 10, 2014","$1,240,000",37.590767,-122.39307,CA,Single-Family Home,1240000,"$1,549,000",94030,,,,Sold,SAN MATEO
13,300 Murchison Dr #323,1.0,1.0,Millbrae,734 sqft,"Jan 9, 2014","$380,000",37.594795,-122.38824,CA,Condo,380000,"$509,000",94030,,,,Sold,SAN MATEO
14,604 Juanita Ave,1.0,3.0,Millbrae,"1,020 sqft","Jan 3, 2014","$930,000",37.609123,-122.41086,CA,Single-Family Home,930000,"$926,000",94030,,,,Sold,SAN MATEO
15,196 Aviador Ave,1.0,2.0,Millbrae,"1,000 sqft","Dec 31, 2013","$750,000",37.602985,-122.38585,CA,Single-Family Home,750000,"$804,000",94030,,,,Sold,SAN MATEO
16,1333 Hillcrest Blvd,1.0,2.0,Millbrae,"1,040 sqft","Dec 20, 2013","$1,060,000",37.59098,-122.407394,CA,Single-Family Home,1060000,"$1,008,000",94030,,,,Sold,SAN MATEO
17,855 Ahwahnee Dr,2.5,3.0,Millbrae,"2,010 sqft","Dec 20, 2013","$1,375,000",37.597775,-122.41096,CA,Single-Family Home,1375000,"$1,385,000",94030,,,,Sold,SAN MATEO
18,161 El Bonito Way,1.0,3.0,Millbrae,"1,480 sqft","Dec 19, 2013","$830,000",37.59509,-122.40336,CA,Single-Family Home,830000,"$1,066,000",94030,,,,Sold,SAN MATEO
19,839 Banbury Ln,2.0,3.0,Millbrae,"1,240 sqft","Dec 16, 2013","$840,000",37.60229,-122.41736,CA,Single-Family Home,840000,"$1,115,000",94030,,,,Sold,SAN MATEO
20,728 Berkshire Dr,2.5,5.0,Millbrae,"2,430 sqft","Dec 13, 2013","$1,260,000",37.597534,-122.40596,CA,Single-Family Home,1260000,"$1,692,000",94030,,,,Sold,SAN MATEO
21,151 El Camino Real #311,,,Millbrae,,"Dec 6, 2013","$743,000",37.59949,-122.38932,CA,Condo,743000,"$667,000",94030,,,,Sold,SAN MATEO
