id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,667 Kelmore St,2.0,4.0,Moss Beach,"2,800 sqft","Dec 31, 1969",$0,37.530846,-122.51365,CA,Single-Family Home,799000,,94038,,31,,For Sale,SAN MATEO
2,821 Ocean Blvd,3.0,4.0,Moss Beach,"2,075 sqft","Dec 31, 1969",$0,37.516098,-122.511696,CA,Single-Family Home,1000000,,94038,,9,,For Sale,SAN MATEO
3,31 Julianna Ave,3.0,2.0,Moss Beach,"2,320 sqft","Dec 31, 1969",$0,37.529198,-122.5161,CA,Single-Family Home,1495000,,94038,,20,,For Sale,SAN MATEO
4,441 Terrace Ave,2.0,3.0,Moss Beach,"1,620 sqft","Dec 31, 1969",$0,37.524452,-122.51168,CA,Single-Family Home,659000,,94038,,17,,For Sale,SAN MATEO
5,9680 Cabrillo Hwy,2.0,3.0,Moss Beach,"1,526 sqft","Dec 31, 1969",$0,37.523735,-122.51016,CA,Single-Family Home,659000,,94038,,14,,For Sale,SAN MATEO
6,40 Afar Way,4.0,5.0,Moss Beach,"5,000 sqft","Dec 31, 1969",$0,37.536682,-122.51367,CA,Single-Family Home,3000000,,94038,,35,,For Sale,SAN MATEO
7,870 Etheldore St,1.0,2.0,Moss Beach,"1,210 sqft","Dec 31, 1969",$0,37.527843,-122.51113,CA,Single-Family Home,649000,,94038,,25,,For Sale,SAN MATEO
8,770 Kelmore St,3.5,4.0,Moss Beach,"3,120 sqft","Dec 31, 1969",$0,37.529663,-122.51237,CA,Single-Family Home,1049000,,94038,,23,,For Sale,SAN MATEO
9,Ocean Blvd,,,Moss Beach,,"Dec 31, 1969",$0,37.516807,-122.512334,CA,Lot/Land,19750,,94038,,,,For Sale,SAN MATEO
10,864 Montana St,3.0,3.0,Moss Beach,"2,839 sqft","Dec 31, 1969",$0,37.533203,-122.51396,CA,Single-Family Home,1149000,,94038,,29,,For Sale,SAN MATEO
11,Cabrillo Hwy,,,Moss Beach,,"Dec 31, 1969",$0,37.521738,-122.507494,CA,Income/Investment,333600,,94038,,,,For Sale,SAN MATEO
12,Cabrillo Hwy,,,Moss Beach,,"Dec 31, 1969",$0,37.521738,-122.507494,CA,Income/Investment,160000,,94018,,,,For Sale,SAN MATEO
13,San Ramon,,,Moss Beach,,"Dec 31, 1969",$0,37.516754,-122.511018,CA,Lot/Land,199000,,94038,,,,For Sale,SAN MATEO
14,Cabrillo Hwy,,,Moss Beach,,"Dec 31, 1969",$0,37.521738,-122.507494,CA,Lot/Land,160000,,94018,,,,For Sale,SAN MATEO
15,San Ramon,,,Moss Beach,,"Dec 31, 1969",$0,37.516754,-122.511018,CA,Lot/Land,199000,,94038,,,,For Sale,SAN MATEO
16,Cabrillo Hwy,,,Moss Beach,,"Dec 31, 1969",$0,37.521738,-122.507494,CA,Lot/Land,333600,,94038,,,,For Sale,SAN MATEO
17,Cabrillo Hwy,2.0,3.0,Moss Beach,"1,524 sqft","Dec 31, 1969",$0,37.52443,-122.51038,CA,Single-Family Home,640000,,94038,,17,,For Sale,SAN MATEO
18,Loma Vista St,2.0,3.0,Moss Beach,"1,250 sqft","Dec 31, 1969",$0,37.53153,-122.509514,CA,Single-Family Home,656880,,94038,,26,,For Sale,SAN MATEO
19,Lancaster Blvd,,,Moss Beach,,"Dec 31, 1969",$0,37.525143,-122.51194,CA,Unspecified,644801,,94038,,25,,For Sale,SAN MATEO
