id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,868 Linda Vista St,2.0,3.0,Moss Beach,"1,940 sqft","Jan 31, 2014","$726,000",37.531334,-122.50889,CA,Single-Family Home,726000,"$779,000",94038,,,,Sold,SAN MATEO
2,170 Los Banos Ave,3.0,4.0,Moss Beach,"2,200 sqft","Jan 23, 2014","$722,000",37.518158,-122.51129,CA,Single-Family Home,722000,"$874,000",94038,,,,Sold,SAN MATEO
3,247 Virginia Ave,1.0,1.0,Moss Beach,580 sqft,"Jan 16, 2014","$475,000",37.52401,-122.515045,CA,Single-Family Home,475000,"$349,000",94038,,,,Sold,SAN MATEO
4,882 Etheldore St,1.0,3.0,Moss Beach,"1,720 sqft","Dec 27, 2013","$695,000",37.527378,-122.51124,CA,Single-Family Home,695000,"$477,000",94038,,,,Sold,SAN MATEO
5,425 Virginia Ave,3.0,4.0,Moss Beach,"2,780 sqft","Dec 4, 2013","$850,000",37.525543,-122.514,CA,Single-Family Home,850000,"$554,000",94038,,,,Sold,SAN MATEO
6,698 Vermont Ave,2.5,3.0,Moss Beach,"1,680 sqft","Nov 12, 2013","$600,000",37.52972,-122.50951,CA,Single-Family Home,600000,"$738,000",94038,,,,Sold,SAN MATEO
7,460 Lancaster Ave,2.0,3.0,Moss Beach,"1,510 sqft","Oct 29, 2013","$670,000",37.52501,-122.51175,CA,Single-Family Home,670000,"$317,000",94038,,,,Sold,SAN MATEO
8,387 13th St,2.0,3.0,Moss Beach,"1,310 sqft","Oct 4, 2013","$695,000",37.53723,-122.514885,CA,Single-Family Home,695000,"$315,000",94038,,,,Sold,SAN MATEO
9,140 San Lucas Ave,3.0,4.0,Moss Beach,"2,600 sqft","Sep 27, 2013","$850,000",37.515823,-122.51093,CA,Single-Family Home,850000,"$872,000",94038,,,,Sold,SAN MATEO
10,931 Wave Ave,,,Moss Beach,,"Sep 13, 2013","$680,000",37.52717,-122.50929,CA,Single-Family Home,680000,,94038,,,,Sold,SAN MATEO
11,1001 Ocean Blvd,,,Moss Beach,,"Sep 10, 2013","$30,000",37.513046,-122.50991,CA,Unknown,30000,,94038,,,,Sold,SAN MATEO
12,206 California Ave,2.0,3.0,Moss Beach,"1,700 sqft","Aug 23, 2013","$975,000",37.52386,-122.51555,CA,Single-Family Home,975000,"$314,000",94038,,,,Sold,SAN MATEO
13,379 Virginia Ave,1.0,2.0,Moss Beach,"1,350 sqft","Aug 15, 2013","$702,000",37.525024,-122.51436,CA,Single-Family Home,702000,"$331,000",94038,,,,Sold,SAN MATEO
14,105 San Lucas Ave,1.5,3.0,Moss Beach,"1,470 sqft","Jul 23, 2013","$690,000",37.515816,-122.51161,CA,Single-Family Home,690000,"$326,000",94038,,,,Sold,SAN MATEO
15,1080 Drake St,,,Moss Beach,,"Jul 12, 2013","$1,855,000",37.544037,-122.4993,CA,Single-Family Home,1855000,"$559,000",94038,,,,Sold,SAN MATEO
16,116 La Grande Ave,2.5,3.0,Moss Beach,"1,900 sqft","Jul 8, 2013","$550,000",37.516396,-122.51153,CA,Single-Family Home,550000,"$293,000",94038,,,,Sold,SAN MATEO
17,840 Lincoln St,3.0,3.0,Moss Beach,"2,340 sqft","Jul 3, 2013","$845,000",37.53316,-122.51442,CA,Single-Family Home,845000,"$312,000",94038,,,,Sold,SAN MATEO
