id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,40 W Atento Ln,2.5,4.0,Mountain House,"2,341 sqft","Dec 31, 1969",$0,37.774864,-121.545525,CA,Single-Family Home,425000,,95391,,9,,For Sale,SAN JOAQUIN
2,30 W Clarissa Ln,2.5,3.0,Mountain House,,"Dec 31, 1969",$0,37.77815,-121.54417,CA,Single-Family Home,300000,,95391,,23,,For Sale,SAN JOAQUIN
3,43 S Alonsa Ln,2.5,3.0,Mountain House,"1,460 sqft","Dec 31, 1969",$0,37.77932,-121.54746,CA,Single-Family Home,300000,,95391,,5,,For Sale,SAN JOAQUIN
4,The Sierra - Residence Three Plan,3.5,4.0,Mountain House,"2,612 sqft","Dec 31, 1969",$0,37.789513,-121.544556,CA,Single-Family Home,515000,,95391,,0,,For Sale,SAN JOAQUIN
5,30 W Fauna Ct,4.0,5.0,Mountain House,"2,968 sqft","Dec 31, 1969",$0,37.768787,-121.54779,CA,Single-Family Home,489900,,95391,,11,,For Sale,SAN JOAQUIN
6,The Alpine - Residence One Plan,2.5,3.0,Mountain House,"2,111 sqft","Dec 31, 1969",$0,37.789513,-121.544556,CA,Single-Family Home,445000,,95391,,0,,For Sale,SAN JOAQUIN
7,The Cascades - Residence Two Plan,3.0,4.0,Mountain House,"2,486 sqft","Dec 31, 1969",$0,37.789513,-121.544556,CA,Single-Family Home,529000,,95391,,0,,For Sale,SAN JOAQUIN
8,374 N Sierra Madre St,3.0,4.0,Mountain House,"3,142 sqft","Dec 31, 1969",$0,37.784145,-121.55369,CA,Single-Family Home,524900,,95391,,6,,For Sale,SAN JOAQUIN
9,437 N Orinda Ct,,,Mountain House,,"Dec 31, 1969",$0,37.784763,-121.546936,CA,Single-Family Home,429000,,95391,,6,,For Sale,SAN JOAQUIN
10,565 N Del Prado St,2.5,3.0,Mountain House,"1,886 sqft","Dec 31, 1969",$0,37.78666,-121.54311,CA,Single-Family Home,399000,,95391,,6,,For Sale,SAN JOAQUIN
11,276 W Adoncia Dr,3.0,3.0,Mountain House,"1,454 sqft","Dec 31, 1969",$0,37.77861,-121.54691,CA,Single-Family Home,300000,,95391,,11,,For Sale,SAN JOAQUIN
12,94 Patterson Ave,3.0,4.0,Mountain House,"2,714 sqft","Dec 31, 1969",$0,37.771988,-121.54406,CA,Single-Family Home,459900,,95391,,15,,For Sale,SAN JOAQUIN
13,167 W Alcala Ct,3.0,4.0,Mountain House,"2,486 sqft","Dec 31, 1969",$0,37.789177,-121.54275,CA,Single-Family Home,529000,,95391,,6,,For Sale,SAN JOAQUIN
14,708 N Plumas Dr,3.0,4.0,Mountain House,"2,935 sqft","Dec 31, 1969",$0,37.791344,-121.553566,CA,Single-Family Home,529000,,95391,,6,,For Sale,SAN JOAQUIN
15,709 N San Marcos Dr,3.5,5.0,Mountain House,"3,219 sqft","Dec 31, 1969",$0,37.79112,-121.55334,CA,Single-Family Home,569000,,95391,,6,,For Sale,SAN JOAQUIN
16,723 N San Marcos Dr,3.5,5.0,Mountain House,"3,219 sqft","Dec 31, 1969",$0,37.79135,-121.55309,CA,Single-Family Home,569000,,95391,,6,,For Sale,SAN JOAQUIN
17,698 S Tradition St,3.0,5.0,Mountain House,"3,706 sqft","Dec 31, 1969",$0,37.769745,-121.54194,CA,Single-Family Home,614900,,95391,,,,For Sale,SAN JOAQUIN
18,359 W Aventino Ave,3.0,4.0,Mountain House,"2,193 sqft","Dec 31, 1969",$0,37.78849,-121.546906,CA,Single-Family Home,423880,,95391,,6,,For Sale,SAN JOAQUIN
19,367 W Aventino Ave,3.0,4.0,Mountain House,"2,178 sqft","Dec 31, 1969",$0,37.788498,-121.54715,CA,Single-Family Home,423880,,95391,,6,,For Sale,SAN JOAQUIN
