id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,691 N Oliveto Dr,,,Mountain House,,"Mar 10, 2014","$455,000",37.787838,-121.548935,CA,Lot/Land,455000,,95391,,,,Sold,SAN JOAQUIN
2,635 N Andalusia Way,2.5,3.0,Mountain House,"1,870 sqft","Mar 7, 2014","$380,000",37.78724,-121.54229,CA,Single-Family Home,380000,"$433,000",95391,,,,Sold,SAN JOAQUIN
3,132 N Lafayette St,2.5,3.0,Mountain House,"1,999 sqft","Mar 7, 2014","$405,000",37.78052,-121.54667,CA,Single-Family Home,405000,"$423,000",95391,,,,Sold,SAN JOAQUIN
4,722 S Comunidad St,3.0,4.0,Mountain House,"2,481 sqft","Mar 7, 2014","$280,000",37.76955,-121.54915,CA,Single-Family Home,280000,"$476,000",95391,,,,Sold,SAN JOAQUIN
5,295 W Saint Francis Ave,,,Mountain House,,"Mar 6, 2014","$419,000",37.78355,-121.5475,CA,Lot/Land,419000,,95391,,,,Sold,SAN JOAQUIN
6,94 N Echo Park Ct,3.0,4.0,Mountain House,"2,866 sqft","Mar 6, 2014","$500,000",37.7803,-121.549675,CA,Single-Family Home,500000,"$539,000",95391,,,,Sold,SAN JOAQUIN
7,18 S Tranquilidad Ct,2.5,4.0,Mountain House,"2,121 sqft","Mar 4, 2014","$400,000",37.779106,-121.548546,CA,Single-Family Home,400000,"$447,000",95391,,,,Sold,SAN JOAQUIN
8,328 W Abbey Ln,,,Mountain House,,"Feb 28, 2014","$399,500",37.78903,-121.54637,CA,Lot/Land,399500,,95391,,,,Sold,SAN JOAQUIN
9,289 W Saint Francis Ave,,,Mountain House,,"Feb 28, 2014","$345,500",37.783546,-121.54737,CA,Lot/Land,345500,,95391,,,,Sold,SAN JOAQUIN
10,312 W Abbey Ln,,,Mountain House,,"Feb 28, 2014","$395,000",37.78902,-121.54589,CA,Lot/Land,395000,,95391,,,,Sold,SAN JOAQUIN
11,791 N Marquis Way,,,Mountain House,,"Feb 28, 2014","$470,000",37.789505,-121.5478,CA,Lot/Land,470000,,95391,,,,Sold,SAN JOAQUIN
12,265 W Saint Francis Ave,,,Mountain House,,"Feb 28, 2014","$417,000",37.78355,-121.54686,CA,Lot/Land,417000,,95391,,,,Sold,SAN JOAQUIN
13,436 N Ventura St,,,Mountain House,,"Feb 28, 2014","$417,000",37.78476,-121.54721,CA,Lot/Land,417000,,95391,,,,Sold,SAN JOAQUIN
14,343 W Aventino Ave,,,Mountain House,,"Feb 28, 2014","$425,000",37.788483,-121.546486,CA,Lot/Land,425000,,95391,,,,Sold,SAN JOAQUIN
15,784 Samantha St,3.0,5.0,Mountain House,"3,706 sqft","Feb 28, 2014","$525,500",37.768406,-121.53958,CA,Single-Family Home,525500,"$563,000",95391,,,,Sold,SAN JOAQUIN
16,204 W Moraga St,,,Mountain House,,"Feb 28, 2014","$410,500",37.78393,-121.54539,CA,Lot/Land,410500,,95391,,,,Sold,SAN JOAQUIN
17,398 W San Juan Dr,,,Mountain House,,"Feb 28, 2014","$483,000",37.786144,-121.54857,CA,Lot/Land,483000,,95391,,,,Sold,SAN JOAQUIN
18,364 W Questa Trl,,,Mountain House,,"Feb 28, 2014","$391,500",37.789345,-121.54707,CA,Lot/Land,391500,,95391,,,,Sold,SAN JOAQUIN
19,296 W Moraga St,3.0,3.0,Mountain House,"1,821 sqft","Feb 28, 2014","$415,500",37.7839,-121.5475,CA,Condo,415500,"$348,000",95391,,,,Sold,SAN JOAQUIN
20,193 W Alcala Ct,,,Mountain House,,"Feb 27, 2014","$440,000",37.789906,-121.54348,CA,Lot/Land,440000,,95391,,,,Sold,SAN JOAQUIN
21,172 W Erics Way,3.0,3.0,Mountain House,"1,753 sqft","Feb 27, 2014","$355,000",37.783623,-121.54452,CA,Single-Family Home,355000,"$388,000",95391,,,,Sold,SAN JOAQUIN
