id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,2447 Tamalpais St,2.0,3.0,Mountain View,"1,280 sqft","Mar 12, 2014","$1,150,000",37.405773,-122.10305,CA,Single-Family Home,1150000,"$1,268,000",94043,Monta Loma,,,Sold,SANTA CLARA
2,201 Flynn Ave #22,1.5,2.0,Mountain View,"1,254 sqft","Mar 12, 2014","$700,000",37.397858,-122.0612,CA,Condo,700000,"$655,000",94043,North Whisman,,,Sold,SANTA CLARA
3,938 Clark Ave #39,2.0,2.0,Mountain View,"1,069 sqft","Mar 12, 2014","$780,000",37.393204,-122.100105,CA,Condo,780000,"$779,000",94040,,,,Sold,SANTA CLARA
4,725 Mariposa Ave #305,1.5,1.0,Mountain View,839 sqft,"Mar 11, 2014","$438,000",37.390587,-122.091385,CA,Condo,438000,"$537,000",94041,Shoreline West,,,Sold,SANTA CLARA
5,274 Pamela Dr #7,1.0,1.0,Mountain View,644 sqft,"Mar 11, 2014","$375,000",37.38108,-122.07707,CA,Condo,375000,"$491,000",94040,Cuesta Park,,,Sold,SANTA CLARA
6,2255 Showers Dr #225,1.0,1.0,Mountain View,814 sqft,"Mar 11, 2014","$575,000",37.407352,-122.107864,CA,Condo,575000,"$592,000",94040,The Crossings,,,Sold,SANTA CLARA
7,62 Eldora Dr,2.0,3.0,Mountain View,"1,340 sqft","Mar 11, 2014","$1,160,000",37.385796,-122.07079,CA,Single-Family Home,1160000,"$1,301,000",94041,Old Mountain View,,,Sold,SANTA CLARA
8,154 Cottonwood Ct,2.5,3.0,Mountain View,"1,352 sqft","Mar 7, 2014","$870,000",37.390495,-122.05933,CA,Condo,870000,"$957,000",94043,Whisman Station,,,Sold,SANTA CLARA
9,344 Oaktree Dr #1305,2.5,2.0,Mountain View,"1,240 sqft","Mar 7, 2014","$776,000",37.400288,-122.10315,CA,Condo,776000,"$801,000",94040,,,,Sold,SANTA CLARA
10,1043 Dale Ave,,,Mountain View,"2,643 sqft","Mar 7, 2014","$1,315,000",37.374084,-122.06298,CA,Multi-Family,1315000,"$1,346,000",94040,Cuernavaca,,,Sold,SANTA CLARA
11,144 Chetwood Dr,2.5,2.0,Mountain View,"1,173 sqft","Mar 5, 2014","$836,000",37.391705,-122.0606,CA,Condo,836000,"$842,000",94043,Whisman Station,,,Sold,SANTA CLARA
12,173 Escuela Ave,,,Mountain View,"1,518 sqft","Feb 28, 2014","$805,000",37.39957,-122.09186,CA,Multi-Family,805000,"$1,003,000",94040,Shoreline West,,,Sold,SANTA CLARA
13,469 Kasra Dr,2.5,2.0,Mountain View,"1,594 sqft","Feb 28, 2014","$850,000",37.38897,-122.057144,CA,Condo,850000,"$915,000",94043,Whisman Station,,,Sold,SANTA CLARA
14,515 Easy St,,,Mountain View,"2,016 sqft","Feb 28, 2014","$450,000",37.40286,-122.06404,CA,Multi-Family,450000,,94043,North Whisman,,,Sold,SANTA CLARA
15,2025 California St #33,1.0,1.0,Mountain View,668 sqft,"Feb 28, 2014","$325,000",37.397953,-122.09857,CA,Condo,325000,"$403,000",94040,,,,Sold,SANTA CLARA
16,519 Easy St,,,Mountain View,"2,016 sqft","Feb 28, 2014","$450,000",37.403133,-122.06394,CA,Multi-Family,450000,,94043,North Whisman,,,Sold,SANTA CLARA
17,58 Eldora Dr,2.0,3.0,Mountain View,"1,124 sqft","Feb 28, 2014","$1,200,000",37.385727,-122.07063,CA,Single-Family Home,1200000,"$1,229,000",94041,Old Mountain View,,,Sold,SANTA CLARA
18,1021 Varsity Ct,2.0,3.0,Mountain View,"2,215 sqft","Feb 27, 2014","$1,975,000",37.375378,-122.09277,CA,Single-Family Home,1975000,"$2,010,000",94040,Blossom Valley,,,Sold,SANTA CLARA
