id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,9764 Anza Ave,2.0,4.0,Oakland,"1,991 sqft","Dec 31, 1969",$0,37.755417,-122.14741,CA,Single-Family Home,549000,,94605,Sequoyah,32,35,For Sale,ALAMEDA
2,689 34th St,2.0,3.0,Oakland,"1,465 sqft","Dec 31, 1969",$0,37.823387,-122.27102,CA,Single-Family Home,425000,,94609,Hoover/Foster,78,72,For Sale,ALAMEDA
3,5588 Fernhoff Rd,4.5,4.0,Oakland,"5,008 sqft","Dec 31, 1969",$0,37.795963,-122.16521,CA,Single-Family Home,2900000,,94619,Skyline-Hillcrest Estates,35,35,For Sale,ALAMEDA
4,1685 Macarthur Blvd,2.0,3.0,Oakland,"1,176 sqft","Dec 31, 1969",$0,37.80003,-122.22201,CA,Single-Family Home,449000,,94602,Glenview,71,56,For Sale,ALAMEDA
5,2521 Coolidge Ave,3.0,2.0,Oakland,"1,323 sqft","Dec 31, 1969",$0,37.78772,-122.21824,CA,Single-Family Home,199000,,94601,Patten,74,53,For Sale,ALAMEDA
6,780 58th St,1.0,1.0,Oakland,640 sqft,"Dec 31, 1969",$0,37.843616,-122.26989,CA,Single-Family Home,352500,,94609,Bushrod,80,59,For Sale,ALAMEDA
7,199 Montecito Ave #106,1.0,1.0,Oakland,625 sqft,"Dec 31, 1969",$0,37.812622,-122.25861,CA,Apt/Condo/Twnhm,220000,,94610,Adams Point,83,69,For Sale,ALAMEDA
8,3543 Quigley St,1.0,3.0,Oakland,"1,316 sqft","Dec 31, 1969",$0,37.79178,-122.201996,CA,Single-Family Home,70000,,94619,Laurel,80,50,For Sale,ALAMEDA
9,2533 Carmel St,1.0,2.0,Oakland,"1,039 sqft","Dec 31, 1969",$0,37.803448,-122.20728,CA,Single-Family Home,535000,,94602,Upper Dimond,68,52,For Sale,ALAMEDA
10,1762 12th St,2.5,2.0,Oakland,"1,054 sqft","Dec 31, 1969",$0,37.81189,-122.298645,CA,Townhome,359000,,94607,Prescott,58,57,For Sale,ALAMEDA
11,827 Grosvenor Pl,3.0,3.0,Oakland,"2,410 sqft","Dec 31, 1969",$0,37.806618,-122.23134,CA,Single-Family Home,995000,,94610,Trestle Glen,71,54,For Sale,ALAMEDA
12,1479 34th St,2.5,4.0,Oakland,"1,901 sqft","Dec 31, 1969",$0,37.825405,-122.285774,CA,Single-Family Home,649000,,94608,Clawson,68,52,For Sale,ALAMEDA
13,26 Drake Ln,3.0,3.0,Oakland,"2,144 sqft","Dec 31, 1969",$0,37.828003,-122.20382,CA,Single-Family Home,798000,,94611,Montclair,57,33,For Sale,ALAMEDA
14,885 53rd St,2.0,3.0,Oakland,"1,492 sqft","Dec 31, 1969",$0,37.837307,-122.27261,CA,Single-Family Home,599000,,94608,Santa Fe,75,65,For Sale,ALAMEDA
15,5106 Camden St,1.0,3.0,Oakland,"1,334 sqft","Dec 31, 1969",$0,37.780655,-122.19108,CA,Single-Family Home,439000,,94619,Maxwell Park,58,50,For Sale,ALAMEDA
16,67 Mandalay Rd,3.0,4.0,Oakland,"2,431 sqft","Dec 31, 1969",$0,37.83829,-122.23234,CA,Single-Family Home,995000,,94618,Upper Rockridge,25,22,For Sale,ALAMEDA
17,1731 Mountain Blvd,2.0,3.0,Oakland,"1,344 sqft","Dec 31, 1969",$0,37.831383,-122.21372,CA,Single-Family Home,669000,,94611,Montclair,63,33,For Sale,ALAMEDA
18,2558 Fern St,3.0,3.0,Oakland,"1,546 sqft","Dec 31, 1969",$0,37.779404,-122.20151,CA,Single-Family Home,489000,,94601,Fairfax,58,49,For Sale,ALAMEDA
19,1450 Fernwood Dr,3.0,4.0,Oakland,"2,270 sqft","Dec 31, 1969",$0,37.83532,-122.217705,CA,Single-Family Home,1250000,,94611,Glen Highlands,43,27,For Sale,ALAMEDA
20,3847 Randolph Ave,1.0,2.0,Oakland,"1,556 sqft","Dec 31, 1969",$0,37.804382,-122.22446,CA,Single-Family Home,619000,,94602,Glenview,68,55,For Sale,ALAMEDA
21,6120 Castle Dr,3.0,4.0,Oakland,,"Dec 31, 1969",$0,37.816822,-122.1924,CA,Single-Family Home,1250000,,94611,Piedmont Pines,49,22,For Sale,ALAMEDA
22,91 Hamilton Pl,2.0,3.0,Oakland,"1,331 sqft","Dec 31, 1969",$0,37.815247,-122.260704,CA,Single-Family Home,675000,,94612,Oakland Ave/Harrison St,89,68,For Sale,ALAMEDA
23,3023 Suter St,1.0,3.0,Oakland,,"Dec 31, 1969",$0,37.795475,-122.21095,CA,Single-Family Home,374900,,94602,Upper Peralta Creek,74,54,For Sale,ALAMEDA
24,2014 13th Ave,1.0,2.0,Oakland,"1,416 sqft","Dec 31, 1969",$0,37.793873,-122.241165,CA,Single-Family Home,228000,,94606,Clinton,69,55,For Sale,ALAMEDA
25,5909 Contra Costa Rd,2.5,3.0,Oakland,"2,953 sqft","Dec 31, 1969",$0,37.846645,-122.23585,CA,Single-Family Home,1399000,,94618,Upper Rockridge,35,37,For Sale,ALAMEDA
26,2563 Wallace St,2.0,1.0,Oakland,730 sqft,"Dec 31, 1969",$0,37.795784,-122.23395,CA,Single-Family Home,309000,,94606,Highland Terrace,57,56,For Sale,ALAMEDA
