id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,6912 Colton Blvd,2.5,3.0,Oakland,"1,914 sqft","Mar 4, 2014","$805,000",37.83629,-122.19972,CA,Single-Family Home,805000,"$932,000",94611,Montclair,,,Sold,ALAMEDA
2,151 Lakeside Dr,2.0,3.0,Oakland,"1,061 sqft","Mar 4, 2014","$620,000",37.80476,-122.26239,CA,Condo,620000,"$499,000",94612,Lakeside,,,Sold,ALAMEDA
3,1920 Union St,2.0,2.0,Oakland,"1,531 sqft","Mar 4, 2014","$440,000",37.814003,-122.28656,CA,Condo,440000,"$477,000",94607,Ralph Bunche,,,Sold,ALAMEDA
4,6201 Westwood Way,3.0,3.0,Oakland,"3,108 sqft","Mar 4, 2014","$1,795,000",37.839157,-122.20828,CA,Single-Family Home,1795000,"$1,752,000",94611,Merriwood,,,Sold,ALAMEDA
5,1642 80th Ave,2.0,3.0,Oakland,"1,591 sqft","Mar 4, 2014","$120,000",37.75837,-122.17741,CA,Single-Family Home,120000,"$258,000",94621,Arroyo Viejo,,,Sold,ALAMEDA
6,1871 38th Ave,3.0,6.0,Oakland,"3,282 sqft","Mar 4, 2014","$450,000",37.778812,-122.21751,CA,Multi-Family,450000,,94601,Saint Elizabeth,,,Sold,ALAMEDA
7,5 Embarcadero W #123,1.0,1.0,Oakland,668 sqft,"Mar 4, 2014","$189,000",37.79192,-122.26851,CA,Condo,189000,"$243,000",94607,Produce and Waterfront,,,Sold,ALAMEDA
8,426 27th St #102B,1.5,2.0,Oakland,"1,685 sqft","Mar 4, 2014","$377,500",37.816284,-122.266045,CA,Condo,377500,"$472,000",94612,Pill Hill,,,Sold,ALAMEDA
9,864 Mead Ave,4.0,3.0,Oakland,"1,588 sqft","Mar 4, 2014","$410,000",37.816357,-122.27698,CA,Multi-Family,410000,"$373,000",94607,McClymonds,,,Sold,ALAMEDA
10,3144 Pleitner Ave,1.0,2.0,Oakland,"1,240 sqft","Mar 4, 2014","$366,000",37.79377,-122.21125,CA,Single-Family Home,366000,"$486,000",94602,Upper Peralta Creek,,,Sold,ALAMEDA
11,2569 67th Ave,1.0,2.0,Oakland,"1,131 sqft","Mar 4, 2014","$281,000",37.767136,-122.18424,CA,Single-Family Home,281000,"$300,000",94605,Havenscourt,,,Sold,ALAMEDA
12,4343 Terrabella Pl,2.5,3.0,Oakland,"1,725 sqft","Mar 3, 2014","$650,000",37.796463,-122.18018,CA,Single-Family Home,650000,"$637,000",94619,Crestmont,,,Sold,ALAMEDA
13,311 2nd St,,,Oakland,"128,993 sqft","Mar 3, 2014","$200,000",37.79445,-122.27333,CA,Multi-Family,200000,,94607,Produce and Waterfront,,,Sold,ALAMEDA
14,311 Oak St #302,2.0,2.0,Oakland,"1,673 sqft","Mar 3, 2014","$526,500",37.794064,-122.26798,CA,Condo,526500,"$564,000",94607,Produce and Waterfront,,,Sold,ALAMEDA
15,70 Yosemite Ave #201,1.0,2.0,Oakland,947 sqft,"Mar 3, 2014","$370,000",37.82284,-122.25394,CA,Condo,370000,"$393,000",94611,Piedmont Avenue,,,Sold,ALAMEDA
16,1201 Pine St #137,1.5,1.0,Oakland,"1,262 sqft","Mar 3, 2014","$327,500",37.81227,-122.30067,CA,Condo,327500,"$390,000",94607,Prescott,,,Sold,ALAMEDA
17,8010 Hansom Dr,2.5,4.0,Oakland,"2,004 sqft","Mar 3, 2014","$710,000",37.773792,-122.136734,CA,Single-Family Home,710000,"$792,000",94605,Sequoyah,,,Sold,ALAMEDA
18,6501 San Pablo Ave #410,1.0,1.0,Oakland,"1,106 sqft","Feb 28, 2014","$395,000",37.84819,-122.28579,CA,Condo,395000,"$478,000",94608,Paradise Park,,,Sold,ALAMEDA
19,9629 Thermal St,1.0,2.0,Oakland,"1,026 sqft","Feb 28, 2014","$270,000",37.751606,-122.1591,CA,Single-Family Home,270000,"$302,000",94605,Toler Heights,,,Sold,ALAMEDA
20,148 Samaria Ln,2.0,2.0,Oakland,"1,149 sqft","Feb 28, 2014","$452,000",37.797638,-122.17729,CA,Townhouse,452000,"$521,000",94619,Crestmont,,,Sold,ALAMEDA
21,1218 Adeline St,,,Oakland,"1,363 sqft","Feb 28, 2014","$142,500",37.808525,-122.28614,CA,Single-Family Home,142500,"$308,000",94607,Oak Center,,,Sold,ALAMEDA
22,1515 53rd Ave,1.0,2.0,Oakland,"1,656 sqft","Feb 28, 2014","$350,000",37.769695,-122.20546,CA,Single-Family Home,350000,"$419,000",94601,Fremont,,,Sold,ALAMEDA
23,1407 Havenscourt Blvd,2.0,2.0,Oakland,"1,727 sqft","Feb 28, 2014","$275,000",37.762424,-122.1927,CA,Multi-Family,275000,"$240,000",94621,East 14th Street Business District,,,Sold,ALAMEDA
24,5 Embarcadero W #120,1.0,1.0,Oakland,668 sqft,"Feb 28, 2014","$212,500",37.79192,-122.26851,CA,Condo,212500,"$256,000",94607,Produce and Waterfront,,,Sold,ALAMEDA
25,6211 View Crest Dr,3.0,4.0,Oakland,"2,504 sqft","Feb 28, 2014","$920,000",37.78435,-122.16596,CA,Single-Family Home,920000,"$996,000",94619,Caballo Hills,,,Sold,ALAMEDA
26,3701 Park Boulevard Way,4.0,4.0,Oakland,"2,350 sqft","Feb 28, 2014","$855,000",37.80531,-122.231224,CA,Multi-Family,855000,"$823,000",94610,Trestle Glen,,,Sold,ALAMEDA
27,1519 E 15th St,2.5,3.0,Oakland,"1,580 sqft","Feb 28, 2014","$120,000",37.78926,-122.244194,CA,Multi-Family,120000,"$350,000",94606,Rancho San Antonio,,,Sold,ALAMEDA
28,1301 Hampel St,2.0,2.0,Oakland,"1,300 sqft","Feb 28, 2014","$740,000",37.806,-122.22454,CA,Single-Family Home,740000,"$799,000",94602,Glenview,,,Sold,ALAMEDA
29,1080 Ardmore Ave,2.0,3.0,Oakland,"1,565 sqft","Feb 28, 2014","$1,135,000",37.81376,-122.22685,CA,Single-Family Home,1135000,"$814,000",94610,Crocker Highlands,,,Sold,ALAMEDA
