id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,1323 Poplar Ave,3.0,5.0,Pacifica,"1,650 sqft","Feb 20, 2014","$660,000",37.58998,-122.47764,CA,Single-Family Home,660000,"$783,000",94044,,,,Sold,SAN MATEO
2,631 Sharp Park Rd,2.5,3.0,Pacifica,"1,380 sqft","Feb 20, 2014","$603,500",37.63464,-122.47383,CA,Single-Family Home,603500,"$713,000",94044,,,,Sold,SAN MATEO
3,295 Pinehaven Way,2.0,3.0,Pacifica,"1,080 sqft","Feb 18, 2014","$675,000",37.62038,-122.48642,CA,Single-Family Home,675000,"$779,000",94044,,,,Sold,SAN MATEO
4,232 Moana Pl,1.0,2.0,Pacifica,830 sqft,"Feb 14, 2014","$560,000",37.63112,-122.48863,CA,Single-Family Home,560000,"$571,000",94044,,,,Sold,SAN MATEO
5,32 Driftwood Cir,2.0,3.0,Pacifica,"1,720 sqft","Feb 13, 2014","$739,500",37.59987,-122.48638,CA,Single-Family Home,739500,"$1,036,000",94044,,,,Sold,SAN MATEO
6,1179 Grand Teton Dr,2.0,3.0,Pacifica,"1,490 sqft","Feb 12, 2014","$550,000",37.592194,-122.468956,CA,Single-Family Home,550000,"$778,000",94044,,,,Sold,SAN MATEO
7,883 Linda Mar Blvd,1.0,3.0,Pacifica,"1,040 sqft","Feb 11, 2014","$570,000",37.59038,-122.49464,CA,Single-Family Home,570000,"$681,000",94044,,,,Sold,SAN MATEO
8,208 Beaumont Blvd,,,Pacifica,,"Feb 7, 2014","$1,250,000",37.6559,-122.49,CA,Single-Family Home,1250000,"$384,000",94044,,,,Sold,SAN MATEO
9,401 Moana Way,1.0,2.0,Pacifica,750 sqft,"Feb 7, 2014","$570,000",37.631546,-122.48579,CA,Single-Family Home,570000,"$567,000",94044,,,,Sold,SAN MATEO
10,386 Coral Ridge Dr,2.5,4.0,Pacifica,"1,990 sqft","Jan 31, 2014","$720,000",37.656937,-122.487465,CA,Single-Family Home,720000,"$911,000",94044,,,,Sold,SAN MATEO
11,236 Edgewood Dr,2.0,4.0,Pacifica,"1,560 sqft","Jan 31, 2014","$740,000",37.662525,-122.48252,CA,Single-Family Home,740000,"$886,000",94044,,,,Sold,SAN MATEO
