id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,4229 Wells St,2.0,3.0,Pleasanton,"1,224 sqft","Dec 31, 1969",$0,37.67061,-121.872375,CA,Single-Family Home,529000,,94566,,72,,For Sale,ALAMEDA
2,651 Concord Pl,2.0,2.0,Pleasanton,"1,096 sqft","Dec 31, 1969",$0,37.661137,-121.85539,CA,Townhome,399900,,94566,,52,,For Sale,ALAMEDA
3,3263 Vineyard Ave #149,2.0,3.0,Pleasanton,"1,400 sqft","Dec 31, 1969",$0,37.666653,-121.853485,CA,Mobile/Manufactured,190000,,94566,,48,,For Sale,ALAMEDA
4,5308 Prato Ct,2.5,2.0,Pleasanton,"1,365 sqft","Dec 31, 1969",$0,37.693195,-121.891045,CA,Single-Family Home,400000,,94588,,52,,For Sale,ALAMEDA
5,3372 Smoketree Commons,2.0,2.0,Pleasanton,856 sqft,"Dec 31, 1969",$0,37.664352,-121.85486,CA,Apt/Condo/Twnhm,399000,,94566,,52,,For Sale,ALAMEDA
6,456 Montori Ct,3.0,4.0,Pleasanton,"2,680 sqft","Dec 31, 1969",$0,37.6423,-121.80123,CA,Single-Family Home,1185000,,94566,,12,,For Sale,ALAMEDA
7,7230 Club House Dr,5.5,6.0,Pleasanton,"5,223 sqft","Dec 31, 1969",$0,37.62857,-121.85978,CA,Single-Family Home,1879000,,94566,,11,,For Sale,ALAMEDA
8,1056 Sycamore Creek Way,6.0,4.0,Pleasanton,"4,974 sqft","Dec 31, 1969",$0,37.64305,-121.86773,CA,Single-Family Home,1975000,,94566,,31,,For Sale,ALAMEDA
9,12 Deer Oaks Dr,4.0,5.0,Pleasanton,"4,242 sqft","Dec 31, 1969",$0,37.653748,-121.91023,CA,Single-Family Home,1698000,,94588,,18,,For Sale,ALAMEDA
10,4334 Fairlands Dr,3.0,3.0,Pleasanton,"1,596 sqft","Dec 31, 1969",$0,37.69328,-121.876305,CA,Condo,599000,,94588,,65,,For Sale,ALAMEDA
11,4758 Sutter Gate Ave,2.0,3.0,Pleasanton,"1,390 sqft","Dec 31, 1969",$0,37.686066,-121.88199,CA,Single-Family Home,749950,,94566,,52,,For Sale,ALAMEDA
12,3301 E Ruby Hill Dr,6.5,6.0,Pleasanton,"6,234 sqft","Dec 31, 1969",$0,37.64091,-121.801765,CA,Single-Family Home,2598000,,94566,,6,,For Sale,ALAMEDA
13,3636 Virgin Islands Ct,2.0,4.0,Pleasanton,"1,660 sqft","Dec 31, 1969",$0,37.67404,-121.90879,CA,Single-Family Home,745000,,94588,,43,,For Sale,ALAMEDA
14,3750 Smallwood Ct,4.5,5.0,Pleasanton,"4,748 sqft","Dec 31, 1969",$0,37.650177,-121.85024,CA,Single-Family Home,1829000,,94566,,20,,For Sale,ALAMEDA
15,3263 Vineyard Ave,2.0,2.0,Pleasanton,,"Dec 31, 1969",$0,37.666653,-121.853485,CA,Mobile/Manufactured,71000,,94566,,48,,For Sale,ALAMEDA
16,308 Adams Way,1.0,2.0,Pleasanton,"1,025 sqft","Dec 31, 1969",$0,37.662804,-121.86315,CA,Single-Family Home,899000,,94566,,51,,For Sale,ALAMEDA
17,2286 Camino Brazos,2.5,4.0,Pleasanton,"2,124 sqft","Dec 31, 1969",$0,37.668316,-121.89499,CA,Single-Family Home,899950,,94566,,28,,For Sale,ALAMEDA
18,5202 Armani Ct,2.0,3.0,Pleasanton,"1,719 sqft","Dec 31, 1969",$0,37.691013,-121.8871,CA,Single-Family Home,725000,,94588,,46,,For Sale,ALAMEDA
19,2295 Westbridge Ln,3.5,4.0,Pleasanton,"3,440 sqft","Dec 31, 1969",$0,37.633686,-121.86575,CA,Single-Family Home,1569000,,94566,,11,,For Sale,ALAMEDA
20,727 Vineyard Ter,5.0,5.0,Pleasanton,"4,480 sqft","Dec 31, 1969",$0,37.66478,-121.83728,CA,Single-Family Home,1695000,,94566,,9,,For Sale,ALAMEDA
21,4543 2nd St,3.0,4.0,Pleasanton,"2,584 sqft","Dec 31, 1969",$0,37.65893,-121.87366,CA,Single-Family Home,1197000,,94566,,92,,For Sale,ALAMEDA
22,3654 Pontina Ct,5.5,5.0,Pleasanton,"7,472 sqft","Dec 31, 1969",$0,37.63846,-121.809586,CA,Single-Family Home,2895000,,94566,,3,,For Sale,ALAMEDA
23,3263 Vineyard Ave,2.0,2.0,Pleasanton,,"Dec 31, 1969",$0,37.666653,-121.853485,CA,Mobile/Manufactured,139500,,94566,,43,,For Sale,ALAMEDA
24,9480 Blessing Dr,,,Pleasanton,,"Dec 31, 1969",$0,37.691586,-121.943535,CA,Lot/Land,4000000,,94588,,26,,For Sale,ALAMEDA
25,4140 Foothill Rd,6.5,5.0,Pleasanton,"8,590 sqft","Dec 31, 1969",$0,37.670017,-121.928856,CA,Single-Family Home,6900000,,94588,,12,,For Sale,ALAMEDA
26,4198 Remillard Ct,3.0,5.0,Pleasanton,"4,000 sqft","Dec 31, 1969",$0,37.650738,-121.85676,CA,Single-Family Home,1590000,,94566,,17,,For Sale,ALAMEDA
27,622 Happy Valley Rd,,,Pleasanton,,"Dec 31, 1969",$0,37.63697,-121.87668,CA,Lot/Land,1250000,,94566,,2,,For Sale,ALAMEDA
28,537 Saint Thomas Way,3.0,3.0,Pleasanton,"1,540 sqft","Dec 31, 1969",$0,37.66266,-121.855034,CA,Townhome,529000,,94566,,54,,For Sale,ALAMEDA
29,7749 Country Ln,6.0,5.0,Pleasanton,"7,916 sqft","Dec 31, 1969",$0,37.628174,-121.89015,CA,Single-Family Home,2799995,,94566,,0,,For Sale,ALAMEDA
