id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,1261 Westwood St,2.0,3.0,Redwood City,"1,590 sqft","Feb 20, 2014","$1,100,000",37.45973,-122.24349,CA,Single-Family Home,1100000,"$1,080,000",94061,Woodside Plaza,,,Sold,SAN MATEO
2,2790 Marlborough Ave,4.0,6.0,Redwood City,"3,478 sqft","Feb 20, 2014","$1,030,000",37.471916,-122.21322,CA,Multi-Family,1030000,,94063,,,,Sold,SAN MATEO
3,556 James Ave,4.0,6.0,Redwood City,"3,553 sqft","Feb 20, 2014","$1,450,000",37.481197,-122.23744,CA,Multi-Family,1450000,"$1,198,000",94062,Roosevelt,,,Sold,SAN MATEO
4,1304 Virginia Ave,2.0,3.0,Redwood City,"1,300 sqft","Feb 19, 2014","$910,000",37.46443,-122.23717,CA,Single-Family Home,910000,"$1,049,000",94061,Woodside Plaza,,,Sold,SAN MATEO
5,111 Wellesley Cres #2N,2.5,2.0,Redwood City,"1,729 sqft","Feb 18, 2014","$615,000",37.490505,-122.24256,CA,Condo,615000,"$706,000",94062,Oak Knoll - Redwood Park,,,Sold,SAN MATEO
6,3708 Farm Hill Blvd,2.5,4.0,Redwood City,"1,630 sqft","Feb 18, 2014","$1,175,000",37.45776,-122.24898,CA,Single-Family Home,1175000,"$1,332,000",94061,Farm Hill,,,Sold,SAN MATEO
7,300 Sandhurst St,2.5,4.0,Redwood City,"2,240 sqft","Feb 14, 2014","$1,315,000",37.545418,-122.23553,CA,Single-Family Home,1315000,"$1,575,000",94065,Redwood Shores,,,Sold,SAN MATEO
8,180 Santa Clara Ave,2.5,3.0,Redwood City,"1,720 sqft","Feb 14, 2014","$965,000",37.45197,-122.22817,CA,Single-Family Home,965000,"$1,378,000",94061,,,,Sold,SAN MATEO
9,340 Meridian Dr,2.5,2.0,Redwood City,"1,178 sqft","Feb 14, 2014","$740,000",37.542797,-122.238075,CA,Condo,740000,"$828,000",94065,Redwood Shores,,,Sold,SAN MATEO
10,465 Cork Harbour Cir #H,2.0,2.0,Redwood City,"1,136 sqft","Feb 14, 2014","$655,000",37.532616,-122.25776,CA,Condo,655000,"$726,000",94065,Redwood Shores,,,Sold,SAN MATEO
11,4024 Farm Hill Blvd #3,1.5,2.0,Redwood City,"1,016 sqft","Feb 14, 2014","$643,000",37.451157,-122.26156,CA,Condo,643000,"$687,000",94061,Farm Hill,,,Sold,SAN MATEO
12,1019 Valota Rd,1.0,2.0,Redwood City,960 sqft,"Feb 14, 2014","$660,000",37.46971,-122.23869,CA,Single-Family Home,660000,"$759,000",94061,Roosevelt,,,Sold,SAN MATEO
13,569 Keelson Cir,2.5,4.0,Redwood City,"2,280 sqft","Feb 14, 2014","$1,428,000",37.53212,-122.24555,CA,Single-Family Home,1428000,"$1,403,000",94065,Redwood Shores,,,Sold,SAN MATEO
14,1983 Cordilleras Rd,1.0,3.0,Redwood City,"1,220 sqft","Feb 13, 2014","$1,680,000",37.47343,-122.27074,CA,Single-Family Home,1680000,"$1,309,000",94062,,,,Sold,SAN MATEO
15,34 Cove Ln,1.0,1.0,Redwood City,"1,050 sqft","Feb 13, 2014","$615,000",37.531178,-122.25585,CA,Condo,615000,"$670,000",94065,Redwood Shores,,,Sold,SAN MATEO
16,18 Arden Ct,1.0,2.0,Redwood City,830 sqft,"Feb 12, 2014","$769,000",37.47198,-122.229,CA,Single-Family Home,769000,"$764,000",94061,Palm Park,,,Sold,SAN MATEO
17,4032 Farm Hill Blvd #10,1.5,2.0,Redwood City,"1,016 sqft","Feb 11, 2014","$628,000",37.451157,-122.26156,CA,Condo,628000,"$670,000",94061,Farm Hill,,,Sold,SAN MATEO
18,8 Cape Hatteras Ct,1.0,1.0,Redwood City,987 sqft,"Feb 7, 2014","$610,000",37.53537,-122.24608,CA,Condo,610000,"$653,000",94065,Redwood Shores,,,Sold,SAN MATEO
19,2121 Gossamer Ave,2.5,4.0,Redwood City,"2,590 sqft","Feb 7, 2014","$1,545,000",37.54572,-122.23984,CA,Single-Family Home,1545000,"$1,608,000",94065,Redwood Shores,,,Sold,SAN MATEO
20,808 Bain Pl,1.0,2.0,Redwood City,920 sqft,"Feb 7, 2014","$825,000",37.468746,-122.25512,CA,Single-Family Home,825000,"$1,007,000",94062,Oak Knoll - Redwood Park,,,Sold,SAN MATEO
21,1124 Brewster Ave,2.5,2.0,Redwood City,"1,500 sqft","Feb 7, 2014","$647,000",37.48667,-122.23734,CA,Single-Family Home,647000,"$789,000",94062,Oak Knoll - Redwood Park,,,Sold,SAN MATEO
22,332 G St,1.0,3.0,Redwood City,"1,020 sqft","Feb 7, 2014","$765,000",37.497204,-122.24115,CA,Single-Family Home,765000,"$796,000",94063,,,,Sold,SAN MATEO
23,1751 Hull Ave,2.0,3.0,Redwood City,"1,320 sqft","Feb 7, 2014","$970,000",37.45297,-122.22723,CA,Single-Family Home,970000,"$1,012,000",94061,,,,Sold,SAN MATEO
24,700 Baltic Cir #734,3.0,2.0,Redwood City,"1,729 sqft","Feb 7, 2014","$910,000",37.538403,-122.241,CA,Condo,910000,"$949,000",94065,Redwood Shores,,,Sold,SAN MATEO
25,36 Finger Ave,3.5,4.0,Redwood City,"4,530 sqft","Feb 6, 2014","$1,450,000",37.492844,-122.24455,CA,Single-Family Home,1450000,"$2,162,000",94062,,,,Sold,SAN MATEO
26,2841 Devonshire Ave,1.0,2.0,Redwood City,900 sqft,"Feb 6, 2014","$529,500",37.472034,-122.21095,CA,Single-Family Home,529500,"$605,000",94063,,,,Sold,SAN MATEO
27,320 Carlos Ave,2.5,3.0,Redwood City,"1,900 sqft","Feb 5, 2014","$162,000",37.47049,-122.217224,CA,Single-Family Home,162000,"$878,000",94061,Redwood Oaks,,,Sold,SAN MATEO
28,50 Horgan Ave #57,2.0,3.0,Redwood City,"1,550 sqft","Feb 4, 2014","$740,000",37.463455,-122.22328,CA,Condo,740000,"$782,000",94061,Redwood Oaks,,,Sold,SAN MATEO
29,1140 Whipple Ave #27,1.0,2.0,Redwood City,"1,104 sqft","Feb 4, 2014","$435,000",37.48955,-122.24139,CA,Condo,435000,"$523,000",94062,Oak Knoll - Redwood Park,,,Sold,SAN MATEO
30,15 Winston Way,2.0,3.0,Redwood City,"1,510 sqft","Jan 31, 2014","$1,310,000",37.45184,-122.22531,CA,Single-Family Home,1310000,"$1,002,000",94061,,,,Sold,SAN MATEO
31,329 Belmont Ave,1.0,2.0,Redwood City,940 sqft,"Jan 31, 2014","$780,000",37.453983,-122.22479,CA,Single-Family Home,780000,"$853,000",94061,,,,Sold,SAN MATEO
32,903 Upton St,2.0,2.0,Redwood City,"1,150 sqft","Jan 31, 2014","$605,000",37.467983,-122.243065,CA,Single-Family Home,605000,"$831,000",94061,Roosevelt,,,Sold,SAN MATEO
33,14 Portofino Cir,2.5,3.0,Redwood City,"1,970 sqft","Jan 31, 2014","$1,115,000",37.531,-122.24365,CA,Single-Family Home,1115000,"$1,173,000",94065,Redwood Shores,,,Sold,SAN MATEO
34,1313 Jefferson Ave,2.0,3.0,Redwood City,"1,270 sqft","Jan 30, 2014","$605,000",37.481407,-122.231606,CA,Single-Family Home,605000,"$1,016,000",94062,Roosevelt,,,Sold,SAN MATEO
35,22 Sycamore Ct,3.0,4.0,Redwood City,"2,600 sqft","Jan 29, 2014","$1,558,000",37.460796,-122.228836,CA,Single-Family Home,1558000,"$1,572,000",94061,Woodside Plaza,,,Sold,SAN MATEO
36,620 W California Way,2.5,3.0,Redwood City,"3,070 sqft","Jan 29, 2014","$1,875,000",37.45779,-122.27496,CA,Single-Family Home,1875000,"$1,928,000",94062,Farm Hill,,,Sold,SAN MATEO
37,165 Elwood St,,,Redwood City,"1,390 sqft","Jan 29, 2014","$1,210,000",37.484856,-122.24046,CA,Unknown,1210000,,94062,Oak Knoll - Redwood Park,,,Sold,SAN MATEO
