id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,669 3rd Ave,1.0,2.0,San Bruno,740 sqft,"Dec 31, 1969",$0,37.62799,-122.40839,CA,Single-Family Home,508000,,94066,,69,,For Sale,SAN MATEO
2,7150 Shelter Creek Ln,,,San Bruno,490 sqft,"Dec 31, 1969",$0,37.622875,-122.427986,CA,Condo,240000,,94066,,52,,For Sale,SAN MATEO
3,405 Piccadilly Pl #17,1.0,1.0,San Bruno,540 sqft,"Dec 31, 1969",$0,37.630783,-122.43196,CA,Condo,289000,,94066,,51,,For Sale,SAN MATEO
4,761 Easton Ave,2.0,3.0,San Bruno,"1,460 sqft","Dec 31, 1969",$0,37.628796,-122.414154,CA,Single-Family Home,639000,,94066,,83,,For Sale,SAN MATEO
5,2220 Shelter Creek Ln,1.0,,San Bruno,490 sqft,"Dec 31, 1969",$0,37.619843,-122.42837,CA,Condo,213000,,94066,,46,,For Sale,SAN MATEO
6,186 Lake Dr,3.0,4.0,San Bruno,"1,580 sqft","Dec 31, 1969",$0,37.62098,-122.451614,CA,Single-Family Home,799000,,94066,,18,,For Sale,SAN MATEO
7,1591 Monterey Dr,3.0,4.0,San Bruno,"2,000 sqft","Dec 31, 1969",$0,37.621635,-122.45207,CA,Single-Family Home,818000,,94066,,22,,For Sale,SAN MATEO
8,2300 Rosewood Dr,2.0,4.0,San Bruno,"1,840 sqft","Dec 31, 1969",$0,37.615414,-122.43094,CA,Single-Family Home,828000,,94066,,31,,For Sale,SAN MATEO
9,217 San Luis Ave,2.0,3.0,San Bruno,"2,030 sqft","Dec 31, 1969",$0,37.61839,-122.40594,CA,Single-Family Home,650000,,94066,,66,,For Sale,SAN MATEO
10,635 Walnut St,3.0,3.0,SAN BRUNO,,"Dec 31, 1969",$0,37.632923,-122.40734,CA,Single-Family Home,628000,,94066,,60,,For Sale,SAN MATEO
11,3161 Susan Dr,2.0,3.0,San Bruno,"1,190 sqft","Dec 31, 1969",$0,37.634247,-122.45841,CA,Single-Family Home,739988,,94066,,38,,For Sale,SAN MATEO
12,235 Merced Dr,3.0,4.0,San Bruno,"2,000 sqft","Dec 31, 1969",$0,37.62228,-122.45294,CA,Single-Family Home,750000,,94066,,23,,For Sale,SAN MATEO
13,5139 Shelter Creek Ln,2.0,2.0,San Bruno,"1,030 sqft","Dec 31, 1969",$0,37.619843,-122.42837,CA,Apt/Condo/Twnhm,399000,,94066,,46,,For Sale,SAN MATEO
14,5142 Shelter Creek Ln,2.0,2.0,San Bruno,"1,090 sqft","Dec 31, 1969",$0,37.619843,-122.42837,CA,Condo,392600,,94066,,46,,For Sale,SAN MATEO
15,4221 Shelter Creek Ln,1.0,,San Bruno,490 sqft,"Dec 31, 1969",$0,37.619843,-122.42837,CA,Condo,275000,,94066,,46,,For Sale,SAN MATEO
16,8343 Shelter Creek Ln,1.0,1.0,San Bruno,680 sqft,"Dec 31, 1969",$0,37.623222,-122.42897,CA,Apt/Condo/Twnhm,299000,,94066,,52,,For Sale,SAN MATEO
17,212 Linden Ave,,,San Bruno,"2,297 sqft","Dec 31, 1969",$0,37.617928,-122.40959,CA,Multi-Family Home,748000,,94066,,66,,For Sale,SAN MATEO
18,160 Keefe Ct,2.0,4.0,San Bruno,"1,750 sqft","Dec 31, 1969",$0,37.616184,-122.429054,CA,Single-Family Home,849000,,94066,,29,,For Sale,SAN MATEO
19,1031 Cherry Ave,1.0,1.0,San Bruno,830 sqft,"Dec 31, 1969",$0,37.63021,-122.42834,CA,Condo,369000,,94066,,58,,For Sale,SAN MATEO
20,918 Green Ave,,,San Bruno,"3,541 sqft","Dec 31, 1969",$0,37.631706,-122.416214,CA,Multi-Family Home,875000,,94066,,71,,For Sale,SAN MATEO
21,652 2nd Ave,1.0,2.0,San Bruno,940 sqft,"Dec 31, 1969",$0,37.62769,-122.40859,CA,Single-Family Home,525000,,94066,,69,,For Sale,SAN MATEO
22,178 Linden Ave,2.0,4.0,San Bruno,"1,830 sqft","Dec 31, 1969",$0,37.616875,-122.40866,CA,Single-Family Home,749000,,94066,,63,,For Sale,SAN MATEO
23,4111 Shelter Creek Ln,1.0,,San Bruno,490 sqft,"Dec 31, 1969",$0,37.619843,-122.42837,CA,Condo,225000,,94066,,46,,For Sale,SAN MATEO
24,5308 Shelter Creek Ln,1.0,1.0,San Bruno,680 sqft,"Dec 31, 1969",$0,37.619843,-122.42837,CA,Condo,309800,,94066,,46,,For Sale,SAN MATEO
25,744 Green Ave,1.0,2.0,San Bruno,"1,020 sqft","Dec 31, 1969",$0,37.628426,-122.41432,CA,Single-Family Home,578800,,94066,,69,,For Sale,SAN MATEO
26,1253 Shelter Creek Ln,1.0,1.0,San Bruno,680 sqft,"Dec 31, 1969",$0,37.619843,-122.42837,CA,Apt/Condo/Twnhm,325000,,94066,,46,,For Sale,SAN MATEO
27,2595 Princeton Dr,2.0,3.0,San Bruno,"1,300 sqft","Dec 31, 1969",$0,37.618614,-122.4371,CA,Single-Family Home,888000,,94066,,35,,For Sale,SAN MATEO
28,2270 Rosewood Dr,3.0,3.0,San Bruno,"2,070 sqft","Dec 31, 1969",$0,37.615887,-122.43027,CA,Single-Family Home,895000,,94066,,35,,For Sale,SAN MATEO
29,2580 Turnberry Dr,2.0,3.0,San Bruno,"1,440 sqft","Dec 31, 1969",$0,37.636887,-122.45395,CA,Single-Family Home,1200000,,94066,,55,,For Sale,SAN MATEO
30,3049 Susan Dr,2.0,3.0,San Bruno,,"Dec 31, 1969",$0,37.633263,-122.45679,CA,Single-Family Home,599000,,94066,,40,,For Sale,SAN MATEO
31,3824 Adriatic Way,3.5,5.0,San Bruno,"2,587 sqft","Dec 31, 1969",$0,37.633453,-122.46329,CA,Single-Family Home,1089000,,94066,,35,,For Sale,SAN MATEO
32,Hamilton Ave,2.0,3.0,San Bruno,"1,320 sqft","Dec 31, 1969",$0,37.622,-122.43242,CA,Single-Family Home,210000,,94066,,43,,For Sale,SAN MATEO
33,San Marco Ave,2.0,3.0,San Bruno,"2,349 sqft","Dec 31, 1969",$0,37.61767,-122.404724,CA,Multi-Family Home,648000,,94066,,62,,For Sale,SAN MATEO
34,Linden Ave,1.0,2.0,San Bruno,"2,280 sqft","Dec 31, 1969",$0,37.61867,-122.41051,CA,Single-Family Home,600000,,94066,,68,,For Sale,SAN MATEO
