id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,180 Madison Ave,2.0,3.0,San Bruno,"1,360 sqft","Feb 20, 2014","$910,000",37.612286,-122.43022,CA,Single-Family Home,910000,"$804,000",94066,,,,Sold,SAN MATEO
2,300 Acacia Ave,2.5,4.0,San Bruno,"1,935 sqft","Feb 20, 2014","$770,000",37.618534,-122.41331,CA,Single-Family Home,770000,"$917,000",94066,,,,Sold,SAN MATEO
3,1146 Glenview Dr,2.0,3.0,San Bruno,"1,390 sqft","Feb 13, 2014","$860,000",37.624474,-122.44198,CA,Single-Family Home,860000,"$924,000",94066,,,,Sold,SAN MATEO
4,405 Cypress Ave,2.5,4.0,San Bruno,"2,280 sqft","Feb 12, 2014","$799,000",37.619656,-122.41559,CA,Single-Family Home,799000,"$1,020,000",94066,,,,Sold,SAN MATEO
5,279 Elm Ave,1.0,2.0,San Bruno,800 sqft,"Feb 12, 2014","$500,000",37.61806,-122.412384,CA,Single-Family Home,500000,"$632,000",94066,,,,Sold,SAN MATEO
6,832 4th Ave,1.0,2.0,San Bruno,950 sqft,"Feb 10, 2014","$518,000",37.631577,-122.408295,CA,Single-Family Home,518000,"$540,000",94066,,,,Sold,SAN MATEO
7,1291 Claremont Dr,2.0,3.0,San Bruno,"1,350 sqft","Feb 7, 2014","$870,000",37.624523,-122.4406,CA,Single-Family Home,870000,"$889,000",94066,,,,Sold,SAN MATEO
8,102 Quail Point Cir,2.0,3.0,San Bruno,"1,610 sqft","Feb 4, 2014","$679,000",37.627975,-122.4389,CA,Single-Family Home,679000,"$794,000",94066,,,,Sold,SAN MATEO
9,111 Castleton Way,2.0,3.0,San Bruno,"1,300 sqft","Jan 31, 2014","$785,000",37.62857,-122.4574,CA,Single-Family Home,785000,"$742,000",94066,,,,Sold,SAN MATEO
10,4256 Shelter Creek Ln,1.0,1.0,San Bruno,680 sqft,"Jan 31, 2014","$300,000",37.619843,-122.42837,CA,Condo,300000,"$349,000",94066,,,,Sold,SAN MATEO
11,8349 Shelter Creek Ln,1.0,1.0,San Bruno,680 sqft,"Jan 31, 2014","$312,000",37.623222,-122.42897,CA,Condo,312000,"$379,000",94066,,,,Sold,SAN MATEO
12,133 San Juan Ave,1.0,3.0,San Bruno,"1,470 sqft","Jan 30, 2014","$588,000",37.611416,-122.401215,CA,Single-Family Home,588000,"$766,000",94066,,,,Sold,SAN MATEO
13,5257 Shelter Creek Ln,1.0,,San Bruno,490 sqft,"Jan 29, 2014","$215,000",37.619843,-122.42837,CA,Condo,215000,"$254,000",94066,,,,Sold,SAN MATEO
14,475 Chestnut Ave,1.5,4.0,San Bruno,"2,190 sqft","Jan 27, 2014","$870,000",37.61902,-122.419106,CA,Single-Family Home,870000,"$968,000",94066,,,,Sold,SAN MATEO
15,1204 Clark Ave,1.5,3.0,San Bruno,"1,500 sqft","Jan 24, 2014","$730,000",37.619316,-122.416336,CA,Single-Family Home,730000,"$853,000",94066,,,,Sold,SAN MATEO
16,3135 Shelter Creek Ln,1.0,,San Bruno,490 sqft,"Jan 24, 2014","$236,000",37.619843,-122.42837,CA,Condo,236000,"$252,000",94066,,,,Sold,SAN MATEO
17,4338 Shelter Creek Ln,1.0,1.0,San Bruno,680 sqft,"Jan 24, 2014","$310,000",37.619843,-122.42837,CA,Condo,310000,"$346,000",94066,,,,Sold,SAN MATEO
18,2060 Spyglass Dr,2.0,3.0,San Bruno,"1,880 sqft","Jan 22, 2014","$675,000",37.636917,-122.468925,CA,Single-Family Home,675000,"$870,000",94066,,,,Sold,SAN MATEO
19,564 Cypress Ave,1.0,3.0,San Bruno,"1,260 sqft","Jan 21, 2014","$725,000",37.623528,-122.41822,CA,Single-Family Home,725000,"$787,000",94066,,,,Sold,SAN MATEO
20,7117 Shelter Creek Ln,2.0,2.0,San Bruno,"1,030 sqft","Jan 21, 2014","$433,000",37.62272,-122.42827,CA,Condo,433000,"$464,000",94066,,,,Sold,SAN MATEO
21,172 San Marco Ave,1.0,2.0,San Bruno,750 sqft,"Jan 17, 2014","$540,000",37.6169,-122.40562,CA,Single-Family Home,540000,"$566,000",94066,,,,Sold,SAN MATEO
22,431 Taylor Ave,2.0,3.0,San Bruno,"1,050 sqft","Jan 17, 2014","$550,000",37.621418,-122.409805,CA,Single-Family Home,550000,"$631,000",94066,,,,Sold,SAN MATEO
23,4353 Shelter Creek Ln,1.0,1.0,San Bruno,680 sqft,"Jan 17, 2014","$300,000",37.619843,-122.42837,CA,Condo,300000,"$375,000",94066,,,,Sold,SAN MATEO
24,2600 Sherwood Dr,2.0,3.0,San Bruno,"1,140 sqft","Jan 17, 2014","$620,000",37.632515,-122.44896,CA,Single-Family Home,620000,"$804,000",94066,,,,Sold,SAN MATEO
25,1239 Shelter Creek Ln,2.0,2.0,San Bruno,"1,030 sqft","Jan 15, 2014","$412,000",37.619843,-122.42837,CA,Condo,412000,"$462,000",94066,,,,Sold,SAN MATEO
26,2215 Hamilton Ave,2.0,3.0,San Bruno,"1,420 sqft","Jan 15, 2014","$780,000",37.62166,-122.43192,CA,Single-Family Home,780000,"$802,000",94066,,,,Sold,SAN MATEO
27,2234 Shelter Creek Ln,1.0,,San Bruno,490 sqft,"Jan 10, 2014","$210,000",37.619843,-122.42837,CA,Condo,210000,"$252,000",94066,,,,Sold,SAN MATEO
28,539 Chestnut Ave,2.0,5.0,San Bruno,"1,080 sqft","Jan 9, 2014","$643,000",37.62104,-122.42055,CA,Single-Family Home,643000,"$755,000",94066,,,,Sold,SAN MATEO
29,131 Del Norte Dr,2.5,4.0,San Bruno,"2,040 sqft","Jan 8, 2014","$750,000",37.62114,-122.449394,CA,Single-Family Home,750000,"$851,000",94066,,,,Sold,SAN MATEO
30,1305 Shelter Creek Ln,1.0,1.0,San Bruno,680 sqft,"Jan 6, 2014","$323,000",37.619843,-122.42837,CA,Condo,323000,"$380,000",94066,,,,Sold,SAN MATEO
31,5234 Shelter Creek Ln,1.0,,San Bruno,490 sqft,"Jan 6, 2014","$210,000",37.619843,-122.42837,CA,Condo,210000,"$266,000",94066,,,,Sold,SAN MATEO
32,317 Acacia Ave,1.0,2.0,San Bruno,"1,290 sqft","Jan 3, 2014","$1,080,000",37.61856,-122.41382,CA,Single-Family Home,1080000,"$827,000",94066,,,,Sold,SAN MATEO
33,133 Piccadilly Pl #G,1.0,,San Bruno,450 sqft,"Jan 2, 2014","$205,000",37.633152,-122.42893,CA,Condo,205000,"$259,000",94066,,,,Sold,SAN MATEO
34,402 Boardwalk Ave #1,1.0,1.0,San Bruno,540 sqft,"Jan 2, 2014","$275,000",37.630333,-122.430466,CA,Condo,275000,"$321,000",94066,,,,Sold,SAN MATEO
35,549 San Bruno Ave E,5.0,10.0,San Bruno,"6,041 sqft","Dec 31, 2013","$825,000",37.6311,-122.40809,CA,Multi-Family,825000,,94066,,,,Sold,SAN MATEO
36,540 Hawthorne Ave,2.0,3.0,San Bruno,"1,340 sqft","Dec 31, 2013","$456,666",37.61953,-122.423775,CA,Single-Family Home,456666,"$732,000",94066,,,,Sold,SAN MATEO
37,3056 Fleetwood Dr,2.0,3.0,San Bruno,"1,110 sqft","Dec 31, 2013","$625,000",37.632133,-122.45231,CA,Single-Family Home,625000,"$731,000",94066,,,,Sold,SAN MATEO
38,7246 Shelter Creek Ln,1.0,,San Bruno,490 sqft,"Dec 27, 2013","$235,000",37.62293,-122.428024,CA,Condo,235000,"$252,000",94066,,,,Sold,SAN MATEO
39,640 2nd Ave,4.0,4.0,San Bruno,"2,230 sqft","Dec 24, 2013","$659,000",37.627502,-122.408485,CA,Single-Family Home,659000,"$886,000",94066,,,,Sold,SAN MATEO
40,2433 Whitman Way,3.0,4.0,San Bruno,"2,110 sqft","Dec 24, 2013","$990,000",37.61674,-122.43481,CA,Single-Family Home,990000,"$998,000",94066,,,,Sold,SAN MATEO
41,408 Boardwalk Ave #13,1.0,1.0,San Bruno,540 sqft,"Dec 23, 2013","$292,500",37.630333,-122.430466,CA,Condo,292500,"$317,000",94066,,,,Sold,SAN MATEO
42,2031 Willow Way,2.0,3.0,San Bruno,"1,110 sqft","Dec 20, 2013","$685,000",37.63167,-122.45142,CA,Single-Family Home,685000,"$743,000",94066,,,,Sold,SAN MATEO
43,2510 Crestmoor Dr,2.0,3.0,San Bruno,"1,560 sqft","Dec 20, 2013","$828,000",37.62155,-122.435585,CA,Single-Family Home,828000,"$890,000",94066,,,,Sold,SAN MATEO
44,2881 Saint Cloud Dr,2.0,3.0,San Bruno,"1,510 sqft","Dec 20, 2013","$786,000",37.634624,-122.454575,CA,Single-Family Home,786000,"$806,000",94066,,,,Sold,SAN MATEO
45,2229 Kingston Ave,2.0,3.0,San Bruno,"1,330 sqft","Dec 20, 2013","$339,500",37.621117,-122.43271,CA,Single-Family Home,339500,"$826,000",94066,,,,Sold,SAN MATEO
46,301 Chapman Ave,1.0,2.0,San Bruno,810 sqft,"Dec 20, 2013","$555,000",37.62109,-122.408295,CA,Single-Family Home,555000,"$572,000",94066,,,,Sold,SAN MATEO
47,1430 Claremont Dr,2.0,3.0,San Bruno,"1,340 sqft","Dec 20, 2013","$768,000",37.623257,-122.43869,CA,Single-Family Home,768000,"$883,000",94066,,,,Sold,SAN MATEO
48,231 Del Norte Dr,3.0,5.0,San Bruno,"1,400 sqft","Dec 20, 2013","$740,000",37.62237,-122.449196,CA,Single-Family Home,740000,"$810,000",94066,,,,Sold,SAN MATEO
49,525 Beech Ave,2.0,4.0,San Bruno,"2,290 sqft","Dec 18, 2013","$742,000",37.62101,-122.419525,CA,Single-Family Home,742000,"$925,000",94066,,,,Sold,SAN MATEO
50,918 6th Ave,1.0,3.0,San Bruno,"1,060 sqft","Dec 17, 2013","$528,500",37.633427,-122.4065,CA,Single-Family Home,528500,"$594,000",94066,,,,Sold,SAN MATEO
51,577 Acacia Ave,1.0,3.0,San Bruno,"1,600 sqft","Dec 17, 2013","$755,000",37.623985,-122.41853,CA,Single-Family Home,755000,"$848,000",94066,,,,Sold,SAN MATEO
52,4145 Shelter Creek Ln,1.0,1.0,San Bruno,680 sqft,"Dec 17, 2013","$320,000",37.619843,-122.42837,CA,Condo,320000,"$380,000",94066,,,,Sold,SAN MATEO
53,785 5th Ave,1.0,2.0,San Bruno,780 sqft,"Dec 16, 2013","$446,000",37.63044,-122.40784,CA,Single-Family Home,446000,"$516,000",94066,,,,Sold,SAN MATEO
54,7121 Shelter Creek Ln,1.0,,San Bruno,490 sqft,"Dec 13, 2013","$210,000",37.62272,-122.428276,CA,Condo,210000,"$252,000",94066,,,,Sold,SAN MATEO
55,7215 Shelter Creek Ln,1.0,1.0,San Bruno,680 sqft,"Dec 13, 2013","$292,500",37.622765,-122.42831,CA,Condo,292500,"$379,000",94066,,,,Sold,SAN MATEO
56,2280 Valleywood Dr,2.0,3.0,San Bruno,"1,140 sqft","Dec 13, 2013","$630,000",37.634583,-122.44324,CA,Single-Family Home,630000,"$746,000",94066,,,,Sold,SAN MATEO
57,450 Cherry Ave,2.0,3.0,San Bruno,"1,150 sqft","Dec 12, 2013","$680,000",37.618168,-122.41889,CA,Single-Family Home,680000,"$772,000",94066,,,,Sold,SAN MATEO
58,6225 Shelter Creek Ln,1.0,1.0,San Bruno,680 sqft,"Dec 11, 2013","$287,500",37.619843,-122.42837,CA,Condo,287500,"$369,000",94066,,,,Sold,SAN MATEO
59,488 Cherry Ave,1.0,3.0,San Bruno,"1,060 sqft","Dec 11, 2013","$665,500",37.6193,-122.4197,CA,Single-Family Home,665500,"$747,000",94066,,,,Sold,SAN MATEO
60,181 Poplar Ave,2.5,3.0,San Bruno,"2,350 sqft","Dec 11, 2013","$770,000",37.61627,-122.40978,CA,Single-Family Home,770000,"$969,000",94066,,,,Sold,SAN MATEO
61,100 Castleton Way,2.5,3.0,San Bruno,"1,300 sqft","Dec 11, 2013","$618,000",37.628693,-122.45684,CA,Single-Family Home,618000,"$768,000",94066,,,,Sold,SAN MATEO
