id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,119 Chesham Ave,2.0,3.0,San Carlos,"1,230 sqft","Feb 19, 2014","$1,200,000",37.495934,-122.28021,CA,Single-Family Home,1200000,"$1,223,000",94070,,,,Sold,SAN MATEO
2,135 Dale Ave,1.0,1.0,San Carlos,720 sqft,"Feb 19, 2014","$708,000",37.50041,-122.27284,CA,Single-Family Home,708000,"$831,000",94070,,,,Sold,SAN MATEO
3,1 Elm St #200,2.0,2.0,San Carlos,"1,180 sqft","Feb 18, 2014","$655,000",37.51245,-122.26942,CA,Condo,655000,"$719,000",94070,,,,Sold,SAN MATEO
4,126 Manor Dr,2.0,2.0,San Carlos,"1,030 sqft","Feb 18, 2014","$1,010,000",37.500744,-122.27443,CA,Single-Family Home,1010000,"$1,139,000",94070,,,,Sold,SAN MATEO
5,57 Elm St,2.0,4.0,San Carlos,"2,419 sqft","Feb 14, 2014","$880,000",37.511784,-122.26831,CA,Multi-Family,880000,"$1,495,000",94070,,,,Sold,SAN MATEO
6,3335 La Mesa Dr #8,2.0,2.0,San Carlos,"1,040 sqft","Feb 14, 2014","$630,000",37.48035,-122.282845,CA,Condo,630000,"$687,000",94070,,,,Sold,SAN MATEO
7,3348 La Mesa Dr #14,2.0,2.0,San Carlos,"1,040 sqft","Feb 12, 2014","$652,000",37.479496,-122.284256,CA,Condo,652000,"$682,000",94070,,,,Sold,SAN MATEO
8,416 Portofino Dr #5,2.5,2.0,San Carlos,"1,310 sqft","Feb 10, 2014","$630,000",37.49028,-122.27743,CA,Condo,630000,"$813,000",94070,,,,Sold,SAN MATEO
9,2 Elm St #201,2.0,2.0,San Carlos,"1,050 sqft","Feb 5, 2014","$620,000",37.512966,-122.268616,CA,Condo,620000,"$735,000",94070,,,,Sold,SAN MATEO
10,243 Hillcrest Rd,1.0,2.0,San Carlos,890 sqft,"Jan 31, 2014","$1,058,000",37.50548,-122.26976,CA,Single-Family Home,1058000,"$1,109,000",94070,,,,Sold,SAN MATEO
11,5 Poppy Ln,2.5,2.0,San Carlos,"2,200 sqft","Jan 29, 2014","$1,315,000",37.496895,-122.29436,CA,Condo,1315000,"$1,224,000",94070,,,,Sold,SAN MATEO
12,2730 San Miguel Way,2.5,4.0,San Carlos,"1,660 sqft","Jan 28, 2014","$1,450,000",37.48872,-122.26985,CA,Single-Family Home,1450000,"$1,484,000",94070,,,,Sold,SAN MATEO
13,23 Vine St,1.0,2.0,San Carlos,"1,190 sqft","Jan 24, 2014","$985,000",37.51029,-122.27169,CA,Single-Family Home,985000,"$1,125,000",94070,,,,Sold,SAN MATEO
14,1005 Hall St,1.0,2.0,San Carlos,910 sqft,"Jan 23, 2014","$775,000",37.50719,-122.25611,CA,Single-Family Home,775000,"$814,000",94070,,,,Sold,SAN MATEO
15,1333 Elm St,1.0,2.0,San Carlos,"1,390 sqft","Jan 22, 2014","$1,000,000",37.49675,-122.251945,CA,Single-Family Home,1000000,"$1,109,000",94070,,,,Sold,SAN MATEO
16,2727 Clifford Ave,4.0,4.0,San Carlos,"2,920 sqft","Jan 21, 2014","$2,555,000",37.483257,-122.26232,CA,Single-Family Home,2555000,"$2,778,000",94070,,,,Sold,SAN MATEO
17,2424 Saint Francis Way,1.0,3.0,San Carlos,"1,320 sqft","Jan 21, 2014","$1,180,000",37.485455,-122.258446,CA,Single-Family Home,1180000,"$1,256,000",94070,Oak Knoll - Redwood Park,,,Sold,SAN MATEO
18,3392 Brittan Ave #7,2.0,2.0,San Carlos,"1,040 sqft","Jan 17, 2014","$594,000",37.483284,-122.28713,CA,Condo,594000,"$681,000",94070,,,,Sold,SAN MATEO
19,1036 Hewitt Dr,2.0,3.0,San Carlos,"1,870 sqft","Jan 16, 2014","$1,300,000",37.492123,-122.2726,CA,Single-Family Home,1300000,"$1,439,000",94070,,,,Sold,SAN MATEO
20,11 Buttercup Ln,2.5,2.0,San Carlos,"1,793 sqft","Jan 13, 2014","$950,000",37.497986,-122.29913,CA,Condo,950000,"$1,135,000",94070,,,,Sold,SAN MATEO
21,15 Sorrel Ln,,,San Carlos,,"Jan 10, 2014","$785,000",37.497986,-122.29913,CA,Condo,785000,,94070,,,,Sold,SAN MATEO
22,1 Laurel St #102,2.0,2.0,San Carlos,"1,030 sqft","Jan 10, 2014","$579,000",37.51245,-122.26942,CA,Condo,579000,"$693,000",94070,,,,Sold,SAN MATEO
23,30 Dover Ct,2.0,3.0,San Carlos,"1,750 sqft","Jan 9, 2014","$1,610,000",37.494896,-122.28289,CA,Single-Family Home,1610000,"$1,466,000",94070,,,,Sold,SAN MATEO
24,878 Heather Dr,2.0,3.0,San Carlos,"1,680 sqft","Jan 8, 2014","$1,175,000",37.492313,-122.27133,CA,Single-Family Home,1175000,"$1,340,000",94070,,,,Sold,SAN MATEO
25,1532 Greenwood Ave,1.0,1.0,San Carlos,920 sqft,"Jan 8, 2014","$1,975,000",37.497303,-122.25518,CA,Single-Family Home,1975000,"$986,000",94070,,,,Sold,SAN MATEO
26,8 Portofino Ct,2.5,4.0,San Carlos,"1,950 sqft","Jan 7, 2014","$1,584,000",37.49324,-122.279175,CA,Single-Family Home,1584000,"$1,737,000",94070,,,,Sold,SAN MATEO
27,650 Wellington Dr,3.5,4.0,San Carlos,"2,600 sqft","Jan 3, 2014","$2,270,000",37.50885,-122.28331,CA,Single-Family Home,2270000,"$1,835,000",94070,,,,Sold,SAN MATEO
28,818 Cordilleras Ave,2.0,3.0,San Carlos,"1,510 sqft","Jan 3, 2014","$1,307,000",37.497486,-122.26588,CA,Single-Family Home,1307000,"$1,379,000",94070,,,,Sold,SAN MATEO
29,193 Glasgow Ln,3.0,4.0,San Carlos,"2,510 sqft","Dec 31, 2013","$750,000",37.496258,-122.273,CA,Single-Family Home,750000,"$2,123,000",94070,,,,Sold,SAN MATEO
