id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,88 King St #1322,2.0,3.0,San Francisco,"1,369 sqft","Feb 28, 2014","$1,800,000",37.78063,-122.389626,CA,Condo,1800000,"$2,078,000",94107,South Beach,,,Sold,SAN FRANCISCO
2,55 Page St #514,1.0,1.0,San Francisco,476 sqft,"Feb 28, 2014","$530,000",37.77389,-122.421875,CA,Condo,530000,"$477,000",94102,Hayes Valley,,,Sold,SAN FRANCISCO
3,750 2nd St #401,2.0,2.0,San Francisco,"1,591 sqft","Feb 28, 2014","$1,935,000",37.780006,-122.390274,CA,Condo,1935000,"$1,722,000",94107,South Beach,,,Sold,SAN FRANCISCO
4,572 Missouri St #572A,2.0,2.0,San Francisco,"1,765 sqft","Feb 28, 2014","$1,250,000",37.759083,-122.39633,CA,Condo,1250000,"$1,228,000",94107,Potrero Hill,,,Sold,SAN FRANCISCO
5,334 Holladay Ave,1.0,,San Francisco,"1,275 sqft","Feb 28, 2014","$760,000",37.744442,-122.40603,CA,Single-Family Home,760000,"$1,202,000",94110,Bernal Heights,,,Sold,SAN FRANCISCO
6,1580 Sanchez St #1582,3.0,,San Francisco,"3,100 sqft","Feb 28, 2014","$1,550,000",37.743805,-122.42923,CA,Multi-Family,1550000,,94131,Noe Valley,,,Sold,SAN FRANCISCO
7,249 Shipley St #2,1.0,1.0,San Francisco,892 sqft,"Feb 28, 2014","$695,000",37.77889,-122.40376,CA,Condo,695000,"$773,000",94107,SoMa,,,Sold,SAN FRANCISCO
8,1025 17th St #8,2.0,,San Francisco,829 sqft,"Feb 28, 2014","$589,000",37.765003,-122.39434,CA,Condo,589000,"$743,000",94107,Potrero Hill,,,Sold,SAN FRANCISCO
9,650 Delancey St #105,2.0,,San Francisco,"1,554 sqft","Feb 28, 2014","$1,375,000",37.782776,-122.38969,CA,Condo,1375000,"$1,433,000",94107,South Beach,,,Sold,SAN FRANCISCO
10,1455 41st Ave,1.0,,San Francisco,"1,250 sqft","Feb 28, 2014","$823,500",37.759613,-122.500824,CA,Single-Family Home,823500,"$1,034,000",94122,Outer Sunset,,,Sold,SAN FRANCISCO
