id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,3451 Sagewood Ln,2.5,3.0,San Jose,"1,629 sqft","Mar 12, 2014","$680,000",37.414658,-121.86059,CA,Single-Family Home,680000,"$748,000",95132,Berryessa,,,Sold,SANTA CLARA
2,1179 Huntingdon Dr,2.0,3.0,San Jose,"1,324 sqft","Mar 12, 2014","$1,310,500",37.303047,-122.003975,CA,Single-Family Home,1310500,"$1,351,000",95129,West San Jose,,,Sold,SANTA CLARA
3,732 Northrup St #121,2.0,2.0,San Jose,990 sqft,"Mar 12, 2014","$397,000",37.3152,-121.907906,CA,Condo,397000,"$440,000",95126,Downtown San Jose,,,Sold,SANTA CLARA
4,1230 Wentworth Way,2.0,4.0,San Jose,"1,771 sqft","Mar 12, 2014","$620,000",37.291798,-121.81059,CA,Single-Family Home,620000,"$658,000",95121,Evergreen,,,Sold,SANTA CLARA
5,5207 Elrose Ave,2.0,3.0,San Jose,"1,392 sqft","Mar 12, 2014","$910,000",37.24332,-121.91422,CA,Single-Family Home,910000,"$948,000",95124,Cambrian Park,,,Sold,SANTA CLARA
6,1842 Rosswood Dr,2.5,4.0,San Jose,"1,565 sqft","Mar 12, 2014","$1,062,000",37.248047,-121.91953,CA,Single-Family Home,1062000,"$943,000",95124,Cambrian Park,,,Sold,SANTA CLARA
7,2696 Ophelia Ave,2.5,4.0,San Jose,"1,343 sqft","Mar 12, 2014","$451,000",37.318066,-121.8179,CA,Single-Family Home,451000,"$501,000",95122,Evergreen,,,Sold,SANTA CLARA
8,3744 Sorci Dr,2.0,3.0,San Jose,"1,313 sqft","Mar 12, 2014","$710,000",37.26383,-121.90339,CA,Single-Family Home,710000,"$798,000",95124,Cambrian Park,,,Sold,SANTA CLARA
9,5103 Camden Ave,2.0,4.0,San Jose,"1,370 sqft","Mar 12, 2014","$775,000",37.245605,-121.90814,CA,Single-Family Home,775000,"$768,000",95124,Cambrian Park,,,Sold,SANTA CLARA
10,4248 Cosenza Loop,2.5,4.0,San Jose,"1,477 sqft","Mar 12, 2014","$675,000",37.415073,-121.96058,CA,Condo,675000,"$699,000",95134,North San Jose,,,Sold,SANTA CLARA
11,3199 Cyrus Ave,2.0,3.0,San Jose,"1,248 sqft","Mar 12, 2014","$765,000",37.26567,-121.91567,CA,Single-Family Home,765000,"$798,000",95124,Willow Glen,,,Sold,SANTA CLARA
12,1650 Lorient Ter,2.5,3.0,San Jose,"1,778 sqft","Mar 12, 2014","$650,000",37.366848,-121.870865,CA,Condo,650000,"$665,000",95133,Alum Rock,,,Sold,SANTA CLARA
