id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,504 Fathom Dr,2.0,2.0,San Mateo,"1,040 sqft","Dec 31, 1969",$0,37.566784,-122.285034,CA,Single-Family Home,698888,,94404,Marina Lagoon,52,,For Sale,SAN MATEO
2,425 N El Camino Real #412,2.0,2.0,San Mateo,"1,278 sqft","Dec 31, 1969",$0,37.570084,-122.33642,CA,Condo,575000,,94401,North Central,55,,For Sale,SAN MATEO
3,1705 Palm Ave #4,1.5,1.0,San Mateo,802 sqft,"Dec 31, 1969",$0,37.553223,-122.31225,CA,Condo,442000,,94402,Haywood Park,80,,For Sale,SAN MATEO
4,32 Creekside Ln,4.0,3.0,San Mateo,,"Dec 31, 1969",$0,37.570145,-122.31734,CA,Single-Family Home,839000,,94401,North Central,82,,For Sale,SAN MATEO
5,688 Mariners Island Blvd #207,1.0,1.0,San Mateo,726 sqft,"Dec 31, 1969",$0,37.563995,-122.28534,CA,Condo,409990,,94404,Marina Lagoon,60,,For Sale,SAN MATEO
6,30 Mounds Rd #202,2.0,2.0,San Mateo,"1,352 sqft","Dec 31, 1969",$0,37.567425,-122.33286,CA,Condo,698000,,94402,Baywood-Aragon,78,,For Sale,SAN MATEO
7,770 27th Ave,4.5,6.0,San Mateo,"4,193 sqft","Dec 31, 1969",$0,37.536453,-122.31985,CA,Single-Family Home,2299500,,94403,Beresford,60,,For Sale,SAN MATEO
8,401 S Norfolk St #116,2.0,2.0,San Mateo,913 sqft,"Dec 31, 1969",$0,37.572384,-122.30973,CA,Condo,503888,,94401,Shoreview,66,,For Sale,SAN MATEO
9,516 Peninsula Ave,,,San Mateo,"2,300 sqft","Dec 31, 1969",$0,37.579758,-122.33523,CA,Single-Family Home,1699000,,94401,North Central,77,,For Sale,SAN MATEO
10,711 S Bayshore Blvd #16,1.0,2.0,San Mateo,750 sqft,"Dec 31, 1969",$0,37.568436,-122.310356,CA,Condo,388000,,94401,Shoreview,62,,For Sale,SAN MATEO
11,1623 Dix St,2.0,3.0,San Mateo,"1,040 sqft","Dec 31, 1969",$0,37.562332,-122.3009,CA,Single-Family Home,728000,,94401,Shoreview,54,,For Sale,SAN MATEO
12,1 Baldwin Ave #911,2.0,2.0,San Mateo,"1,140 sqft","Dec 31, 1969",$0,37.566105,-122.32796,CA,Condo,499000,,94401,Downtown,95,,For Sale,SAN MATEO
13,1648 Van Buren St,2.0,3.0,San Mateo,"1,300 sqft","Dec 31, 1969",$0,37.562466,-122.29642,CA,Single-Family Home,748888,,94403,Shoreview,45,,For Sale,SAN MATEO
14,93 Lakewood Cir,3.0,5.0,San Mateo,"3,230 sqft","Dec 31, 1969",$0,37.51568,-122.32958,CA,Single-Family Home,1899000,,94402,Western Hills,34,,For Sale,SAN MATEO
15,154 E Hillsdale Blvd,3.0,4.0,San Mateo,"1,690 sqft","Dec 31, 1969",$0,37.540184,-122.2922,CA,Single-Family Home,875000,,94403,Hillsdale,66,,For Sale,SAN MATEO
16,4208 George Ave #1,2.0,2.0,San Mateo,"1,040 sqft","Dec 31, 1969",$0,37.533615,-122.28702,CA,Apt/Condo/Twnhm,499888,,94403,Hillsdale,66,,For Sale,SAN MATEO
17,1128 Shoreline Dr,2.0,1.0,San Mateo,,"Dec 31, 1969",$0,37.556602,-122.291115,CA,Condo,665000,,94404,Marina Lagoon,66,,For Sale,SAN MATEO
18,601 Laurel Ave #608,1.0,2.0,San Mateo,"1,200 sqft","Dec 31, 1969",$0,37.562614,-122.32079,CA,Condo,625000,,94401,Downtown,97,,For Sale,SAN MATEO
19,1700 De Anza Blvd #106A,2.0,2.0,San Mateo,"1,039 sqft","Dec 31, 1969",$0,37.52311,-122.330574,CA,Condo,675000,,94403,Sugarloaf,46,,For Sale,SAN MATEO
20,731 Edgewood Rd,2.0,3.0,San Mateo,"1,810 sqft","Dec 31, 1969",$0,37.56934,-122.3503,CA,Single-Family Home,1499999,,94402,San Mateo Park,54,,For Sale,SAN MATEO
21,838 N Delaware St,1.5,2.0,San Mateo,"1,152 sqft","Dec 31, 1969",$0,37.58069,-122.331245,CA,Townhome,614000,,94401,North Central,71,,For Sale,SAN MATEO
22,137 N Eldorado St,,,San Mateo,"1,190 sqft","Dec 31, 1969",$0,37.572174,-122.32463,CA,Multi-Family Home,1050000,,94401,North Central,85,,For Sale,SAN MATEO
23,160 31st Ave,2.0,3.0,San Mateo,"1,650 sqft","Dec 31, 1969",$0,37.53672,-122.305145,CA,Single-Family Home,1049000,,94403,Beresford,80,,For Sale,SAN MATEO
24,1595 Lago St #1,1.0,2.0,San Mateo,899 sqft,"Dec 31, 1969",$0,37.54508,-122.280266,CA,Condo,479888,,94403,,,,For Sale,SAN MATEO
25,4208 George Ave #1,2.0,2.0,San Mateo,"1,040 sqft","Dec 31, 1969",$0,37.533615,-122.28702,CA,Apt/Condo/Twnhm,499888,,94403,Hillsdale,75,,For Sale,SAN MATEO
26,125 N Claremont St,,,San Mateo,"1,602 sqft","Dec 31, 1969",$0,37.570812,-122.325775,CA,Multi-Family Home,735000,,94401,North Central,86,,For Sale,SAN MATEO
27,320 Elm St #310,2.0,2.0,San Mateo,"1,446 sqft","Dec 31, 1969",$0,37.57084,-122.33236,CA,Condo,649000,,94401,North Central,,,For Sale,SAN MATEO
28,925 S Eldorado St,1.0,3.0,San Mateo,"1,210 sqft","Dec 31, 1969",$0,37.56328,-122.31401,CA,Single-Family Home,849000,,94402,Haywood Park,82,,For Sale,SAN MATEO
29,3519 Michael Dr,1.0,3.0,San Mateo,"1,130 sqft","Dec 31, 1969",$0,37.532127,-122.305595,CA,Single-Family Home,850000,,94403,Sugarloaf,,,For Sale,SAN MATEO
30,236 Amherst Ave,2.5,4.0,San Mateo,"2,420 sqft","Dec 31, 1969",$0,37.557735,-122.33206,CA,Single-Family Home,1749000,,94402,Baywood-Aragon,,,For Sale,SAN MATEO
31,2633 Ensenada Way,1.0,3.0,San Mateo,"1,440 sqft","Dec 31, 1969",$0,37.53974,-122.31449,CA,Single-Family Home,925000,,94403,Beresford,,,For Sale,SAN MATEO
32,74 Crystal Springs Rd,3.0,4.0,San Mateo,"3,730 sqft","Dec 31, 1969",$0,37.563015,-122.32936,CA,Single-Family Home,1950000,,94402,Baywood-Aragon,89,,For Sale,SAN MATEO
33,602 31st Ave,2.0,3.0,San Mateo,"1,450 sqft","Dec 31, 1969",$0,37.533768,-122.31242,CA,Single-Family Home,950000,,94403,Beresford,52,,For Sale,SAN MATEO
34,1532 Dale Ave,1.0,3.0,San Mateo,"1,000 sqft","Dec 31, 1969",$0,37.567127,-122.3035,CA,Single-Family Home,649000,,94401,Shoreview,,,For Sale,SAN MATEO
35,15 Crown Ct,3.0,4.0,San Mateo,"2,890 sqft","Dec 31, 1969",$0,37.518894,-122.335014,CA,Single-Family Home,1988000,,94402,,51,,For Sale,SAN MATEO
