id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,2600 S Delaware St,,,San Mateo,,"Feb 20, 2014","$812,500",37.54391,-122.300224,CA,Multi-Family,812500,,94403,Hillsdale,,,Sold,SAN MATEO
2,36 Live Oak Dr,,,San Mateo,,"Feb 20, 2014","$482,000",37.54071,-122.32935,CA,Lot/Land,482000,,94403,Beresford,,,Sold,SAN MATEO
3,112 Madison Ave #210,2.0,2.0,San Mateo,"1,200 sqft","Feb 19, 2014","$740,000",37.55426,-122.31933,CA,Condo,740000,"$770,000",94402,Haywood Park,,,Sold,SAN MATEO
4,128 N El Camino Real #107,2.0,2.0,San Mateo,"1,355 sqft","Feb 19, 2014","$660,000",37.567818,-122.330734,CA,Condo,660000,"$671,000",94401,North Central,,,Sold,SAN MATEO
5,1569 De Anza Blvd,2.5,2.0,San Mateo,"2,200 sqft","Feb 19, 2014","$1,105,000",37.522087,-122.32624,CA,Single-Family Home,1105000,"$1,132,000",94403,Sugarloaf,,,Sold,SAN MATEO
6,151 16th Ave,1.0,3.0,San Mateo,"1,900 sqft","Feb 14, 2014","$1,250,000",37.555557,-122.312515,CA,Single-Family Home,1250000,"$1,275,000",94402,Haywood Park,,,Sold,SAN MATEO
7,1209 W Hillsdale Blvd,5.0,9.0,San Mateo,"5,462 sqft","Feb 14, 2014","$1,850,000",37.53285,-122.32539,CA,Multi-Family,1850000,,94403,Sugarloaf,,,Sold,SAN MATEO
8,1622 Via Laguna #7,2.0,2.0,San Mateo,"1,070 sqft","Feb 14, 2014","$650,000",37.554764,-122.28484,CA,Condo,650000,"$684,000",94404,Marina Lagoon,,,Sold,SAN MATEO
9,241 N Humboldt St,2.0,2.0,San Mateo,"1,370 sqft","Feb 14, 2014","$628,500",37.575577,-122.323204,CA,Multi-Family,628500,"$788,000",94401,North Central,,,Sold,SAN MATEO
10,660 N El Camino Real,1.0,2.0,San Mateo,"1,250 sqft","Feb 14, 2014","$875,000",37.572655,-122.33914,CA,Single-Family Home,875000,"$1,036,000",94401,North Central,,,Sold,SAN MATEO
11,231 Louise Ln,2.5,3.0,San Mateo,"2,150 sqft","Feb 14, 2014","$1,588,500",37.533875,-122.30585,CA,Single-Family Home,1588500,"$1,635,000",94403,Beresford,,,Sold,SAN MATEO
12,810 N Delaware St,1.5,2.0,San Mateo,"1,152 sqft","Feb 14, 2014","$614,000",37.58069,-122.331245,CA,Condo,614000,"$672,000",94401,North Central,,,Sold,SAN MATEO
13,114 Clark Dr,5.0,6.0,San Mateo,"4,540 sqft","Feb 14, 2014","$3,700,000",37.570595,-122.34217,CA,Single-Family Home,3700000,"$2,496,000",94402,San Mateo Park,,,Sold,SAN MATEO
14,3050 Los Prados St #19,1.0,,San Mateo,490 sqft,"Feb 13, 2014","$260,000",37.54448,-122.28163,CA,Condo,260000,"$312,000",94403,,,,Sold,SAN MATEO
15,900 E 3rd Ave,2.5,2.0,San Mateo,"1,580 sqft","Feb 13, 2014","$782,000",37.56911,-122.31686,CA,Single-Family Home,782000,"$821,000",94401,North Central,,,Sold,SAN MATEO
16,1945 Palm Ave,1.0,2.0,San Mateo,"1,030 sqft","Feb 13, 2014","$710,000",37.5499,-122.3088,CA,Single-Family Home,710000,"$798,000",94403,Hillsdale,,,Sold,SAN MATEO
17,1239 Tilia St,2.0,3.0,San Mateo,"1,320 sqft","Feb 13, 2014","$1,311,500",37.549797,-122.324234,CA,Single-Family Home,1311500,"$1,175,000",94402,Haywood Park,,,Sold,SAN MATEO
18,21 10th Ave,1.0,3.0,San Mateo,"2,750 sqft","Feb 12, 2014","$1,400,000",37.558105,-122.319084,CA,Single-Family Home,1400000,"$1,423,000",94401,Haywood Park,,,Sold,SAN MATEO
19,608 Ocean View Ave,1.0,3.0,San Mateo,"1,000 sqft","Feb 11, 2014","$635,000",37.572502,-122.306335,CA,Single-Family Home,635000,"$673,000",94401,Shoreview,,,Sold,SAN MATEO
20,490 Mariners Island Blvd #212,2.0,2.0,San Mateo,"1,250 sqft","Feb 11, 2014","$550,000",37.56729,-122.28483,CA,Condo,550000,"$679,000",94404,Vintage Park,,,Sold,SAN MATEO
21,816 Jefferson Ct,1.0,2.0,San Mateo,"1,157 sqft","Feb 11, 2014","$651,000",37.575733,-122.338165,CA,Condo,651000,"$730,000",94401,North Central,,,Sold,SAN MATEO
22,347 Rolling Hills Ave,2.0,3.0,San Mateo,"1,990 sqft","Feb 7, 2014","$1,220,000",37.527332,-122.303345,CA,Single-Family Home,1220000,"$1,236,000",94403,Sugarloaf,,,Sold,SAN MATEO
23,1665 Wellesley Ave,3.0,4.0,San Mateo,"2,270 sqft","Feb 6, 2014","$685,000",37.561234,-122.29523,CA,Single-Family Home,685000,"$962,000",94403,Shoreview,,,Sold,SAN MATEO
24,23 Mounds Rd,3.0,4.0,San Mateo,"3,200 sqft","Feb 6, 2014","$1,865,000",37.56747,-122.33368,CA,Single-Family Home,1865000,"$2,715,000",94402,Baywood-Aragon,,,Sold,SAN MATEO
25,847 N Humboldt St #403,1.0,,San Mateo,492 sqft,"Feb 5, 2014","$310,000",37.58069,-122.331245,CA,Condo,310000,"$337,000",94401,North Central,,,Sold,SAN MATEO
26,40 Live Oak Dr,,,San Mateo,,"Feb 4, 2014","$1,496,500",37.54092,-122.329185,CA,Lot/Land,1496500,,94403,Beresford,,,Sold,SAN MATEO
27,1737 Trollman Ave,2.5,4.0,San Mateo,"2,070 sqft","Feb 3, 2014","$750,000",37.581684,-122.31484,CA,Single-Family Home,750000,"$906,000",94401,Shoreview,,,Sold,SAN MATEO
28,601 Laurel Ave #906,2.0,2.0,San Mateo,"1,480 sqft","Jan 31, 2014","$827,500",37.562614,-122.32079,CA,Condo,827500,"$848,000",94401,Downtown,,,Sold,SAN MATEO
29,1021 S Idaho St,,,San Mateo,,"Jan 31, 2014","$864,000",37.564453,-122.308784,CA,Single-Family Home,864000,,94402,Haywood Park,,,Sold,SAN MATEO
30,654 Fathom Dr,2.5,3.0,San Mateo,"1,840 sqft","Jan 31, 2014","$1,065,000",37.564587,-122.285934,CA,Single-Family Home,1065000,"$978,000",94404,Marina Lagoon,,,Sold,SAN MATEO
31,1945 Palm Ave,1.0,2.0,San Mateo,"1,030 sqft","Feb 13, 2014","$710,000",37.5499,-122.3088,CA,Single-Family Home,710000,"$798,000",94403,Hillsdale,,,Sold,SAN MATEO
32,1239 Tilia St,2.0,3.0,San Mateo,"1,320 sqft","Feb 13, 2014","$1,311,500",37.549797,-122.324234,CA,Single-Family Home,1311500,"$1,175,000",94402,Haywood Park,,,Sold,SAN MATEO
33,21 10th Ave,1.0,3.0,San Mateo,"2,750 sqft","Feb 12, 2014","$1,400,000",37.558105,-122.319084,CA,Single-Family Home,1400000,"$1,423,000",94401,Haywood Park,,,Sold,SAN MATEO
34,608 Ocean View Ave,1.0,3.0,San Mateo,"1,000 sqft","Feb 11, 2014","$635,000",37.572502,-122.306335,CA,Single-Family Home,635000,"$673,000",94401,Shoreview,,,Sold,SAN MATEO
35,490 Mariners Island Blvd #212,2.0,2.0,San Mateo,"1,250 sqft","Feb 11, 2014","$550,000",37.56729,-122.28483,CA,Condo,550000,"$679,000",94404,Vintage Park,,,Sold,SAN MATEO
36,816 Jefferson Ct,1.0,2.0,San Mateo,"1,157 sqft","Feb 11, 2014","$651,000",37.575733,-122.338165,CA,Condo,651000,"$730,000",94401,North Central,,,Sold,SAN MATEO
37,347 Rolling Hills Ave,2.0,3.0,San Mateo,"1,990 sqft","Feb 7, 2014","$1,220,000",37.527332,-122.303345,CA,Single-Family Home,1220000,"$1,236,000",94403,Sugarloaf,,,Sold,SAN MATEO
38,1665 Wellesley Ave,3.0,4.0,San Mateo,"2,270 sqft","Feb 6, 2014","$685,000",37.561234,-122.29523,CA,Single-Family Home,685000,"$962,000",94403,Shoreview,,,Sold,SAN MATEO
39,23 Mounds Rd,3.0,4.0,San Mateo,"3,200 sqft","Feb 6, 2014","$1,865,000",37.56747,-122.33368,CA,Single-Family Home,1865000,"$2,715,000",94402,Baywood-Aragon,,,Sold,SAN MATEO
40,847 N Humboldt St #403,1.0,,San Mateo,492 sqft,"Feb 5, 2014","$310,000",37.58069,-122.331245,CA,Condo,310000,"$337,000",94401,North Central,,,Sold,SAN MATEO
41,40 Live Oak Dr,,,San Mateo,,"Feb 4, 2014","$1,496,500",37.54092,-122.329185,CA,Lot/Land,1496500,,94403,Beresford,,,Sold,SAN MATEO
42,1737 Trollman Ave,2.5,4.0,San Mateo,"2,070 sqft","Feb 3, 2014","$750,000",37.581684,-122.31484,CA,Single-Family Home,750000,"$906,000",94401,Shoreview,,,Sold,SAN MATEO
43,601 Laurel Ave #906,2.0,2.0,San Mateo,"1,480 sqft","Jan 31, 2014","$827,500",37.562614,-122.32079,CA,Condo,827500,"$848,000",94401,Downtown,,,Sold,SAN MATEO
44,1021 S Idaho St,,,San Mateo,,"Jan 31, 2014","$864,000",37.564453,-122.308784,CA,Single-Family Home,864000,,94402,Haywood Park,,,Sold,SAN MATEO
45,654 Fathom Dr,2.5,3.0,San Mateo,"1,840 sqft","Jan 31, 2014","$1,065,000",37.564587,-122.285934,CA,Single-Family Home,1065000,"$978,000",94404,Marina Lagoon,,,Sold,SAN MATEO
