id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,3426 Java Dr,3.0,5.0,San Ramon,"2,500 sqft","Dec 31, 1969",$0,37.780148,-121.96248,CA,Single-Family Home,939000,,94582,,52,,For Sale,CONTRA COSTA
2,1236 Andreas Way,2.5,4.0,San Ramon,"3,223 sqft","Dec 31, 1969",$0,37.765995,-121.90278,CA,Single-Family Home,1100000,,94582,,18,,For Sale,CONTRA COSTA
3,108 Canyon Lakes Way,2.0,4.0,San Ramon,"2,634 sqft","Dec 31, 1969",$0,37.77687,-121.95427,CA,Single-Family Home,899000,,94582,,42,,For Sale,CONTRA COSTA
4,530 Kingsbridge Ct,6.0,5.0,San Ramon,"5,400 sqft","Dec 31, 1969",$0,37.750008,-121.989784,CA,Single-Family Home,2099000,,94583,,3,,For Sale,CONTRA COSTA
5,125 Lucy Ln,3.0,3.0,San Ramon,"2,620 sqft","Dec 31, 1969",$0,37.768513,-121.92319,CA,Single-Family Home,919900,,94582,,46,,For Sale,CONTRA COSTA
6,612 Rock Rose Ln,3.0,4.0,San Ramon,"2,847 sqft","Dec 31, 1969",$0,37.78371,-121.92095,CA,Single-Family Home,999999,,94582,,25,,For Sale,CONTRA COSTA
7,115 Alisma Ct,3.0,5.0,San Ramon,"2,970 sqft","Dec 31, 1969",$0,37.77007,-121.94039,CA,Single-Family Home,1199000,,94582,,38,,For Sale,CONTRA COSTA
8,6007 Westside Dr,3.0,4.0,San Ramon,"3,342 sqft","Dec 31, 1969",$0,37.73948,-121.95571,CA,Single-Family Home,1299000,,94583,,17,,For Sale,CONTRA COSTA
9,9555 Alcosta Blvd,3.0,5.0,San Ramon,"2,900 sqft","Dec 31, 1969",$0,37.739162,-121.92714,CA,Single-Family Home,1079000,,94583,,38,,For Sale,CONTRA COSTA
10,6018 Westside Dr,2.5,5.0,San Ramon,"3,342 sqft","Dec 31, 1969",$0,37.740353,-121.9576,CA,Single-Family Home,1249000,,94583,,18,,For Sale,CONTRA COSTA
11,249 Copper Ridge Rd,1.0,1.0,San Ramon,778 sqft,"Dec 31, 1969",$0,37.76892,-121.94658,CA,Condo,319900,,94582,,57,,For Sale,CONTRA COSTA
12,304 Eastridge Dr,1.0,1.0,San Ramon,,"Dec 31, 1969",$0,37.76933,-121.94183,CA,Condo,305000,,94582,,42,,For Sale,CONTRA COSTA
13,536 Kingsbridge Ct,5.5,5.0,San Ramon,"5,034 sqft","Dec 31, 1969",$0,37.74981,-121.989655,CA,Single-Family Home,1998000,,94583,,5,,For Sale,CONTRA COSTA
14,381 Bridle Ct,4.0,4.0,San Ramon,"3,906 sqft","Dec 31, 1969",$0,37.73836,-121.922386,CA,Single-Family Home,1699000,,94582,,31,,For Sale,CONTRA COSTA
15,5935 Lantana Way,3.0,5.0,San Ramon,"2,957 sqft","Dec 31, 1969",$0,37.779392,-121.92847,CA,Single-Family Home,1199000,,94582,,37,,For Sale,CONTRA COSTA
16,51 Eagle Lake Ct #33,2.0,3.0,San Ramon,,"Dec 31, 1969",$0,37.784298,-121.94935,CA,Condo,689000,,94582,,25,,For Sale,CONTRA COSTA
17,2716 Salisbury Way,3.0,5.0,San Ramon,"3,231 sqft","Dec 31, 1969",$0,37.75456,-121.895645,CA,Single-Family Home,1025000,,94582,,12,,For Sale,CONTRA COSTA
18,1568 Banbury Dr,4.0,5.0,San Ramon,"2,661 sqft","Dec 31, 1969",$0,37.75464,-121.89975,CA,Single-Family Home,962000,,94582,,17,,For Sale,CONTRA COSTA
19,703 Destiny Ln,2.5,3.0,San Ramon,"1,325 sqft","Dec 31, 1969",$0,37.77919,-121.98684,CA,Townhome,535000,,94583,,,,For Sale,CONTRA COSTA
20,703 Destiny Ln #50,3.0,3.0,San Ramon,"1,325 sqft","Dec 31, 1969",$0,37.779182,-121.986824,CA,Apt/Condo/Twnhm,535000,,94583,,57,,For Sale,CONTRA COSTA
21,2553 Mclaren Ln,3.0,3.0,San Ramon,"1,950 sqft","Dec 31, 1969",$0,37.760082,-121.90316,CA,Single-Family Home,799000,,94582,,,,For Sale,CONTRA COSTA
22,340 Santa Cruz Pl,3.0,3.0,San Ramon,"2,989 sqft","Dec 31, 1969",$0,37.754074,-121.94337,CA,Single-Family Home,950000,,94583,,29,,For Sale,CONTRA COSTA
23,33 Hidden Canyon Ct,2.0,4.0,San Ramon,"2,444 sqft","Dec 31, 1969",$0,37.788364,-121.945435,CA,Single-Family Home,900000,,94582,,22,,For Sale,CONTRA COSTA
24,3763 Crow Canyon Rd #57,2.0,2.0,San Ramon,"1,107 sqft","Dec 31, 1969",$0,37.786213,-121.9525,CA,Apt/Condo/Twnhm,459000,,94582,,17,,For Sale,CONTRA COSTA
25,3331 Ashbourne Cir,,,San Ramon,,"Dec 31, 1969",$0,37.745987,-121.98694,CA,Lot/Land,1250000,,94583,,3,,For Sale,CONTRA COSTA
26,1095 Hawkshead Cir,,,San Ramon,,"Dec 31, 1969",$0,37.741253,-121.983955,CA,Lot/Land,3750000,,94583,,2,,For Sale,CONTRA COSTA
27,7808 Stoneleaf Rd,2.5,3.0,San Ramon,"2,228 sqft","Dec 31, 1969",$0,37.7674,-121.919685,CA,Townhome,719000,,94582,,20,,For Sale,CONTRA COSTA
28,320 Murindo Pl,,,San Ramon,,"Dec 31, 1969",$0,37.767788,-121.99064,CA,Single-Family Home,937500,,94583,,38,,For Sale,CONTRA COSTA
29,3915 Crow Canyon Rd #123,2.0,2.0,San Ramon,922 sqft,"Dec 31, 1969",$0,37.78546,-121.95256,CA,Condo,398000,,94582,,22,,For Sale,CONTRA COSTA
30,9797 Alcosta Blvd,2.0,3.0,San Ramon,"1,750 sqft","Dec 31, 1969",$0,37.743412,-121.930626,CA,Single-Family Home,699000,,94583,,20,,For Sale,CONTRA COSTA
31,3915 Crow Canyon Rd,2.0,2.0,San Ramon,922 sqft,"Dec 31, 1969",$0,37.78546,-121.95256,CA,Apt/Condo/Twnhm,398000,,94582,,22,,For Sale,CONTRA COSTA
32,115 Sapphire Ct,2.5,3.0,San Ramon,"1,766 sqft","Dec 31, 1969",$0,37.773167,-121.949844,CA,Single-Family Home,765000,,94582,,51,,For Sale,CONTRA COSTA
33,7828 Veronica Ct,3.0,4.0,San Ramon,"1,685 sqft","Dec 31, 1969",$0,37.776234,-121.92916,CA,Single-Family Home,724900,,94582,,42,,For Sale,CONTRA COSTA
34,28 Fircrest Ct,2.0,2.0,San Ramon,"1,176 sqft","Dec 31, 1969",$0,37.730225,-121.92618,CA,Single-Family Home,499900,,94583,,42,,For Sale,CONTRA COSTA
35,2305 Keats Ln,3.0,4.0,San Ramon,"2,129 sqft","Dec 31, 1969",$0,37.75256,-121.89163,CA,Single-Family Home,898800,,94582,,8,,For Sale,CONTRA COSTA
