id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,2525 Twin Creeks Dr,1.0,2.0,San Ramon,954 sqft,"Mar 11, 2014","$320,000",37.772774,-121.97927,CA,Condo,320000,"$398,000",94583,,,,Sold,CONTRA COSTA
2,3534 Ashbourne Cir,4.5,5.0,San Ramon,"4,523 sqft","Mar 11, 2014","$1,575,000",37.75113,-121.990585,CA,Townhouse,1575000,"$1,638,000",94583,,,,Sold,CONTRA COSTA
3,12 Century Oaks Ct,2.5,5.0,San Ramon,"2,914 sqft","Mar 11, 2014","$1,049,000",37.743977,-121.96081,CA,Townhouse,1049000,"$1,161,000",94583,,,,Sold,CONTRA COSTA
4,175 Elisha Ln,3.0,4.0,San Ramon,"2,378 sqft","Mar 10, 2014","$928,500",37.742836,-121.95702,CA,Single-Family Home,928500,"$1,068,000",94583,,,,Sold,CONTRA COSTA
5,505 Cashew Ct,2.5,4.0,San Ramon,"1,979 sqft","Mar 10, 2014","$735,000",37.73635,-121.93941,CA,Single-Family Home,735000,"$873,000",94583,,,,Sold,CONTRA COSTA
6,506 Montrose Ct,3.0,4.0,San Ramon,"2,655 sqft","Mar 10, 2014","$925,000",37.747475,-121.893936,CA,Single-Family Home,925000,"$1,002,000",94582,,,,Sold,CONTRA COSTA
7,216 Lakeridge Way,2.5,3.0,San Ramon,"2,044 sqft","Mar 7, 2014","$842,000",37.78627,-121.94848,CA,Townhouse,842000,"$929,000",94582,,,,Sold,CONTRA COSTA
8,8985 Alcosta Blvd #181,2.5,2.0,San Ramon,"1,230 sqft","Mar 7, 2014","$335,000",37.72565,-121.93569,CA,Condo,335000,"$425,000",94583,,,,Sold,CONTRA COSTA
9,809 Pradera Way,4.0,5.0,San Ramon,"3,553 sqft","Mar 7, 2014","$1,219,000",37.770676,-121.998245,CA,Townhouse,1219000,"$1,271,000",94583,,,,Sold,CONTRA COSTA
10,3101 Lakemont Dr #4,2.0,3.0,San Ramon,"1,810 sqft","Mar 7, 2014","$590,000",37.781185,-121.95066,CA,Condo,590000,"$693,000",94582,,,,Sold,CONTRA COSTA
11,2 Indigo Ln,2.5,4.0,San Ramon,"1,915 sqft","Mar 7, 2014","$810,000",37.728165,-121.93259,CA,Townhouse,810000,"$857,000",94583,,,,Sold,CONTRA COSTA
12,9993 Windsor Way,2.0,3.0,San Ramon,"1,382 sqft","Mar 6, 2014","$720,000",37.753128,-121.94805,CA,Single-Family Home,720000,"$727,000",94583,,,,Sold,CONTRA COSTA
13,123 Metairie Pl,2.0,4.0,San Ramon,"1,407 sqft","Mar 5, 2014","$705,500",37.731953,-121.93331,CA,Single-Family Home,705500,"$722,000",94583,,,,Sold,CONTRA COSTA
14,2687 Marsh Dr,2.5,4.0,San Ramon,"1,965 sqft","Mar 5, 2014","$585,000",37.766487,-121.977974,CA,Condo,585000,"$645,000",94583,,,,Sold,CONTRA COSTA
15,2275 Ashbourne Dr,5.5,5.0,San Ramon,"5,201 sqft","Mar 5, 2014","$1,937,500",37.752094,-122.00127,CA,Townhouse,1937500,"$1,932,000",94583,,,,Sold,CONTRA COSTA
16,1084 S Wedgewood Rd,,,San Ramon,,"Mar 4, 2014","$1,253,500",37.76874,-121.92013,CA,Lot/Land,1253500,,94582,,,,Sold,CONTRA COSTA
17,3847 Crow Canyon Rd,2.5,2.0,San Ramon,"1,232 sqft","Mar 4, 2014","$470,000",37.785927,-121.952095,CA,Condo,470000,"$543,000",94582,,,,Sold,CONTRA COSTA
