id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,992 Maryann Dr,2.0,3.0,Santa Clara,"1,519 sqft","Dec 31, 1969",$0,37.34553,-121.96812,CA,Single-Family Home,749950,,95050,,65,42,For Sale,SANTA CLARA
2,3207 Forbes Ave,2.0,3.0,Santa Clara,"1,700 sqft","Dec 31, 1969",$0,37.334747,-121.98702,CA,Single-Family Home,855000,,95051,,57,33,For Sale,SANTA CLARA
3,3901 Lick Mill Blvd #363,1.0,1.0,Santa Clara,908 sqft,"Dec 31, 1969",$0,37.39643,-121.94343,CA,Condo,430000,,95054,,57,48,For Sale,SANTA CLARA
4,1646 Berna St,2.0,3.0,Santa Clara,"1,547 sqft","Dec 31, 1969",$0,37.353973,-121.9618,CA,Single-Family Home,749950,,95050,,69,47,For Sale,SANTA CLARA
5,1846 Los Padres Blvd,2.0,4.0,Santa Clara,"1,685 sqft","Dec 31, 1969",$0,37.3566,-121.96518,CA,Single-Family Home,375000,,95050,,65,46,For Sale,SANTA CLARA
6,2647 Donovan Ave,4.0,5.0,Santa Clara,"2,648 sqft","Dec 31, 1969",$0,37.35389,-121.97442,CA,Single-Family Home,1095000,,95051,,71,47,For Sale,SANTA CLARA
7,2191 Kingsbury Cir,3.0,4.0,Santa Clara,"1,602 sqft","Dec 31, 1969",$0,37.397125,-121.96238,CA,Single-Family Home,788800,,95054,,52,,For Sale,SANTA CLARA
8,2114 Sheraton Dr,2.0,3.0,Santa Clara,984 sqft,"Dec 31, 1969",$0,37.36145,-121.96773,CA,Single-Family Home,599000,,95050,,42,35,For Sale,SANTA CLARA
9,980 Kiely Blvd #307,1.0,1.0,Santa Clara,622 sqft,"Dec 31, 1969",$0,37.34331,-121.97939,CA,Condo,275000,,95051,,65,42,For Sale,SANTA CLARA
10,2423 Michele Jean Way,3.0,3.0,Santa Clara,"1,872 sqft","Dec 31, 1969",$0,37.335575,-121.96463,CA,Condo,695000,,95050,,62,35,For Sale,SANTA CLARA
11,3901 Lick Mill Bl 363 Blvd,1.0,1.0,Santa Clara,908 sqft,"Dec 31, 1969",$0,37.3964,-121.943,CA,Townhome,430000,,95054,,54,49,For Sale,SANTA CLARA
12,3437 Santa Barbara Ave,2.0,3.0,Santa Clara,"1,576 sqft","Dec 31, 1969",$0,37.359398,-121.99135,CA,Single-Family Home,848000,,95051,,65,39,For Sale,SANTA CLARA
13,3007 Kaiser Dr,2.0,2.0,Santa Clara,"1,097 sqft","Dec 31, 1969",$0,37.34219,-121.98188,CA,Townhome,398000,,95051,,60,39,For Sale,SANTA CLARA
14,2601 Cortez Dr #5105,1.0,2.0,Santa Clara,746 sqft,"Dec 31, 1969",$0,37.369232,-121.97526,CA,Apt/Condo/Twnhm,372500,,95051,,45,33,For Sale,SANTA CLARA
15,1777 Lafayette St #214,1.0,1.0,Santa Clara,"1,220 sqft","Dec 31, 1969",$0,37.35716,-121.94625,CA,Condo,485000,,95050,,69,51,For Sale,SANTA CLARA
16,1846 Los Padres Blvd,2.0,4.0,Santa Clara,"1,685 sqft","Dec 31, 1969",$0,37.3566,-121.96518,CA,Single-Family Home,794900,,95050,,65,46,For Sale,SANTA CLARA
17,2250 Monroe St #288,2.0,2.0,Santa Clara,913 sqft,"Dec 31, 1969",$0,37.36095,-121.96394,CA,Condo,439000,,95050,,49,35,For Sale,SANTA CLARA
18,2601 Cortez Dr 5207 Dr,1.0,2.0,Santa Clara,712 sqft,"Dec 31, 1969",$0,37.3698,-121.975,CA,Townhome,372500,,95051,,45,33,For Sale,SANTA CLARA
19,2176 El Capitan Ave,2.0,4.0,Santa Clara,"1,248 sqft","Dec 31, 1969",$0,37.36257,-121.96553,CA,Single-Family Home,761111,,95050,,48,35,For Sale,SANTA CLARA
20,2338 Sawyer Ct,3.0,4.0,Santa Clara,"1,850 sqft","Dec 31, 1969",$0,37.39515,-121.96572,CA,Single-Family Home,929000,,95054,,46,37,For Sale,SANTA CLARA
21,1179 Doyle Cir,4.0,4.0,Santa Clara,"2,408 sqft","Dec 31, 1969",$0,37.397003,-121.95443,CA,Single-Family Home,1395000,,95054,,55,,For Sale,SANTA CLARA
22,875 Bing Dr,,,Santa Clara,"3,594 sqft","Dec 31, 1969",$0,37.340572,-121.99252,CA,Multi-Family Home,1288000,,95051,,66,34,For Sale,SANTA CLARA
