id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,693 Harvard Ave,,,Santa Clara,"2,041 sqft","Mar 12, 2014","$760,000",37.334846,-121.99394,CA,Multi-Family,760000,"$957,000",95051,,,,Sold,SANTA CLARA
2,3705 Adriatic Way,2.0,2.0,Santa Clara,"1,524 sqft","Mar 12, 2014","$740,500",37.349667,-121.99785,CA,Condo,740500,"$725,000",95051,,,,Sold,SANTA CLARA
3,960 Kiely Blvd #E,1.5,2.0,Santa Clara,992 sqft,"Mar 12, 2014","$395,000",37.34209,-121.98066,CA,Condo,395000,"$463,000",95051,,,,Sold,SANTA CLARA
4,3301 Pruneridge Ave,2.0,4.0,Santa Clara,"1,760 sqft","Mar 12, 2014","$901,000",37.33084,-121.98731,CA,Single-Family Home,901000,"$1,152,000",95051,,,,Sold,SANTA CLARA
5,120 Saratoga Ave #84,2.0,2.0,Santa Clara,"1,137 sqft","Mar 12, 2014","$499,000",37.326237,-121.96943,CA,Condo,499000,"$517,000",95051,,,,Sold,SANTA CLARA
6,1539 Harrison St,1.0,3.0,Santa Clara,960 sqft,"Mar 12, 2014","$624,000",37.35054,-121.9527,CA,Single-Family Home,624000,"$629,000",95050,,,,Sold,SANTA CLARA
7,3877 Pruneridge Ave,2.5,3.0,Santa Clara,"2,004 sqft","Mar 12, 2014","$1,089,000",37.332523,-122.00378,CA,Single-Family Home,1089000,"$1,182,000",95051,,,,Sold,SANTA CLARA
8,2250 Monroe St #305,2.0,2.0,Santa Clara,946 sqft,"Mar 11, 2014","$470,500",37.36138,-121.96313,CA,Condo,470500,"$526,000",95050,,,,Sold,SANTA CLARA
9,572 Los Olivos Dr,2.0,2.0,Santa Clara,"1,573 sqft","Mar 11, 2014","$560,000",37.33575,-121.964455,CA,Condo,560000,"$728,000",95050,,,,Sold,SANTA CLARA
10,3363 Creighton Pl,2.0,3.0,Santa Clara,"1,368 sqft","Mar 11, 2014","$880,000",37.362766,-121.98922,CA,Single-Family Home,880000,"$886,000",95051,,,,Sold,SANTA CLARA
