id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,4701 Portola Dr,2.0,3.0,Santa Cruz,"1,332 sqft","Mar 7, 2014","$835,000",36.9677,-121.95978,CA,Single-Family Home,835000,"$862,000",95062,,,,Sold,SANTA CRUZ
2,194 Benito Ave,1.0,2.0,Santa Cruz,"1,074 sqft","Mar 7, 2014","$512,000",36.980038,-122.01213,CA,Single-Family Home,512000,"$679,000",95062,,,,Sold,SANTA CRUZ
3,114 Limestone Ln,2.5,3.0,Santa Cruz,"1,726 sqft","Mar 7, 2014","$835,000",36.98092,-122.047455,CA,Townhouse,835000,"$836,000",95060,,,,Sold,SANTA CRUZ
4,660 Nobel Dr #1F,1.5,2.0,Santa Cruz,"1,146 sqft","Mar 6, 2014","$485,000",36.973557,-122.0533,CA,Condo,485000,"$513,000",95060,,,,Sold,SANTA CRUZ
5,509 36th Ave,2.0,1.0,Santa Cruz,"1,227 sqft","Mar 5, 2014","$750,000",36.959656,-121.96985,CA,Single-Family Home,750000,"$816,000",95062,,,,Sold,SANTA CRUZ
6,22 Pasatiempo Dr,1.0,3.0,Santa Cruz,"1,311 sqft","Mar 4, 2014","$838,000",37.002724,-122.02735,CA,Single-Family Home,838000,"$834,000",95060,,,,Sold,SANTA CRUZ
7,21010 E Cliff Dr,1.0,2.0,Santa Cruz,"1,281 sqft","Mar 3, 2014","$1,350,000",36.962734,-121.99523,CA,Single-Family Home,1350000,"$828,000",95062,,,,Sold,SANTA CRUZ
8,1623 Taylor Ln,2.0,2.0,Santa Cruz,"1,392 sqft","Mar 3, 2014","$520,000",36.978622,-121.99493,CA,Condo,520000,"$480,000",95062,,,,Sold,SANTA CRUZ
9,1745 Malcolm Ln,2.5,3.0,Santa Cruz,"1,677 sqft","Feb 28, 2014","$540,000",36.97773,-121.981804,CA,Single-Family Home,540000,"$727,000",95062,,,,Sold,SANTA CRUZ
10,2711 Soquel Ave #A,,11.0,Santa Cruz,"5,033 sqft","Feb 28, 2014","$1,177,000",36.986336,-121.9893,CA,Multi-Family,1177000,,95062,,,,Sold,SANTA CRUZ
11,112 Camino Del Sol,1.5,3.0,Santa Cruz,"1,970 sqft","Feb 28, 2014","$740,000",36.99126,-121.99142,CA,Single-Family Home,740000,"$901,000",95065,,,,Sold,SANTA CRUZ
12,125 Stoney Creek Rd,1.5,2.0,Santa Cruz,"1,546 sqft","Feb 28, 2014","$540,000",36.98742,-122.01522,CA,Townhouse,540000,"$537,000",95060,,,,Sold,SANTA CRUZ
13,180 Dakota Ave #37,,,Santa Cruz,,"Feb 28, 2014","$235,000",36.976166,-122.02022,CA,Condo,235000,"$185,000",95060,,,,Sold,SANTA CRUZ
14,1 Brooktree Ln,2.5,4.0,Santa Cruz,"2,576 sqft","Feb 28, 2014","$944,000",37.002758,-122.030785,CA,Single-Family Home,944000,"$935,000",95060,,,,Sold,SANTA CRUZ
15,1724 Barrington Ct,2.5,2.0,Santa Cruz,"1,196 sqft","Feb 28, 2014","$400,000",36.990288,-121.97894,CA,Townhouse,400000,"$438,000",95065,,,,Sold,SANTA CRUZ
16,108 Prospect Ct,2.0,3.0,Santa Cruz,"1,445 sqft","Feb 28, 2014","$661,000",36.99139,-121.9939,CA,Single-Family Home,661000,"$739,000",95065,,,,Sold,SANTA CRUZ
17,149 Harbor Oaks Cir,2.0,3.0,Santa Cruz,"1,056 sqft","Feb 27, 2014","$351,000",36.97636,-121.99128,CA,Townhouse,351000,"$405,000",95062,,,,Sold,SANTA CRUZ
18,20 Ridge Ln,3.0,4.0,Santa Cruz,"3,521 sqft","Feb 27, 2014","$1,439,000",37.00431,-122.03191,CA,Single-Family Home,1439000,"$1,376,000",95060,,,,Sold,SANTA CRUZ
19,1703 Eastbrook Ct,1.5,2.0,Santa Cruz,"1,008 sqft","Feb 27, 2014","$320,000",36.977905,-121.98859,CA,Condo,320000,"$374,000",95062,,,,Sold,SANTA CRUZ
20,4240 Gladys Ave,1.0,3.0,Santa Cruz,"1,032 sqft","Feb 27, 2014","$750,000",36.966434,-121.96313,CA,Single-Family Home,750000,"$717,000",95062,,,,Sold,SANTA CRUZ
21,1574 7th Ave,1.0,3.0,Santa Cruz,"1,464 sqft","Feb 26, 2014","$591,000",36.97881,-121.991806,CA,Single-Family Home,591000,"$596,000",95062,,,,Sold,SANTA CRUZ
22,134 Grant St,2.0,2.0,Santa Cruz,"1,152 sqft","Feb 26, 2014","$379,000",36.985035,-122.0219,CA,Condo,379000,"$453,000",95060,,,,Sold,SANTA CRUZ
