id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,130 Brook Knoll Dr,3.0,4.0,Scotts Valley,"2,841 sqft","Dec 31, 1969",$0,37.01805,-122.03046,CA,Single-Family Home,975000,,95060,,26,,For Sale,SANTA CRUZ
2,1920 Lockhart Gulch Rd,,,Scotts Valley,,"Dec 31, 1969",$0,37.074715,-122.031075,CA,Lot/Land,140000,,95066,,3,,For Sale,SANTA CRUZ
3,101 Endlich Dr,3.0,3.0,Scotts Valley,"3,061 sqft","Dec 31, 1969",$0,37.021393,-122.00906,CA,Single-Family Home,999000,,95060,,14,,For Sale,SANTA CRUZ
4,552 Bean Creek Rd #9,3.0,3.0,Scotts Valley,"2,300 sqft","Dec 31, 1969",$0,37.05351,-122.02612,CA,Mobile/Manufactured,465000,,95066,,55,,For Sale,SANTA CRUZ
5,4534 Fern Dr,1.0,2.0,Scotts Valley,"1,529 sqft","Dec 31, 1969",$0,37.11316,-121.986244,CA,Single-Family Home,549950,,95066,,0,,For Sale,SANTA CRUZ
6,260 Blair Ranch Rd,2.0,3.0,Scotts Valley,"1,916 sqft","Dec 31, 1969",$0,37.051167,-121.99967,CA,Single-Family Home,1099000,,95066,,32,,For Sale,SANTA CRUZ
7,522 Bean Creek Rd #77,,2.0,Scotts Valley,"1,420 sqft","Dec 31, 1969",$0,37.051575,-122.02465,CA,Mobile/Manufactured,395000,,95066,,77,,For Sale,SANTA CRUZ
8,341 Henry Cowell Dr,,,Scotts Valley,,"Dec 31, 1969",$0,37.008762,-122.03757,CA,Lot/Land,479000,,95060,,26,0,For Sale,SANTA CRUZ
9,268 Bluebonnet Ln #131,2.0,2.0,Scotts Valley,"1,166 sqft","Dec 31, 1969",$0,37.050327,-122.02708,CA,Condo,489000,,95066,,85,,For Sale,SANTA CRUZ
10,552 Bean Creek Rd #152,2.0,3.0,Scotts Valley,"1,560 sqft","Dec 31, 1969",$0,37.05351,-122.02612,CA,Mobile/Manufactured,425000,,95066,,74,,For Sale,SANTA CRUZ
11,552 Bean Creek Rd #178,3.0,3.0,Scotts Valley,"1,800 sqft","Dec 31, 1969",$0,37.05351,-122.02612,CA,Mobile/Manufactured,419000,,95066,,77,,For Sale,SANTA CRUZ
12,552 Bean Creek Rd #118,2.0,2.0,Scotts Valley,"1,460 sqft","Dec 31, 1969",$0,37.05351,-122.02612,CA,Mobile/Manufactured,379000,,95066,,77,,For Sale,SANTA CRUZ
13,552 Bean Creek Rd #175,2.0,2.0,Scotts Valley,"1,440 sqft","Dec 31, 1969",$0,37.05351,-122.02612,CA,Mobile/Manufactured,349000,,95066,,80,,For Sale,SANTA CRUZ
14,940 Hawks Hill Rd,4.0,3.0,Scotts Valley,"3,647 sqft","Dec 31, 1969",$0,37.096832,-122.006454,CA,Single-Family Home,1285000,,95066,,0,,For Sale,SANTA CRUZ
15,1323 Weston Rd,2.5,4.0,Scotts Valley,"3,058 sqft","Dec 31, 1969",$0,37.092648,-122.0181,CA,Single-Family Home,1187000,,95066,,2,,For Sale,SANTA CRUZ
