id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,19 Blake Ln #C,2.0,4.0,Scotts Valley,"1,750 sqft","Mar 7, 2014","$645,000",37.047066,-122.02179,CA,Multi-Family,645000,"$714,000",95066,,,,Sold,SANTA CRUZ
2,268 Bluebonnet Ln #131,2.0,2.0,Scotts Valley,"1,166 sqft","Mar 3, 2014","$483,000",37.050316,-122.02647,CA,Condo,483000,"$449,000",95066,,,,Sold,SANTA CRUZ
3,213 Navarra Dr,2.5,3.0,Scotts Valley,"2,192 sqft","Feb 28, 2014","$740,000",37.062553,-121.99934,CA,Single-Family Home,740000,"$788,000",95066,,,,Sold,SANTA CRUZ
4,552 Bean Creek Rd #38,2.0,2.0,Scotts Valley,"1,344 sqft","Feb 28, 2014","$420,000",37.05351,-122.02612,CA,Mobile/Manufactured,420000,,95066,,,,Sold,SANTA CRUZ
5,552 Bean Creek Rd #14,2.0,2.0,Scotts Valley,"1,372 sqft","Feb 27, 2014","$325,000",37.05351,-122.02612,CA,Mobile/Manufactured,325000,,95066,,,,Sold,SANTA CRUZ
6,307 Lockewood Ln,2.0,3.0,Scotts Valley,"1,255 sqft","Feb 25, 2014","$556,500",37.046593,-122.03502,CA,Single-Family Home,556500,"$690,000",95066,,,,Sold,SANTA CRUZ
7,100 Christel Oaks Dr,3.0,3.0,Scotts Valley,"2,108 sqft","Feb 21, 2014","$649,000",37.047436,-122.02396,CA,Single-Family Home,649000,"$803,000",95066,,,,Sold,SANTA CRUZ
8,194 Caseta Way,2.0,3.0,Scotts Valley,"1,463 sqft","Feb 21, 2014","$710,000",37.0386,-122.04286,CA,Single-Family Home,710000,"$752,000",95066,,,,Sold,SANTA CRUZ
9,5525 Scotts Valley Dr #19,1.5,2.0,Scotts Valley,"1,334 sqft","Feb 14, 2014","$440,000",37.06117,-122.00859,CA,Townhouse,440000,"$413,000",95066,,,,Sold,SANTA CRUZ
10,106 Bluebonnet Ln #3,2.5,,Scotts Valley,"1,397 sqft","Feb 12, 2014","$500,000",37.050182,-122.02594,CA,Townhouse,500000,"$545,000",95066,,,,Sold,SANTA CRUZ
11,31 Dunslee Way,2.5,3.0,Scotts Valley,"1,964 sqft","Feb 10, 2014","$670,000",37.05341,-122.01527,CA,Single-Family Home,670000,"$743,000",95066,,,,Sold,SANTA CRUZ
12,221 Geyer Rd,2.0,3.0,Scotts Valley,"3,421 sqft","Jan 31, 2014","$1,150,000",37.056427,-122.038284,CA,Farm/Ranch,1150000,"$910,000",95066,,,,Sold,SANTA CRUZ
13,878 Cadillac Dr,2.0,3.0,Scotts Valley,"1,603 sqft","Jan 31, 2014","$637,000",37.055126,-122.01978,CA,Farm/Ranch,637000,"$788,000",95066,,,,Sold,SANTA CRUZ
14,901 Whispering Pines Dr,2.0,3.0,Scotts Valley,"2,131 sqft","Jan 31, 2014","$732,000",37.03919,-122.03394,CA,Single-Family Home,732000,"$854,000",95066,,,,Sold,SANTA CRUZ
15,43 Appaloosa Ct,2.0,2.0,Scotts Valley,"1,419 sqft","Jan 29, 2014","$440,000",37.040558,-122.026276,CA,Townhouse,440000,"$458,000",95066,,,,Sold,SANTA CRUZ
16,170 Hilltop Way,1.5,2.0,Scotts Valley,"1,195 sqft","Jan 29, 2014","$525,000",37.059917,-121.99714,CA,Single-Family Home,525000,"$556,000",95066,,,,Sold,SANTA CRUZ
17,400 Bean Creek Rd,2.0,3.0,Scotts Valley,"1,767 sqft","Jan 27, 2014","$450,000",37.050472,-122.02511,CA,Single-Family Home,450000,"$736,000",95066,,,,Sold,SANTA CRUZ
