id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,1347 Isabelle Cir,3.0,3.0,South San Francisco,"1,460 sqft","Dec 31, 1969",$0,37.66621,-122.44633,CA,Condo,599000,,94080,,65,,For Sale,SAN MATEO
2,3865 Carter Dr #302,2.0,2.0,South San Francisco,"1,033 sqft","Dec 31, 1969",$0,37.649315,-122.46936,CA,Condo,482885,,94080,,68,,For Sale,SAN MATEO
3,62 Mahogany Dr,3.0,4.0,South San Francisco,"2,150 sqft","Dec 31, 1969",$0,37.653614,-122.422386,CA,Single-Family Home,799000,,94080,,77,,For Sale,SAN MATEO
4,3721 Carter Dr #1204,2.0,2.0,South San Francisco,"1,060 sqft","Dec 31, 1969",$0,37.644985,-122.46818,CA,Condo,538000,,94080,,55,,For Sale,SAN MATEO
5,71 Calvert Ave,3.0,4.0,South San Francisco,"2,210 sqft","Dec 31, 1969",$0,37.666584,-122.4568,CA,Single-Family Home,350000,,94080,,57,,For Sale,SAN MATEO
6,1 Mandalay Pl #908,1.0,1.0,South San Francisco,941 sqft,"Dec 31, 1969",$0,37.666145,-122.40382,CA,Condo,465000,,94080,,49,,For Sale,SAN MATEO
7,310 Hazelwood Dr,2.0,5.0,South San Francisco,"1,630 sqft","Dec 31, 1969",$0,37.639378,-122.43263,CA,Single-Family Home,799000,,94080,,52,,For Sale,SAN MATEO
8,12 Sonora Ave,2.0,3.0,South San Francisco,"1,383 sqft","Dec 31, 1969",$0,37.645737,-122.42383,CA,Single-Family Home,648888,,94080,,78,,For Sale,SAN MATEO
9,1 Mandalay Pl,2.0,2.0,South San Francisco,,"Dec 31, 1969",$0,37.666145,-122.40382,CA,Condo,695000,,94080,,49,,For Sale,SAN MATEO
10,1400 El Camino Real #104,2.0,2.0,South San Francisco,"1,190 sqft","Dec 31, 1969",$0,37.661793,-122.44202,CA,Condo,498888,,94080,,54,,For Sale,SAN MATEO
11,656 Del Monte Ave,2.0,3.0,South San Francisco,"1,120 sqft","Dec 31, 1969",$0,37.660538,-122.45014,CA,Single-Family Home,685000,,94080,,58,,For Sale,SAN MATEO
