id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,135 Lucca Dr,3.0,4.0,South San Francisco,"2,240 sqft","Feb 20, 2014","$880,000",37.666767,-122.43037,CA,Single-Family Home,880000,"$1,070,000",94080,,,,Sold,SAN MATEO
2,469 Baden Ave,4.0,7.0,South San Francisco,"3,788 sqft","Feb 19, 2014","$770,000",37.655113,-122.41593,CA,Unknown,770000,,94080,,,,Sold,SAN MATEO
3,3721 Carter Dr #1303,2.0,2.0,South San Francisco,"1,060 sqft","Feb 19, 2014","$525,000",37.644985,-122.46818,CA,Condo,525000,"$525,000",94080,,,,Sold,SAN MATEO
4,126 Duval Dr,1.0,3.0,South San Francisco,"1,050 sqft","Feb 19, 2014","$620,000",37.66629,-122.45824,CA,Single-Family Home,620000,"$721,000",94080,,,,Sold,SAN MATEO
5,241 A St,1.0,2.0,South San Francisco,"1,210 sqft","Feb 19, 2014","$588,000",37.650986,-122.42961,CA,Single-Family Home,588000,"$680,000",94080,,,,Sold,SAN MATEO
6,432 Lux Ave,1.0,2.0,South San Francisco,"1,190 sqft","Feb 19, 2014","$515,000",37.658005,-122.41311,CA,Single-Family Home,515000,"$672,000",94080,,,,Sold,SAN MATEO
7,872 Stonegate Dr,2.5,3.0,South San Francisco,"1,454 sqft","Feb 19, 2014","$536,000",37.66625,-122.42651,CA,Condo,536000,"$625,000",94080,,,,Sold,SAN MATEO
8,4 Felton Ave,1.0,3.0,South San Francisco,990 sqft,"Feb 18, 2014","$620,000",37.668556,-122.45272,CA,Single-Family Home,620000,"$665,000",94080,,,,Sold,SAN MATEO
9,2260 Gellert Blvd #1212,2.0,3.0,South San Francisco,"1,290 sqft","Feb 18, 2014","$580,000",37.6451,-122.45401,CA,Condo,580000,"$713,000",94080,,,,Sold,SAN MATEO
10,232 Clifden Dr,1.0,2.0,South San Francisco,870 sqft,"Feb 14, 2014","$560,000",37.65893,-122.45908,CA,Single-Family Home,560000,"$620,000",94080,,,,Sold,SAN MATEO
11,610 Mayfair Ave,1.0,3.0,South San Francisco,"1,000 sqft","Feb 14, 2014","$615,000",37.652126,-122.42238,CA,Single-Family Home,615000,"$670,000",94080,,,,Sold,SAN MATEO
12,140 S Magnolia Ave,1.0,3.0,South San Francisco,"1,150 sqft","Feb 14, 2014","$600,000",37.648922,-122.422714,CA,Single-Family Home,600000,"$689,000",94080,,,,Sold,SAN MATEO
13,843 Hemlock Ave,1.0,3.0,South San Francisco,940 sqft,"Feb 13, 2014","$689,000",37.668396,-122.420555,CA,Single-Family Home,689000,"$633,000",94080,,,,Sold,SAN MATEO
14,2400 Donegal Ave,2.0,3.0,South San Francisco,"1,200 sqft","Feb 11, 2014","$564,000",37.639935,-122.45256,CA,Single-Family Home,564000,"$693,000",94080,,,,Sold,SAN MATEO
15,235 Pinehurst Way,1.0,2.0,South San Francisco,990 sqft,"Feb 11, 2014","$615,000",37.641346,-122.42752,CA,Single-Family Home,615000,"$681,000",94080,,,,Sold,SAN MATEO
16,319 A St,2.0,3.0,South San Francisco,"1,270 sqft","Feb 11, 2014","$660,000",37.650303,-122.42918,CA,Single-Family Home,660000,"$764,000",94080,,,,Sold,SAN MATEO
17,103 Duval Dr,1.0,3.0,South San Francisco,"1,050 sqft","Feb 7, 2014","$740,000",37.66592,-122.45649,CA,Single-Family Home,740000,"$731,000",94080,,,,Sold,SAN MATEO
18,718 Larch Ave,2.0,3.0,South San Francisco,970 sqft,"Feb 7, 2014","$499,000",37.667953,-122.41792,CA,Single-Family Home,499000,"$635,000",94080,,,,Sold,SAN MATEO
19,19 Tahoe Ct,2.0,4.0,South San Francisco,"1,510 sqft","Feb 6, 2014","$760,000",37.642784,-122.44152,CA,Single-Family Home,760000,"$830,000",94080,,,,Sold,SAN MATEO
20,519 Pine Ter,1.0,2.0,South San Francisco,"1,070 sqft","Feb 5, 2014","$580,000",37.658836,-122.414276,CA,Single-Family Home,580000,"$634,000",94080,,,,Sold,SAN MATEO
21,112 Adrian Ave,2.0,3.0,South San Francisco,"1,830 sqft","Jan 31, 2014","$741,000",37.66241,-122.459366,CA,Single-Family Home,741000,"$855,000",94080,,,,Sold,SAN MATEO
22,758 Commercial Ave,1.0,2.0,South San Francisco,"1,220 sqft","Jan 31, 2014","$640,000",37.656933,-122.42621,CA,Single-Family Home,640000,"$727,000",94080,,,,Sold,SAN MATEO
23,3865 Carter Dr #107,2.0,2.0,South San Francisco,"1,105 sqft","Jan 31, 2014","$436,000",37.649315,-122.46936,CA,Condo,436000,"$530,000",94080,,,,Sold,SAN MATEO
24,3854 Shamrock Ct,2.0,3.0,South San Francisco,"1,360 sqft","Jan 31, 2014","$660,000",37.64825,-122.468704,CA,Single-Family Home,660000,"$737,000",94080,,,,Sold,SAN MATEO
25,1107 Mission Rd #201,1.0,2.0,South San Francisco,947 sqft,"Jan 30, 2014","$415,000",37.659813,-122.43771,CA,Condo,415000,"$462,000",94080,,,,Sold,SAN MATEO
26,720 Cottonwood Ave,2.0,3.0,South San Francisco,"1,180 sqft","Jan 30, 2014","$632,000",37.660847,-122.422646,CA,Single-Family Home,632000,"$698,000",94080,,,,Sold,SAN MATEO
