id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,951 N Hickory Ave,2.0,3.0,Tracy,"1,132 sqft","Dec 31, 1969",$0,37.73764,-121.44378,CA,Single-Family Home,70000,,95376,,60,,For Sale,SAN JOAQUIN
2,2128 Babcock Ln,4.0,4.0,Tracy,"2,746 sqft","Dec 31, 1969",$0,37.728977,-121.455,CA,Single-Family Home,450000,,95377,,28,,For Sale,SAN JOAQUIN
3,250 E Clover Rd,2.5,4.0,Tracy,,"Dec 31, 1969",$0,37.761375,-121.42222,CA,Single-Family Home,269000,,95376,,46,,For Sale,SAN JOAQUIN
4,2081 Garrison Ln,2.0,4.0,Tracy,"2,223 sqft","Dec 31, 1969",$0,37.71608,-121.43868,CA,Single-Family Home,345888,,95376,,52,,For Sale,SAN JOAQUIN
5,2115 Foothill Ranch Dr,3.0,4.0,Tracy,"2,144 sqft","Dec 31, 1969",$0,37.75092,-121.454865,CA,Single-Family Home,360000,,95377,,43,,For Sale,SAN JOAQUIN
6,2929 N Macarthur Dr #110,2.0,3.0,Tracy,"1,200 sqft","Dec 31, 1969",$0,37.757008,-121.41616,CA,Mobile/Manufactured,79000,,95376,,37,,For Sale,SAN JOAQUIN
7,2064 Thelma Loop,3.0,4.0,Tracy,"2,158 sqft","Dec 31, 1969",$0,37.74594,-121.473404,CA,Single-Family Home,329999,,95377,,32,,For Sale,SAN JOAQUIN
8,400 Glenbriar Cir,4.0,4.0,Tracy,"2,296 sqft","Dec 31, 1969",$0,37.70467,-121.42527,CA,Single-Family Home,435000,,95377,,29,,For Sale,SAN JOAQUIN
9,57 E Heritage Dr,3.0,4.0,Tracy,"3,015 sqft","Dec 31, 1969",$0,37.77096,-121.5451,CA,Single-Family Home,498000,,95391,,14,,For Sale,SAN JOAQUIN
10,2196 Wynngate Ct #47,4.0,3.0,Tracy,"1,368 sqft","Dec 31, 1969",$0,37.752216,-121.43826,CA,Single-Family Home,225000,,95376,,62,,For Sale,SAN JOAQUIN
11,30000 Kasson Rd #76,1.0,1.0,Tracy,936 sqft,"Dec 31, 1969",$0,37.68106,-121.27053,CA,Single-Family Home,120000,,95304,,0,,For Sale,SAN JOAQUIN
12,845 S Amor St,4.0,5.0,Tracy,"3,775 sqft","Dec 31, 1969",$0,37.769695,-121.55653,CA,Single-Family Home,625000,,95391,,6,,For Sale,SAN JOAQUIN
13,27277 S Leeward Way,4.0,5.0,Tracy,"4,800 sqft","Dec 31, 1969",$0,37.708176,-121.404366,CA,Single-Family Home,999950,,95304,,9,,For Sale,SAN JOAQUIN
14,11753 Mountain View Rd,5.0,6.0,Tracy,"3,037 sqft","Dec 31, 1969",$0,37.720608,-121.44975,CA,Single-Family Home,599999,,95376,,25,,For Sale,SAN JOAQUIN
15,811 Plantation Dr,2.0,4.0,Tracy,"1,830 sqft","Dec 31, 1969",$0,37.755653,-121.437164,CA,Single-Family Home,350000,,95376,,65,,For Sale,SAN JOAQUIN
16,34521 Bernard Rd,3.0,3.0,Tracy,"1,830 sqft","Dec 31, 1969",$0,37.637848,-121.40612,CA,Single-Family Home,559900,,95377,,0,,For Sale,SAN JOAQUIN
17,1051 Renown Dr,3.0,5.0,Tracy,"2,572 sqft","Dec 31, 1969",$0,37.729992,-121.438805,CA,Single-Family Home,369000,,95376,,55,,For Sale,SAN JOAQUIN
18,29181 S Lehman Rd,4.0,4.0,Tracy,"3,616 sqft","Dec 31, 1969",$0,37.689316,-121.37265,CA,Single-Family Home,1300000,,95304,,0,,For Sale,SAN JOAQUIN
19,15613 S Kelso Rd,3.0,3.0,Tracy,,"Dec 31, 1969",$0,37.815025,-121.55328,CA,Single-Family Home,549000,,95391,,0,,For Sale,SAN JOAQUIN
20,7903 W Cabe Rd,2.0,4.0,Tracy,"1,472 sqft","Dec 31, 1969",$0,37.736336,-121.403145,CA,Single-Family Home,279500,,95304,,23,,For Sale,SAN JOAQUIN
21,1546 Arrigotti Ln,2.0,4.0,Tracy,"1,850 sqft","Dec 31, 1969",$0,37.745655,-121.45904,CA,Single-Family Home,360000,,95377,,35,,For Sale,SAN JOAQUIN
22,1052 Tulloch Dr,3.0,5.0,Tracy,"3,101 sqft","Dec 31, 1969",$0,37.71738,-121.40893,CA,Single-Family Home,454900,,95304,,14,,For Sale,SAN JOAQUIN
23,2415 Abbott Ct,3.0,5.0,Tracy,"2,461 sqft","Dec 31, 1969",$0,37.726944,-121.459526,CA,Single-Family Home,381900,,95377,,20,,For Sale,SAN JOAQUIN
24,1586 Hummingbird Way,3.0,4.0,Tracy,"2,486 sqft","Dec 31, 1969",$0,37.71672,-121.4448,CA,Single-Family Home,479355,,95376,,42,,For Sale,SAN JOAQUIN
25,28128 Greenwood Way,2.0,3.0,Tracy,"1,894 sqft","Dec 31, 1969",$0,37.699734,-121.40919,CA,Single-Family Home,475000,,95304,,22,,For Sale,SAN JOAQUIN
26,21250 S Corral Hollow Rd,,4.0,Tracy,"1,899 sqft","Dec 31, 1969",$0,37.766167,-121.452614,CA,Single-Family Home,518888,,95304,,37,,For Sale,SAN JOAQUIN
27,273 Lasata Dr,3.0,5.0,Tracy,"2,555 sqft","Dec 31, 1969",$0,37.701958,-121.4298,CA,Single-Family Home,449900,,95377,,25,,For Sale,SAN JOAQUIN
28,224 Granada Way,2.0,3.0,Tracy,"1,988 sqft","Dec 31, 1969",$0,37.756664,-121.421844,CA,Single-Family Home,299000,,95376,,52,,For Sale,SAN JOAQUIN
29,1940 Bridle Creek Cir,3.0,3.0,Tracy,"1,980 sqft","Dec 31, 1969",$0,37.748974,-121.46229,CA,Single-Family Home,305000,,95377,,52,,For Sale,SAN JOAQUIN
30,855 Almond Blossom Dr,3.0,3.0,Tracy,"1,308 sqft","Dec 31, 1969",$0,37.72407,-121.42066,CA,Single-Family Home,280000,,95376,,34,,For Sale,SAN JOAQUIN
31,S Hansen Rd,,,Tracy,,"Dec 31, 1969",$0,37.7188,-121.4659,CA,Lot/Land,695000,,95377,,14,,For Sale,SAN JOAQUIN
32,2346 Holly Dr,,,Tracy,,"Dec 31, 1969",$0,37.75362,-121.42551,CA,Income/Investment,450000,,95376,,65,,For Sale,SAN JOAQUIN
33,6712 W Linne Rd,1.0,1.0,Tracy,"1,000 sqft","Dec 31, 1969",$0,37.695244,-121.38814,CA,Single-Family Home,501000,,95304,,9,,For Sale,SAN JOAQUIN
34,270 E Mount Diablo Ave,2.5,3.0,Tracy,"1,794 sqft","Dec 31, 1969",$0,37.72899,-121.42168,CA,Single-Family Home,335000,,95376,,43,,For Sale,SAN JOAQUIN
35,1821 Kern St,3.0,4.0,Tracy,"2,813 sqft","Dec 31, 1969",$0,37.717155,-121.43798,CA,Single-Family Home,459950,,95376,,54,,For Sale,SAN JOAQUIN
36,361 E Mount Diablo Ave,3.0,3.0,Tracy,"1,348 sqft","Dec 31, 1969",$0,37.72951,-121.419975,CA,Single-Family Home,269000,,95376,,40,,For Sale,SAN JOAQUIN
37,3970 Maison Ct,3.0,5.0,Tracy,"2,696 sqft","Dec 31, 1969",$0,37.702564,-121.44952,CA,Single-Family Home,427000,,95377,,18,,For Sale,SAN JOAQUIN
38,15559 S Kelso Rd,2.0,4.0,Tracy,"2,277 sqft","Dec 31, 1969",$0,37.81502,-121.55445,CA,Single-Family Home,539000,,95391,,0,,For Sale,SAN JOAQUIN
39,775 Mount Rushmore Ave,2.5,4.0,Tracy,"2,561 sqft","Dec 31, 1969",$0,37.736233,-121.45622,CA,Single-Family Home,440000,,95377,,46,,For Sale,SAN JOAQUIN
40,2870 Hidden Valley Ct,3.0,3.0,Tracy,"2,836 sqft","Dec 31, 1969",$0,37.709618,-121.41955,CA,Single-Family Home,475000,,95377,,23,,For Sale,SAN JOAQUIN
41,820 Alpina Ct,3.0,5.0,Tracy,"2,662 sqft","Dec 31, 1969",$0,37.714855,-121.43686,CA,Single-Family Home,409900,,95376,,62,,For Sale,SAN JOAQUIN
42,1030 Sultana Dr,2.0,3.0,Tracy,"1,167 sqft","Dec 31, 1969",$0,37.722847,-121.42106,CA,Single-Family Home,191000,,95376,,26,,For Sale,SAN JOAQUIN
43,760 Teton Ln,2.0,3.0,Tracy,,"Dec 31, 1969",$0,37.724445,-121.446236,CA,Single-Family Home,299900,,95376,,35,,For Sale,SAN JOAQUIN
