id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,358 W Emerson Ave,1.0,2.0,Tracy,795 sqft,"Mar 10, 2014","$195,000",37.748543,-121.43113,CA,Single-Family Home,195000,"$208,000",95376,,,,Sold,SAN JOAQUIN
2,1401 W 12th St,4.0,5.0,Tracy,"2,289 sqft","Mar 7, 2014","$315,000",37.741146,-121.44276,CA,Multi-Family,315000,"$280,000",95376,,,,Sold,SAN JOAQUIN
3,1835 Bankston Dr,3.0,5.0,Tracy,"3,060 sqft","Mar 7, 2014","$413,000",37.717262,-121.40796,CA,Single-Family Home,413000,"$462,000",95304,,,,Sold,SAN JOAQUIN
4,4467 Twin Creeks Ln,2.5,5.0,Tracy,"2,311 sqft","Mar 7, 2014","$400,000",37.699097,-121.43844,CA,Single-Family Home,400000,"$412,000",95377,,,,Sold,SAN JOAQUIN
5,1501 Griffith Pl,2.0,4.0,Tracy,"1,527 sqft","Mar 7, 2014","$304,000",37.74446,-121.44589,CA,Single-Family Home,304000,"$284,000",95376,,,,Sold,SAN JOAQUIN
6,1415 W 12th St,4.0,4.0,Tracy,"2,039 sqft","Mar 7, 2014","$242,500",37.741123,-121.442986,CA,Multi-Family,242500,"$254,000",95376,,,,Sold,SAN JOAQUIN
7,2161 Bridle Creek Cir,3.0,4.0,Tracy,"2,312 sqft","Mar 7, 2014","$380,000",37.749207,-121.464355,CA,Single-Family Home,380000,"$419,000",95377,,,,Sold,SAN JOAQUIN
8,1811 Mcpeak Ct,2.0,4.0,Tracy,"1,422 sqft","Mar 7, 2014","$333,000",37.751076,-121.44959,CA,Single-Family Home,333000,"$310,000",95376,,,,Sold,SAN JOAQUIN
9,798 Harold Smith Dr,2.5,4.0,Tracy,"1,902 sqft","Mar 7, 2014","$330,000",37.710964,-121.412994,CA,Single-Family Home,330000,"$399,000",95304,,,,Sold,SAN JOAQUIN
10,630 Yosemite Dr,2.5,3.0,Tracy,"2,240 sqft","Mar 6, 2014","$452,500",37.72058,-121.41579,CA,Single-Family Home,452500,"$477,000",95304,,,,Sold,SAN JOAQUIN
11,1541 Teakwood Way,2.5,3.0,Tracy,"1,453 sqft","Mar 6, 2014","$328,000",37.745117,-121.45187,CA,Single-Family Home,328000,"$352,000",95376,,,,Sold,SAN JOAQUIN
12,1573 Shadowood Ct,2.5,3.0,Tracy,"1,516 sqft","Mar 6, 2014","$310,000",37.74544,-121.45265,CA,Single-Family Home,310000,"$338,000",95376,,,,Sold,SAN JOAQUIN
13,2864 Brantford Ct,2.5,4.0,Tracy,"1,705 sqft","Mar 5, 2014","$330,000",37.70975,-121.43761,CA,Single-Family Home,330000,"$391,000",95377,,,,Sold,SAN JOAQUIN
14,420 Northgate Ct,2.5,3.0,Tracy,"1,878 sqft","Mar 5, 2014","$287,000",37.759792,-121.43153,CA,Single-Family Home,287000,"$334,000",95376,,,,Sold,SAN JOAQUIN
15,1842 Placid Dr,2.5,4.0,Tracy,"2,408 sqft","Mar 5, 2014","$412,000",37.71714,-121.414406,CA,Single-Family Home,412000,"$464,000",95304,,,,Sold,SAN JOAQUIN
16,150 Tioga Way,2.0,3.0,Tracy,"1,167 sqft","Mar 4, 2014","$280,000",37.721363,-121.42281,CA,Single-Family Home,280000,"$286,000",95376,,,,Sold,SAN JOAQUIN
