zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94018,538 Ferdinand Ave,2,4,El Granada,"2,130 sqft",20-Feb-14,"$696,000 ",37.502445,-122.46972,CA,Single-Family Home,696000,"$858,000 ",,,,,Sold,SAN MATEO
94018,846 Columbus St,2,3,El Granada,"2,260 sqft",19-Feb-14,"$566,000 ",37.502445,-122.46972,CA,Single-Family Home,566000,"$871,000 ",,,,,Sold,SAN MATEO
94018,807 The Alameda,2,4,El Granada,"2,080 sqft",29-Jan-14,"$840,000 ",37.502445,-122.46972,CA,Single-Family Home,840000,"$940,000 ",,,,,Sold,SAN MATEO
94018,115 Del Monte Rd,2,3,El Granada,"2,060 sqft",28-Jan-14,"$935,000 ",37.502445,-122.46972,CA,Single-Family Home,935000,"$900,000 ",,,,,Sold,SAN MATEO
94018,21 Sunrise Ct,2,3,El Granada,"1,040 sqft",28-Jan-14,"$695,000 ",37.502445,-122.46972,CA,Single-Family Home,695000,"$723,000 ",,,,,Sold,SAN MATEO
94018,477 The Alameda,2.5,4,El Granada,"2,350 sqft",24-Jan-14,"$677,000 ",37.502445,-122.46972,CA,Single-Family Home,677000,"$986,000 ",,,,,Sold,SAN MATEO
94018,255 Palma St,2,3,El Granada,"1,200 sqft",23-Jan-14,"$710,000 ",37.502445,-122.46972,CA,Single-Family Home,710000,"$747,000 ",,,,,Sold,SAN MATEO
94018,237 Del Monte Rd,4,4,El Granada,"3,000 sqft",17-Jan-14,"$1,590,000 ",37.502445,-122.46972,CA,Single-Family Home,1590000,"$1,578,000 ",,,,,Sold,SAN MATEO
94018,639 San Carlos Ave,2,3,El Granada,"1,620 sqft",20-Dec-13,"$750,000 ",37.50899,-122.47546,CA,Single-Family Home,750000,"$735,000 ",,,,,Sold,SAN MATEO
94018,946 Columbus St,3.5,4,El Granada,"2,630 sqft",10-Dec-13,"$840,000 ",37.502445,-122.46972,CA,Single-Family Home,840000,"$996,000 ",,,,,Sold,SAN MATEO
94018,307 Ferdinand Ave,1.5,2,El Granada,"1,949 sqft",6-Dec-13,"$825,000 ",37.502445,-122.46972,CA,Single-Family Home,825000,"$898,000 ",,,,,Sold,SAN MATEO
94018,150 Vallejo St,2,2,El Granada,890 sqft,27-Nov-13,"$617,000 ",37.502445,-122.46972,CA,Single-Family Home,617000,"$712,000 ",,,,,Sold,SAN MATEO
94018,708 The Alameda,1,3,El Granada,"1,270 sqft",26-Nov-13,"$729,000 ",37.502445,-122.46972,CA,Single-Family Home,729000,"$743,000 ",,,,,Sold,SAN MATEO
94018,276 Avenue Alhambra,,,El Granada,"1,599 sqft",20-Nov-13,"$1,070,000 ",37.502445,-122.46972,CA,Multi-Family,1070000,"$926,000 ",,,,,Sold,SAN MATEO
94018,138 Del Monte Rd,3,4,El Granada,"2,090 sqft",15-Nov-13,"$891,500 ",37.502445,-122.46972,CA,Single-Family Home,891500,"$910,000 ",,,,,Sold,SAN MATEO
94018,162 Avenue Balboa,4,3,El Granada,"2,453 sqft",10-Oct-13,"$875,000 ",37.502445,-122.46972,CA,Multi-Family,875000,"$854,000 ",,,,,Sold,SAN MATEO
94018,568 Palma St,2.5,3,El Granada,"2,650 sqft",25-Sep-13,"$811,000 ",37.502445,-122.46972,CA,Single-Family Home,811000,"$1,031,000 ",,,,,Sold,SAN MATEO
94018,759 The Alameda,2.5,5,El Granada,"2,760 sqft",17-Sep-13,"$765,000 ",37.502445,-122.46972,CA,Single-Family Home,765000,"$939,000 ",,,,,Sold,SAN MATEO
94018,722 Columbus St,3,3,El Granada,"2,020 sqft",6-Sep-13,"$877,000 ",37.502445,-122.46972,CA,Single-Family Home,877000,"$1,035,000 ",,,,,Sold,SAN MATEO
94018,331 Sonora Ave,2,3,El Granada,"1,580 sqft",6-Sep-13,"$702,000 ",37.502445,-122.46972,CA,Single-Family Home,702000,"$900,000 ",,,,,Sold,SAN MATEO
94018,939 Ferdinand Ave,2.5,3,El Granada,"2,490 sqft",30-Aug-13,"$845,000 ",37.502445,-122.46972,CA,Single-Family Home,845000,"$1,049,000 ",,,,,Sold,SAN MATEO
94018,938 Ferdinand Ave,2.5,3,El Granada,"2,340 sqft",30-Aug-13,"$820,000 ",37.502445,-122.46972,CA,Single-Family Home,820000,"$974,000 ",,,,,Sold,SAN MATEO
94018,179 Francisco St,2,2,El Granada,"1,400 sqft",27-Aug-13,"$640,000 ",37.502445,-122.46972,CA,Single-Family Home,640000,"$741,000 ",,,,,Sold,SAN MATEO
94018,11 Sea Crest Ct,2,3,El Granada,"1,400 sqft",19-Aug-13,"$699,000 ",37.502445,-122.46972,CA,Single-Family Home,699000,"$841,000 ",,,,,Sold,SAN MATEO
94018,5 Avenue Alhambra,2.5,3,El Granada,"1,680 sqft",7-Aug-13,"$715,000 ",37.502445,-122.46972,CA,Single-Family Home,715000,"$889,000 ",,,,,Sold,SAN MATEO
94018,330 Avenue Portola,2,3,El Granada,"1,180 sqft",2-Aug-13,"$674,500 ",37.502445,-122.46972,CA,Single-Family Home,674500,"$722,000 ",,,,,Sold,SAN MATEO
94018,948 Sonora Ave,3,5,El Granada,"2,670 sqft",31-Jul-13,"$758,000 ",37.502445,-122.46972,CA,Single-Family Home,758000,"$978,000 ",,,,,Sold,SAN MATEO
94018,766 Francisco St,1,3,El Granada,"1,170 sqft",26-Jul-13,"$640,000 ",37.502445,-122.46972,CA,Single-Family Home,640000,"$758,000 ",,,,,Sold,SAN MATEO
94018,216 Palma St,1,2,El Granada,590 sqft,19-Jul-13,"$478,000 ",37.502445,-122.46972,CA,Single-Family Home,478000,"$592,000 ",,,,,Sold,SAN MATEO
