zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
95018,973 Sharon Ln,1,2,Felton,776 sqft,27-Feb-14,"$422,000 ",37.03857,-122.08373,CA,Single-Family Home,422000,"$408,000 ",,,,,Sold,SANTA CRUZ
95018,430 West Dr,1,2,Felton,880 sqft,25-Feb-14,"$375,000 ",37.105453,-122.0542,CA,Single-Family Home,375000,"$374,000 ",,,,,Sold,SANTA CRUZ
95018,1490 Felton Empire Rd,2,3,Felton,"1,839 sqft",21-Feb-14,"$435,000 ",37.050377,-122.09167,CA,Farm/Ranch,435000,"$590,000 ",,,,,Sold,SANTA CRUZ
95018,1470 Mclellan Rd,2,3,Felton,"1,463 sqft",21-Feb-14,"$570,000 ",37.033203,-122.08453,CA,Single-Family Home,570000,"$641,000 ",,,,,Sold,SANTA CRUZ
95018,147 River Ln,3,2,Felton,"1,762 sqft",20-Feb-14,"$550,000 ",37.037876,-122.06547,CA,Single-Family Home,550000,"$671,000 ",,,,,Sold,SANTA CRUZ
95018,1240 El Solyo Heights Dr,2,2,Felton,"1,922 sqft",10-Feb-14,"$575,000 ",37.069817,-122.09351,CA,Single-Family Home,575000,"$499,000 ",,,,,Sold,SANTA CRUZ
95018,10050 E Zayante Rd,1,2,Felton,"1,083 sqft",7-Feb-14,"$325,000 ",37.093243,-122.04227,CA,Single-Family Home,325000,"$392,000 ",,,,,Sold,SANTA CRUZ
95018,105 Zayante Lakes Rd,1,3,Felton,885 sqft,29-Jan-14,"$215,000 ",37.08565,-122.04713,CA,Single-Family Home,215000,"$403,000 ",,,,,Sold,SANTA CRUZ
95018,121 Beth Dr,1,3,Felton,"1,099 sqft",24-Jan-14,"$424,000 ",37.03906,-122.06468,CA,Single-Family Home,424000,"$477,000 ",,,,,Sold,SANTA CRUZ
95018,7134 Highway 9 #A,,6,Felton,"3,268 sqft",23-Jan-14,"$570,000 ",37.06292,-122.07966,CA,Multi-Family,570000,,,,,,Sold,SANTA CRUZ
95018,10753 Vera Ave,1,2,Felton,768 sqft,22-Jan-14,"$356,000 ",37.104366,-122.05463,CA,Single-Family Home,356000,"$397,000 ",,,,,Sold,SANTA CRUZ
95018,502 Fall Creek Ter,1,2,Felton,"1,435 sqft",16-Jan-14,"$535,000 ",37.055912,-122.07967,CA,Single-Family Home,535000,"$535,000 ",,,,,Sold,SANTA CRUZ
95018,541 Madrona Ave,1,2,Felton,"1,038 sqft",7-Jan-14,"$400,000 ",37.03703,-122.07842,CA,Single-Family Home,400000,"$420,000 ",,,,,Sold,SANTA CRUZ
95018,10 Manzanita Spgs,1.5,2,Felton,"1,120 sqft",6-Jan-14,"$373,000 ",37.049843,-122.06035,CA,Single-Family Home,373000,"$427,000 ",,,,,Sold,SANTA CRUZ
95018,10805 Creekwood Dr,1,1,Felton,611 sqft,31-Dec-13,"$85,000 ",37.10655,-122.05037,CA,Single-Family Home,85000,"$236,000 ",,,,,Sold,SANTA CRUZ
95018,5701 Hillside Dr,1,2,Felton,"1,189 sqft",30-Dec-13,"$532,000 ",37.044167,-122.0783,CA,Single-Family Home,532000,"$517,000 ",,,,,Sold,SANTA CRUZ
95018,374 Redwood Dr,1,1,Felton,548 sqft,23-Dec-13,"$255,000 ",37.04246,-122.07689,CA,Single-Family Home,255000,"$301,000 ",,,,,Sold,SANTA CRUZ
95018,6794 Highway 9,1,2,Felton,960 sqft,13-Dec-13,"$195,000 ",37.058784,-122.077965,CA,Single-Family Home,195000,"$292,000 ",,,,,Sold,SANTA CRUZ
95018,9548 E Zayante Rd,1.5,2,Felton,"1,136 sqft",12-Dec-13,"$275,000 ",37.087414,-122.04436,CA,Single-Family Home,275000,"$392,000 ",,,,,Sold,SANTA CRUZ
95018,120 Park Ave,,1,Felton,"3,340 sqft",27-Nov-13,"$295,000 ",37.050156,-122.06768,CA,Single-Family Home,295000,"$368,000 ",,,,,Sold,SANTA CRUZ
95018,38 Azalea Ave,2,2,Felton,"1,638 sqft",26-Nov-13,"$560,000 ",37.051933,-122.05106,CA,Single-Family Home,560000,"$604,000 ",,,,,Sold,SANTA CRUZ
95018,318 Creekside Way,1,2,Felton,822 sqft,26-Nov-13,"$330,000 ",37.088047,-122.04664,CA,Single-Family Home,330000,"$392,000 ",,,,,Sold,SANTA CRUZ
95018,239 Capelli Dr,2,3,Felton,"1,250 sqft",22-Nov-13,"$640,000 ",37.06502,-122.082436,CA,Single-Family Home,640000,"$565,000 ",,,,,Sold,SANTA CRUZ
95018,290 Glengarry Rd,2,3,Felton,"1,288 sqft",22-Nov-13,"$440,000 ",37.03183,-122.06751,CA,Farm/Ranch,440000,"$464,000 ",,,,,Sold,SANTA CRUZ
95018,439 Redwood Dr,1,2,Felton,"1,020 sqft",19-Nov-13,"$415,000 ",37.041775,-122.0772,CA,Single-Family Home,415000,"$406,000 ",,,,,Sold,SANTA CRUZ
