zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94404,780 Sea Spray Ln #108,2,2,Foster City,"1,235 sqft",31-Dec-69,$0 ,37.552032,-122.28108,CA,Condo,608000,,,,55,,For Sale,SAN MATEO
94404,1111 Compass Ln #108,2,2,Foster City,"1,286 sqft",31-Dec-69,$0 ,37.551567,-122.25371,CA,Condo,599000,,,,40,,For Sale,SAN MATEO
94404,840 Sea Spray Ln #113,2,2,Foster City,"1,213 sqft",31-Dec-69,$0 ,37.553253,-122.28123,CA,Condo,678888,,,,54,,For Sale,SAN MATEO
94404,150 Sloop Ct,2,3,Foster City,"1,890 sqft",31-Dec-69,$0 ,37.551254,-122.25731,CA,Single-Family Home,1100000,,,,48,,For Sale,SAN MATEO
94404,749 Celestial Ln,2.5,3,Foster City,"1,430 sqft",31-Dec-69,$0 ,37.550602,-122.28066,CA,Townhome,799000,,,,49,,For Sale,SAN MATEO
94404,859 Arcturus Cir,2,3,Foster City,"1,820 sqft",31-Dec-69,$0 ,37.546417,-122.276436,CA,Single-Family Home,1199980,,,,,,For Sale,SAN MATEO
94404,1214 Admiralty Ln,3,3,Foster City,"1,505 sqft",31-Dec-69,$0 ,37.561436,-122.26721,CA,Apt/Condo/Twnhm,499000,,,,58,,For Sale,SAN MATEO
94404,249 Curlew Ct,4,4,Foster City,"2,250 sqft",31-Dec-69,$0 ,37.570312,-122.26337,CA,Single-Family Home,1168000,,,,31,,For Sale,SAN MATEO
94404,7207 Admiralty Ln,1.5,2,Foster City,998 sqft,31-Dec-69,$0 ,37.561436,-122.26721,CA,Townhome,399000,,,,58,,For Sale,SAN MATEO
94404,780 Sea Spray Ln #107,1,1,Foster City,997 sqft,31-Dec-69,$0 ,37.552032,-122.28108,CA,Condo,450000,,,,55,,For Sale,SAN MATEO
94404,252 Bonita Ln,1,1,Foster City,724 sqft,31-Dec-69,$0 ,37.55904,-122.249916,CA,Townhome,480000,,,,14,,For Sale,SAN MATEO
94404,1120 Galveston St,3,4,Foster City,"2,200 sqft",31-Dec-69,$0 ,37.538548,-122.27419,CA,Single-Family Home,1325000,,,,48,,For Sale,SAN MATEO
94404,1131 Compass Ln #203,2,2,Foster City,"1,286 sqft",31-Dec-69,$0 ,37.551567,-122.25371,CA,Condo,600000,,,,40,,For Sale,SAN MATEO
94404,701 Foster City Blvd,2.5,2,Foster City,,31-Dec-69,$0 ,37.559772,-122.26527,CA,Townhome,753000,,,,48,,For Sale,SAN MATEO
94404,863 Carina Ln,3,2,Foster City,"1,546 sqft",31-Dec-69,$0 ,37.547363,-122.272064,CA,Townhome,848888,,,,62,,For Sale,SAN MATEO
94404,107 Flying Cloud Isle,3,3,Foster City,"2,280 sqft",31-Dec-69,$0 ,37.56544,-122.26487,CA,Single-Family Home,1699000,,,,49,,For Sale,SAN MATEO
94404,Cumberland Ct,2,4,Foster City,"1,470 sqft",31-Dec-69,$0 ,37.542904,-122.276306,CA,Single-Family Home,161615,,,,49,,For Sale,SAN MATEO
94404,Marquette Ln,2,2,Foster City,"1,260 sqft",31-Dec-69,$0 ,37.54884,-122.26583,CA,Single-Family Home,749098,,,,55,,For Sale,SAN MATEO
94404,Beach Park Blvd #81,2,2,Foster City,"1,087 sqft",31-Dec-69,$0 ,37.54858,-122.258965,CA,Condo,291000,,,,40,,For Sale,SAN MATEO
94404,Admiralty Ln,1,2,Foster City,998 sqft,31-Dec-69,$0 ,37.56171,-122.26772,CA,Condo,803653,,,,62,,For Sale,SAN MATEO
94404,Admiralty Ln,1,2,Foster City,998 sqft,31-Dec-69,$0 ,37.56171,-122.26772,CA,Condo,344000,,,,71,,For Sale,SAN MATEO
94404,Puffin Ct,2,3,Foster City,"1,840 sqft",31-Dec-69,$0 ,37.570545,-122.25946,CA,Single-Family Home,592000,,,,25,,For Sale,SAN MATEO
94404,Beach Park Blvd,2,2,Foster City,"1,349 sqft",31-Dec-69,$0 ,37.550373,-122.25224,CA,Condo,606537,,,,43,,For Sale,SAN MATEO
94404,Winchester Ct,2,4,Foster City,"1,720 sqft",31-Dec-69,$0 ,37.537666,-122.27618,CA,Single-Family Home,722000,,,,35,,For Sale,SAN MATEO
94404,Comet Dr,2,3,Foster City,"1,710 sqft",31-Dec-69,$0 ,37.563282,-122.267365,CA,Single-Family Home,754000,,,,65,,For Sale,SAN MATEO
