zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94539,508 Sago Palm Ter,3,3,Fremont,"1,409 sqft",31-Dec-69,$0 ,37.461765,-121.91693,CA,Single-Family Home,699000,,,East Industrial,28,,For Sale,ALAMEDA
94536,38542 Vancouver Cmn,2.5,3,Fremont,"1,430 sqft",31-Dec-69,$0 ,37.560658,-121.9805,CA,Townhome,499999,,,Parkmont,60,,For Sale,ALAMEDA
94536,36360 Magellan Dr,1,3,Fremont,"1,111 sqft",31-Dec-69,$0 ,37.55486,-122.02406,CA,Single-Family Home,519000,,,Cabrillo,51,,For Sale,ALAMEDA
94555,3173 Alpine Dr,3,4,Fremont,"2,678 sqft",31-Dec-69,$0 ,37.58506,-122.04166,CA,Single-Family Home,950000,,,Northgate,45,,For Sale,ALAMEDA
94538,4018 Rector Cmn,2,2,Fremont,"1,067 sqft",31-Dec-69,$0 ,37.542255,-121.97826,CA,Apt/Condo/Twnhm,384000,,,Sundale,51,,For Sale,ALAMEDA
94536,4323 Lombard Ave,4,4,Fremont,"2,211 sqft",31-Dec-69,$0 ,37.552216,-122.00368,CA,Single-Family Home,1195950,,,Glenmoor,65,,For Sale,ALAMEDA
94536,3453 Baywood Ter #202,3,2,Fremont,"1,083 sqft",31-Dec-69,$0 ,37.563652,-122.00712,CA,Condo,388000,,,Centerville,71,,For Sale,ALAMEDA
94536,1063 Kraftile Rd,4,5,Fremont,"3,600 sqft",31-Dec-69,$0 ,37.58364,-122.0064,CA,Single-Family Home,1099000,,,Niles,25,,For Sale,ALAMEDA
94555,34116 Pavia Ter,3.5,3,Fremont,"1,387 sqft",31-Dec-69,$0 ,37.560772,-122.06183,CA,Townhome,629888,,,Ardenwood,23,,For Sale,ALAMEDA
94555,34222 Della Ter,2.5,3,Fremont,"1,481 sqft",31-Dec-69,$0 ,37.56106,-122.05781,CA,Single-Family Home,765000,,,Ardenwood,37,,For Sale,ALAMEDA
94538,39916 Fremont Blvd,2,2,Fremont,"1,165 sqft",31-Dec-69,$0 ,37.542076,-121.97389,CA,Apt/Condo/Twnhm,355000,,,Central Downtown,51,,For Sale,ALAMEDA
94536,38684 Kimbro St,3,4,Fremont,"2,273 sqft",31-Dec-69,$0 ,37.5475,-121.995186,CA,Single-Family Home,1050000,,,Glenmoor,71,,For Sale,ALAMEDA
94538,40425 Chapel Way #103,2,2,Fremont,"1,052 sqft",31-Dec-69,$0 ,37.53879,-121.95884,CA,Single-Family Home,315000,,,Irvington,63,,For Sale,ALAMEDA
94539,42374 Barbary St,2,4,Fremont,"1,402 sqft",31-Dec-69,$0 ,37.533375,-121.9401,CA,Single-Family Home,939888,,,Mission Valley,40,,For Sale,ALAMEDA
94536,3881 Burton Cmn,3,3,Fremont,"1,506 sqft",31-Dec-69,$0 ,37.55414,-121.99679,CA,Condo,599950,,,Centerville,66,,For Sale,ALAMEDA
94539,867 Boar Ter,6,5,Fremont,"6,850 sqft",31-Dec-69,$0 ,37.50906,-121.91088,CA,Single-Family Home,8200000,,,Vineyards - Avalon,8,,For Sale,ALAMEDA
94538,42447 Grand Teton Park St,3,4,Fremont,"2,103 sqft",31-Dec-69,$0 ,37.520565,-121.969444,CA,Single-Family Home,745000,,,Blacow,49,,For Sale,ALAMEDA
94536,38053 Canyon Heights Dr,2,3,Fremont,922 sqft,31-Dec-69,$0 ,37.584282,-121.96168,CA,Single-Family Home,559950,,,Canyon Heights - Vallejo Mills,12,,For Sale,ALAMEDA
94555,3549 Lake Ontario Dr,2,3,Fremont,"1,335 sqft",31-Dec-69,$0 ,37.58749,-122.05562,CA,Single-Family Home,550000,,,Lakes and Birds,45,,For Sale,ALAMEDA
94536,5118 Vernon Ave,2,4,Fremont,"1,635 sqft",31-Dec-69,$0 ,37.53834,-122.00453,CA,Single-Family Home,749900,,,Glenmoor,46,,For Sale,ALAMEDA
94539,430 Panorama Ct,3,5,Fremont,"2,822 sqft",31-Dec-69,$0 ,37.52365,-121.914795,CA,Single-Family Home,1175000,,,Mission Hills,63,,For Sale,ALAMEDA
94539,145 E Las Palmas Ave,3.5,5,Fremont,"3,478 sqft",31-Dec-69,$0 ,37.55858,-121.94956,CA,Single-Family Home,1855880,,,Kimber - Gomes,37,,For Sale,ALAMEDA
94539,40336 Dolerita Ave,3,4,Fremont,"2,515 sqft",31-Dec-69,$0 ,37.556416,-121.94686,CA,Single-Family Home,1399888,,,Kimber - Gomes,34,,For Sale,ALAMEDA
94538,4388 Fern Ter,3,3,Fremont,"1,633 sqft",31-Dec-69,$0 ,37.519733,-121.96159,CA,Single-Family Home,769000,,,Grimmer,60,,For Sale,ALAMEDA
94538,43375 Castle Park Ct,2,3,Fremont,"1,445 sqft",31-Dec-69,$0 ,37.511772,-121.96497,CA,Single-Family Home,625000,,,Blacow,58,,For Sale,ALAMEDA
94538,4600 Nelson St,6,4,Fremont,"3,884 sqft",31-Dec-69,$0 ,37.535946,-121.98375,CA,Single-Family Home,1199999,,,Sundale,48,,For Sale,ALAMEDA
94539,1566 Blackfoot Dr,3,4,Fremont,"3,272 sqft",31-Dec-69,$0 ,37.511253,-121.928345,CA,Single-Family Home,1599000,,,Weibel,22,,For Sale,ALAMEDA
