zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94555,3995 Lake Tahoe Ter,1,2,Fremont,991 sqft,4-Mar-14,"$330,000 ",37.58376,-122.058044,CA,Townhouse,330000,"$412,000 ",,Lakes and Birds,,,Sold,ALAMEDA
94538,41769 Sherwood St,2,3,Fremont,"1,118 sqft",4-Mar-14,"$739,000 ",37.52485,-121.96429,CA,Single-Family Home,739000,"$707,000 ",,Irvington,,,Sold,ALAMEDA
94536,37743 Elmore Ct,3,4,Fremont,"2,313 sqft",4-Mar-14,"$900,000 ",37.540154,-122.01461,CA,Single-Family Home,900000,"$967,000 ",,Glenmoor,,,Sold,ALAMEDA
94538,42742 Hamilton Way,2,3,Fremont,"1,156 sqft",4-Mar-14,"$586,000 ",37.521523,-121.955505,CA,Single-Family Home,586000,"$661,000 ",,Grimmer,,,Sold,ALAMEDA
94555,6189 Linford Ter,2.5,2,Fremont,"1,249 sqft",4-Mar-14,"$685,000 ",37.554054,-122.060524,CA,Single-Family Home,685000,"$652,000 ",,Ardenwood,,,Sold,ALAMEDA
94555,4535 Amiens Ave,2,3,Fremont,"1,504 sqft",4-Mar-14,"$740,000 ",37.572014,-122.050255,CA,Single-Family Home,740000,"$843,000 ",,Ardenwood,,,Sold,ALAMEDA
94536,38890 Helen Way,2,3,Fremont,"1,338 sqft",4-Mar-14,"$679,000 ",37.54184,-121.99579,CA,Single-Family Home,679000,"$732,000 ",,Glenmoor,,,Sold,ALAMEDA
94555,3780 Goldfinch Ter,2.5,4,Fremont,"1,853 sqft",4-Mar-14,"$725,000 ",37.580673,-122.04737,CA,Single-Family Home,725000,"$802,000 ",,Northgate,,,Sold,ALAMEDA
94539,41454 Erma Ave,2,4,Fremont,"1,134 sqft",4-Mar-14,"$930,000 ",37.537457,-121.94753,CA,Single-Family Home,930000,"$974,000 ",,Mission Valley,,,Sold,ALAMEDA
94555,2886 Cooper Pl,2,3,Fremont,"1,585 sqft",4-Mar-14,"$790,000 ",37.58573,-122.03781,CA,Single-Family Home,790000,"$756,000 ",,Northgate,,,Sold,ALAMEDA
94538,39951 Fremont Blvd #24,2,2,Fremont,"1,146 sqft",4-Mar-14,"$410,000 ",37.54082,-121.97438,CA,Condo,410000,"$461,000 ",,Sundale,,,Sold,ALAMEDA
94536,38801 Tyson Ln,2.5,4,Fremont,"1,579 sqft",28-Feb-14,"$805,000 ",37.561764,-121.97445,CA,Single-Family Home,805000,"$876,000 ",,Cherry - Guardino,,,Sold,ALAMEDA
94555,5457 Alamo Ter,2.5,3,Fremont,"1,481 sqft",28-Feb-14,"$789,000 ",37.56274,-122.06038,CA,Single-Family Home,789000,"$761,000 ",,Ardenwood,,,Sold,ALAMEDA
94539,751 Wichitaw Dr,2,3,Fremont,"1,542 sqft",28-Feb-14,"$955,000 ",37.486145,-121.91863,CA,Single-Family Home,955000,"$1,016,000 ",,Warm Springs,,,Sold,ALAMEDA
94538,3695 Stevenson Blvd #A241,2,2,Fremont,"1,040 sqft",28-Feb-14,"$390,000 ",37.543167,-121.97366,CA,Condo,390000,"$421,000 ",,Central Downtown,,,Sold,ALAMEDA
94538,40342 Linaria Cir,2.5,4,Fremont,"1,614 sqft",28-Feb-14,"$755,000 ",37.523903,-121.98211,CA,Single-Family Home,755000,"$874,000 ",,Blacow,,,Sold,ALAMEDA
94536,37248 Meadowbrook Cmn #204,2,2,Fremont,"1,123 sqft",28-Feb-14,"$326,000 ",37.56101,-122.00573,CA,Condo,326000,"$417,000 ",,Centerville,,,Sold,ALAMEDA
