zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94019,23 Alameda Ave,3,5,Half Moon Bay,"2,650 sqft",20-Feb-14,"$1,320,000 ",37.493023,-122.45685,CA,Single-Family Home,1320000,"$1,325,000 ",,,,,Sold,SAN MATEO
94019,140 Amesport Lndg,2,2,Half Moon Bay,950 sqft,20-Feb-14,"$460,000 ",37.460598,-122.43384,CA,Condo,460000,"$487,000 ",,,,,Sold,SAN MATEO
94019,599 Highland Ave,4.5,4,Half Moon Bay,"3,365 sqft",20-Feb-14,"$1,325,000 ",37.473618,-122.4321,CA,Single-Family Home,1325000,"$1,690,000 ",,,,,Sold,SAN MATEO
94019,608 Myrtle St,2,2,Half Moon Bay,"1,350 sqft",11-Feb-14,"$535,000 ",37.45917,-122.43263,CA,Single-Family Home,535000,"$709,000 ",,,,,Sold,SAN MATEO
94019,463 Pine Ave,2,2,Half Moon Bay,"1,090 sqft",7-Feb-14,"$397,500 ",37.465378,-122.43648,CA,Condo,397500,"$523,000 ",,,,,Sold,SAN MATEO
94019,459 Winged Foot Rd,2,3,Half Moon Bay,"2,150 sqft",6-Feb-14,"$953,000 ",37.431255,-122.42984,CA,Single-Family Home,953000,"$1,100,000 ",,,,,Sold,SAN MATEO
94019,301 Bayhill Rd,,,Half Moon Bay,,3-Feb-14,"$1,447,500 ",37.439625,-122.43644,CA,Single-Family Home,1447500,,,,,,Sold,SAN MATEO
94019,656 Terrace Ave,3,4,Half Moon Bay,"2,397 sqft",30-Jan-14,"$1,110,000 ",37.476086,-122.43261,CA,Single-Family Home,1110000,"$1,383,000 ",,,,,Sold,SAN MATEO
94019,17500 Cabrillo Hwy S,,,Half Moon Bay,,17-Jan-14,"$2,025,500 ",37.422623,-122.430214,CA,Single-Family Home,2025500,"$816,000 ",,,,,Sold,SAN MATEO
94019,1050 Main St,5,4,Half Moon Bay,"4,170 sqft",16-Jan-14,"$757,000 ",37.454494,-122.430016,CA,Multi-Family,757000,"$1,298,000 ",,,,,Sold,SAN MATEO
94019,20 Trace Ln,3.5,4,Half Moon Bay,"3,080 sqft",10-Jan-14,"$1,200,000 ",37.43595,-122.42884,CA,Single-Family Home,1200000,"$1,428,000 ",,,,,Sold,SAN MATEO
94019,712 Main St,1,3,Half Moon Bay,"1,140 sqft",2-Jan-14,"$800,000 ",37.461273,-122.429855,CA,Single-Family Home,800000,"$837,000 ",,,,,Sold,SAN MATEO
94019,400 Belleville Blvd,,,Half Moon Bay,,31-Dec-13,"$697,500 ",37.47028,-122.436554,CA,Single-Family Home,697500,,,,,,Sold,SAN MATEO
94019,468 Laurel Ave,2,2,Half Moon Bay,"1,090 sqft",31-Dec-13,"$405,000 ",37.46565,-122.43579,CA,Condo,405000,"$522,000 ",,,,,Sold,SAN MATEO
94019,236 Eagle Trace Dr,3,5,Half Moon Bay,"3,270 sqft",17-Dec-13,"$1,275,000 ",37.435616,-122.42804,CA,Single-Family Home,1275000,"$1,555,000 ",,,,,Sold,SAN MATEO
94019,2381 Winged Foot Rd,2,3,Half Moon Bay,"2,160 sqft",12-Dec-13,"$1,050,000 ",37.431293,-122.43122,CA,Single-Family Home,1050000,"$1,032,000 ",,,,,Sold,SAN MATEO
94019,2905 Pullman Ave,,,Half Moon Bay,,11-Dec-13,"$899,000 ",37.490974,-122.45276,CA,Single-Family Home,899000,"$924,000 ",,,,,Sold,SAN MATEO
94019,984 Pilarcitos Ave,3,3,Half Moon Bay,"2,530 sqft",10-Dec-13,"$1,450,000 ",37.47636,-122.445946,CA,Single-Family Home,1450000,"$1,866,000 ",,,,,Sold,SAN MATEO
94019,17 Fairway Pl,3,3,Half Moon Bay,"3,280 sqft",10-Dec-13,"$1,210,000 ",37.436073,-122.43847,CA,Single-Family Home,1210000,"$1,406,000 ",,,,,Sold,SAN MATEO
94019,1026 Suzanne Ct,1,2,Half Moon Bay,730 sqft,10-Dec-13,"$415,000 ",37.45554,-122.42775,CA,Single-Family Home,415000,"$464,000 ",,,,,Sold,SAN MATEO
94019,422 Magellan Ave,5,4,Half Moon Bay,"4,270 sqft",10-Dec-13,"$1,425,000 ",37.49883,-122.45857,CA,Single-Family Home,1425000,"$1,934,000 ",,,,,Sold,SAN MATEO
94019,507 Highland Ave,2,3,Half Moon Bay,"1,750 sqft",5-Dec-13,"$680,000 ",37.47208,-122.43381,CA,Single-Family Home,680000,"$815,000 ",,,,,Sold,SAN MATEO
94019,421 Magnolia St,2,4,Half Moon Bay,"1,460 sqft",5-Dec-13,"$670,000 ",37.454247,-122.43581,CA,Single-Family Home,670000,"$738,000 ",,,,,Sold,SAN MATEO
94019,419 Correas St,2.5,4,Half Moon Bay,"2,740 sqft",4-Dec-13,"$1,020,000 ",37.46273,-122.43757,CA,Single-Family Home,1020000,"$1,020,000 ",,,,,Sold,SAN MATEO
94019,62 Patrick Way,3,3,Half Moon Bay,"1,700 sqft",4-Dec-13,"$699,000 ",37.467773,-122.42695,CA,Single-Family Home,699000,"$850,000 ",,,,,Sold,SAN MATEO
94019,369 Burning Tree Ct,3,3,Half Moon Bay,"2,540 sqft",27-Nov-13,"$850,000 ",37.433414,-122.42912,CA,Single-Family Home,850000,"$1,244,000 ",,,,,Sold,SAN MATEO
