zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94010,501 W Santa Inez Ave,3.5,4,Hillsborough,"2,510 sqft",31-Dec-69,$0 ,37.562088,-122.34436,CA,Single-Family Home,2595000,,,Hillsborough Heights,26,,For Sale,SAN MATEO
94010,1205 Tournament Dr,6,5,Hillsborough,"6,050 sqft",31-Dec-69,$0 ,37.535133,-122.3429,CA,Single-Family Home,3998000,,,Tobin Clark Estate,18,,For Sale,SAN MATEO
94010,18 Farm Ln,5.5,4,Hillsborough,"5,103 sqft",31-Dec-69,$0 ,37.562042,-122.35998,CA,Single-Family Home,7780000,,,Homeplace,12,,For Sale,SAN MATEO
94010,551 Craig Rd,4.5,5,Hillsborough,,31-Dec-69,$0 ,37.55559,-122.37332,CA,Single-Family Home,5250000,,,Carolands,12,,For Sale,SAN MATEO
94010,101 Robin Rd,11,10,Hillsborough,"9,110 sqft",31-Dec-69,$0 ,37.5608,-122.362816,CA,Single-Family Home,7900000,,,Homeplace,14,,For Sale,SAN MATEO
94010,585 Chelmsford Rd,5,4,Hillsborough,"4,350 sqft",31-Dec-69,$0 ,37.561928,-122.34742,CA,Single-Family Home,3998000,,,Hillsborough Heights,15,,For Sale,SAN MATEO
94010,1157 Barroilhet Dr,6,4,Hillsborough,"4,610 sqft",31-Dec-69,$0 ,37.56512,-122.36194,CA,Single-Family Home,4395000,,,Homeplace,17,,For Sale,SAN MATEO
94010,1015 Macadamia Dr,7,6,Hillsborough,"4,956 sqft",31-Dec-69,$0 ,37.56928,-122.378426,CA,Single-Family Home,4150000,,,Skyfarm,17,,For Sale,SAN MATEO
94010,903 Tournament Dr,4,4,Hillsborough,"3,190 sqft",31-Dec-69,$0 ,37.54575,-122.33688,CA,Single-Family Home,2800000,,,Tobin Clark Estate,17,,For Sale,SAN MATEO
94010,383 Sierra Dr,10,8,Hillsborough,"8,410 sqft",31-Dec-69,$0 ,37.55679,-122.34093,CA,Single-Family Home,12998000,,,Brewer Subdivision,20,,For Sale,SAN MATEO
94010,40 Verbalee Ln,14,12,Hillsborough,"30,000 sqft",31-Dec-69,$0 ,37.543335,-122.338524,CA,Single-Family Home,23888000,,,Tobin Clark Estate,17,,For Sale,SAN MATEO
94010,366 Hillsborough Blvd,4,4,Hillsborough,"3,800 sqft",31-Dec-69,$0 ,37.561226,-122.35152,CA,Single-Family Home,3695000,,,Hillsborough Heights,14,,For Sale,SAN MATEO
94010,1385 Avondale Rd,4,4,Hillsborough,"2,889 sqft",31-Dec-69,$0 ,37.54757,-122.35722,CA,Single-Family Home,2899982,,,Lakeview,11,,For Sale,SAN MATEO
94010,2255 Skyfarm Dr,8,5,Hillsborough,"9,800 sqft",31-Dec-69,$0 ,37.57028,-122.369354,CA,Single-Family Home,10700000,,,Country Club Manor,29,,For Sale,SAN MATEO
94010,55 Aster Ave,6,6,Hillsborough,"7,020 sqft",31-Dec-69,$0 ,37.571068,-122.354935,CA,Single-Family Home,5399000,,,Homeplace,51,,For Sale,SAN MATEO
94010,20 Silk Tree Pl,9,6,Hillsborough,"6,200 sqft",31-Dec-69,$0 ,37.559025,-122.380264,CA,Single-Family Home,3498000,,,Skyfarm,12,,For Sale,SAN MATEO
94010,10 Kingswood Cir,4.5,4,Hillsborough,"4,620 sqft",31-Dec-69,$0 ,37.54008,-122.357994,CA,Single-Family Home,3600000,,,Lakeview,15,,For Sale,SAN MATEO
94010,10 Live Oak Ln,4,5,Hillsborough,"4,310 sqft",31-Dec-69,$0 ,37.569637,-122.39122,CA,Single-Family Home,2695000,,,Hillsborough Hills,6,,For Sale,SAN MATEO
94010,1425 Avondale Rd,2,3,Hillsborough,"2,320 sqft",31-Dec-69,$0 ,37.54602,-122.3584,CA,Single-Family Home,1855000,,,Lakeview,18,,For Sale,SAN MATEO
94010,28 Cornelia Dr,4.5,5,Hillsborough,"4,924 sqft",31-Dec-69,$0 ,37.554245,-122.35173,CA,Single-Family Home,4699000,,,Hillsborough Park,15,,For Sale,SAN MATEO
94010,108 Essex Ln,5,5,Hillsborough,"4,509 sqft",31-Dec-69,$0 ,37.552696,-122.34484,CA,Single-Family Home,4695000,,,Hillsborough Park,11,,For Sale,SAN MATEO
94010,25 Cornelia Dr,4,6,Hillsborough,"3,600 sqft",31-Dec-69,$0 ,37.554672,-122.35141,CA,Single-Family Home,3695000,,,Hillsborough Park,15,,For Sale,SAN MATEO
94010,2496 Butternut Dr,,5,Hillsborough,,31-Dec-69,$0 ,37.56585,-122.380684,CA,Single-Family Home,4980000,,,Skyfarm,14,,For Sale,SAN MATEO
94010,1095 Macadamia Dr,4.5,5,Hillsborough,"5,080 sqft",31-Dec-69,$0 ,37.571274,-122.383,CA,Single-Family Home,3860000,,,Skyfarm,18,,For Sale,SAN MATEO
94010,2080 Geri Ln,5,7,Hillsborough,"5,195 sqft",31-Dec-69,$0 ,37.57521,-122.368614,CA,Single-Family Home,5790000,,,Skyfarm,43,,For Sale,SAN MATEO
94010,363 Darrell Rd,2,4,Hillsborough,"1,880 sqft",31-Dec-69,$0 ,37.548103,-122.36868,CA,Single-Family Home,2349000,,,Carolands,15,,For Sale,SAN MATEO
94010,2929 Privet Dr,3.5,5,Hillsborough,"3,473 sqft",31-Dec-69,$0 ,37.56607,-122.38645,CA,Single-Family Home,3199000,,,Skyfarm,9,,For Sale,SAN MATEO
94010,1296 Tournament Dr,,,Hillsborough,,31-Dec-69,$0 ,37.533443,-122.340614,CA,Single-Family Home,2480000,,,Tobin Clark Estate,28,,For Sale,SAN MATEO
94010,120 Tamarack Dr,6,6,Hillsborough,"8,546 sqft",31-Dec-69,$0 ,37.564404,-122.35992,CA,Single-Family Home,10900000,,,Homeplace,17,,For Sale,SAN MATEO
