zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94010,1570 Kingswood Dr,2.5,3,Hillsborough,"2,445 sqft",19-Feb-14,"$2,449,000 ",37.540817,-122.35976,CA,Single-Family Home,2449000,"$2,508,000 ",,Lakeview,,,Sold,SAN MATEO
94010,135 Bella Vista Dr,3.5,4,Hillsborough,"3,880 sqft",12-Feb-14,"$3,495,000 ",37.57258,-122.38223,CA,Single-Family Home,3495000,"$3,319,000 ",,Skyfarm,,,Sold,SAN MATEO
94010,1340 Avondale Rd,4,4,Hillsborough,"4,400 sqft",12-Feb-14,"$2,905,000 ",37.548607,-122.35692,CA,Single-Family Home,2905000,"$4,469,000 ",,Lakeview,,,Sold,SAN MATEO
94010,25 Bengloe Ln,2.5,3,Hillsborough,"2,440 sqft",31-Jan-14,"$2,328,500 ",37.543755,-122.35756,CA,Single-Family Home,2328500,"$2,646,000 ",,Lakeview,,,Sold,SAN MATEO
94010,139 Gramercy Dr,2.5,3,Hillsborough,"2,410 sqft",31-Jan-14,"$2,800,000 ",37.566013,-122.33389,CA,Single-Family Home,2800000,"$3,157,000 ",,Baywood-Aragon,,,Sold,SAN MATEO
94010,865 Black Mountain Rd,5.5,7,Hillsborough,"4,727 sqft",31-Jan-14,"$6,500,000 ",37.557262,-122.34995,CA,Single-Family Home,6500000,"$3,282,000 ",,Hillsborough Heights,,,Sold,SAN MATEO
94010,955 Jackling Dr,3,4,Hillsborough,"2,720 sqft",29-Jan-14,"$2,450,000 ",37.576736,-122.375854,CA,Single-Family Home,2450000,"$2,804,000 ",,Hillsborough Oaksbridge,,,Sold,SAN MATEO
94010,2495 Skyfarm Dr,3.5,4,Hillsborough,"4,410 sqft",24-Jan-14,"$3,150,000 ",37.56337,-122.37559,CA,Single-Family Home,3150000,"$3,019,000 ",,Skyfarm,,,Sold,SAN MATEO
94010,20 Orange Ct,3.5,5,Hillsborough,"4,240 sqft",24-Jan-14,"$4,250,000 ",37.56333,-122.36864,CA,Single-Family Home,4250000,"$4,487,000 ",,Country Club Manor,,,Sold,SAN MATEO
94010,40 Southdown Ct,,,Hillsborough,,23-Jan-14,"$2,930,000 ",37.54479,-122.35332,CA,Single-Family Home,2930000,,,Lakeview,,,Sold,SAN MATEO
94010,1295 Buckingham Way,3.5,4,Hillsborough,"3,400 sqft",21-Jan-14,"$2,850,000 ",37.534554,-122.357,CA,Single-Family Home,2850000,"$3,136,000 ",,Lakeview,,,Sold,SAN MATEO
94010,210 Denise Dr,2,3,Hillsborough,"1,830 sqft",14-Jan-14,"$2,230,000 ",37.5468,-122.3647,CA,Single-Family Home,2230000,"$2,388,000 ",,Carolands,,,Sold,SAN MATEO
94010,70 Stonepine Rd,,,Hillsborough,,10-Jan-14,"$4,250,000 ",37.56431,-122.36159,CA,Single-Family Home,4250000,,,Homeplace,,,Sold,SAN MATEO
94010,145 Stonehedge Rd,3,3,Hillsborough,"2,160 sqft",10-Jan-14,"$3,798,000 ",37.560932,-122.335236,CA,Single-Family Home,3798000,"$3,298,000 ",,Brewer Subdivision,,,Sold,SAN MATEO
94010,525 Chateau Dr,8.5,6,Hillsborough,"6,240 sqft",8-Jan-14,"$5,600,000 ",37.562428,-122.36849,CA,Single-Family Home,5600000,"$5,788,000 ",,Carolands,,,Sold,SAN MATEO
94010,720 Bromfield Rd,4.5,5,Hillsborough,"3,580 sqft",7-Jan-14,"$3,795,000 ",37.567158,-122.35193,CA,Single-Family Home,3795000,"$3,826,000 ",,Homeplace,,,Sold,SAN MATEO
94010,125 Eucalyptus Ave,3.5,4,Hillsborough,"3,380 sqft",6-Jan-14,"$3,300,000 ",37.560055,-122.357796,CA,Single-Family Home,3300000,"$3,818,000 ",,Homeplace,,,Sold,SAN MATEO
94010,150 New Place Rd,6.5,6,Hillsborough,"5,970 sqft",31-Dec-13,"$13,270,000 ",37.564445,-122.36738,CA,Single-Family Home,13270000,"$4,446,000 ",,Country Club Manor,,,Sold,SAN MATEO
94010,259 Bridge Rd,4.5,5,Hillsborough,"4,650 sqft",30-Dec-13,"$4,100,000 ",37.559822,-122.33923,CA,Single-Family Home,4100000,"$4,226,000 ",,Brewer Subdivision,,,Sold,SAN MATEO
94010,1525 Bairn Dr,2,4,Hillsborough,"2,800 sqft",30-Dec-13,"$1,800,000 ",37.542915,-122.358955,CA,Single-Family Home,1800000,"$2,262,000 ",,Lakeview,,,Sold,SAN MATEO
94010,2121 Ralston Ave,3,5,Hillsborough,"3,320 sqft",30-Dec-13,"$3,000,000 ",37.57065,-122.357155,CA,Single-Family Home,3000000,"$3,303,000 ",,Homeplace,,,Sold,SAN MATEO
94010,775 Bowhill Rd,3.5,4,Hillsborough,"2,650 sqft",30-Dec-13,"$2,225,000 ",37.553574,-122.340096,CA,Single-Family Home,2225000,"$2,561,000 ",,Brewer Subdivision,,,Sold,SAN MATEO
94010,275 Robin Rd,,,Hillsborough,,27-Dec-13,"$1,750,000 ",37.55538,-122.35933,CA,Single-Family Home,1750000,"$1,834,000 ",,Hillsborough Knolls,,,Sold,SAN MATEO
94010,20 Stonepine Ct,4.5,4,Hillsborough,"4,670 sqft",24-Dec-13,"$3,580,000 ",37.564625,-122.360466,CA,Single-Family Home,3580000,"$4,112,000 ",,Homeplace,,,Sold,SAN MATEO
94010,45 Live Oak Ln,5,5,Hillsborough,"5,110 sqft",19-Dec-13,"$2,808,000 ",37.56885,-122.39066,CA,Single-Family Home,2808000,"$3,355,000 ",,Hillsborough Hills,,,Sold,SAN MATEO
94010,30 Terrier Pl,4,4,Hillsborough,"3,460 sqft",13-Dec-13,"$2,875,000 ",37.542053,-122.35765,CA,Single-Family Home,2875000,"$3,321,000 ",,Lakeview,,,Sold,SAN MATEO
94010,615 Chiltern Rd,3.5,4,Hillsborough,"3,510 sqft",12-Dec-13,"$3,400,000 ",37.559345,-122.346016,CA,Single-Family Home,3400000,"$3,206,000 ",,Hillsborough Heights,,,Sold,SAN MATEO
94010,975 W Santa Inez Ave,4.5,4,Hillsborough,"4,589 sqft",10-Dec-13,"$5,250,000 ",37.55697,-122.35133,CA,Single-Family Home,5250000,"$4,568,000 ",,Hillsborough Heights,,,Sold,SAN MATEO
94010,100 Bella Vista Dr,6.5,6,Hillsborough,"5,310 sqft",10-Dec-13,"$4,600,000 ",37.573654,-122.38018,CA,Single-Family Home,4600000,"$4,879,000 ",,Skyfarm,,,Sold,SAN MATEO
94010,1224 Kenilworth Rd,3,4,Hillsborough,"3,530 sqft",9-Dec-13,"$3,129,000 ",37.553825,-122.35605,CA,Single-Family Home,3129000,"$3,155,000 ",,Hillsborough Park,,,Sold,SAN MATEO
94010,1420 Southdown Rd,5,5,Hillsborough,"3,730 sqft",6-Dec-13,"$2,225,000 ",37.545868,-122.35662,CA,Single-Family Home,2225000,"$2,738,000 ",,Lakeview,,,Sold,SAN MATEO
94010,535 Chelmsford Rd,3.5,4,Hillsborough,"3,720 sqft",5-Dec-13,"$3,000,000 ",37.56218,-122.34607,CA,Single-Family Home,3000000,"$3,132,000 ",,Hillsborough Heights,,,Sold,SAN MATEO
94010,345 Robinwood Ln,2,3,Hillsborough,"2,970 sqft",5-Dec-13,"$2,250,000 ",37.550526,-122.36499,CA,Single-Family Home,2250000,"$2,771,000 ",,Carolands,,,Sold,SAN MATEO
94010,65 Cornelia Dr,4.5,6,Hillsborough,"3,560 sqft",4-Dec-13,"$3,500,000 ",37.553425,-122.35087,CA,Single-Family Home,3500000,"$3,754,000 ",,Hillsborough Park,,,Sold,SAN MATEO
94010,850 Longview Rd,4.5,4,Hillsborough,"3,650 sqft",4-Dec-13,"$4,200,000 ",37.553932,-122.34313,CA,Single-Family Home,4200000,"$3,822,000 ",,Hillsborough Park,,,Sold,SAN MATEO
94010,2267 Summit Dr,2.5,4,Hillsborough,"3,460 sqft",3-Dec-13,"$2,525,000 ",37.5768,-122.37958,CA,Single-Family Home,2525000,"$2,888,000 ",,Hillsborough Hills,,,Sold,SAN MATEO
94010,2305 Skyfarm Dr,3.5,5,Hillsborough,"4,100 sqft",27-Nov-13,"$3,350,000 ",37.569168,-122.371155,CA,Single-Family Home,3350000,"$3,564,000 ",,Skyfarm,,,Sold,SAN MATEO
94010,2031 Forest View Ave,3.5,4,Hillsborough,"2,710 sqft",26-Nov-13,"$2,850,000 ",37.57684,-122.36834,CA,Single-Family Home,2850000,"$2,837,000 ",,Skyfarm,,,Sold,SAN MATEO
94010,542 Craig Rd,3,4,Hillsborough,"2,840 sqft",19-Nov-13,"$2,775,000 ",37.554707,-122.37322,CA,Single-Family Home,2775000,"$2,548,000 ",,Carolands,,,Sold,SAN MATEO
94010,2117 Carmelita Ave,1,2,Hillsborough,"1,070 sqft",19-Nov-13,"$1,290,000 ",37.57822,-122.368065,CA,Single-Family Home,1290000,"$1,297,000 ",,Hillsborough Oaksbridge,,,Sold,SAN MATEO
94010,1035 Bromfield Rd,4.5,4,Hillsborough,"4,010 sqft",15-Nov-13,"$2,750,000 ",37.56312,-122.35508,CA,Single-Family Home,2750000,"$3,844,000 ",,Homeplace,,,Sold,SAN MATEO
94010,115 Robin Rd,3.5,4,Hillsborough,"4,400 sqft",14-Nov-13,"$3,740,000 ",37.560116,-122.36222,CA,Single-Family Home,3740000,"$3,486,000 ",,Homeplace,,,Sold,SAN MATEO
94010,2630 Skyfarm Dr,3.5,4,Hillsborough,"4,590 sqft",12-Nov-13,"$3,500,000 ",37.559097,-122.377846,CA,Single-Family Home,3500000,"$3,296,000 ",,Skyfarm,,,Sold,SAN MATEO
94010,1035 Whitwell Rd,3,3,Hillsborough,"2,580 sqft",4-Nov-13,"$1,800,000 ",37.552216,-122.35154,CA,Single-Family Home,1800000,"$3,287,000 ",,Hillsborough Park,,,Sold,SAN MATEO
94010,45 Sheldon Way,5.5,6,Hillsborough,"4,990 sqft",29-Oct-13,"$4,400,000 ",37.578503,-122.37517,CA,Single-Family Home,4400000,"$5,956,000 ",,Hillsborough Oaksbridge,,,Sold,SAN MATEO
94010,1260 Kenilworth Rd,5.5,4,Hillsborough,"4,950 sqft",18-Oct-13,"$2,930,000 ",37.552242,-122.3575,CA,Single-Family Home,2930000,"$3,618,000 ",,Carolands,,,Sold,SAN MATEO
94010,1116 Tournament Dr,3.5,4,Hillsborough,"3,140 sqft",17-Oct-13,"$2,380,000 ",37.539413,-122.34552,CA,Single-Family Home,2380000,"$2,772,000 ",,Tobin Clark Estate,,,Sold,SAN MATEO
