zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94020,58 Pope Rd,2,3,La Honda,"2,050 sqft",31-Dec-69,$0 ,37.309696,-122.27597,CA,Single-Family Home,699000,,,,18,,For Sale,SAN MATEO
94020,131 Cuesta Real,1,2,La Honda,730 sqft,31-Dec-69,$0 ,37.320524,-122.27189,CA,Unspecified,336400,,,,,,For Sale,SAN MATEO
94020,280 Woodland Vis,5.5,4,La Honda,"7,200 sqft",31-Dec-69,$0 ,37.31308,-122.26187,CA,Single-Family Home,4948000,,,,6,,For Sale,SAN MATEO
94020,222 Portola State Park Rd,,,La Honda,,31-Dec-69,$0 ,37.282955,-122.215576,CA,Lot/Land,4998000,,,,0,,For Sale,SAN MATEO
94020,21 Sylvan Way,1,1,La Honda,690 sqft,31-Dec-69,$0 ,37.31429,-122.29484,CA,Single-Family Home,459000,,,,0,,For Sale,SAN MATEO
94020,40 Sylvan Way,2,2,La Honda,"1,200 sqft",31-Dec-69,$0 ,37.312546,-122.29406,CA,Single-Family Home,699000,,,,2,,For Sale,SAN MATEO
94020,Cuesta Real,,,La Honda,,31-Dec-69,$0 ,37.2995,-122.2643,CA,Lot/Land,449000,,,,18,,For Sale,SAN MATEO
94020,10 Pope Rd,2,2,La Honda,"2,100 sqft",31-Dec-69,$0 ,37.311497,-122.27649,CA,Single-Family Home,697000,,,,22,,For Sale,SAN MATEO
94020,Cuesta Real,,,La Honda,,31-Dec-69,$0 ,37.319354,-122.271559,CA,Lot/Land,75000,,,,22,,For Sale,SAN MATEO
94020,Cuesta Real,,,La Honda,,31-Dec-69,$0 ,37.319354,-122.271559,CA,Lot/Land,75000,,,,,,For Sale,SAN MATEO
94020,3200 Long Ridge Rd,3,4,La Honda,"3,203 sqft",31-Dec-69,$0 ,37.28795,-122.18402,CA,Single-Family Home,1770000,,,,0,,For Sale,SAN MATEO
94020,La Honda Rd,,,La Honda,,31-Dec-69,$0 ,37.324461,-122.399465,CA,Lot/Land,2220000,,,,0,,For Sale,SAN MATEO
94020,Loop Rd,1,2,La Honda,620 sqft,31-Dec-69,$0 ,37.294597,-122.264017,CA,Single-Family Home,399465,,,,,,For Sale,SAN MATEO
94020,Cuesta Real,,,La Honda,,31-Dec-69,$0 ,37.322113,-122.27182,CA,Unspecified,324000,,,,37,,For Sale,SAN MATEO
94020,Back Rd,1,1,La Honda,,31-Dec-69,$0 ,37.263452,-122.205859,CA,Single-Family Home,250000,,,,,,For Sale,SAN MATEO
94020,Sylvan Way,1,1,La Honda,,31-Dec-69,$0 ,37.31436,-122.29478,CA,Single-Family Home,284332,,,,0,,For Sale,SAN MATEO
