zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94550,2539 Vintage Ln,4,4,Livermore,"3,940 sqft",31-Dec-69,$0 ,37.66309,-121.76132,CA,Single-Family Home,1250000,,,,31,,For Sale,ALAMEDA
94550,433 Ontario Dr,2,4,Livermore,"1,679 sqft",31-Dec-69,$0 ,37.665215,-121.79558,CA,Single-Family Home,589000,,,,31,,For Sale,ALAMEDA
94551,4109 Bristlecone Way,2,3,Livermore,"1,305 sqft",31-Dec-69,$0 ,37.71265,-121.75079,CA,Single-Family Home,499000,,,,18,,For Sale,ALAMEDA
94550,1357 Pegan Cmn,4,4,Livermore,"3,090 sqft",31-Dec-69,$0 ,37.678837,-121.73813,CA,Single-Family Home,998000,,,,28,,For Sale,ALAMEDA
94550,705 Via Del Sol,3,4,Livermore,"2,196 sqft",31-Dec-69,$0 ,37.661266,-121.79026,CA,Single-Family Home,829000,,,,38,,For Sale,ALAMEDA
94550,366 Pestana Pl,2,4,Livermore,"1,654 sqft",31-Dec-69,$0 ,37.68443,-121.75854,CA,Single-Family Home,525000,,,,69,,For Sale,ALAMEDA
94551,2164 Beech Cmn,2,3,Livermore,"1,526 sqft",31-Dec-69,$0 ,37.723797,-121.72152,CA,Single-Family Home,200000,,,,46,,For Sale,ALAMEDA
94550,3910 Stanford Way,2,3,Livermore,"1,431 sqft",31-Dec-69,$0 ,37.68309,-121.75113,CA,Single-Family Home,550000,,,,45,,For Sale,ALAMEDA
94550,397 Lincoln Ave,2,4,Livermore,"1,702 sqft",31-Dec-69,$0 ,37.68456,-121.746475,CA,Single-Family Home,585000,,,,37,,For Sale,ALAMEDA
94551,207 Heligan Ln #4,2,2,Livermore,"1,138 sqft",31-Dec-69,$0 ,37.707874,-121.80119,CA,Apt/Condo/Twnhm,439900,,,,32,,For Sale,ALAMEDA
94551,1038 Larkspur Dr,2.5,4,Livermore,"2,125 sqft",31-Dec-69,$0 ,37.706684,-121.7427,CA,Single-Family Home,550000,,,,55,,For Sale,ALAMEDA
94550,613 Catalina Dr,2,3,Livermore,"1,254 sqft",31-Dec-69,$0 ,37.66708,-121.789955,CA,Single-Family Home,610000,,,,45,,For Sale,ALAMEDA
94550,1462 Vancouver Way,2,3,Livermore,"1,838 sqft",31-Dec-69,$0 ,37.666817,-121.77602,CA,Single-Family Home,629500,,,,49,,For Sale,ALAMEDA
94551,3131 Arcadia Cmn #5,3,3,Livermore,"1,322 sqft",31-Dec-69,$0 ,37.70925,-121.805534,CA,Apt/Condo/Twnhm,474900,,,,31,,For Sale,ALAMEDA
94550,2389 Senger St,3,5,Livermore,"2,897 sqft",31-Dec-69,$0 ,37.67159,-121.723595,CA,Single-Family Home,918000,,,,17,,For Sale,ALAMEDA
94550,890 Jefferson Ave,2,3,Livermore,"1,307 sqft",31-Dec-69,$0 ,37.680935,-121.743744,CA,Single-Family Home,564500,,,,42,,For Sale,ALAMEDA
94550,882 Hazel St,3,4,Livermore,"2,068 sqft",31-Dec-69,$0 ,37.687183,-121.728546,CA,Single-Family Home,639000,,,,31,,For Sale,ALAMEDA
94551,5128 Tulip Ct,2,2,Livermore,"1,515 sqft",31-Dec-69,$0 ,37.71181,-121.740074,CA,Single-Family Home,489950,,,,38,,For Sale,ALAMEDA
94551,852 Dakota Ct,2,3,Livermore,"1,282 sqft",31-Dec-69,$0 ,37.688206,-121.787895,CA,Single-Family Home,499000,,,,55,,For Sale,ALAMEDA
94550,2422 Lakeside Cir,4,5,Livermore,"3,405 sqft",31-Dec-69,$0 ,37.652348,-121.792,CA,Single-Family Home,1275000,,,,22,,For Sale,ALAMEDA
94550,5800 Eagles Run Rd,2.5,3,Livermore,"3,332 sqft",31-Dec-69,$0 ,37.66395,-121.6333,CA,Single-Family Home,1499950,,,,0,,For Sale,ALAMEDA
94550,20850 Mines Rd,,,Livermore,,31-Dec-69,$0 ,37.5304,-121.55357,CA,Lot/Land,617000,,,,0,,For Sale,ALAMEDA
94551,1654 Juniper St,2,3,Livermore,"1,584 sqft",31-Dec-69,$0 ,37.69091,-121.780365,CA,Single-Family Home,499950,,,,60,,For Sale,ALAMEDA
94550,2302 Tapestry Dr,2.5,4,Livermore,"2,878 sqft",31-Dec-69,$0 ,37.660755,-121.764626,CA,Single-Family Home,1129950,,,,29,,For Sale,ALAMEDA
94551,5571 Goldenrod Dr,3,5,Livermore,"2,610 sqft",31-Dec-69,$0 ,37.713768,-121.72888,CA,Single-Family Home,735000,,,,52,,For Sale,ALAMEDA
94551,1661 Juniper St,2.5,3,Livermore,"1,914 sqft",31-Dec-69,$0 ,37.690533,-121.78003,CA,Single-Family Home,599888,,,,60,,For Sale,ALAMEDA
94550,2497 Normandy Cir,2,4,Livermore,"2,500 sqft",31-Dec-69,$0 ,37.658863,-121.7644,CA,Single-Family Home,1150000,,,,28,,For Sale,ALAMEDA
94550,173 El Caminito,2,3,Livermore,"1,484 sqft",31-Dec-69,$0 ,37.675014,-121.79557,CA,Single-Family Home,550000,,,,34,,For Sale,ALAMEDA
94551,1502 Corte Reina Cmn,2,3,Livermore,"1,707 sqft",31-Dec-69,$0 ,37.69438,-121.78005,CA,Townhome,549000,,,,46,,For Sale,ALAMEDA
94550,2150 Mars Rd,2,3,Livermore,"1,239 sqft",31-Dec-69,$0 ,37.65688,-121.78327,CA,Single-Family Home,650000,,,,40,,For Sale,ALAMEDA
94551,5335 Wisteria Way,1.5,2,Livermore,"1,161 sqft",31-Dec-69,$0 ,37.71111,-121.73247,CA,Single-Family Home,409900,,,,48,,For Sale,ALAMEDA
94550,1265 S Livermore Ave,3,4,Livermore,"2,394 sqft",31-Dec-69,$0 ,37.67312,-121.75516,CA,Single-Family Home,551900,,,,60,,For Sale,ALAMEDA
