zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94025,1303 Crane St,2.5,2,Menlo Park,,31-Dec-69,$0 ,37.452217,-122.1884,CA,Townhome,1248000,,,Downtown Menlo Park,75,,For Sale,SAN MATEO
94025,1038 Menlo Oaks Dr,1,2,Menlo Park,"1,060 sqft",31-Dec-69,$0 ,37.472225,-122.16458,CA,Single-Family Home,899000,,,Suburban Park-Lorelei Manor-Flood Park T,37,,For Sale,SAN MATEO
94025,25 Amherst Ct,3,3,Menlo Park,"1,500 sqft",31-Dec-69,$0 ,37.46782,-122.207214,CA,Single-Family Home,1000000,,,,62,,For Sale,SAN MATEO
94025,1275 Santa Cruz Ave,6,5,Menlo Park,"4,300 sqft",31-Dec-69,$0 ,37.443207,-122.190956,CA,Single-Family Home,5895000,,,,40,,For Sale,SAN MATEO
94025,140 Royal Oaks Ct,4.5,5,Menlo Park,"5,824 sqft",31-Dec-69,$0 ,37.42699,-122.194725,CA,Single-Family Home,3888000,,,Sharon Height,62,,For Sale,SAN MATEO
94025,131 Seminary Dr,4,4,Menlo Park,"3,690 sqft",31-Dec-69,$0 ,37.460735,-122.16956,CA,Single-Family Home,3498000,,,South of Seminary-Vintage Oaks,42,,For Sale,SAN MATEO
94025,1101 Hobart St,2,3,Menlo Park,"2,378 sqft",31-Dec-69,$0 ,37.441307,-122.193436,CA,Single-Family Home,2349000,,,,35,,For Sale,SAN MATEO
94025,1080 Klamath Dr,5,4,Menlo Park,"4,243 sqft",31-Dec-69,$0 ,37.425335,-122.21185,CA,Single-Family Home,4498000,,,Sharon Height,37,,For Sale,SAN MATEO
94025,740 Windsor Dr,5.5,6,Menlo Park,"5,500 sqft",31-Dec-69,$0 ,37.443882,-122.1862,CA,Single-Family Home,5495000,,,,58,,For Sale,SAN MATEO
94025,43 Sneckner Ct,6,4,Menlo Park,"6,414 sqft",31-Dec-69,$0 ,37.415462,-122.1875,CA,Single-Family Home,3950000,,,,25,,For Sale,SAN MATEO
