zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94025,2101 Camino A Los Cerros,2,3,Menlo Park,"1,266 sqft",19-Feb-14,"$1,429,000 ",37.43583,-122.210335,CA,Single-Family Home,1429000,"$1,737,000 ",,University Heights,,,Sold,SAN MATEO
94025,3134 Alameda De Las Pulgas,2,4,Menlo Park,"1,450 sqft",19-Feb-14,"$1,160,000 ",37.435287,-122.209114,CA,Single-Family Home,1160000,"$1,718,000 ",,University Heights,,,Sold,SAN MATEO
94025,709 17th Ave,3,3,Menlo Park,"2,030 sqft",19-Feb-14,"$1,530,000 ",37.47415,-122.19063,CA,Single-Family Home,1530000,"$1,536,000 ",,Fair Oaks,,,Sold,SAN MATEO
94025,163 Linfield Dr,2.5,3,Menlo Park,"1,665 sqft",14-Feb-14,"$1,600,000 ",37.454426,-122.1685,CA,Single-Family Home,1600000,"$1,695,000 ",,Linfield Oaks,,,Sold,SAN MATEO
94025,291 Linfield Dr,3,5,Menlo Park,"2,548 sqft",13-Feb-14,"$2,300,000 ",37.453133,-122.16945,CA,Single-Family Home,2300000,"$2,823,000 ",,Linfield Oaks,,,Sold,SAN MATEO
94025,1227 Sevier Ave,2,4,Menlo Park,"1,916 sqft",13-Feb-14,"$365,000 ",37.4748,-122.157364,CA,Single-Family Home,365000,"$712,000 ",,Belle Haven,,,Sold,SAN MATEO
94025,98 Amherst Ave,3,5,Menlo Park,"3,255 sqft",11-Feb-14,"$1,310,000 ",37.46792,-122.20615,CA,Multi-Family,1310000,"$1,625,000 ",,,,,Sold,SAN MATEO
94025,360 Hamilton Ave,2,3,Menlo Park,"1,192 sqft",11-Feb-14,"$655,000 ",37.477226,-122.162964,CA,Single-Family Home,655000,"$777,000 ",,Belle Haven,,,Sold,SAN MATEO
94025,2140 Santa Cruz Ave #A205,2,2,Menlo Park,960 sqft,7-Feb-14,"$545,000 ",37.42653,-122.19417,CA,Condo,545000,"$657,000 ",,Sharon Height,,,Sold,SAN MATEO
94025,348 Concord Dr,2,3,Menlo Park,"1,590 sqft",6-Feb-14,"$1,760,000 ",37.457108,-122.15741,CA,Single-Family Home,1760000,"$1,611,000 ",,The Willows,,,Sold,SAN MATEO
94025,2179 Clayton Dr,,,Menlo Park,,4-Feb-14,"$3,401,500 ",37.428192,-122.19823,CA,Single-Family Home,3401500,,,Sharon Height,,,Sold,SAN MATEO
94025,320 Lennox Ave,4.5,4,Menlo Park,"3,900 sqft",3-Feb-14,"$3,560,000 ",37.46146,-122.188995,CA,Single-Family Home,3560000,"$3,783,000 ",,Felton Gables,,,Sold,SAN MATEO
94025,123 Newbridge St,1,3,Menlo Park,"1,150 sqft",31-Jan-14,"$632,500 ",37.47523,-122.16386,CA,Single-Family Home,632500,"$717,000 ",,Belle Haven,,,Sold,SAN MATEO
94025,6 Bolton Pl,5.5,5,Menlo Park,"4,210 sqft",27-Jan-14,"$4,830,000 ",37.44343,-122.190575,CA,Single-Family Home,4830000,"$4,711,000 ",,,,,Sold,SAN MATEO
94025,1281 Orange Ave,2,3,Menlo Park,"1,460 sqft",24-Jan-14,"$3,050,000 ",37.4357,-122.200714,CA,Single-Family Home,3050000,"$2,247,000 ",,University Heights,,,Sold,SAN MATEO
94025,130 Sand Hill Cir,2,4,Menlo Park,"1,920 sqft",24-Jan-14,"$1,160,000 ",37.423233,-122.21915,CA,Single-Family Home,1160000,"$1,789,000 ",,Sharon Height,,,Sold,SAN MATEO
94025,442 Sand Hill Cir,2.5,3,Menlo Park,"2,070 sqft",17-Jan-14,"$1,100,000 ",37.424015,-122.222984,CA,Single-Family Home,1100000,"$1,503,000 ",,Sharon Height,,,Sold,SAN MATEO
94025,277 Willow Rd,1,2,Menlo Park,"1,010 sqft",15-Jan-14,"$915,000 ",37.458378,-122.162796,CA,Single-Family Home,915000,"$1,139,000 ",,South of Seminary-Vintage Oaks,,,Sold,SAN MATEO
94025,553 6th Ave,1,2,Menlo Park,760 sqft,15-Jan-14,"$405,000 ",37.475117,-122.201836,CA,Single-Family Home,405000,"$632,000 ",,Fair Oaks,,,Sold,SAN MATEO
94025,1180 Rosefield Way,3,4,Menlo Park,"2,120 sqft",14-Jan-14,"$3,000,000 ",37.443447,-122.19313,CA,Single-Family Home,3000000,"$2,841,000 ",,,,,Sold,SAN MATEO
94025,1403 Sage St,2.5,3,Menlo Park,"1,640 sqft",13-Jan-14,"$346,000 ",37.478867,-122.16012,CA,Single-Family Home,346000,"$606,000 ",,Belle Haven,,,Sold,SAN MATEO
94025,323 Pope St,3,4,Menlo Park,"2,540 sqft",10-Jan-14,"$2,650,000 ",37.458443,-122.15703,CA,Single-Family Home,2650000,"$2,799,000 ",,The Willows,,,Sold,SAN MATEO
94025,2312 Olympic Ave,3,2,Menlo Park,"2,793 sqft",10-Jan-14,"$2,800,000 ",37.42572,-122.2032,CA,Single-Family Home,2800000,"$3,230,000 ",,Sharon Height,,,Sold,SAN MATEO
94025,957 Rose Ave,1,3,Menlo Park,"1,310 sqft",8-Jan-14,"$1,350,000 ",37.450314,-122.18905,CA,Single-Family Home,1350000,"$1,676,000 ",,Downtown Menlo Park,,,Sold,SAN MATEO
94025,619 Middle Ave,2.5,2,Menlo Park,"1,420 sqft",3-Jan-14,"$1,134,000 ",37.449554,-122.17727,CA,Single-Family Home,1134000,"$1,247,000 ",,Allied Arts,,,Sold,SAN MATEO
94025,520 Saint Francis Pl,2.5,4,Menlo Park,"2,280 sqft",2-Jan-14,"$2,500,000 ",37.43551,-122.1891,CA,Single-Family Home,2500000,"$2,411,000 ",,,,,Sold,SAN MATEO
94025,672 Creek Dr,4.5,4,Menlo Park,"2,590 sqft",31-Dec-13,"$2,750,000 ",37.44608,-122.173416,CA,Single-Family Home,2750000,"$2,908,000 ",,Allied Arts,,,Sold,SAN MATEO
94025,430 Arbor Rd,2,3,Menlo Park,"1,260 sqft",31-Dec-13,"$1,549,000 ",37.44376,-122.181885,CA,Single-Family Home,1549000,"$1,991,000 ",,Allied Arts,,,Sold,SAN MATEO
94025,14 Mansion Ct #714,3.5,3,Menlo Park,"2,850 sqft",27-Dec-13,"$2,225,000 ",37.426453,-122.20985,CA,Condo,2225000,"$2,154,000 ",,Sharon Height,,,Sold,SAN MATEO
94025,610 Gilbert Ave #25,1,2,Menlo Park,875 sqft,20-Dec-13,"$660,000 ",37.46078,-122.1614,CA,Condo,660000,"$698,000 ",,South of Seminary-Vintage Oaks,,,Sold,SAN MATEO
