zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94030,300 Murchison Dr #208,1,1,Millbrae,734 sqft,13-Feb-14,"$480,000 ",37.594795,-122.38824,CA,Condo,480000,"$519,000 ",,,,,Sold,SAN MATEO
94030,320 Vallejo Dr #10,2,2,Millbrae,995 sqft,12-Feb-14,"$567,000 ",37.584328,-122.4046,CA,Condo,567000,"$685,000 ",,,,,Sold,SAN MATEO
94030,801 Crestview Dr,2,3,Millbrae,"1,840 sqft",31-Jan-14,"$1,260,000 ",37.59359,-122.41566,CA,Single-Family Home,1260000,"$1,312,000 ",,,,,Sold,SAN MATEO
94030,308 S Ashton Ave,2,3,Millbrae,"2,010 sqft",31-Jan-14,"$1,410,000 ",37.589596,-122.392075,CA,Single-Family Home,1410000,"$1,535,000 ",,,,,Sold,SAN MATEO
94030,207 Valencia Dr,2,4,Millbrae,"2,010 sqft",31-Jan-14,"$1,300,000 ",37.5873,-122.405045,CA,Single-Family Home,1300000,"$1,618,000 ",,,,,Sold,SAN MATEO
94030,151 El Camino Real #117,,,Millbrae,,31-Jan-14,"$979,000 ",37.59949,-122.38932,CA,Condo,979000,"$1,060,000 ",,,,,Sold,SAN MATEO
94030,209 Sebastian Dr,4,5,Millbrae,"2,820 sqft",30-Jan-14,"$2,030,000 ",37.589325,-122.401375,CA,Single-Family Home,2030000,"$2,057,000 ",,,,,Sold,SAN MATEO
94030,1100 Tuolumne Rd,3,4,Millbrae,"2,840 sqft",24-Jan-14,"$1,450,000 ",37.598644,-122.41248,CA,Single-Family Home,1450000,"$1,962,000 ",,,,,Sold,SAN MATEO
94030,1280 Manzanita Dr,2,3,Millbrae,"2,480 sqft",17-Jan-14,"$1,900,000 ",37.58864,-122.399666,CA,Single-Family Home,1900000,"$1,764,000 ",,,,,Sold,SAN MATEO
94030,55 Poplar Ave,2,3,Millbrae,"1,440 sqft",17-Jan-14,"$1,188,000 ",37.596348,-122.39243,CA,Single-Family Home,1188000,"$1,244,000 ",,,,,Sold,SAN MATEO
94030,1176 Millbrae Ave,2.5,4,Millbrae,"3,060 sqft",16-Jan-14,"$1,700,000 ",37.59183,-122.40257,CA,Single-Family Home,1700000,"$1,679,000 ",,,,,Sold,SAN MATEO
94030,241 Marcella Way,2,3,Millbrae,"1,700 sqft",10-Jan-14,"$1,240,000 ",37.590767,-122.39307,CA,Single-Family Home,1240000,"$1,549,000 ",,,,,Sold,SAN MATEO
94030,300 Murchison Dr #323,1,1,Millbrae,734 sqft,9-Jan-14,"$380,000 ",37.594795,-122.38824,CA,Condo,380000,"$509,000 ",,,,,Sold,SAN MATEO
94030,604 Juanita Ave,1,3,Millbrae,"1,020 sqft",3-Jan-14,"$930,000 ",37.609123,-122.41086,CA,Single-Family Home,930000,"$926,000 ",,,,,Sold,SAN MATEO
94030,196 Aviador Ave,1,2,Millbrae,"1,000 sqft",31-Dec-13,"$750,000 ",37.602985,-122.38585,CA,Single-Family Home,750000,"$804,000 ",,,,,Sold,SAN MATEO
94030,1333 Hillcrest Blvd,1,2,Millbrae,"1,040 sqft",20-Dec-13,"$1,060,000 ",37.59098,-122.407394,CA,Single-Family Home,1060000,"$1,008,000 ",,,,,Sold,SAN MATEO
94030,855 Ahwahnee Dr,2.5,3,Millbrae,"2,010 sqft",20-Dec-13,"$1,375,000 ",37.597775,-122.41096,CA,Single-Family Home,1375000,"$1,385,000 ",,,,,Sold,SAN MATEO
94030,161 El Bonito Way,1,3,Millbrae,"1,480 sqft",19-Dec-13,"$830,000 ",37.59509,-122.40336,CA,Single-Family Home,830000,"$1,066,000 ",,,,,Sold,SAN MATEO
94030,839 Banbury Ln,2,3,Millbrae,"1,240 sqft",16-Dec-13,"$840,000 ",37.60229,-122.41736,CA,Single-Family Home,840000,"$1,115,000 ",,,,,Sold,SAN MATEO
94030,728 Berkshire Dr,2.5,5,Millbrae,"2,430 sqft",13-Dec-13,"$1,260,000 ",37.597534,-122.40596,CA,Single-Family Home,1260000,"$1,692,000 ",,,,,Sold,SAN MATEO
94030,151 El Camino Real #311,,,Millbrae,,6-Dec-13,"$743,000 ",37.59949,-122.38932,CA,Condo,743000,"$667,000 ",,,,,Sold,SAN MATEO
94030,320 Vallejo Dr #15,2,3,Millbrae,"1,352 sqft",6-Dec-13,"$660,000 ",37.584328,-122.4046,CA,Condo,660000,"$697,000 ",,,,,Sold,SAN MATEO
94030,327 Cedar St,1.5,2,Millbrae,"1,390 sqft",3-Dec-13,"$665,000 ",37.6097,-122.395134,CA,Single-Family Home,665000,"$829,000 ",,,,,Sold,SAN MATEO
94030,420 Paramount Dr,1,3,Millbrae,"1,230 sqft",26-Nov-13,"$979,000 ",37.606728,-122.40768,CA,Single-Family Home,979000,"$976,000 ",,,,,Sold,SAN MATEO
94030,371 Lansdale Ave,3.5,5,Millbrae,"2,893 sqft",22-Nov-13,"$1,606,000 ",37.60085,-122.39812,CA,Multi-Family,1606000,"$1,602,000 ",,,,,Sold,SAN MATEO
94030,360 Vallejo Dr #107,2,2,Millbrae,995 sqft,21-Nov-13,"$580,000 ",37.584328,-122.4046,CA,Condo,580000,"$640,000 ",,,,,Sold,SAN MATEO
94030,903 Springfield Dr,2.5,5,Millbrae,"2,370 sqft",21-Nov-13,"$1,800,000 ",37.595543,-122.410774,CA,Single-Family Home,1800000,"$1,820,000 ",,,,,Sold,SAN MATEO
94030,17 Via Canon,2,2,Millbrae,"1,100 sqft",19-Nov-13,"$1,153,000 ",37.593246,-122.40158,CA,Single-Family Home,1153000,"$1,101,000 ",,,,,Sold,SAN MATEO
94030,307 Anita Dr,3.5,7,Millbrae,"2,900 sqft",14-Nov-13,"$1,200,000 ",37.60268,-122.39999,CA,Single-Family Home,1200000,"$1,527,000 ",,,,,Sold,SAN MATEO
94030,603 Laurel Ave,2,3,Millbrae,"1,430 sqft",13-Nov-13,"$1,025,000 ",37.602215,-122.4016,CA,Single-Family Home,1025000,"$1,160,000 ",,,,,Sold,SAN MATEO
94030,1245 Murchison Dr,2.5,4,Millbrae,"2,240 sqft",13-Nov-13,"$1,640,000 ",37.59018,-122.40043,CA,Single-Family Home,1640000,"$1,764,000 ",,,,,Sold,SAN MATEO
94030,1090 Helen Dr,2,3,Millbrae,"1,370 sqft",7-Nov-13,"$951,000 ",37.602356,-122.41844,CA,Single-Family Home,951000,"$1,150,000 ",,,,,Sold,SAN MATEO
94030,1176 Landing Ln,2,5,Millbrae,"1,750 sqft",5-Nov-13,"$710,000 ",37.611084,-122.399445,CA,Single-Family Home,710000,"$913,000 ",,,,,Sold,SAN MATEO
94030,92 Conejo Dr,2,4,Millbrae,"2,030 sqft",31-Oct-13,"$1,480,000 ",37.586258,-122.40288,CA,Single-Family Home,1480000,"$1,602,000 ",,,,,Sold,SAN MATEO
94030,1396 Madera Way,2.5,4,Millbrae,"2,690 sqft",31-Oct-13,"$1,450,000 ",37.588093,-122.40506,CA,Single-Family Home,1450000,"$1,809,000 ",,,,,Sold,SAN MATEO
94030,507 Capuchino Dr,1,2,Millbrae,"1,540 sqft",30-Oct-13,"$869,000 ",37.60748,-122.40844,CA,Single-Family Home,869000,"$1,042,000 ",,,,,Sold,SAN MATEO
94030,616 Geraldine Dr,2,3,Millbrae,"2,080 sqft",29-Oct-13,"$1,200,000 ",37.600826,-122.40577,CA,Single-Family Home,1200000,"$1,384,000 ",,,,,Sold,SAN MATEO
