zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94038,667 Kelmore St,2,4,Moss Beach,"2,800 sqft",31-Dec-69,$0 ,37.530846,-122.51365,CA,Single-Family Home,799000,,,,31,,For Sale,SAN MATEO
94038,821 Ocean Blvd,3,4,Moss Beach,"2,075 sqft",31-Dec-69,$0 ,37.516098,-122.511696,CA,Single-Family Home,1000000,,,,9,,For Sale,SAN MATEO
94038,31 Julianna Ave,3,2,Moss Beach,"2,320 sqft",31-Dec-69,$0 ,37.529198,-122.5161,CA,Single-Family Home,1495000,,,,20,,For Sale,SAN MATEO
94038,441 Terrace Ave,2,3,Moss Beach,"1,620 sqft",31-Dec-69,$0 ,37.524452,-122.51168,CA,Single-Family Home,659000,,,,17,,For Sale,SAN MATEO
94038,9680 Cabrillo Hwy,2,3,Moss Beach,"1,526 sqft",31-Dec-69,$0 ,37.523735,-122.51016,CA,Single-Family Home,659000,,,,14,,For Sale,SAN MATEO
94038,40 Afar Way,4,5,Moss Beach,"5,000 sqft",31-Dec-69,$0 ,37.536682,-122.51367,CA,Single-Family Home,3000000,,,,35,,For Sale,SAN MATEO
94038,870 Etheldore St,1,2,Moss Beach,"1,210 sqft",31-Dec-69,$0 ,37.527843,-122.51113,CA,Single-Family Home,649000,,,,25,,For Sale,SAN MATEO
94038,770 Kelmore St,3.5,4,Moss Beach,"3,120 sqft",31-Dec-69,$0 ,37.529663,-122.51237,CA,Single-Family Home,1049000,,,,23,,For Sale,SAN MATEO
94038,Ocean Blvd,,,Moss Beach,,31-Dec-69,$0 ,37.516807,-122.512334,CA,Lot/Land,19750,,,,,,For Sale,SAN MATEO
94038,864 Montana St,3,3,Moss Beach,"2,839 sqft",31-Dec-69,$0 ,37.533203,-122.51396,CA,Single-Family Home,1149000,,,,29,,For Sale,SAN MATEO
94038,Cabrillo Hwy,,,Moss Beach,,31-Dec-69,$0 ,37.521738,-122.507494,CA,Income/Investment,333600,,,,,,For Sale,SAN MATEO
94018,Cabrillo Hwy,,,Moss Beach,,31-Dec-69,$0 ,37.521738,-122.507494,CA,Income/Investment,160000,,,,,,For Sale,SAN MATEO
94038,San Ramon,,,Moss Beach,,31-Dec-69,$0 ,37.516754,-122.511018,CA,Lot/Land,199000,,,,,,For Sale,SAN MATEO
94018,Cabrillo Hwy,,,Moss Beach,,31-Dec-69,$0 ,37.521738,-122.507494,CA,Lot/Land,160000,,,,,,For Sale,SAN MATEO
94038,San Ramon,,,Moss Beach,,31-Dec-69,$0 ,37.516754,-122.511018,CA,Lot/Land,199000,,,,,,For Sale,SAN MATEO
94038,Cabrillo Hwy,,,Moss Beach,,31-Dec-69,$0 ,37.521738,-122.507494,CA,Lot/Land,333600,,,,,,For Sale,SAN MATEO
94038,Cabrillo Hwy,2,3,Moss Beach,"1,524 sqft",31-Dec-69,$0 ,37.52443,-122.51038,CA,Single-Family Home,640000,,,,17,,For Sale,SAN MATEO
94038,Loma Vista St,2,3,Moss Beach,"1,250 sqft",31-Dec-69,$0 ,37.53153,-122.509514,CA,Single-Family Home,656880,,,,26,,For Sale,SAN MATEO
94038,Lancaster Blvd,,,Moss Beach,,31-Dec-69,$0 ,37.525143,-122.51194,CA,Unspecified,644801,,,,25,,For Sale,SAN MATEO
