zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94038,868 Linda Vista St,2,3,Moss Beach,"1,940 sqft",31-Jan-14,"$726,000 ",37.531334,-122.50889,CA,Single-Family Home,726000,"$779,000 ",,,,,Sold,SAN MATEO
94038,170 Los Banos Ave,3,4,Moss Beach,"2,200 sqft",23-Jan-14,"$722,000 ",37.518158,-122.51129,CA,Single-Family Home,722000,"$874,000 ",,,,,Sold,SAN MATEO
94038,247 Virginia Ave,1,1,Moss Beach,580 sqft,16-Jan-14,"$475,000 ",37.52401,-122.515045,CA,Single-Family Home,475000,"$349,000 ",,,,,Sold,SAN MATEO
94038,882 Etheldore St,1,3,Moss Beach,"1,720 sqft",27-Dec-13,"$695,000 ",37.527378,-122.51124,CA,Single-Family Home,695000,"$477,000 ",,,,,Sold,SAN MATEO
94038,425 Virginia Ave,3,4,Moss Beach,"2,780 sqft",4-Dec-13,"$850,000 ",37.525543,-122.514,CA,Single-Family Home,850000,"$554,000 ",,,,,Sold,SAN MATEO
94038,698 Vermont Ave,2.5,3,Moss Beach,"1,680 sqft",12-Nov-13,"$600,000 ",37.52972,-122.50951,CA,Single-Family Home,600000,"$738,000 ",,,,,Sold,SAN MATEO
94038,460 Lancaster Ave,2,3,Moss Beach,"1,510 sqft",29-Oct-13,"$670,000 ",37.52501,-122.51175,CA,Single-Family Home,670000,"$317,000 ",,,,,Sold,SAN MATEO
94038,387 13th St,2,3,Moss Beach,"1,310 sqft",4-Oct-13,"$695,000 ",37.53723,-122.514885,CA,Single-Family Home,695000,"$315,000 ",,,,,Sold,SAN MATEO
94038,140 San Lucas Ave,3,4,Moss Beach,"2,600 sqft",27-Sep-13,"$850,000 ",37.515823,-122.51093,CA,Single-Family Home,850000,"$872,000 ",,,,,Sold,SAN MATEO
94038,931 Wave Ave,,,Moss Beach,,13-Sep-13,"$680,000 ",37.52717,-122.50929,CA,Single-Family Home,680000,,,,,,Sold,SAN MATEO
94038,1001 Ocean Blvd,,,Moss Beach,,10-Sep-13,"$30,000 ",37.513046,-122.50991,CA,Unknown,30000,,,,,,Sold,SAN MATEO
94038,206 California Ave,2,3,Moss Beach,"1,700 sqft",23-Aug-13,"$975,000 ",37.52386,-122.51555,CA,Single-Family Home,975000,"$314,000 ",,,,,Sold,SAN MATEO
94038,379 Virginia Ave,1,2,Moss Beach,"1,350 sqft",15-Aug-13,"$702,000 ",37.525024,-122.51436,CA,Single-Family Home,702000,"$331,000 ",,,,,Sold,SAN MATEO
94038,105 San Lucas Ave,1.5,3,Moss Beach,"1,470 sqft",23-Jul-13,"$690,000 ",37.515816,-122.51161,CA,Single-Family Home,690000,"$326,000 ",,,,,Sold,SAN MATEO
94038,1080 Drake St,,,Moss Beach,,12-Jul-13,"$1,855,000 ",37.544037,-122.4993,CA,Single-Family Home,1855000,"$559,000 ",,,,,Sold,SAN MATEO
94038,116 La Grande Ave,2.5,3,Moss Beach,"1,900 sqft",8-Jul-13,"$550,000 ",37.516396,-122.51153,CA,Single-Family Home,550000,"$293,000 ",,,,,Sold,SAN MATEO
94038,840 Lincoln St,3,3,Moss Beach,"2,340 sqft",3-Jul-13,"$845,000 ",37.53316,-122.51442,CA,Single-Family Home,845000,"$312,000 ",,,,,Sold,SAN MATEO
