zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
95391,40 W Atento Ln,2.5,4,Mountain House,"2,341 sqft",31-Dec-69,$0 ,37.774864,-121.545525,CA,Single-Family Home,425000,,,,9,,For Sale,SAN JOAQUIN
95391,30 W Clarissa Ln,2.5,3,Mountain House,,31-Dec-69,$0 ,37.77815,-121.54417,CA,Single-Family Home,300000,,,,23,,For Sale,SAN JOAQUIN
95391,43 S Alonsa Ln,2.5,3,Mountain House,"1,460 sqft",31-Dec-69,$0 ,37.77932,-121.54746,CA,Single-Family Home,300000,,,,5,,For Sale,SAN JOAQUIN
95391,The Sierra - Residence Three Plan,3.5,4,Mountain House,"2,612 sqft",31-Dec-69,$0 ,37.789513,-121.544556,CA,Single-Family Home,515000,,,,0,,For Sale,SAN JOAQUIN
95391,30 W Fauna Ct,4,5,Mountain House,"2,968 sqft",31-Dec-69,$0 ,37.768787,-121.54779,CA,Single-Family Home,489900,,,,11,,For Sale,SAN JOAQUIN
95391,The Alpine - Residence One Plan,2.5,3,Mountain House,"2,111 sqft",31-Dec-69,$0 ,37.789513,-121.544556,CA,Single-Family Home,445000,,,,0,,For Sale,SAN JOAQUIN
95391,The Cascades - Residence Two Plan,3,4,Mountain House,"2,486 sqft",31-Dec-69,$0 ,37.789513,-121.544556,CA,Single-Family Home,529000,,,,0,,For Sale,SAN JOAQUIN
95391,374 N Sierra Madre St,3,4,Mountain House,"3,142 sqft",31-Dec-69,$0 ,37.784145,-121.55369,CA,Single-Family Home,524900,,,,6,,For Sale,SAN JOAQUIN
95391,437 N Orinda Ct,,,Mountain House,,31-Dec-69,$0 ,37.784763,-121.546936,CA,Single-Family Home,429000,,,,6,,For Sale,SAN JOAQUIN
95391,565 N Del Prado St,2.5,3,Mountain House,"1,886 sqft",31-Dec-69,$0 ,37.78666,-121.54311,CA,Single-Family Home,399000,,,,6,,For Sale,SAN JOAQUIN
95391,276 W Adoncia Dr,3,3,Mountain House,"1,454 sqft",31-Dec-69,$0 ,37.77861,-121.54691,CA,Single-Family Home,300000,,,,11,,For Sale,SAN JOAQUIN
95391,94 Patterson Ave,3,4,Mountain House,"2,714 sqft",31-Dec-69,$0 ,37.771988,-121.54406,CA,Single-Family Home,459900,,,,15,,For Sale,SAN JOAQUIN
95391,167 W Alcala Ct,3,4,Mountain House,"2,486 sqft",31-Dec-69,$0 ,37.789177,-121.54275,CA,Single-Family Home,529000,,,,6,,For Sale,SAN JOAQUIN
95391,708 N Plumas Dr,3,4,Mountain House,"2,935 sqft",31-Dec-69,$0 ,37.791344,-121.553566,CA,Single-Family Home,529000,,,,6,,For Sale,SAN JOAQUIN
95391,709 N San Marcos Dr,3.5,5,Mountain House,"3,219 sqft",31-Dec-69,$0 ,37.79112,-121.55334,CA,Single-Family Home,569000,,,,6,,For Sale,SAN JOAQUIN
95391,723 N San Marcos Dr,3.5,5,Mountain House,"3,219 sqft",31-Dec-69,$0 ,37.79135,-121.55309,CA,Single-Family Home,569000,,,,6,,For Sale,SAN JOAQUIN
95391,698 S Tradition St,3,5,Mountain House,"3,706 sqft",31-Dec-69,$0 ,37.769745,-121.54194,CA,Single-Family Home,614900,,,,,,For Sale,SAN JOAQUIN
95391,359 W Aventino Ave,3,4,Mountain House,"2,193 sqft",31-Dec-69,$0 ,37.78849,-121.546906,CA,Single-Family Home,423880,,,,6,,For Sale,SAN JOAQUIN
95391,367 W Aventino Ave,3,4,Mountain House,"2,178 sqft",31-Dec-69,$0 ,37.788498,-121.54715,CA,Single-Family Home,423880,,,,6,,For Sale,SAN JOAQUIN
95391,Residence One Plan,3,4,Mountain House,"2,935 sqft",31-Dec-69,$0 ,37.792305,-121.55231,CA,Single-Family Home,532335,,,,6,,For Sale,SAN JOAQUIN
95391,Residence Two Plan,3.5,5,Mountain House,"3,219 sqft",31-Dec-69,$0 ,37.792305,-121.55231,CA,Single-Family Home,553230,,,,6,,For Sale,SAN JOAQUIN
95391,234 N Orinda St,3,3,Mountain House,,31-Dec-69,$0 ,37.781776,-121.54617,CA,Single-Family Home,410000,,,,14,,For Sale,SAN JOAQUIN
95391,Residence 2 - Plan 2077 Plan,2.5,3,Mountain House,"2,077 sqft",31-Dec-69,$0 ,37.787956,-121.54747,CA,Single-Family Home,396880,,,,11,,For Sale,SAN JOAQUIN
95391,Residence 3 - Plan 2178 Plan,3,4,Mountain House,"2,178 sqft",31-Dec-69,$0 ,37.787956,-121.54747,CA,Single-Family Home,420880,,,,11,,For Sale,SAN JOAQUIN
95391,Residence 1 - Plan 1867 Plan,2.5,3,Mountain House,"1,867 sqft",31-Dec-69,$0 ,37.787956,-121.54747,CA,Single-Family Home,382880,,,,11,,For Sale,SAN JOAQUIN
95391,Residence Three Plan,4.5,5,Mountain House,"3,435 sqft",31-Dec-69,$0 ,37.792305,-121.55231,CA,Single-Family Home,586097,,,,6,,For Sale,SAN JOAQUIN
95391,85 S Pacifico St,3,4,Mountain House,"2,276 sqft",31-Dec-69,$0 ,37.77799,-121.54984,CA,Single-Family Home,399000,,,,8,,For Sale,SAN JOAQUIN
95391,427 N Estes Way,3,3,Mountain House,"1,730 sqft",31-Dec-69,$0 ,37.784634,-121.544464,CA,Single-Family Home,380000,,,,6,,For Sale,SAN JOAQUIN
95391,149 N Sierra Madre St,4.5,5,Mountain House,"4,021 sqft",31-Dec-69,$0 ,37.780582,-121.55432,CA,Single-Family Home,599999,,,,6,,For Sale,SAN JOAQUIN
